time,births,population,reported_cases
1912,30,18600,0
1912.04167,30,18613,0
1912.08333,30,18625,0
1912.125,30,18638,0
1912.16667,31,18650,0
1912.20833,31,18662,0
1912.25,31,18675,0
1912.29167,31,18688,0
1912.33333,31,18700,0
1912.375,31,18713,0
1912.41667,31,18725,0
1912.45833,31,18737,0
1912.5,31,18750,0
1912.54167,31,18763,0
1912.58333,31,18775,0
1912.625,31,18788,0
1912.66667,31,18800,0
1912.70833,31,18812,0
1912.75,31,18825,0
1912.79167,31,18838,0
1912.83333,31,18850,0
1912.875,31,18863,0
1912.91667,31,18875,0
1912.95833,32,18887,0
1913,32,18900,0
1913.04167,31,18913,0
1913.08333,31,18925,0
1913.125,31,18938,0
1913.16667,31,18950,0
1913.20833,31,18962,0
1913.25,31,18975,0
1913.29167,31,18988,0
1913.33333,30,19000,0
1913.375,30,19013,0
1913.41667,30,19025,0
1913.45833,30,19037,0
1913.5,30,19050,0
1913.54167,30,19063,0
1913.58333,30,19075,0
1913.625,29,19088,0
1913.66667,29,19100,0
1913.70833,29,19112,0
1913.75,29,19125,0
1913.79167,29,19138,0
1913.83333,29,19150,0
1913.875,29,19163,0
1913.91667,28,19175,0
1913.95833,28,19187,0
1914,28,19200,0
1914.04167,28,19217,0
1914.08333,28,19233,0
1914.125,29,19250,0
1914.16667,29,19267,0
1914.20833,29,19283,0
1914.25,29,19300,0
1914.29167,29,19317,0
1914.33333,29,19333,0
1914.375,29,19350,0
1914.41667,29,19367,0
1914.45833,30,19383,0
1914.5,30,19400,0
1914.54167,30,19417,0
1914.58333,30,19433,0
1914.625,30,19450,0
1914.66667,30,19467,0
1914.70833,30,19483,0
1914.75,30,19500,0
1914.79167,31,19517,0
1914.83333,31,19533,0
1914.875,31,19550,0
1914.91667,31,19567,0
1914.95833,31,19583,0
1915,31,19600,0
1915.04167,31,19613,12
1915.08333,31,19625,23
1915.125,31,19638,108
1915.16667,31,19650,194
1915.20833,31,19662,106
1915.25,31,19675,16
1915.29167,31,19688,14
1915.33333,31,19700,12
1915.375,31,19713,6
1915.41667,31,19725,0
1915.45833,31,19737,0
1915.5,31,19750,0
1915.54167,31,19763,0
1915.58333,31,19775,0
1915.625,31,19788,0
1915.66667,31,19800,0
1915.70833,31,19812,0
1915.75,31,19825,0
1915.79167,31,19838,0
1915.83333,31,19850,0
1915.875,31,19863,0
1915.91667,31,19875,0
1915.95833,31,19887,0
1916,31,19900,0
1916.04167,31,19913,1
1916.08333,31,19925,2
1916.125,30,19938,1
1916.16667,30,19950,0
1916.20833,30,19962,0
1916.25,30,19975,0
1916.29167,30,19988,0
1916.33333,30,20000,1
1916.375,30,20013,1
1916.41667,30,20025,1
1916.45833,29,20037,2
1916.5,29,20050,2
1916.54167,29,20063,4
1916.58333,29,20075,6
1916.625,29,20088,6
1916.66667,29,20100,7
1916.70833,29,20112,120
1916.75,28,20125,233
1916.79167,28,20138,230
1916.83333,28,20150,225
1916.875,28,20163,147
1916.91667,28,20175,68
1916.95833,28,20187,40
1917,28,20200,11
1917.04167,28,20217,16
1917.08333,28,20233,21
1917.125,28,20250,24
1917.16667,28,20267,27
1917.20833,28,20283,15
1917.25,28,20300,3
1917.29167,28,20317,1
1917.33333,29,20333,0
1917.375,29,20350,0
1917.41667,29,20367,0
1917.45833,29,20383,0
1917.5,29,20400,0
1917.54167,29,20417,0
1917.58333,29,20433,0
1917.625,29,20450,0
1917.66667,29,20467,0
1917.70833,30,20483,0
1917.75,30,20500,0
1917.79167,30,20517,0
1917.83333,30,20533,0
1917.875,30,20550,0
1917.91667,30,20567,0
1917.95833,30,20583,0
1918,30,20600,0
1918.04167,30,20613,0
1918.08333,30,20625,0
1918.125,30,20638,0
1918.16667,30,20650,0
1918.20833,30,20662,0
1918.25,30,20675,0
1918.29167,30,20688,0
1918.33333,30,20700,0
1918.375,30,20713,0
1918.41667,30,20725,0
1918.45833,30,20737,0
1918.5,30,20750,0
1918.54167,30,20763,0
1918.58333,30,20775,0
1918.625,30,20788,0
1918.66667,30,20800,0
1918.70833,30,20812,0
1918.75,30,20825,0
1918.79167,30,20838,0
1918.83333,30,20850,0
1918.875,30,20863,0
1918.91667,30,20875,0
1918.95833,30,20887,0
1919,29,20900,0
1919.04167,30,20913,0
1919.08333,30,20925,0
1919.125,30,20938,0
1919.16667,30,20950,0
1919.20833,30,20962,0
1919.25,30,20975,0
1919.29167,30,20988,0
1919.33333,30,21000,0
1919.375,31,21013,0
1919.41667,31,21025,0
1919.45833,31,21037,0
1919.5,31,21050,0
1919.54167,31,21063,0
1919.58333,31,21075,0
1919.625,31,21088,0
1919.66667,31,21100,0
1919.70833,31,21112,0
1919.75,32,21125,0
1919.79167,32,21138,0
1919.83333,32,21150,0
1919.875,32,21163,0
1919.91667,32,21175,0
1919.95833,32,21187,0
1920,32,21200,0
1920.04167,32,21213,7
1920.08333,32,21225,13
1920.125,32,21238,36
1920.16667,32,21250,60
1920.20833,32,21262,33
1920.25,32,21275,6
1920.29167,32,21288,3
1920.33333,31,21300,0
1920.375,31,21313,0
1920.41667,31,21325,0
1920.45833,31,21337,0
1920.5,31,21350,0
1920.54167,31,21363,0
1920.58333,31,21375,0
1920.625,31,21388,0
1920.66667,31,21400,0
1920.70833,31,21412,0
