time,births,population,reported_cases
44.01923,378,4.51E+05,9
44.0608967,371,4.51E+05,4
44.1025633,368,4.51E+05,11
44.14423,364,4.51E+05,9
44.1858967,361,4.51E+05,5
44.2275633,357,4.51E+05,16
44.26923,355,4.51E+05,21
44.3108967,352,4.51E+05,33
44.3525633,350,4.51E+05,19
44.39423,348,4.51E+05,19
44.4358967,346,4.51E+05,31
44.4775633,345,4.51E+05,23
44.51923,343,4.51E+05,37
44.5608967,342,4.51E+05,12
44.6025633,341,4.51E+05,13
44.64423,340,4.51E+05,6
44.6858967,339,4.51E+05,3
44.7275633,339,4.51E+05,0
44.76923,338,4.51E+05,6
44.8108967,338,4.51E+05,11
44.8525633,338,4.52E+05,67
44.89423,337,4.52E+05,60
44.9358967,337,4.52E+05,94
44.9775633,337,4.52E+05,136
45.01923,337,4.52E+05,391
45.0608967,338,4.52E+05,477
45.1025633,340,4.52E+05,1197
45.14423,342,4.53E+05,1908
45.1858967,345,4.54E+05,2153
45.2275633,348,4.55E+05,1875
45.26923,352,4.56E+05,945
45.3108967,356,4.57E+05,355
45.3525633,361,4.59E+05,162
45.39423,366,4.60E+05,134
45.4358967,371,4.62E+05,43
45.4775633,376,4.64E+05,18
45.51923,382,4.65E+05,6
45.5608967,388,4.67E+05,16
45.6025633,393,4.69E+05,10
45.64423,399,4.70E+05,2
45.6858967,404,4.72E+05,4
45.7275633,410,4.73E+05,1
45.76923,415,4.75E+05,9
45.8108967,420,4.76E+05,0
45.8525633,424,4.78E+05,4
45.89423,428,4.79E+05,5
45.9358967,431,4.80E+05,1
45.9775633,434,4.81E+05,4
46.01923,437,4.82E+05,9
46.0608967,439,4.83E+05,3
46.1025633,442,4.83E+05,3
46.14423,444,4.84E+05,6
46.1858967,446,4.85E+05,19
46.2275633,449,4.86E+05,9
46.26923,451,4.86E+05,15
46.3108967,453,4.87E+05,10
46.3525633,455,4.88E+05,19
46.39423,458,4.88E+05,25
46.4358967,460,4.89E+05,24
46.4775633,462,4.89E+05,63
46.51923,464,4.90E+05,32
46.5608967,465,4.90E+05,52
46.6025633,467,4.91E+05,47
46.64423,469,4.92E+05,21
46.6858967,470,4.92E+05,21
46.7275633,471,4.93E+05,18
46.76923,472,4.93E+05,58
46.8108967,473,4.93E+05,44
46.8525633,474,4.94E+05,71
46.89423,475,4.94E+05,76
46.9358967,475,4.95E+05,130
46.9775633,475,4.95E+05,116
47.01923,475,4.95E+05,153
47.0608967,475,4.96E+05,194
47.1025633,474,4.96E+05,356
47.14423,472,4.97E+05,628
47.1858967,470,4.97E+05,571
47.2275633,468,4.97E+05,651
47.26923,466,4.98E+05,581
47.3108967,463,4.98E+05,518
47.3525633,460,4.98E+05,634
47.39423,456,4.98E+05,776
47.4358967,453,4.99E+05,639
47.4775633,449,4.99E+05,351
47.51923,445,4.99E+05,219
47.5608967,441,5.00E+05,149
47.6025633,438,5.00E+05,99
47.64423,434,5.00E+05,61
47.6858967,430,5.00E+05,27
47.7275633,426,5.01E+05,10
47.76923,423,5.01E+05,6
47.8108967,419,5.01E+05,19
47.8525633,416,5.01E+05,1
47.89423,413,5.01E+05,8
47.9358967,410,5.02E+05,5
47.9775633,408,5.02E+05,8
48.01923,406,5.02E+05,9
48.0608967,404,5.02E+05,10
48.1025633,402,5.02E+05,16
48.14423,400,5.02E+05,27
48.1858967,398,5.03E+05,32
48.2275633,396,5.03E+05,47
48.26923,394,5.03E+05,56
48.3108967,392,5.03E+05,92
48.3525633,390,5.03E+05,103
48.39423,388,5.03E+05,132
48.4358967,386,5.03E+05,215
48.4775633,384,5.03E+05,236
48.51923,383,5.04E+05,262
48.5608967,381,5.04E+05,319
48.6025633,380,5.04E+05,274
48.64423,378,5.04E+05,204
48.6858967,377,5.04E+05,119
48.7275633,375,5.04E+05,78
48.76923,374,5.04E+05,170
48.8108967,373,5.04E+05,253
48.8525633,372,5.04E+05,272
48.89423,371,5.05E+05,283
48.9358967,370,5.05E+05,372
48.9775633,370,5.05E+05,300
49.01923,369,5.05E+05,1044
49.0608967,369,5.05E+05,602
49.1025633,368,5.05E+05,676
49.14423,368,5.06E+05,742
49.1858967,367,5.06E+05,582
49.2275633,367,5.06E+05,486
49.26923,366,5.06E+05,352
49.3108967,366,5.07E+05,229
49.3525633,366,5.07E+05,184
49.39423,365,5.07E+05,243
49.4358967,365,5.07E+05,140
49.4775633,365,5.08E+05,76
49.51923,365,5.08E+05,37
49.5608967,364,5.08E+05,35
49.6025633,364,5.08E+05,20
49.64423,364,5.09E+05,11
49.6858967,364,5.09E+05,9
49.7275633,363,5.09E+05,9
49.76923,363,5.09E+05,11
49.8108967,363,5.09E+05,6
49.8525633,362,5.09E+05,5
49.89423,362,5.10E+05,2
49.9358967,362,5.10E+05,12
49.9775633,361,5.10E+05,6
50.01923,361,5.10E+05,11
50.0608967,361,5.10E+05,21
50.1025633,360,5.10E+05,40
50.14423,360,5.09E+05,74
50.1858967,359,5.09E+05,91
50.2275633,359,5.09E+05,138
50.26923,359,5.09E+05,114
50.3108967,358,5.08E+05,225
50.3525633,358,5.08E+05,272
50.39423,357,5.07E+05,409
50.4358967,357,5.07E+05,447
50.4775633,356,5.07E+05,272
50.51923,356,5.06E+05,281
50.5608967,355,5.06E+05,297
50.6025633,355,5.05E+05,292
50.64423,355,5.05E+05,234
50.6858967,354,5.05E+05,159
50.7275633,354,5.04E+05,93
50.76923,353,5.04E+05,94
50.8108967,353,5.04E+05,203
50.8525633,352,5.03E+05,263
50.89423,352,5.03E+05,352
50.9358967,351,5.03E+05,422
50.9775633,351,5.03E+05,535
51.01923,351,5.03E+05,687
51.0608967,350,5.03E+05,485
51.1025633,350,5.03E+05,523
51.14423,349,5.03E+05,742
51.1858967,349,5.03E+05,988
51.2275633,348,5.03E+05,1276
51.26923,348,5.03E+05,1293
51.3108967,347,5.03E+05,748
51.3525633,347,5.03E+05,421
51.39423,346,5.04E+05,329
51.4358967,345,5.04E+05,201
51.4775633,345,5.04E+05,108
51.51923,344,5.04E+05,64
51.5608967,344,5.04E+05,54
51.6025633,343,5.04E+05,38
51.64423,343,5.04E+05,34
51.6858967,343,5.04E+05,14
51.7275633,342,5.04E+05,21
51.76923,342,5.04E+05,17
51.8108967,342,5.05E+05,23
51.8525633,341,5.05E+05,16
51.89423,341,5.05E+05,11
51.9358967,341,5.05E+05,8
51.9775633,341,5.05E+05,5
52.01923,341,5.05E+05,7
52.0608967,341,5.05E+05,7
52.1025633,341,5.05E+05,12
52.14423,342,5.05E+05,5
52.1858967,342,5.05E+05,7
52.2275633,342,5.05E+05,11
52.26923,343,5.05E+05,19
52.3108967,343,5.05E+05,36
52.3525633,344,5.05E+05,52
52.39423,344,5.05E+05,83
52.4358967,345,5.05E+05,218
52.4775633,346,5.05E+05,279
52.51923,346,5.05E+05,415
52.5608967,347,5.05E+05,405
52.6025633,347,5.05E+05,319
52.64423,348,5.05E+05,195
52.6858967,349,5.05E+05,124
52.7275633,349,5.05E+05,98
52.76923,350,5.05E+05,144
52.8108967,350,5.05E+05,219
52.8525633,350,5.05E+05,396
52.89423,351,5.05E+05,341
52.9358967,351,5.05E+05,548
52.9775633,351,5.05E+05,333
53.01923,351,5.06E+05,580
53.0608967,351,5.06E+05,617
53.1025633,350,5.06E+05,863
53.14423,350,5.06E+05,1020
53.1858967,349,5.06E+05,819
53.2275633,348,5.06E+05,847
53.26923,348,5.06E+05,921
53.3108967,347,5.06E+05,427
53.3525633,346,5.06E+05,258
53.39423,345,5.06E+05,195
53.4358967,344,5.06E+05,110
53.4775633,343,5.06E+05,81
53.51923,341,5.06E+05,54
53.5608967,340,5.07E+05,20
53.6025633,339,5.07E+05,11
53.64423,338,5.07E+05,11
53.6858967,337,5.07E+05,11
53.7275633,336,5.07E+05,9
53.76923,336,5.07E+05,11
53.8108967,335,5.07E+05,18
53.8525633,334,5.07E+05,37
53.89423,334,5.07E+05,35
53.9358967,333,5.07E+05,26
53.9775633,333,5.07E+05,21
54.01923,333,5.07E+05,2
54.0608967,333,5.07E+05,2
54.1025633,333,5.07E+05,2
54.14423,333,5.07E+05,11
54.1858967,333,5.07E+05,10
54.2275633,333,5.07E+05,8
54.26923,333,5.07E+05,9
54.3108967,333,5.07E+05,6
54.3525633,334,5.07E+05,11
54.39423,334,5.07E+05,6
54.4358967,334,5.07E+05,8
54.4775633,334,5.07E+05,21
54.51923,334,5.07E+05,17
54.5608967,334,5.07E+05,19
54.6025633,334,5.07E+05,25
54.64423,335,5.07E+05,41
54.6858967,335,5.07E+05,24
54.7275633,335,5.07E+05,15
54.76923,335,5.07E+05,30
54.8108967,335,5.07E+05,59
54.8525633,335,5.07E+05,85
54.89423,336,5.07E+05,90
54.9358967,336,5.07E+05,67
54.9775633,336,5.07E+05,38
55.01923,336,5.07E+05,140
55.0608967,337,5.07E+05,184
55.1025633,337,5.07E+05,533
55.14423,338,5.07E+05,831
55.1858967,338,5.08E+05,1645
55.2275633,339,5.08E+05,2044
55.26923,340,5.08E+05,2500
55.3108967,341,5.08E+05,1576
55.3525633,341,5.08E+05,877
55.39423,342,5.08E+05,576
55.4358967,343,5.08E+05,389
55.4775633,344,5.08E+05,121
55.51923,345,5.08E+05,62
55.5608967,346,5.08E+05,17
55.6025633,348,5.08E+05,10
55.64423,349,5.08E+05,15
55.6858967,350,5.08E+05,11
55.7275633,351,5.08E+05,7
55.76923,352,5.08E+05,6
55.8108967,353,5.08E+05,4
55.8525633,353,5.08E+05,9
55.89423,354,5.08E+05,1
55.9358967,355,5.09E+05,1
55.9775633,356,5.09E+05,1
56.01923,357,5.09E+05,2
56.0608967,357,5.09E+05,4
56.1025633,358,5.09E+05,8
56.14423,359,5.09E+05,2
56.1858967,359,5.09E+05,4
