time,births,population,reported_cases
44.01923,444,4.74E+05,2
44.0608967,438,4.74E+05,0
44.1025633,433,4.74E+05,5
44.14423,428,4.74E+05,6
44.1858967,424,4.74E+05,11
44.2275633,419,4.74E+05,9
44.26923,415,4.74E+05,22
44.3108967,411,4.74E+05,32
44.3525633,407,4.74E+05,18
44.39423,403,4.75E+05,23
44.4358967,400,4.75E+05,25
44.4775633,397,4.75E+05,26
44.51923,394,4.75E+05,28
44.5608967,391,4.75E+05,32
44.6025633,389,4.75E+05,23
44.64423,387,4.75E+05,36
44.6858967,385,4.75E+05,21
44.7275633,383,4.75E+05,30
44.76923,382,4.76E+05,43
44.8108967,381,4.76E+05,34
44.8525633,380,4.76E+05,97
44.89423,379,4.76E+05,107
44.9358967,378,4.76E+05,179
44.9775633,378,4.76E+05,295
45.01923,378,4.76E+05,376
45.0608967,379,4.77E+05,470
45.1025633,380,4.77E+05,934
45.14423,381,4.78E+05,1167
45.1858967,383,4.79E+05,1315
45.2275633,386,4.80E+05,1021
45.26923,388,4.80E+05,875
45.3108967,391,4.82E+05,526
45.3525633,394,4.83E+05,303
45.39423,398,4.84E+05,165
45.4358967,401,4.85E+05,107
45.4775633,405,4.86E+05,49
45.51923,409,4.88E+05,30
45.5608967,413,4.89E+05,19
45.6025633,417,4.90E+05,14
45.64423,420,4.92E+05,6
45.6858967,424,4.93E+05,6
45.7275633,427,4.94E+05,3
45.76923,431,4.95E+05,9
45.8108967,434,4.97E+05,3
45.8525633,437,4.98E+05,1
45.89423,439,4.99E+05,4
45.9358967,441,4.99E+05,2
45.9775633,443,5.00E+05,2
46.01923,444,5.01E+05,0
46.0608967,445,5.01E+05,3
46.1025633,447,5.02E+05,9
46.14423,448,5.02E+05,6
46.1858967,449,5.03E+05,6
46.2275633,450,5.03E+05,11
46.26923,451,5.04E+05,9
46.3108967,452,5.04E+05,10
46.3525633,453,5.05E+05,17
46.39423,454,5.05E+05,16
46.4358967,455,5.06E+05,32
46.4775633,456,5.06E+05,41
46.51923,457,5.06E+05,43
46.5608967,458,5.07E+05,34
46.6025633,459,5.07E+05,83
46.64423,460,5.08E+05,70
46.6858967,460,5.08E+05,37
46.7275633,461,5.08E+05,42
46.76923,461,5.09E+05,95
46.8108967,462,5.09E+05,128
46.8525633,462,5.09E+05,146
46.89423,462,5.10E+05,169
46.9358967,463,5.10E+05,198
46.9775633,463,5.10E+05,291
47.01923,463,5.10E+05,386
47.0608967,462,5.11E+05,356
47.1025633,461,5.11E+05,520
47.14423,460,5.11E+05,687
47.1858967,459,5.11E+05,571
47.2275633,457,5.12E+05,501
47.26923,455,5.12E+05,382
47.3108967,452,5.12E+05,320
47.3525633,450,5.12E+05,277
47.39423,447,5.12E+05,361
47.4358967,444,5.13E+05,414
47.4775633,441,5.13E+05,240
47.51923,438,5.13E+05,228
47.5608967,434,5.13E+05,167
47.6025633,431,5.14E+05,121
47.64423,428,5.14E+05,79
47.6858967,424,5.14E+05,37
47.7275633,421,5.14E+05,19
47.76923,418,5.14E+05,9
47.8108967,414,5.14E+05,7
47.8525633,411,5.14E+05,11
47.89423,409,5.14E+05,12
47.9358967,406,5.14E+05,6
47.9775633,403,5.14E+05,13
48.01923,401,5.14E+05,19
48.0608967,399,5.14E+05,21
48.1025633,397,5.14E+05,12
48.14423,395,5.14E+05,16
48.1858967,392,5.14E+05,19
48.2275633,390,5.14E+05,20
48.26923,388,5.14E+05,11
48.3108967,386,5.14E+05,21
48.3525633,384,5.14E+05,35
48.39423,382,5.14E+05,89
48.4358967,380,5.14E+05,75
48.4775633,377,5.14E+05,76
48.51923,375,5.14E+05,99
48.5608967,373,5.14E+05,161
48.6025633,371,5.14E+05,245
48.64423,370,5.14E+05,229
48.6858967,368,5.14E+05,150
48.7275633,366,5.14E+05,157
48.76923,364,5.14E+05,406
48.8108967,362,5.14E+05,600
48.8525633,361,5.14E+05,908
48.89423,359,5.14E+05,1164
48.9358967,357,5.14E+05,1573
48.9775633,356,5.14E+05,1600
49.01923,354,5.14E+05,1467
49.0608967,353,5.14E+05,714
49.1025633,352,5.14E+05,494
49.14423,350,5.14E+05,343
49.1858967,349,5.14E+05,253
49.2275633,347,5.14E+05,177
49.26923,346,5.14E+05,65
49.3108967,345,5.14E+05,90
49.3525633,344,5.14E+05,88
49.39423,342,5.14E+05,73
49.4358967,341,5.14E+05,59
49.4775633,340,5.14E+05,123
49.51923,339,5.14E+05,130
49.5608967,337,5.14E+05,81
49.6025633,336,5.15E+05,37
49.64423,335,5.15E+05,41
49.6858967,334,5.15E+05,15
49.7275633,333,5.15E+05,8
49.76923,332,5.15E+05,17
49.8108967,331,5.15E+05,24
49.8525633,331,5.15E+05,19
49.89423,330,5.15E+05,15
49.9358967,329,5.15E+05,43
49.9775633,328,5.15E+05,54
50.01923,328,5.15E+05,69
50.0608967,327,5.15E+05,44
50.1025633,326,5.15E+05,49
50.14423,326,5.15E+05,95
50.1858967,325,5.15E+05,117
50.2275633,325,5.14E+05,212
50.26923,324,5.14E+05,177
50.3108967,324,5.14E+05,219
50.3525633,323,5.14E+05,124
50.39423,323,5.13E+05,213
50.4358967,323,5.13E+05,272
50.4775633,322,5.13E+05,200
50.51923,322,5.12E+05,147
50.5608967,321,5.12E+05,234
50.6025633,321,5.12E+05,276
50.64423,321,5.11E+05,202
50.6858967,320,5.11E+05,122
50.7275633,320,5.11E+05,89
50.76923,320,5.11E+05,97
50.8108967,319,5.10E+05,233
50.8525633,319,5.10E+05,349
50.89423,319,5.10E+05,451
50.9358967,318,5.10E+05,537
50.9775633,318,5.10E+05,599
51.01923,317,5.10E+05,986
51.0608967,317,5.10E+05,639
51.1025633,317,5.10E+05,652
51.14423,316,5.10E+05,639
51.1858967,316,5.10E+05,553
51.2275633,315,5.10E+05,669
51.26923,315,5.10E+05,679
51.3108967,315,5.10E+05,419
51.3525633,314,5.10E+05,420
51.39423,314,5.10E+05,444
51.4358967,313,5.10E+05,345
51.4775633,313,5.10E+05,294
51.51923,313,5.10E+05,396
51.5608967,312,5.11E+05,266
51.6025633,312,5.11E+05,170
51.64423,312,5.11E+05,85
51.6858967,311,5.11E+05,27
51.7275633,311,5.11E+05,13
51.76923,311,5.11E+05,6
51.8108967,311,5.11E+05,5
51.8525633,310,5.11E+05,9
51.89423,310,5.11E+05,6
51.9358967,310,5.11E+05,2
51.9775633,310,5.11E+05,6
52.01923,310,5.11E+05,7
52.0608967,310,5.11E+05,17
52.1025633,310,5.11E+05,26
52.14423,310,5.11E+05,20
52.1858967,310,5.11E+05,23
52.2275633,310,5.11E+05,52
52.26923,311,5.11E+05,128
52.3108967,311,5.10E+05,222
52.3525633,311,5.10E+05,216
52.39423,311,5.10E+05,412
52.4358967,311,5.10E+05,458
52.4775633,311,5.10E+05,463
52.51923,311,5.10E+05,420
52.5608967,312,5.09E+05,447
52.6025633,312,5.09E+05,461
52.64423,312,5.09E+05,269
52.6858967,312,5.09E+05,133
52.7275633,312,5.09E+05,60
52.76923,312,5.09E+05,70
52.8108967,312,5.08E+05,69
52.8525633,312,5.08E+05,97
52.89423,312,5.08E+05,180
52.9358967,313,5.08E+05,220
52.9775633,313,5.08E+05,249
53.01923,313,5.08E+05,292
53.0608967,312,5.07E+05,287
53.1025633,312,5.07E+05,614
53.14423,312,5.07E+05,673
53.1858967,312,5.07E+05,655
53.2275633,312,5.07E+05,847
53.26923,311,5.06E+05,772
53.3108967,311,5.06E+05,557
53.3525633,310,5.06E+05,347
53.39423,310,5.06E+05,341
53.4358967,310,5.06E+05,259
53.4775633,309,5.06E+05,278
53.51923,309,5.05E+05,190
53.5608967,308,5.05E+05,96
53.6025633,308,5.05E+05,68
53.64423,307,5.05E+05,19
53.6858967,307,5.05E+05,15
53.7275633,306,5.04E+05,6
53.76923,306,5.04E+05,6
53.8108967,305,5.04E+05,3
53.8525633,305,5.04E+05,4
53.89423,304,5.04E+05,13
53.9358967,304,5.04E+05,4
53.9775633,304,5.03E+05,1
54.01923,303,5.03E+05,11
54.0608967,303,5.03E+05,4
54.1025633,303,5.03E+05,7
54.14423,303,5.03E+05,13
54.1858967,302,5.03E+05,9
54.2275633,302,5.03E+05,9
54.26923,302,5.03E+05,13
54.3108967,302,5.03E+05,15
54.3525633,301,5.02E+05,6
54.39423,301,5.02E+05,11
54.4358967,301,5.02E+05,12
54.4775633,301,5.02E+05,27
54.51923,301,5.02E+05,13
54.5608967,300,5.02E+05,43
54.6025633,300,5.02E+05,35
54.64423,300,5.02E+05,25
54.6858967,300,5.02E+05,19
54.7275633,300,5.02E+05,18
54.76923,299,5.02E+05,22
54.8108967,299,5.02E+05,72
54.8525633,299,5.01E+05,89
54.89423,299,5.01E+05,67
54.9358967,299,5.01E+05,71
54.9775633,299,5.01E+05,166
55.01923,299,5.01E+05,199
55.0608967,299,5.01E+05,157
55.1025633,299,5.01E+05,340
55.14423,300,5.01E+05,642
55.1858967,300,5.01E+05,1132
55.2275633,300,5.01E+05,1494
55.26923,300,5.00E+05,1662
55.3108967,301,5.00E+05,1283
55.3525633,301,5.00E+05,724
55.39423,302,5.00E+05,633
55.4358967,302,5.00E+05,648
55.4775633,303,5.00E+05,371
55.51923,303,5.00E+05,212
55.5608967,304,5.00E+05,139
55.6025633,305,5.00E+05,71
55.64423,305,5.00E+05,26
55.6858967,306,4.99E+05,15
55.7275633,307,4.99E+05,3
55.76923,307,4.99E+05,2
55.8108967,308,4.99E+05,3
55.8525633,309,4.99E+05,4
55.89423,309,4.99E+05,12
55.9358967,310,4.99E+05,19
55.9775633,311,4.99E+05,20
56.01923,311,4.99E+05,19
56.0608967,312,4.99E+05,6
56.1025633,313,4.99E+05,6
56.14423,314,4.99E+05,17
56.1858967,315,4.99E+05,1
56.2275633,316,4.99E+05,4
56.26923,317,4.99E+05,4
56.3108967,318,4.99E+05,25
56.3525633,319,4.99E+05,1
56.39423,321,4.99E+05,4
56.4358967,322,4.99E+05,3
56.4775633,323,4.99E+05,2
56.51923,324,4.99E+05,6
56.5608967,325,4.99E+05,4
56.6025633,326,4.99E+05,5
56.64423,327,4.99E+05,4
56.6858967,328,4.99E+05,3
56.7275633,329,4.99E+05,5
56.76923,330,4.99E+05,11
56.8108967,331,4.99E+05,5
56.8525633,332,4.99E+05,9
56.89423,332,4.99E+05,5
56.9358967,333,4.99E+05,18
56.9775633,333,4.99E+05,17
57.01923,333,4.99E+05,26
57.0608967,334,4.99E+05,27
57.1025633,334,4.99E+05,44
57.14423,334,4.99E+05,134
57.1858967,334,4.99E+05,243
57.2275633,334,4.99E+05,326
57.26923,334,4.99E+05,400
57.3108967,334,4.99E+05,494
57.3525633,335,4.99E+05,568
57.39423,335,4.99E+05,823
57.4358967,335,4.99E+05,1314
57.4775633,335,4.99E+05,1712
57.51923,335,4.99E+05,1018
57.5608967,335,4.99E+05,752
57.6025633,335,4.99E+05,339
57.64423,335,4.99E+05,186
57.6858967,335,4.99E+05,50
57.7275633,335,4.99E+05,9
57.76923,335,4.99E+05,11
57.8108967,335,4.99E+05,18
57.8525633,336,4.99E+05,4
57.89423,336,4.99E+05,0
57.9358967,336,4.99E+05,0
57.9775633,336,4.99E+05,2
58.01923,336,4.99E+05,2
58.0608967,336,4.99E+05,2
58.1025633,336,4.99E+05,4
58.14423,337,4.99E+05,4
58.1858967,337,4.99E+05,0
58.2275633,337,4.99E+05,2
58.26923,337,4.99E+05,4
58.3108967,337,4.99E+05,12
58.3525633,338,4.99E+05,4
58.39423,338,4.99E+05,2
58.4358967,338,4.99E+05,17
58.4775633,338,4.99E+05,27
58.51923,338,4.99E+05,25
58.5608967,339,4.99E+05,34
58.6025633,339,4.99E+05,16
58.64423,339,4.99E+05,37
58.6858967,339,4.99E+05,20
58.7275633,339,4.99E+05,10
58.76923,340,4.99E+05,12
58.8108967,340,4.99E+05,35
58.8525633,340,4.99E+05,54
58.89423,340,4.99E+05,83
58.9358967,340,4.99E+05,110
58.9775633,341,4.99E+05,157
59.01923,341,4.99E+05,452
59.0608967,341,4.99E+05,456
59.1025633,341,4.99E+05,667
59.14423,341,4.99E+05,821
59.1858967,342,4.99E+05,715
59.2275633,342,4.99E+05,677
59.26923,342,4.99E+05,555
59.3108967,342,4.99E+05,331
59.3525633,342,5.00E+05,378
59.39423,342,5.00E+05,554
59.4358967,343,5.00E+05,564
59.4775633,343,5.00E+05,529
59.51923,343,5.00E+05,411
59.5608967,343,5.00E+05,298
59.6025633,343,5.00E+05,121
59.64423,343,5.00E+05,61
59.6858967,344,5.00E+05,22
59.7275633,344,5.00E+05,5
59.76923,344,5.00E+05,39
59.8108967,344,5.00E+05,24
59.8525633,345,5.00E+05,27
59.89423,345,5.00E+05,30
59.9358967,345,5.00E+05,16
59.9775633,345,5.00E+05,27
60.01923,346,5.00E+05,13
60.0608967,346,5.00E+05,8
60.1025633,347,4.99E+05,3
60.14423,347,4.99E+05,21
60.1858967,348,4.99E+05,14
60.2275633,349,4.99E+05,18
60.26923,349,4.99E+05,2
60.3108967,350,4.98E+05,0
60.3525633,351,4.98E+05,6
60.39423,352,4.98E+05,10
60.4358967,353,4.98E+05,7
60.4775633,354,4.97E+05,21
60.51923,355,4.97E+05,28
60.5608967,356,4.97E+05,49
60.6025633,357,4.96E+05,45
60.64423,358,4.96E+05,54
60.6858967,358,4.96E+05,35
60.7275633,359,4.96E+05,27
60.76923,360,4.95E+05,30
60.8108967,361,4.95E+05,14
60.8525633,362,4.95E+05,14
60.89423,363,4.95E+05,27
60.9358967,364,4.95E+05,76
60.9775633,364,4.95E+05,103
61.01923,365,4.95E+05,195
61.0608967,366,4.95E+05,237
61.1025633,367,4.95E+05,449
61.14423,367,4.95E+05,748
61.1858967,368,4.95E+05,780
61.2275633,369,4.95E+05,886
61.26923,370,4.95E+05,975
61.3108967,370,4.95E+05,729
61.3525633,371,4.95E+05,633
61.39423,372,4.95E+05,339
61.4358967,373,4.95E+05,658
61.4775633,373,4.95E+05,509
61.51923,374,4.95E+05,335
61.5608967,375,4.95E+05,191
61.6025633,375,4.95E+05,107
61.64423,376,4.95E+05,48
61.6858967,376,4.95E+05,24
61.7275633,377,4.95E+05,6
61.76923,377,4.95E+05,11
61.8108967,378,4.95E+05,18
61.8525633,378,4.95E+05,15
61.89423,378,4.95E+05,13
61.9358967,379,4.95E+05,25
61.9775633,379,4.95E+05,19
62.01923,379,4.95E+05,11
62.0608967,379,4.95E+05,8
62.1025633,378,4.95E+05,3
62.14423,378,4.95E+05,4
62.1858967,378,4.95E+05,6
62.2275633,377,4.95E+05,4
62.26923,377,4.95E+05,0
62.3108967,376,4.95E+05,1
62.3525633,376,4.95E+05,12
62.39423,375,4.95E+05,10
62.4358967,374,4.95E+05,4
62.4775633,374,4.95E+05,25
62.51923,373,4.95E+05,6
62.5608967,373,4.95E+05,9
62.6025633,372,4.95E+05,9
62.64423,371,4.95E+05,21
62.6858967,371,4.95E+05,22
62.7275633,370,4.95E+05,21
62.76923,370,4.95E+05,73
62.8108967,369,4.95E+05,200
62.8525633,369,4.95E+05,200
62.89423,369,4.95E+05,276
62.9358967,369,4.95E+05,506
62.9775633,368,4.95E+05,684
63.01923,368,4.95E+05,1165
63.0608967,368,4.95E+05,674
63.1025633,368,4.95E+05,820
63.14423,368,4.95E+05,979
63.1858967,368,4.95E+05,795
63.2275633,369,4.95E+05,644
63.26923,369,4.95E+05,380
63.3108967,369,4.95E+05,280
63.3525633,369,4.95E+05,249
63.39423,369,4.94E+05,195
63.4358967,369,4.94E+05,172
63.4775633,369,4.94E+05,198
63.51923,369,4.94E+05,169
63.5608967,369,4.94E+05,167
63.6025633,370,4.93E+05,125
63.64423,370,4.93E+05,56
63.6858967,370,4.93E+05,26
63.7275633,370,4.93E+05,28
63.76923,371,4.92E+05,86
63.8108967,371,4.92E+05,50
63.8525633,371,4.92E+05,81
63.89423,372,4.92E+05,61
63.9358967,372,4.91E+05,68
63.9775633,373,4.91E+05,36
