time,births,population,reported_cases
44.01923,16,19123,0
44.0608967,16,19070,0
44.1025633,16,19023,0
44.14423,16,18981,0
44.1858967,16,18945,0
44.2275633,16,18914,0
44.26923,16,18889,0
44.3108967,16,18868,0
44.3525633,16,18851,0
44.39423,16,18839,0
44.4358967,16,18830,0
44.4775633,16,18825,3
44.51923,16,18823,0
44.5608967,16,18824,0
44.6025633,16,18828,3
44.64423,15,18835,0
44.6858967,15,18843,0
44.7275633,15,18854,0
44.76923,15,18866,0
44.8108967,15,18879,0
44.8525633,15,18894,1
44.89423,15,18909,4
44.9358967,15,18925,0
44.9775633,15,18941,0
45.01923,15,18957,15
45.0608967,15,18973,0
45.1025633,15,18989,4
45.14423,15,19004,0
45.1858967,15,19018,0
45.2275633,15,19031,5
45.26923,15,19044,17
45.3108967,15,19056,24
45.3525633,15,19066,69
45.39423,15,19075,62
45.4358967,15,19083,36
45.4775633,15,19090,1
45.51923,15,19094,0
45.5608967,16,19097,0
45.6025633,16,19099,4
45.64423,16,19098,0
45.6858967,16,19095,0
45.7275633,16,19089,0
45.76923,16,19082,0
45.8108967,16,19071,0
45.8525633,16,19058,0
45.89423,16,19043,0
45.9358967,16,19024,3
45.9775633,16,19003,0
46.01923,16,18978,0
46.0608967,16,18951,0
46.1025633,16,18920,0
46.14423,16,18887,0
46.1858967,16,18852,0
46.2275633,17,18815,0
46.26923,17,18776,0
46.3108967,17,18736,0
46.3525633,17,18695,0
46.39423,17,18654,5
46.4358967,17,18612,0
46.4775633,17,18569,0
46.51923,17,18527,9
46.5608967,17,18486,4
46.6025633,17,18445,1
46.64423,17,18405,1
46.6858967,17,18367,1
46.7275633,17,18330,0
46.76923,17,18295,0
46.8108967,17,18262,0
46.8525633,17,18232,0
46.89423,17,18205,0
46.9358967,17,18181,0
46.9775633,17,18160,0
47.01923,17,18143,0
47.0608967,17,18129,0
47.1025633,17,18119,7
47.14423,17,18113,7
47.1858967,17,18110,3
47.2275633,17,18109,4
47.26923,17,18112,0
47.3108967,17,18117,1
47.3525633,17,18124,0
47.39423,17,18134,0
47.4358967,17,18145,2
47.4775633,17,18158,21
47.51923,17,18173,18
47.5608967,17,18189,90
47.6025633,17,18206,29
47.64423,17,18225,20
47.6858967,16,18244,2
47.7275633,16,18263,4
47.76923,16,18283,0
47.8108967,16,18303,19
47.8525633,16,18323,26
47.89423,16,18343,2
47.9358967,16,18362,39
47.9775633,16,18380,5
48.01923,16,18398,0
48.0608967,16,18415,13
48.1025633,16,18431,0
48.14423,16,18446,0
48.1858967,16,18460,0
48.2275633,16,18473,0
48.26923,16,18486,0
48.3108967,16,18497,0
48.3525633,16,18509,0
48.39423,16,18519,0
48.4358967,16,18529,0
48.4775633,16,18538,14
48.51923,16,18547,13
48.5608967,16,18555,8
48.6025633,16,18563,1
48.64423,16,18570,5
48.6858967,17,18577,0
48.7275633,17,18584,0
48.76923,17,18590,0
48.8108967,17,18596,0
48.8525633,17,18601,0
48.89423,17,18607,0
48.9358967,17,18612,0
48.9775633,16,18617,0
49.01923,16,18622,2
49.0608967,16,18627,2
49.1025633,16,18632,1
49.14423,16,18637,0
49.1858967,16,18641,1
49.2275633,16,18646,6
49.26923,16,18650,6
49.3108967,16,18654,5
49.3525633,16,18658,5
49.39423,16,18661,11
49.4358967,16,18665,5
49.4775633,15,18668,6
49.51923,15,18671,4
49.5608967,15,18673,15
49.6025633,15,18676,0
49.64423,15,18678,3
49.6858967,15,18679,0
49.7275633,15,18681,0
49.76923,15,18682,0
49.8108967,14,18682,0
49.8525633,14,18683,0
49.89423,14,18682,0
49.9358967,14,18682,0
49.9775633,14,18681,0
50.01923,14,18679,0
50.0608967,14,18677,0
50.1025633,14,18675,0
50.14423,13,18672,0
50.1858967,13,18670,0
50.2275633,13,18666,0
50.26923,13,18663,0
50.3108967,13,18659,0
50.3525633,13,18655,0
50.39423,13,18652,0
50.4358967,13,18648,0
50.4775633,13,18644,2
50.51923,13,18640,0
50.5608967,13,18636,0
50.6025633,13,18632,1
50.64423,13,18629,1
50.6858967,13,18625,0
50.7275633,13,18622,0
50.76923,13,18619,0
50.8108967,13,18617,3
50.8525633,13,18614,5
50.89423,13,18613,12
50.9358967,13,18611,12
50.9775633,13,18610,6
51.01923,13,18610,21
51.0608967,13,18610,65
51.1025633,13,18611,80
51.14423,13,18612,114
51.1858967,13,18613,95
51.2275633,13,18615,68
51.26923,13,18617,45
51.3108967,13,18619,6
51.3525633,13,18621,0
51.39423,13,18623,1
51.4358967,13,18626,1
51.4775633,13,18628,2
51.51923,13,18630,4
51.5608967,13,18632,4
51.6025633,13,18634,4
51.64423,14,18636,0
51.6858967,14,18637,2
51.7275633,14,18638,9
51.76923,14,18638,2
51.8108967,14,18638,0
51.8525633,14,18637,0
51.89423,14,18636,0
51.9358967,14,18634,0
51.9775633,14,18632,0
52.01923,14,18628,0
52.0608967,14,18624,0
52.1025633,14,18619,1
52.14423,14,18614,0
52.1858967,14,18608,0
52.2275633,14,18601,0
52.26923,14,18594,0
52.3108967,14,18587,0
52.3525633,14,18579,0
52.39423,14,18571,0
52.43589670000001,13,18562,0
52.47756329999999,13,18554,0
52.51923000000001,13,18545,0
52.56089670000001,13,18537,0
52.60256329999999,13,18528,2
52.64423000000001,13,18520,5
52.68589670000001,13,18511,0
52.72756329999999,13,18503,4
52.76923000000001,13,18496,37
52.81089670000001,13,18488,38
52.85256329999999,13,18481,24
52.89423000000001,13,18474,18
52.93589670000001,13,18468,2
52.97756329999999,13,18463,0
53.01923000000001,13,18458,9
53.06089670000001,13,18454,9
53.10256329999999,13,18450,16
53.14423000000001,13,18447,29
53.18589670000001,13,18445,32
53.22756329999999,13,18443,19
53.26923000000001,13,18441,32
53.31089670000001,13,18440,16
53.35256329999999,13,18440,10
53.39423000000001,13,18440,9
53.43589670000001,13,18440,3
53.47756329999999,13,18440,8
53.51923000000001,13,18441,15
53.56089670000001,13,18442,16
53.60256329999999,13,18444,3
53.64423000000001,13,18445,1
53.68589670000001,13,18447,1
53.72756329999999,13,18448,0
53.76923000000001,13,18450,0
53.81089670000001,13,18452,0
53.85256329999999,13,18454,0
53.89423000000001,13,18456,0
53.93589670000001,13,18457,0
53.97756329999999,13,18459,0
54.01923000000001,13,18461,0
54.06089670000001,13,18462,0
54.10256329999999,13,18463,0
54.14423000000001,13,18464,0
54.18589670000001,13,18466,0
54.22756329999999,13,18467,0
54.26923000000001,13,18467,0
54.31089670000001,13,18468,0
54.35256329999999,13,18469,0
54.39423000000001,13,18470,0
54.43589670000001,13,18471,0
54.47756329999999,13,18472,0
54.51923000000001,13,18472,0
54.56089670000001,13,18473,0
54.60256329999999,13,18474,0
54.64423000000001,13,18475,1
54.68589670000001,13,18477,0
54.72756329999999,14,18478,0
54.76923000000001,14,18479,0
54.81089670000001,14,18481,0
54.85256329999999,14,18482,0
54.89423000000001,14,18484,0
54.93589670000001,14,18486,0
54.97756329999999,14,18489,0
55.01923000000001,14,18491,0
55.06089670000001,14,18494,0
55.10256329999999,14,18497,1
55.14423000000001,14,18500,1
55.18589670000001,14,18503,1
55.22756329999999,14,18507,0
55.26923000000001,14,18510,0
55.31089670000001,14,18514,13
55.35256329999999,14,18517,53
55.39423000000001,14,18521,48
55.43589670000001,14,18525,84
55.47756329999999,15,18529,27
55.51923000000001,15,18533,24
55.56089670000001,15,18536,43
55.60256329999999,15,18540,1
55.64423000000001,15,18544,1
55.68589670000001,15,18547,34
55.72756329999999,15,18551,0
55.76923000000001,15,18554,2
55.81089670000001,15,18558,0
55.85256329999999,15,18561,0
55.89423000000001,15,18564,2
55.93589670000001,15,18566,0
55.97756329999999,15,18569,0
56.01923000000001,15,18571,0
56.06089670000001,15,18573,4
56.10256329999999,15,18575,7
56.14423000000001,15,18576,10
56.18589670000001,15,18578,3
56.22756329999999,15,18579,0
56.26923000000001,15,18580,0
56.31089670000001,15,18581,0
56.35256329999999,15,18582,6
56.39423000000001,15,18582,0
56.43589670000001,15,18583,6
56.47756329999999,15,18583,2
56.51923000000001,15,18584,0
56.56089670000001,15,18584,0
56.60256329999999,15,18584,0
56.64423000000001,15,18585,0
56.68589670000001,15,18585,0
56.72756329999999,15,18586,0
56.76923000000001,15,18586,4
56.81089670000001,15,18587,0
56.85256329999999,15,18587,0
56.89423000000001,15,18588,0
56.93589670000001,15,18589,0
56.97756329999999,15,18589,0
57.01923000000001,15,18591,0
57.06089670000001,15,18592,0
57.10256329999999,14,18593,4
57.14423000000001,14,18594,1
57.18589670000001,14,18596,0
57.22756329999999,14,18598,0
57.26923000000001,14,18599,0
57.31089670000001,14,18601,0
57.35256329999999,14,18603,0
57.39423000000001,14,18604,1
57.43589670000001,14,18606,0
57.47756329999999,14,18608,2
57.51923000000001,14,18610,6
57.56089670000001,14,18611,104
57.60256329999999,14,18613,12
57.64423000000001,14,18614,8
57.68589670000001,14,18615,17
57.72756329999999,14,18617,3
57.76923000000001,14,18618,0
57.81089670000001,14,18619,0
57.85256329999999,14,18619,1
57.89423000000001,14,18620,5
57.93589670000001,14,18620,4
57.97756329999999,14,18620,5
58.01923000000001,14,18620,42
58.06089670000001,14,18619,2
58.10256329999999,14,18619,0
58.14423000000001,14,18618,1
58.18589670000001,14,18617,0
58.22756329999999,14,18616,0
58.26923000000001,14,18615,1
58.31089670000001,14,18613,0
58.35256329999999,14,18612,1
58.39423000000001,14,18611,0
58.43589670000001,14,18609,18
58.47756329999999,14,18608,13
58.51923000000001,14,18607,57
58.56089670000001,14,18606,12
58.60256329999999,14,18605,3
58.64423000000001,14,18604,0
58.68589670000001,14,18604,0
58.72756329999999,14,18604,1
58.76923000000001,14,18604,0
58.81089670000001,14,18604,0
58.85256329999999,14,18605,0
58.89423000000001,14,18606,0
58.93589670000001,14,18607,0
58.97756329999999,14,18609,0
59.01923000000001,14,18611,0
59.06089670000001,14,18614,0
59.10256329999999,14,18617,1
59.14423000000001,14,18621,1
59.18589670000001,14,18625,1
59.22756329999999,14,18629,1
59.26923000000001,14,18634,0
59.31089670000001,14,18640,2
59.35256329999999,14,18646,0
59.39423000000001,14,18652,0
59.43589670000001,14,18659,4
59.47756329999999,14,18667,7
59.51923000000001,14,18675,0
59.56089670000001,14,18683,0
59.60256329999999,14,18692,0
59.64423000000001,15,18701,0
59.68589670000001,15,18711,1
59.72756329999999,15,18721,0
59.76923000000001,15,18732,0
59.81089670000001,15,18743,0
59.85256329999999,15,18755,0
59.89423000000001,15,18767,0
59.93589670000001,15,18780,0
59.97756329999999,15,18793,0
60.01923000000001,15,18806,0
60.06089670000001,15,18820,0
60.10256329999999,15,18835,0
60.14423000000001,16,18850,0
60.18589670000001,16,18865,0
60.22756329999999,16,18881,0
60.26923000000001,16,18897,0
60.31089670000001,16,18913,0
60.35256329999999,16,18929,1
60.39423000000001,16,18945,0
60.43589670000001,16,18962,0
60.47756329999999,16,18979,0
60.51923000000001,16,18995,0
60.56089670000001,16,19012,0
60.60256329999999,16,19029,0
60.64423000000001,16,19046,0
60.68589670000001,16,19062,0
60.72756329999999,16,19079,0
60.76923000000001,16,19095,0
60.81089670000001,16,19111,0
60.85256329999999,16,19127,0
60.89423000000001,16,19142,0
60.93589670000001,16,19157,0
60.97756329999999,16,19172,0
61.01923000000001,16,19187,0
61.06089670000001,16,19201,0
61.10256329999999,16,19214,0
61.14423000000001,16,19227,0
61.18589670000001,16,19240,10
61.22756329999999,16,19252,47
61.26923000000001,16,19264,127
61.31089670000001,15,19276,123
61.35256329999999,15,19287,20
61.39423000000001,15,19297,26
61.43589670000001,15,19307,41
61.47756329999999,15,19317,30
61.51923000000001,15,19326,13
61.56089670000001,15,19335,0
61.60256329999999,14,19343,4
61.64423000000001,14,19351,0
61.68589670000001,14,19359,0
61.72756329999999,14,19366,1
61.76923000000001,14,19372,0
61.81089670000001,14,19378,0
61.85256329999999,14,19384,0
61.89423000000001,14,19389,0
61.93589670000001,13,19394,2
61.97756329999999,13,19398,0
62.01923000000001,13,19402,0
62.06089670000001,13,19405,0
62.10256329999999,13,19408,0
62.14423000000001,13,19410,0
62.18589670000001,13,19412,0
62.22756329999999,13,19414,0
62.26923000000001,13,19415,0
62.31089670000001,13,19416,0
62.35256329999999,13,19417,0
62.39423000000001,13,19417,0
62.43589670000001,13,19418,0
62.47756329999999,14,19417,0
62.51923000000001,14,19417,0
62.56089670000001,14,19416,0
62.60256329999999,14,19415,1
62.64423000000001,14,19414,0
62.68589670000001,14,19413,0
62.72756329999999,14,19412,0
62.76923000000001,14,19410,0
62.81089670000001,14,19408,0
62.85256329999999,14,19407,0
62.89423000000001,15,19405,0
62.93589670000001,15,19403,0
62.97756329999999,15,19401,4
63.01923000000001,15,19399,0
63.06089670000001,15,19397,0
63.10256329999999,15,19395,1
63.14423000000001,15,19393,0
63.18589670000001,15,19392,0
63.22756329999999,15,19390,0
63.26923000000001,15,19388,0
63.31089670000001,15,19387,0
63.35256329999999,15,19385,0
63.39423000000001,16,19384,0
63.43589670000001,16,19383,0
63.47756329999999,16,19382,0
63.51923000000001,16,19382,0
63.56089670000001,15,19382,0
63.60256329999999,15,19382,0
63.64423000000001,15,19382,10
63.68589670000001,15,19383,5
63.72756329999999,15,19384,0
63.76923000000001,15,19385,13
63.81089670000001,15,19387,0
63.85256329999999,14,19389,1
63.89423000000001,14,19391,0
63.93589670000001,14,19394,3
63.97756329999999,14,19398,3
