time,births,population,reported_cases
44.01923,6,7932,0
44.0608967,6,7936,0
44.1025633,6,7941,0
44.14423,6,7948,0
44.1858967,6,7956,0
44.2275633,6,7966,0
44.26923,6,7977,0
44.3108967,6,7990,0
44.3525633,6,8003,0
44.39423,6,8017,0
44.4358967,6,8033,0
44.4775633,6,8049,0
44.51923,6,8066,0
44.5608967,6,8083,0
44.6025633,6,8101,0
44.64423,6,8119,1
44.6858967,6,8137,0
44.7275633,6,8156,0
44.76923,6,8175,0
44.8108967,6,8193,3
44.8525633,6,8212,59
44.89423,6,8230,69
44.9358967,6,8248,41
44.9775633,6,8266,7
45.01923,6,8283,10
45.0608967,6,8299,0
45.1025633,6,8315,1
45.14423,6,8330,0
45.1858967,6,8345,0
45.2275633,6,8358,0
45.26923,6,8371,0
45.3108967,6,8383,0
45.3525633,6,8395,0
45.39423,6,8405,0
45.4358967,6,8415,0
45.4775633,6,8423,0
45.51923,6,8431,0
45.5608967,6,8438,0
45.6025633,6,8443,0
45.64423,6,8448,0
45.6858967,6,8451,0
45.7275633,6,8454,0
45.76923,6,8455,0
45.8108967,6,8455,0
45.8525633,6,8454,0
45.89423,6,8451,0
45.9358967,6,8447,0
45.9775633,6,8442,0
46.01923,6,8436,0
46.0608967,6,8428,0
46.1025633,6,8419,0
46.14423,6,8409,0
46.1858967,6,8399,0
46.2275633,6,8387,0
46.26923,6,8375,0
46.3108967,6,8362,0
46.3525633,6,8349,0
46.39423,6,8336,0
46.4358967,6,8323,0
46.4775633,6,8310,0
46.51923,6,8298,0
46.5608967,6,8285,0
46.6025633,6,8273,0
46.64423,6,8262,0
46.6858967,6,8252,0
46.7275633,6,8243,0
46.76923,7,8234,0
46.8108967,7,8227,0
46.8525633,7,8222,0
46.89423,7,8218,0
46.9358967,7,8215,0
46.9775633,7,8215,0
47.01923,7,8216,0
47.0608967,7,8219,0
47.1025633,7,8224,0
47.14423,7,8231,0
47.1858967,7,8239,0
47.2275633,7,8249,0
47.26923,7,8260,0
47.3108967,7,8273,0
47.3525633,7,8286,0
47.39423,7,8301,0
47.4358967,7,8316,0
47.4775633,7,8331,0
47.51923,7,8348,0
47.5608967,7,8364,0
47.6025633,7,8381,8
47.64423,7,8399,4
47.6858967,7,8416,0
47.7275633,7,8433,0
47.76923,7,8450,1
47.8108967,7,8466,14
47.8525633,7,8482,18
47.89423,7,8497,52
47.9358967,7,8512,14
47.9775633,7,8525,0
48.01923,7,8538,0
48.0608967,7,8549,0
48.1025633,7,8560,0
48.14423,7,8569,0
48.1858967,7,8577,0
48.2275633,7,8585,0
48.26923,7,8591,0
48.3108967,7,8597,0
48.3525633,7,8602,0
48.39423,7,8606,0
48.4358967,7,8609,0
48.4775633,6,8611,0
48.51923,6,8613,0
48.5608967,6,8613,0
48.6025633,6,8614,0
48.64423,6,8613,0
48.6858967,6,8612,0
48.7275633,6,8610,0
48.76923,6,8608,0
48.8108967,6,8605,0
48.8525633,6,8602,0
48.89423,6,8598,0
48.9358967,6,8594,0
48.9775633,6,8590,0
49.01923,6,8585,0
49.0608967,6,8579,0
49.1025633,6,8574,0
49.14423,6,8568,0
49.1858967,6,8562,0
49.2275633,6,8557,0
49.26923,6,8551,0
49.3108967,6,8545,2
49.3525633,6,8540,3
49.39423,6,8534,11
49.4358967,6,8530,3
49.4775633,6,8525,0
49.51923,6,8521,0
49.5608967,6,8518,0
49.6025633,6,8515,0
49.64423,6,8513,0
49.6858967,6,8511,0
49.7275633,6,8511,0
49.76923,6,8511,0
49.8108967,6,8513,0
49.8525633,6,8515,0
49.89423,7,8519,0
49.9358967,7,8524,0
49.9775633,7,8530,0
50.01923,7,8538,0
50.0608967,7,8547,0
50.1025633,7,8557,0
50.14423,7,8568,0
50.1858967,7,8580,0
50.2275633,7,8594,0
50.26923,7,8608,0
50.3108967,7,8623,0
50.3525633,7,8639,0
50.39423,7,8655,0
50.4358967,7,8672,0
50.4775633,7,8690,0
50.51923,7,8707,0
50.5608967,7,8725,0
50.6025633,7,8743,1
50.64423,7,8761,0
50.6858967,7,8779,0
50.7275633,7,8797,0
50.76923,7,8815,0
50.8108967,7,8832,0
50.8525633,7,8849,0
50.89423,7,8865,0
50.9358967,7,8881,1
50.9775633,7,8896,2
51.01923,7,8910,0
51.0608967,7,8924,4
51.1025633,7,8937,14
51.14423,7,8948,0
51.1858967,7,8960,3
51.2275633,7,8970,5
51.26923,7,8979,0
51.3108967,7,8988,0
51.3525633,7,8997,5
51.39423,7,9004,0
51.4358967,7,9011,0
51.4775633,7,9018,0
51.51923,7,9024,0
51.5608967,7,9029,0
51.6025633,7,9034,0
51.64423,7,9038,0
51.6858967,7,9042,0
51.7275633,7,9045,0
51.76923,7,9048,0
51.8108967,7,9051,0
51.8525633,7,9053,0
51.89423,7,9055,0
51.9358967,7,9056,0
51.9775633,7,9057,0
52.01923,7,9058,0
52.0608967,7,9059,0
52.1025633,7,9060,0
52.14423,7,9060,0
52.1858967,7,9060,0
52.2275633,7,9060,0
52.26923,7,9060,0
52.3108967,7,9059,0
52.3525633,7,9059,0
52.39423,7,9059,0
52.43589670000001,6,9059,0
52.47756329999999,6,9058,0
52.51923000000001,6,9058,0
52.56089670000001,6,9058,0
52.60256329999999,6,9058,0
52.64423000000001,6,9058,0
52.68589670000001,6,9059,0
52.72756329999999,6,9059,0
52.76923000000001,6,9060,0
52.81089670000001,6,9061,0
52.85256329999999,6,9062,0
52.89423000000001,6,9064,1
52.93589670000001,6,9066,0
52.97756329999999,6,9069,0
53.01923000000001,6,9071,0
53.06089670000001,6,9075,0
53.10256329999999,6,9078,0
53.14423000000001,6,9082,6
53.18589670000001,6,9086,69
53.22756329999999,6,9091,17
53.26923000000001,6,9095,33
53.31089670000001,6,9100,3
53.35256329999999,6,9104,0
53.39423000000001,6,9109,0
53.43589670000001,6,9113,0
53.47756329999999,6,9118,0
53.51923000000001,6,9122,0
53.56089670000001,6,9126,0
53.60256329999999,6,9129,0
53.64423000000001,6,9133,0
53.68589670000001,6,9136,0
53.72756329999999,6,9138,0
53.76923000000001,6,9140,0
53.81089670000001,6,9142,0
53.85256329999999,6,9143,0
53.89423000000001,6,9143,0
53.93589670000001,6,9142,0
53.97756329999999,6,9141,0
54.01923000000001,6,9139,0
54.06089670000001,6,9136,0
54.10256329999999,6,9132,0
54.14423000000001,6,9128,0
54.18589670000001,6,9123,0
54.22756329999999,6,9118,0
54.26923000000001,6,9111,0
54.31089670000001,6,9105,0
54.35256329999999,6,9098,0
54.39423000000001,6,9090,0
54.43589670000001,6,9082,0
54.47756329999999,6,9074,0
54.51923000000001,6,9066,0
54.56089670000001,6,9057,0
54.60256329999999,6,9049,0
54.64423000000001,6,9040,0
54.68589670000001,6,9031,0
54.72756329999999,6,9023,0
54.76923000000001,6,9014,0
54.81089670000001,6,9005,0
54.85256329999999,6,8997,0
54.89423000000001,6,8989,0
54.93589670000001,6,8981,0
54.97756329999999,6,8974,0
55.01923000000001,6,8967,0
55.06089670000001,6,8960,0
55.10256329999999,6,8954,0
55.14423000000001,6,8948,0
55.18589670000001,6,8943,0
55.22756329999999,6,8938,0
55.26923000000001,6,8933,0
55.31089670000001,6,8929,2
55.35256329999999,6,8925,0
55.39423000000001,6,8922,0
55.43589670000001,6,8919,0
55.47756329999999,6,8916,0
55.51923000000001,6,8914,0
55.56089670000001,6,8912,0
55.60256329999999,6,8910,8
55.64423000000001,6,8909,0
55.68589670000001,6,8908,3
55.72756329999999,6,8907,0
55.76923000000001,7,8907,33
55.81089670000001,7,8907,42
55.85256329999999,7,8907,2
55.89423000000001,7,8907,7
55.93589670000001,7,8908,0
55.97756329999999,7,8909,0
56.01923000000001,7,8911,0
56.06089670000001,7,8912,0
56.10256329999999,7,8914,0
56.14423000000001,7,8916,0
56.18589670000001,6,8919,0
56.22756329999999,6,8921,0
56.26923000000001,6,8924,0
56.31089670000001,6,8927,0
56.35256329999999,6,8930,0
56.39423000000001,6,8933,0
56.43589670000001,6,8936,0
56.47756329999999,6,8939,0
56.51923000000001,6,8942,0
56.56089670000001,6,8946,0
56.60256329999999,6,8949,1
56.64423000000001,6,8953,8
56.68589670000001,6,8956,4
56.72756329999999,6,8960,14
56.76923000000001,6,8963,35
56.81089670000001,6,8966,27
56.85256329999999,6,8969,1
56.89423000000001,6,8973,0
56.93589670000001,6,8976,0
56.97756329999999,6,8979,0
57.01923000000001,6,8981,0
57.06089670000001,6,8984,0
57.10256329999999,6,8986,0
57.14423000000001,6,8989,1
57.18589670000001,6,8991,0
57.22756329999999,6,8993,0
57.26923000000001,6,8995,0
57.31089670000001,6,8997,0
57.35256329999999,6,8998,0
57.39423000000001,6,9000,0
57.43589670000001,6,9002,0
57.47756329999999,6,9003,0
57.51923000000001,6,9005,0
57.56089670000001,7,9006,0
57.60256329999999,7,9007,0
57.64423000000001,7,9009,0
57.68589670000001,7,9010,0
57.72756329999999,7,9011,2
57.76923000000001,7,9013,0
57.81089670000001,7,9014,0
57.85256329999999,7,9015,1
