time,births,population,reported_cases
44.01923,2,1677,0
44.0608967,2,1677,0
44.1025633,2,1677,0
44.14423,2,1678,0
44.1858967,2,1680,0
44.2275633,2,1683,0
44.26923,2,1687,0
44.3108967,2,1691,0
44.3525633,2,1697,0
44.39423,1,1703,0
44.4358967,1,1709,0
44.4775633,1,1717,0
44.51923,1,1725,0
44.5608967,1,1734,0
44.6025633,1,1743,0
44.64423,1,1753,0
44.6858967,1,1763,0
44.7275633,1,1774,0
44.76923,1,1785,0
44.8108967,1,1797,0
44.8525633,1,1809,0
44.89423,2,1822,0
44.9358967,2,1835,0
44.9775633,2,1848,0
45.01923,2,1861,0
45.0608967,2,1875,0
45.1025633,2,1889,0
45.14423,2,1903,0
45.1858967,2,1918,1
45.2275633,2,1932,0
45.26923,2,1947,0
45.3108967,2,1962,0
45.3525633,2,1976,4
45.39423,2,1991,3
45.4358967,2,2007,0
45.4775633,2,2022,11
45.51923,2,2037,7
45.5608967,2,2052,0
45.6025633,2,2067,0
45.64423,2,2082,0
45.6858967,2,2097,0
45.7275633,2,2112,0
45.76923,2,2126,0
45.8108967,2,2141,0
45.8525633,2,2156,0
45.89423,2,2170,0
45.9358967,2,2184,0
45.9775633,2,2198,0
46.01923,2,2211,0
46.0608967,2,2225,0
46.1025633,2,2238,2
46.14423,2,2250,12
46.1858967,2,2263,7
46.2275633,2,2275,0
46.26923,2,2287,0
46.3108967,2,2299,0
46.3525633,2,2311,1
46.39423,2,2322,1
46.4358967,2,2333,0
46.4775633,2,2344,0
46.51923,2,2354,0
46.5608967,2,2364,0
46.6025633,2,2374,0
46.64423,2,2384,0
46.6858967,2,2394,0
46.7275633,2,2403,2
46.76923,2,2412,0
46.8108967,2,2421,0
46.8525633,2,2430,0
46.89423,2,2438,0
46.9358967,2,2446,0
46.9775633,2,2454,0
47.01923,2,2461,0
47.0608967,2,2469,0
47.1025633,2,2476,0
47.14423,2,2483,0
47.1858967,2,2490,0
47.2275633,2,2496,2
47.26923,2,2502,0
47.3108967,2,2508,0
47.3525633,2,2513,0
47.39423,2,2519,0
47.4358967,2,2524,0
47.4775633,2,2528,0
47.51923,2,2532,0
47.5608967,2,2536,0
47.6025633,2,2540,2
47.64423,2,2543,8
47.6858967,2,2546,2
47.7275633,2,2548,4
47.76923,2,2551,8
47.8108967,2,2552,9
47.8525633,2,2554,0
47.89423,2,2555,0
47.9358967,2,2555,0
47.9775633,2,2555,0
48.01923,2,2555,0
48.0608967,2,2554,0
48.1025633,2,2553,0
48.14423,2,2551,0
48.1858967,2,2550,0
48.2275633,2,2547,0
48.26923,2,2545,0
48.3108967,2,2543,0
48.3525633,2,2540,0
48.39423,2,2537,0
48.4358967,2,2534,0
48.4775633,2,2531,0
48.51923,2,2528,0
48.5608967,2,2525,0
48.6025633,2,2522,0
48.64423,2,2519,11
48.6858967,2,2516,0
48.7275633,2,2513,0
48.76923,2,2511,0
48.8108967,1,2508,0
48.8525633,1,2506,0
48.89423,1,2504,0
48.9358967,1,2503,0
48.9775633,1,2501,0
49.01923,1,2501,0
49.0608967,1,2500,0
49.1025633,1,2500,0
49.14423,1,2500,0
49.1858967,1,2501,0
49.2275633,1,2502,0
49.26923,1,2503,4
49.3108967,1,2504,0
49.3525633,1,2506,0
49.39423,2,2507,0
49.4358967,2,2509,0
49.4775633,2,2511,0
49.51923,2,2513,0
49.5608967,2,2515,0
49.6025633,2,2517,7
49.64423,2,2519,0
49.6858967,2,2521,0
49.7275633,2,2524,0
49.76923,2,2526,0
49.8108967,2,2527,0
49.8525633,2,2529,0
49.89423,2,2531,0
49.9358967,2,2532,0
49.9775633,2,2533,0
50.01923,2,2534,0
50.0608967,2,2535,0
50.1025633,2,2536,0
50.14423,2,2536,1
50.1858967,2,2536,0
50.2275633,2,2536,0
50.26923,2,2536,0
50.3108967,2,2536,0
50.3525633,2,2536,0
50.39423,2,2536,0
50.4358967,2,2536,0
50.4775633,2,2535,0
50.51923,2,2535,0
50.5608967,2,2535,0
50.6025633,2,2535,1
50.64423,2,2535,1
50.6858967,2,2536,3
50.7275633,2,2536,0
50.76923,2,2537,0
50.8108967,2,2538,0
50.8525633,2,2539,0
50.89423,2,2540,0
50.9358967,2,2542,0
50.9775633,2,2544,0
51.01923,2,2546,0
51.0608967,2,2549,0
51.1025633,2,2552,0
51.14423,2,2555,0
51.1858967,2,2559,0
51.2275633,2,2563,0
51.26923,2,2567,2
51.3108967,2,2571,0
51.3525633,2,2575,0
51.39423,2,2579,0
51.4358967,2,2584,0
51.4775633,2,2588,0
51.51923,2,2593,0
51.5608967,2,2598,0
51.6025633,2,2602,0
51.64423,2,2607,0
51.6858967,2,2611,0
51.7275633,2,2615,0
51.76923,2,2619,0
51.8108967,2,2623,0
51.8525633,2,2627,0
51.89423,2,2630,0
51.9358967,2,2634,0
51.9775633,2,2637,0
52.01923,2,2639,0
52.0608967,2,2641,0
52.1025633,2,2643,0
52.14423,2,2645,0
52.1858967,2,2646,0
52.2275633,2,2647,0
52.26923,2,2648,0
52.3108967,2,2649,0
52.3525633,2,2649,0
52.39423,2,2650,0
52.43589670000001,2,2650,0
52.47756329999999,2,2650,0
52.51923000000001,2,2650,0
52.56089670000001,2,2650,0
52.60256329999999,2,2650,0
52.64423000000001,2,2650,0
52.68589670000001,3,2649,0
52.72756329999999,3,2649,0
52.76923000000001,3,2649,0
52.81089670000001,3,2649,0
52.85256329999999,3,2649,1
52.89423000000001,3,2649,0
52.93589670000001,3,2649,0
52.97756329999999,3,2650,0
53.01923000000001,3,2650,2
53.06089670000001,3,2651,4
53.10256329999999,3,2652,16
53.14423000000001,3,2653,110
53.18589670000001,3,2654,37
53.22756329999999,3,2655,9
53.26923000000001,3,2657,0
53.31089670000001,3,2658,2
53.35256329999999,3,2660,0
53.39423000000001,3,2662,0
53.43589670000001,3,2663,0
53.47756329999999,3,2665,0
53.51923000000001,3,2667,0
53.56089670000001,3,2669,0
53.60256329999999,3,2671,0
53.64423000000001,3,2673,0
53.68589670000001,2,2675,0
53.72756329999999,2,2677,0
53.76923000000001,2,2679,0
53.81089670000001,2,2681,0
53.85256329999999,2,2683,0
53.89423000000001,2,2685,0
53.93589670000001,2,2687,0
53.97756329999999,2,2689,0
54.01923000000001,2,2691,0
54.06089670000001,2,2693,0
54.10256329999999,2,2694,0
54.14423000000001,2,2696,0
54.18589670000001,2,2697,0
54.22756329999999,2,2699,0
54.26923000000001,2,2700,0
54.31089670000001,2,2702,4
54.35256329999999,2,2703,1
54.39423000000001,2,2704,1
54.43589670000001,2,2705,4
54.47756329999999,2,2707,9
54.51923000000001,2,2708,0
54.56089670000001,2,2709,0
54.60256329999999,2,2710,1
54.64423000000001,2,2711,0
54.68589670000001,2,2712,0
54.72756329999999,2,2713,0
54.76923000000001,2,2714,0
54.81089670000001,2,2715,0
54.85256329999999,2,2716,0
54.89423000000001,2,2717,0
54.93589670000001,2,2718,0
54.97756329999999,2,2719,0
55.01923000000001,2,2720,0
55.06089670000001,2,2722,0
55.10256329999999,2,2723,0
55.14423000000001,2,2724,0
55.18589670000001,2,2725,0
55.22756329999999,2,2726,0
55.26923000000001,2,2727,0
55.31089670000001,2,2728,0
55.35256329999999,2,2729,0
55.39423000000001,2,2731,1
55.43589670000001,2,2732,0
55.47756329999999,2,2733,4
55.51923000000001,2,2734,0
55.56089670000001,2,2735,0
55.60256329999999,2,2737,0
55.64423000000001,2,2738,0
55.68589670000001,2,2739,0
55.72756329999999,2,2741,0
55.76923000000001,2,2742,0
55.81089670000001,2,2743,0
55.85256329999999,2,2745,0
55.89423000000001,2,2746,0
55.93589670000001,2,2748,0
55.97756329999999,2,2749,0
56.01923000000001,2,2751,0
56.06089670000001,3,2752,0
56.10256329999999,3,2754,0
56.14423000000001,3,2755,0
56.18589670000001,3,2757,0
56.22756329999999,3,2758,0
56.26923000000001,3,2760,0
56.31089670000001,3,2762,0
56.35256329999999,3,2763,0
56.39423000000001,3,2765,0
56.43589670000001,3,2766,0
56.47756329999999,3,2767,0
56.51923000000001,3,2769,0
56.56089670000001,3,2770,0
56.60256329999999,3,2771,0
56.64423000000001,3,2773,0
56.68589670000001,3,2774,0
56.72756329999999,3,2775,0
56.76923000000001,3,2776,0
56.81089670000001,3,2777,2
56.85256329999999,3,2778,10
56.89423000000001,3,2779,7
56.93589670000001,3,2779,5
56.97756329999999,3,2780,1
57.01923000000001,3,2780,0
57.06089670000001,3,2781,2
57.10256329999999,3,2781,0
57.14423000000001,3,2781,2
57.18589670000001,3,2781,0
57.22756329999999,3,2781,0
57.26923000000001,3,2782,0
57.31089670000001,3,2782,0
57.35256329999999,3,2782,2
57.39423000000001,3,2783,0
57.43589670000001,3,2783,0
57.47756329999999,3,2784,0
57.51923000000001,3,2785,0
57.56089670000001,3,2786,0
57.60256329999999,3,2788,0
57.64423000000001,3,2790,0
57.68589670000001,3,2792,0
57.72756329999999,3,2794,0
57.76923000000001,3,2797,0
57.81089670000001,3,2800,0
57.85256329999999,3,2804,1
57.89423000000001,3,2808,0
57.93589670000001,3,2812,0
57.97756329999999,3,2817,0
58.01923000000001,3,2823,0
58.06089670000001,3,2829,0
58.10256329999999,3,2835,0
58.14423000000001,3,2842,0
58.18589670000001,3,2849,0
58.22756329999999,3,2857,0
58.26923000000001,3,2865,0
58.31089670000001,3,2873,0
58.35256329999999,3,2882,0
58.39423000000001,3,2890,0
58.43589670000001,3,2899,0
58.47756329999999,3,2908,0
58.51923000000001,3,2917,0
58.56089670000001,3,2926,1
58.60256329999999,3,2935,0
58.64423000000001,3,2944,0
58.68589670000001,3,2952,0
58.72756329999999,3,2961,0
58.76923000000001,3,2969,0
58.81089670000001,3,2977,0
58.85256329999999,3,2985,0
58.89423000000001,3,2993,0
58.93589670000001,3,3000,0
58.97756329999999,3,3007,0
59.01923000000001,3,3013,0
59.06089670000001,3,3019,0
59.10256329999999,3,3024,0
59.14423000000001,3,3029,0
59.18589670000001,3,3033,0
59.22756329999999,3,3037,0
59.26923000000001,3,3040,4
59.31089670000001,3,3043,0
59.35256329999999,3,3046,0
59.39423000000001,3,3048,0
59.43589670000001,3,3050,0
59.47756329999999,3,3051,0
59.51923000000001,3,3052,0
59.56089670000001,2,3052,0
59.60256329999999,2,3052,0
59.64423000000001,2,3051,0
59.68589670000001,2,3050,0
59.72756329999999,2,3049,0
59.76923000000001,2,3047,0
59.81089670000001,2,3045,0
59.85256329999999,2,3042,0
59.89423000000001,2,3039,0
59.93589670000001,2,3036,0
59.97756329999999,2,3032,0
60.01923000000001,2,3028,0
60.06089670000001,2,3023,4
60.10256329999999,2,3018,39
60.14423000000001,2,3013,36
60.18589670000001,2,3008,2
60.22756329999999,2,3002,0
60.26923000000001,2,2996,0
60.31089670000001,2,2990,0
60.35256329999999,2,2984,1
60.39423000000001,2,2978,0
60.43589670000001,2,2971,1
60.47756329999999,2,2965,0
60.51923000000001,2,2959,0
60.56089670000001,2,2952,0
60.60256329999999,2,2946,0
60.64423000000001,2,2940,0
60.68589670000001,2,2934,0
60.72756329999999,2,2929,0
60.76923000000001,2,2923,0
60.81089670000001,2,2918,0
60.85256329999999,2,2914,2
60.89423000000001,2,2909,0
60.93589670000001,2,2905,0
60.97756329999999,2,2902,1
61.01923000000001,2,2899,4
61.06089670000001,2,2896,0
61.10256329999999,2,2894,0
61.14423000000001,2,2892,1
61.18589670000001,2,2891,0
61.22756329999999,2,2890,0
61.26923000000001,2,2890,0
61.31089670000001,2,2889,0
61.35256329999999,2,2890,0
61.39423000000001,2,2890,0
61.43589670000001,2,2891,0
61.47756329999999,2,2892,0
61.51923000000001,2,2893,0
61.56089670000001,2,2895,0
61.60256329999999,2,2897,0
61.64423000000001,2,2899,0
61.68589670000001,2,2901,0
61.72756329999999,2,2903,0
61.76923000000001,2,2905,0
61.81089670000001,2,2908,0
61.85256329999999,2,2911,0
61.89423000000001,2,2913,0
61.93589670000001,2,2916,0
61.97756329999999,2,2919,0
62.01923000000001,2,2921,0
62.06089670000001,2,2924,0
62.10256329999999,2,2927,0
62.14423000000001,2,2929,0
62.18589670000001,2,2932,0
62.22756329999999,2,2934,0
62.26923000000001,2,2937,0
62.31089670000001,2,2939,0
62.35256329999999,2,2942,0
62.39423000000001,2,2944,0
62.43589670000001,2,2946,0
62.47756329999999,2,2949,0
62.51923000000001,2,2951,0
62.56089670000001,2,2953,0
62.60256329999999,2,2955,0
62.64423000000001,2,2957,1
62.68589670000001,2,2959,0
62.72756329999999,2,2961,0
62.76923000000001,2,2962,0
62.81089670000001,2,2964,0
62.85256329999999,2,2966,0
62.89423000000001,2,2967,0
62.93589670000001,2,2968,0
62.97756329999999,2,2969,0
63.01923000000001,2,2970,2
63.06089670000001,2,2971,0
63.10256329999999,2,2972,1
63.14423000000001,2,2973,0
63.18589670000001,2,2974,0
63.22756329999999,2,2974,0
63.26923000000001,2,2974,0
63.31089670000001,2,2975,0
63.35256329999999,2,2975,0
63.39423000000001,2,2975,0
63.43589670000001,2,2975,1
63.47756329999999,2,2975,0
63.51923000000001,2,2975,0
63.56089670000001,2,2975,1
63.60256329999999,2,2975,5
63.64423000000001,2,2974,0
63.68589670000001,2,2974,0
63.72756329999999,2,2974,0
63.76923000000001,2,2973,0
63.81089670000001,2,2973,0
63.85256329999999,2,2972,1
63.89423000000001,2,2972,0
63.93589670000001,2,2971,0
63.97756329999999,2,2970,0
