time,births,population,reported_cases
44.01923,1,2031,0
44.0608967,1,2025,0
44.1025633,1,2019,0
44.14423,1,2014,0
44.1858967,1,2009,0
44.2275633,1,2005,0
44.26923,1,2002,0
44.3108967,1,1998,0
44.3525633,1,1996,0
44.39423,1,1994,3
44.4358967,1,1992,0
44.4775633,1,1991,0
44.51923,1,1990,0
44.5608967,1,1990,0
44.6025633,1,1990,0
44.64423,1,1990,0
44.6858967,1,1991,0
44.7275633,1,1992,0
44.76923,1,1994,0
44.8108967,1,1995,0
44.8525633,1,1997,0
44.89423,1,1999,0
44.9358967,1,2002,0
44.9775633,1,2004,0
45.01923,1,2007,0
45.0608967,1,2010,0
45.1025633,1,2014,0
45.14423,1,2017,1
45.1858967,1,2021,0
45.2275633,1,2024,1
45.26923,1,2028,2
45.3108967,1,2032,6
45.3525633,1,2036,0
45.39423,1,2041,0
45.4358967,1,2045,0
45.4775633,1,2049,0
45.51923,2,2054,0
45.5608967,2,2058,0
45.6025633,2,2063,0
45.64423,2,2068,0
45.6858967,2,2072,0
45.7275633,2,2077,0
45.76923,2,2082,0
45.8108967,2,2086,0
45.8525633,2,2091,0
45.89423,2,2095,0
45.9358967,2,2100,0
45.9775633,2,2105,0
46.01923,2,2109,0
46.0608967,2,2113,0
46.1025633,2,2118,0
46.14423,2,2122,0
46.1858967,2,2126,2
46.2275633,2,2130,0
46.26923,2,2135,0
46.3108967,2,2139,0
46.3525633,2,2143,0
46.39423,2,2146,0
46.4358967,2,2150,0
46.4775633,2,2154,0
46.51923,2,2158,0
46.5608967,2,2162,0
46.6025633,2,2166,0
46.64423,2,2169,0
46.6858967,2,2173,0
46.7275633,2,2177,0
46.76923,2,2180,0
46.8108967,2,2184,0
46.8525633,2,2187,0
46.89423,2,2191,0
46.9358967,2,2195,0
46.9775633,2,2198,0
47.01923,2,2202,0
47.0608967,2,2205,0
47.1025633,2,2209,0
47.14423,2,2212,0
47.1858967,2,2215,0
47.2275633,2,2219,0
47.26923,2,2222,0
47.3108967,2,2225,0
47.3525633,2,2228,0
47.39423,2,2231,0
47.4358967,2,2234,0
47.4775633,2,2236,0
47.51923,2,2239,0
47.5608967,2,2241,0
47.6025633,2,2243,3
47.64423,2,2245,0
47.6858967,2,2246,0
47.7275633,2,2248,0
47.76923,2,2249,0
47.8108967,2,2250,0
47.8525633,2,2250,0
