time,births,population,reported_cases
44.01923,5,6497,0
44.0608967,5,6499,0
44.1025633,5,6501,0
44.14423,5,6503,0
44.1858967,5,6506,0
44.2275633,5,6509,3
44.26923,5,6513,0
44.3108967,5,6517,0
44.3525633,5,6522,0
44.39423,5,6527,0
44.4358967,5,6533,0
44.4775633,5,6539,0
44.51923,5,6545,0
44.5608967,5,6552,0
44.6025633,5,6559,0
44.64423,5,6566,0
44.6858967,5,6574,0
44.7275633,5,6582,0
44.76923,5,6590,0
44.8108967,5,6599,0
44.8525633,5,6608,0
44.89423,5,6617,0
44.9358967,5,6626,0
44.9775633,5,6636,0
45.01923,5,6646,0
45.0608967,5,6655,0
45.1025633,5,6666,0
45.14423,5,6676,0
45.1858967,5,6686,0
45.2275633,5,6697,0
45.26923,5,6708,0
45.3108967,5,6718,0
45.3525633,5,6729,0
45.39423,5,6740,0
45.4358967,5,6751,0
45.4775633,5,6762,0
45.51923,5,6773,0
45.5608967,5,6785,0
45.6025633,5,6796,0
45.64423,5,6807,0
45.6858967,5,6818,0
45.7275633,6,6829,0
45.76923,6,6840,0
45.8108967,6,6851,0
45.8525633,6,6862,0
45.89423,6,6873,0
45.9358967,6,6884,0
45.9775633,6,6894,0
46.01923,6,6905,0
46.0608967,6,6915,0
46.1025633,6,6925,0
46.14423,6,6936,0
46.1858967,6,6946,0
46.2275633,6,6955,0
46.26923,6,6965,0
46.3108967,6,6975,0
46.3525633,6,6984,0
46.39423,7,6993,0
46.4358967,7,7002,0
46.4775633,7,7011,0
46.51923,7,7020,0
46.5608967,7,7029,0
46.6025633,7,7037,0
46.64423,7,7045,0
46.6858967,7,7054,0
46.7275633,7,7062,1
46.76923,7,7070,0
46.8108967,7,7077,10
46.8525633,7,7085,14
46.89423,7,7092,24
46.9358967,7,7099,1
46.9775633,7,7106,5
47.01923,7,7113,0
47.0608967,7,7120,15
47.1025633,7,7126,0
47.14423,8,7133,0
47.1858967,8,7139,0
47.2275633,8,7145,0
47.26923,8,7151,0
47.3108967,8,7157,0
47.3525633,8,7162,0
47.39423,8,7168,0
47.4358967,8,7173,0
47.4775633,8,7179,0
47.51923,8,7184,0
47.5608967,8,7189,0
47.6025633,8,7194,0
47.64423,8,7199,0
47.6858967,8,7204,0
47.7275633,8,7208,0
47.76923,8,7213,0
47.8108967,8,7218,0
47.8525633,8,7222,0
47.89423,8,7227,0
47.9358967,8,7231,0
47.9775633,7,7236,0
48.01923,7,7240,0
48.0608967,7,7244,0
48.1025633,7,7249,0
48.14423,7,7253,0
48.1858967,7,7257,0
48.2275633,7,7261,0
48.26923,7,7265,0
48.3108967,7,7268,0
48.3525633,7,7272,0
48.39423,7,7275,0
48.4358967,7,7278,0
48.4775633,7,7281,0
48.51923,6,7284,0
48.5608967,6,7286,0
48.6025633,6,7288,0
48.64423,6,7290,0
48.6858967,6,7291,0
48.7275633,6,7293,0
48.76923,6,7293,0
48.8108967,6,7294,0
48.8525633,6,7294,0
48.89423,6,7293,0
48.9358967,6,7292,0
48.9775633,6,7291,0
49.01923,6,7289,0
49.0608967,5,7287,0
49.1025633,5,7284,0
49.14423,5,7281,0
49.1858967,5,7278,0
49.2275633,5,7274,0
49.26923,5,7271,0
49.3108967,5,7267,0
49.3525633,5,7263,0
49.39423,5,7260,1
49.4358967,5,7256,0
49.4775633,5,7253,2
49.51923,5,7250,0
49.5608967,5,7247,0
49.6025633,5,7245,0
49.64423,5,7243,0
49.6858967,5,7241,0
49.7275633,5,7240,0
49.76923,5,7240,0
49.8108967,5,7240,0
49.8525633,5,7241,0
49.89423,5,7243,0
49.9358967,5,7246,0
49.9775633,5,7250,0
50.01923,5,7254,0
50.0608967,5,7260,0
50.1025633,5,7267,0
50.14423,5,7274,8
50.1858967,5,7282,0
50.2275633,5,7291,0
50.26923,5,7300,0
50.3108967,5,7310,0
50.3525633,5,7320,0
50.39423,5,7331,0
50.4358967,5,7341,0
50.4775633,5,7352,0
50.51923,5,7363,0
50.5608967,5,7373,6
50.6025633,5,7384,0
50.64423,5,7394,0
50.6858967,5,7404,0
50.7275633,5,7414,0
50.76923,5,7423,0
50.8108967,5,7431,0
50.8525633,5,7439,0
50.89423,5,7446,0
50.9358967,5,7452,0
50.9775633,5,7457,0
51.01923,5,7461,0
51.0608967,5,7464,0
51.1025633,5,7466,4
51.14423,5,7467,3
51.1858967,5,7467,3
51.2275633,5,7466,0
51.26923,5,7465,0
51.3108967,5,7463,6
51.3525633,5,7460,3
51.39423,5,7456,12
51.4358967,5,7453,28
51.4775633,5,7448,6
51.51923,5,7444,13
51.5608967,5,7439,2
51.6025633,5,7434,0
51.64423,5,7428,1
51.6858967,5,7423,0
51.7275633,5,7417,0
51.76923,5,7412,0
51.8108967,6,7406,0
51.8525633,6,7401,0
51.89423,6,7396,0
51.9358967,6,7391,0
51.9775633,6,7386,0
52.01923,6,7382,0
52.0608967,6,7378,0
52.1025633,6,7375,0
52.14423,6,7372,0
52.1858967,6,7369,0
52.2275633,6,7367,0
52.26923,6,7365,0
52.3108967,6,7364,0
52.3525633,6,7363,0
52.39423,6,7362,0
52.43589670000001,7,7362,0
52.47756329999999,7,7362,0
52.51923000000001,7,7362,3
52.56089670000001,7,7362,6
52.60256329999999,7,7363,6
52.64423000000001,7,7365,13
52.68589670000001,7,7366,2
52.72756329999999,7,7368,0
52.76923000000001,7,7370,0
52.81089670000001,7,7372,0
52.85256329999999,7,7375,0
52.89423000000001,7,7378,0
52.93589670000001,7,7381,0
52.97756329999999,7,7384,0
53.01923000000001,7,7388,0
53.06089670000001,7,7391,0
53.10256329999999,7,7395,0
53.14423000000001,7,7400,0
53.18589670000001,7,7404,0
53.22756329999999,7,7408,2
53.26923000000001,7,7412,4
53.31089670000001,7,7416,2
53.35256329999999,7,7421,0
53.39423000000001,7,7425,0
53.43589670000001,7,7429,0
53.47756329999999,7,7433,0
53.51923000000001,6,7436,0
53.56089670000001,6,7439,0
53.60256329999999,6,7443,3
53.64423000000001,6,7445,0
53.68589670000001,6,7448,0
53.72756329999999,6,7450,0
53.76923000000001,6,7451,0
53.81089670000001,6,7452,0
53.85256329999999,6,7453,0
53.89423000000001,6,7453,0
53.93589670000001,6,7452,0
53.97756329999999,6,7451,0
54.01923000000001,6,7449,0
54.06089670000001,6,7446,0
54.10256329999999,6,7443,0
54.14423000000001,6,7440,0
54.18589670000001,6,7435,0
54.22756329999999,6,7431,0
54.26923000000001,6,7426,0
54.31089670000001,6,7420,0
54.35256329999999,6,7414,0
54.39423000000001,6,7408,0
54.43589670000001,6,7402,0
54.47756329999999,6,7395,0
54.51923000000001,6,7389,0
54.56089670000001,6,7382,0
54.60256329999999,6,7375,0
54.64423000000001,6,7369,0
54.68589670000001,6,7362,0
54.72756329999999,6,7356,0
54.76923000000001,6,7349,0
54.81089670000001,6,7343,0
54.85256329999999,6,7338,0
54.89423000000001,6,7332,0
54.93589670000001,6,7327,0
54.97756329999999,6,7322,0
55.01923000000001,6,7318,0
55.06089670000001,6,7314,0
55.10256329999999,6,7311,0
55.14423000000001,6,7308,20
55.18589670000001,6,7306,105
55.22756329999999,6,7304,142
55.26923000000001,6,7302,31
55.31089670000001,6,7301,15
55.35256329999999,6,7300,0
55.39423000000001,6,7299,1
55.43589670000001,6,7299,0
55.47756329999999,6,7299,0
55.51923000000001,6,7299,0
55.56089670000001,6,7299,0
55.60256329999999,6,7300,3
55.64423000000001,6,7301,0
55.68589670000001,6,7302,0
55.72756329999999,6,7302,0
55.76923000000001,6,7304,0
55.81089670000001,6,7305,0
55.85256329999999,6,7306,0
55.89423000000001,6,7307,0
55.93589670000001,6,7308,0
55.97756329999999,6,7309,0
56.01923000000001,6,7311,0
56.06089670000001,6,7312,0
56.10256329999999,6,7313,0
56.14423000000001,6,7314,0
56.18589670000001,6,7314,0
56.22756329999999,6,7315,0
56.26923000000001,6,7316,0
56.31089670000001,6,7317,0
56.35256329999999,6,7318,0
56.39423000000001,6,7318,0
56.43589670000001,6,7319,0
56.47756329999999,6,7319,0
56.51923000000001,6,7320,0
56.56089670000001,6,7320,0
56.60256329999999,6,7320,3
56.64423000000001,6,7321,0
56.68589670000001,6,7321,0
56.72756329999999,6,7321,0
56.76923000000001,6,7321,0
56.81089670000001,6,7321,0
56.85256329999999,6,7321,0
56.89423000000001,6,7321,0
56.93589670000001,6,7320,0
56.97756329999999,6,7320,0
57.01923000000001,6,7320,0
57.06089670000001,6,7319,0
57.10256329999999,6,7319,0
57.14423000000001,6,7318,0
57.18589670000001,6,7318,5
57.22756329999999,6,7317,2
57.26923000000001,6,7317,2
57.31089670000001,6,7316,2
57.35256329999999,6,7315,10
57.39423000000001,6,7314,23
57.43589670000001,6,7313,57
57.47756329999999,6,7312,15
57.51923000000001,6,7312,13
57.56089670000001,6,7311,2
57.60256329999999,6,7310,2
57.64423000000001,6,7309,3
57.68589670000001,6,7308,1
57.72756329999999,6,7307,0
57.76923000000001,6,7306,0
57.81089670000001,6,7305,0
57.85256329999999,6,7304,0
57.89423000000001,6,7303,0
57.93589670000001,6,7302,0
57.97756329999999,6,7301,0
58.01923000000001,6,7300,0
58.06089670000001,6,7299,0
58.10256329999999,6,7298,0
58.14423000000001,6,7297,0
58.18589670000001,6,7296,0
58.22756329999999,6,7295,0
58.26923000000001,6,7294,0
58.31089670000001,5,7293,0
58.35256329999999,5,7291,0
58.39423000000001,5,7290,0
58.43589670000001,5,7289,0
58.47756329999999,5,7288,0
58.51923000000001,5,7287,0
58.56089670000001,5,7286,0
58.60256329999999,5,7285,0
58.64423000000001,5,7283,0
58.68589670000001,5,7282,0
58.72756329999999,5,7281,0
58.76923000000001,5,7279,0
58.81089670000001,5,7278,0
58.85256329999999,5,7276,0
58.89423000000001,5,7274,0
58.93589670000001,5,7273,0
58.97756329999999,5,7271,0
59.01923000000001,5,7269,0
59.06089670000001,5,7267,0
59.10256329999999,5,7265,0
59.14423000000001,6,7263,0
59.18589670000001,6,7261,0
