time,births,population,reported_cases
44.01923,6,7405,0
44.0608967,6,7413,0
44.1025633,6,7424,0
44.14423,5,7435,0
44.1858967,5,7448,0
44.2275633,5,7462,0
44.26923,5,7477,0
44.3108967,5,7493,0
44.3525633,5,7510,0
44.39423,5,7528,0
44.4358967,5,7547,0
44.4775633,5,7566,0
44.51923,5,7586,4
44.5608967,5,7607,2
44.6025633,5,7627,4
44.64423,5,7649,0
44.6858967,5,7670,0
44.7275633,5,7692,0
44.76923,5,7714,0
44.8108967,6,7736,0
44.8525633,6,7758,0
44.89423,6,7780,0
44.9358967,6,7802,0
44.9775633,6,7824,0
45.01923,6,7845,0
45.0608967,6,7866,0
45.1025633,6,7886,0
45.14423,6,7906,3
45.1858967,6,7925,20
45.2275633,6,7944,42
45.26923,6,7962,49
45.3108967,7,7980,53
45.3525633,7,7997,31
45.39423,7,8013,16
45.4358967,7,8028,3
45.4775633,7,8043,2
45.51923,7,8057,0
45.5608967,7,8069,0
45.6025633,7,8081,0
45.64423,7,8092,0
45.6858967,7,8102,0
45.7275633,7,8111,0
45.76923,7,8118,0
45.8108967,7,8125,0
45.8525633,7,8130,0
45.89423,7,8134,0
45.9358967,7,8137,0
45.9775633,7,8138,0
46.01923,7,8138,0
46.0608967,7,8136,0
46.1025633,7,8134,0
46.14423,7,8130,0
46.1858967,7,8125,0
46.2275633,7,8119,0
46.26923,7,8112,0
46.3108967,7,8104,0
46.3525633,7,8096,0
46.39423,7,8087,0
46.4358967,7,8077,3
46.4775633,7,8067,7
46.51923,7,8057,0
46.5608967,7,8046,0
46.6025633,7,8035,0
46.64423,7,8024,0
46.6858967,7,8013,0
46.7275633,7,8003,2
46.76923,7,7992,0
46.8108967,7,7981,4
46.8525633,7,7971,3
46.89423,7,7962,1
46.9358967,7,7953,0
46.9775633,7,7944,0
47.01923,7,7937,0
47.0608967,7,7930,0
47.1025633,7,7923,0
47.14423,7,7918,0
47.1858967,7,7914,1
47.2275633,7,7910,7
47.26923,7,7907,0
47.3108967,7,7906,1
47.3525633,7,7905,0
47.39423,7,7905,0
47.4358967,7,7905,0
47.4775633,7,7907,0
47.51923,7,7910,5
47.5608967,7,7914,1
47.6025633,7,7919,8
47.64423,7,7925,0
47.6858967,7,7932,3
47.7275633,7,7940,0
47.76923,7,7949,0
47.8108967,7,7959,0
47.8525633,7,7971,0
47.89423,7,7983,0
47.9358967,7,7997,1
47.9775633,7,8012,0
48.01923,7,8028,0
48.0608967,7,8045,0
48.1025633,7,8063,5
48.14423,7,8082,31
48.1858967,7,8101,24
48.2275633,7,8121,23
48.26923,7,8142,15
48.3108967,7,8162,14
48.3525633,7,8183,5
48.39423,7,8204,0
48.4358967,7,8224,0
48.4775633,7,8244,0
48.51923,7,8263,2
48.5608967,7,8281,2
48.6025633,7,8299,0
48.64423,7,8315,0
48.6858967,7,8331,0
48.7275633,7,8344,0
48.76923,7,8357,0
48.8108967,7,8367,0
48.8525633,7,8376,0
48.89423,7,8383,0
48.9358967,7,8388,0
48.9775633,7,8390,0
49.01923,7,8390,0
49.0608967,7,8387,4
49.1025633,7,8382,3
49.14423,7,8375,3
49.1858967,7,8366,0
49.2275633,7,8356,5
49.26923,7,8345,2
49.3108967,7,8332,2
49.3525633,7,8319,4
49.39423,7,8305,2
49.4358967,7,8290,0
49.4775633,7,8275,0
49.51923,7,8261,0
49.5608967,7,8246,0
49.6025633,7,8232,0
49.64423,7,8219,0
49.6858967,7,8207,0
49.7275633,7,8196,0
49.76923,7,8187,0
49.8108967,7,8179,0
49.8525633,7,8173,0
49.89423,7,8169,0
49.9358967,6,8167,0
49.9775633,6,8168,0
50.01923,6,8172,0
50.0608967,6,8179,0
50.1025633,6,8188,0
50.14423,6,8200,0
50.1858967,6,8213,0
50.2275633,6,8229,0
50.26923,6,8247,0
50.3108967,6,8266,0
50.3525633,6,8286,0
50.39423,6,8307,0
50.4358967,6,8330,0
50.4775633,6,8353,0
50.51923,6,8377,0
50.5608967,6,8400,0
50.6025633,6,8424,0
50.64423,6,8448,1
50.6858967,6,8471,0
50.7275633,6,8494,0
50.76923,6,8516,0
50.8108967,6,8537,0
50.8525633,6,8557,0
50.89423,6,8575,0
50.9358967,6,8592,0
50.9775633,6,8607,2
51.01923,6,8620,0
51.0608967,6,8630,50
51.1025633,6,8639,24
51.14423,6,8646,44
51.1858967,6,8651,19
51.2275633,6,8654,5
51.26923,6,8656,0
