time,births,population,reported_cases
44.01923,12,13259,0
44.0608967,12,13156,0
44.1025633,12,13062,0
44.14423,12,12976,0
44.1858967,11,12897,0
44.2275633,11,12827,2
44.26923,11,12764,0
44.3108967,11,12708,2
44.3525633,11,12659,0
44.39423,11,12617,0
44.4358967,11,12581,0
44.4775633,11,12551,4
44.51923,11,12527,31
44.5608967,11,12508,56
44.6025633,11,12494,19
44.64423,11,12485,1
44.6858967,11,12481,1
44.7275633,11,12482,0
44.76923,11,12486,0
44.8108967,11,12494,0
44.8525633,11,12505,0
44.89423,11,12520,0
44.9358967,11,12538,0
44.9775633,11,12558,0
45.01923,11,12581,0
45.0608967,11,12605,0
45.1025633,11,12632,0
45.14423,11,12661,0
45.1858967,11,12691,0
45.2275633,11,12722,0
45.26923,12,12755,0
45.3108967,12,12788,75
45.3525633,12,12823,31
45.39423,12,12858,12
45.4358967,12,12893,7
45.4775633,12,12929,0
45.51923,12,12965,0
45.5608967,12,13001,2
45.6025633,12,13037,0
45.64423,12,13072,0
45.6858967,12,13107,0
45.7275633,12,13141,0
45.76923,13,13174,0
45.8108967,13,13205,0
45.8525633,13,13236,0
45.89423,13,13265,0
45.9358967,13,13292,0
45.9775633,13,13317,0
46.01923,13,13340,0
46.0608967,13,13362,0
46.1025633,13,13381,0
46.14423,13,13398,0
46.1858967,13,13414,0
46.2275633,13,13428,0
46.26923,13,13441,0
46.3108967,13,13452,0
46.3525633,13,13462,1
46.39423,13,13471,0
46.4358967,13,13479,0
46.4775633,13,13486,0
46.51923,13,13493,0
46.5608967,13,13499,0
46.6025633,13,13505,0
46.64423,13,13510,0
46.6858967,13,13515,0
46.7275633,13,13520,0
46.76923,13,13525,0
46.8108967,13,13530,0
46.8525633,13,13536,0
46.89423,13,13542,0
46.9358967,12,13548,0
46.9775633,12,13556,0
47.01923,12,13564,0
47.0608967,12,13573,0
47.1025633,12,13583,0
47.14423,12,13593,2
47.1858967,12,13605,1
47.2275633,12,13616,5
47.26923,12,13629,8
47.3108967,12,13642,6
47.3525633,12,13655,10
47.39423,13,13668,13
47.4358967,13,13682,6
47.4775633,13,13696,2
47.51923,13,13710,3
47.5608967,13,13725,8
47.6025633,13,13739,19
47.64423,13,13753,0
47.6858967,13,13767,0
47.7275633,13,13780,0
47.76923,13,13794,0
47.8108967,13,13807,0
47.8525633,13,13820,0
47.89423,13,13832,0
47.9358967,13,13843,0
47.9775633,13,13854,0
48.01923,13,13865,0
48.0608967,13,13874,0
48.1025633,13,13883,0
48.14423,13,13892,0
48.1858967,13,13900,0
48.2275633,12,13908,0
48.26923,12,13916,0
48.3108967,12,13924,2
48.3525633,12,13932,0
48.39423,12,13941,0
48.4358967,12,13950,0
48.4775633,12,13959,0
48.51923,12,13969,0
48.5608967,12,13980,0
48.6025633,12,13992,0
48.64423,12,14004,0
48.6858967,12,14018,0
48.7275633,12,14033,4
48.76923,12,14049,0
48.8108967,12,14067,0
48.8525633,12,14087,0
48.89423,12,14108,0
48.9358967,12,14131,0
48.9775633,12,14156,0
49.01923,11,14183,0
49.0608967,11,14212,6
49.1025633,11,14243,4
49.14423,11,14275,15
49.1858967,11,14310,59
49.2275633,11,14345,50
49.26923,11,14382,50
49.3108967,11,14420,16
49.3525633,11,14459,12
49.39423,11,14498,1
49.4358967,11,14538,1
49.4775633,11,14579,0
49.51923,11,14619,2
49.5608967,11,14660,0
49.6025633,11,14701,0
49.64423,11,14741,0
49.6858967,10,14781,0
49.7275633,10,14820,0
49.76923,10,14859,0
49.8108967,10,14896,0
49.8525633,10,14933,0
49.89423,10,14968,0
49.9358967,10,15001,0
49.9775633,10,15033,0
50.01923,10,15064,0
50.0608967,10,15092,0
50.1025633,10,15119,0
50.14423,10,15144,0
50.1858967,10,15167,0
50.2275633,10,15189,0
50.26923,10,15209,0
50.3108967,10,15228,0
50.3525633,10,15246,0
50.39423,10,15262,0
50.4358967,10,15277,0
50.4775633,10,15290,0
50.51923,10,15303,2
50.5608967,10,15315,0
50.6025633,10,15325,0
50.64423,10,15335,2
50.6858967,10,15344,0
50.7275633,10,15352,0
50.76923,10,15359,0
50.8108967,10,15366,0
50.8525633,10,15372,0
50.89423,10,15378,0
50.9358967,10,15383,0
50.9775633,10,15388,0
51.01923,10,15392,0
51.0608967,10,15396,0
51.1025633,10,15400,0
51.14423,10,15404,2
51.1858967,10,15407,1
51.2275633,10,15410,74
51.26923,10,15413,109
51.3108967,10,15416,19
51.3525633,10,15418,14
51.39423,10,15421,11
51.4358967,10,15423,20
51.4775633,10,15424,4
51.51923,10,15426,0
51.5608967,10,15427,0
51.6025633,11,15428,0
51.64423,11,15429,0
51.6858967,11,15430,0
51.7275633,11,15431,0
51.76923,11,15431,0
51.8108967,11,15431,4
51.8525633,11,15431,0
51.89423,11,15431,5
51.9358967,11,15431,0
51.9775633,11,15430,0
52.01923,11,15430,0
52.0608967,10,15429,0
52.1025633,10,15428,0
52.14423,10,15427,0
52.1858967,10,15426,0
52.2275633,10,15425,0
52.26923,10,15424,0
52.3108967,10,15423,0
52.3525633,10,15422,0
52.39423,10,15422,0
52.43589670000001,10,15421,0
52.47756329999999,10,15421,0
52.51923000000001,10,15420,0
52.56089670000001,10,15420,0
52.60256329999999,10,15420,0
52.64423000000001,10,15421,0
52.68589670000001,10,15422,0
52.72756329999999,10,15423,0
52.76923000000001,10,15424,2
52.81089670000001,10,15426,0
52.85256329999999,10,15428,0
52.89423000000001,10,15431,0
52.93589670000001,10,15434,0
52.97756329999999,10,15438,0
53.01923000000001,10,15442,0
53.06089670000001,9,15447,3
53.10256329999999,9,15452,10
53.14423000000001,9,15458,24
53.18589670000001,9,15464,37
53.22756329999999,9,15470,37
53.26923000000001,9,15477,11
53.31089670000001,9,15484,15
53.35256329999999,9,15491,5
53.39423000000001,9,15499,0
53.43589670000001,9,15506,0
53.47756329999999,9,15514,0
53.51923000000001,9,15522,2
53.56089670000001,9,15529,7
53.60256329999999,9,15537,0
53.64423000000001,9,15545,3
53.68589670000001,9,15552,0
53.72756329999999,9,15560,0
53.76923000000001,9,15567,0
53.81089670000001,10,15573,0
53.85256329999999,10,15580,0
53.89423000000001,10,15586,0
53.93589670000001,10,15592,0
53.97756329999999,10,15597,0
54.01923000000001,10,15602,0
54.06089670000001,10,15607,0
54.10256329999999,10,15611,1
54.14423000000001,10,15614,1
54.18589670000001,10,15617,0
54.22756329999999,10,15620,0
54.26923000000001,10,15623,0
54.31089670000001,11,15625,0
54.35256329999999,11,15628,0
54.39423000000001,11,15630,0
54.43589670000001,11,15632,0
54.47756329999999,11,15634,0
54.51923000000001,11,15637,0
54.56089670000001,11,15639,0
54.60256329999999,11,15641,0
54.64423000000001,11,15644,0
54.68589670000001,12,15647,0
54.72756329999999,12,15650,0
54.76923000000001,12,15653,0
54.81089670000001,12,15657,0
54.85256329999999,12,15661,0
54.89423000000001,12,15666,0
54.93589670000001,12,15671,0
54.97756329999999,12,15677,0
55.01923000000001,12,15683,0
55.06089670000001,12,15690,2
55.10256329999999,12,15697,1
55.14423000000001,12,15705,3
55.18589670000001,12,15714,0
55.22756329999999,12,15723,10
55.26923000000001,12,15733,46
55.31089670000001,12,15742,98
55.35256329999999,12,15753,30
55.39423000000001,12,15763,26
55.43589670000001,12,15774,10
55.47756329999999,11,15786,13
55.51923000000001,11,15797,0
55.56089670000001,11,15809,0
55.60256329999999,11,15821,0
55.64423000000001,11,15833,0
55.68589670000001,11,15846,0
55.72756329999999,11,15858,0
