time,births,population,reported_cases
44.01923,1,1701,0
44.0608967,1,1694,0
44.1025633,1,1687,0
44.14423,1,1681,0
44.1858967,1,1676,0
44.2275633,1,1671,0
44.26923,1,1667,0
44.3108967,1,1663,0
44.3525633,1,1660,0
44.39423,1,1658,0
44.4358967,1,1656,0
44.4775633,1,1654,0
44.51923,1,1653,0
44.5608967,1,1652,0
44.6025633,1,1651,0
44.64423,1,1651,0
44.6858967,1,1651,0
44.7275633,1,1652,2
44.76923,1,1652,2
44.8108967,1,1653,7
44.8525633,1,1654,2
44.89423,1,1655,1
44.9358967,1,1656,0
44.9775633,1,1657,0
45.01923,1,1659,0
45.0608967,1,1660,6
45.1025633,1,1661,5
45.14423,1,1663,2
45.1858967,1,1664,1
45.2275633,1,1665,0
45.26923,1,1666,20
45.3108967,1,1667,0
45.3525633,1,1668,2
45.39423,1,1669,0
45.4358967,1,1670,0
45.4775633,1,1671,0
45.51923,1,1671,0
45.5608967,1,1671,0
45.6025633,1,1672,0
45.64423,1,1672,0
45.6858967,1,1671,0
45.7275633,1,1671,0
45.76923,1,1670,0
45.8108967,1,1669,0
45.8525633,1,1667,0
45.89423,1,1666,0
45.9358967,1,1664,0
45.9775633,1,1661,0
46.01923,1,1659,0
46.0608967,1,1656,0
46.1025633,1,1652,0
46.14423,1,1649,0
46.1858967,2,1645,0
46.2275633,2,1641,0
46.26923,2,1636,0
46.3108967,2,1632,0
46.3525633,2,1627,0
46.39423,2,1623,0
46.4358967,2,1618,0
46.4775633,2,1613,0
46.51923,2,1608,0
46.5608967,2,1603,0
46.6025633,2,1598,0
46.64423,2,1593,0
46.6858967,2,1589,0
46.7275633,2,1584,0
46.76923,2,1580,0
46.8108967,2,1576,0
46.8525633,2,1572,0
46.89423,2,1568,0
46.9358967,2,1565,2
46.9775633,2,1562,0
47.01923,2,1559,0
47.0608967,2,1556,0
47.1025633,2,1554,0
47.14423,2,1553,0
47.1858967,2,1551,0
47.2275633,2,1550,0
47.26923,2,1549,0
47.3108967,2,1549,0
47.3525633,2,1549,0
47.39423,1,1549,0
47.4358967,1,1550,0
47.4775633,1,1551,0
47.51923,1,1552,0
47.5608967,1,1554,0
47.6025633,1,1556,0
47.64423,1,1558,0
47.6858967,1,1561,0
47.7275633,1,1564,0
47.76923,1,1567,0
47.8108967,1,1570,0
47.8525633,1,1574,0
47.89423,1,1578,0
47.9358967,1,1583,0
47.9775633,1,1587,0
48.01923,1,1592,0
48.0608967,1,1598,1
48.1025633,1,1603,0
48.14423,1,1609,0
48.1858967,1,1615,0
48.2275633,1,1621,2
48.26923,1,1627,18
48.3108967,1,1633,10
48.3525633,1,1639,2
48.39423,1,1646,0
48.4358967,1,1652,0
48.4775633,1,1658,0
48.51923,1,1664,0
48.5608967,1,1670,0
48.6025633,1,1676,0
48.64423,1,1682,0
48.6858967,1,1688,0
48.7275633,1,1693,0
48.76923,1,1698,0
48.8108967,1,1703,0
48.8525633,1,1707,0
48.89423,1,1711,0
48.9358967,1,1715,0
48.9775633,1,1718,0
49.01923,1,1721,0
49.0608967,1,1724,0
49.1025633,1,1726,0
49.14423,1,1727,0
49.1858967,1,1728,0
49.2275633,1,1729,0
49.26923,1,1730,0
49.3108967,1,1730,0
49.3525633,1,1730,2
49.39423,1,1730,0
49.4358967,1,1729,0
49.4775633,1,1729,1
49.51923,1,1728,0
49.5608967,1,1727,0
49.6025633,1,1727,0
49.64423,1,1726,0
49.6858967,1,1725,0
49.7275633,1,1724,0
49.76923,1,1723,0
49.8108967,1,1722,0
49.8525633,1,1721,0
49.89423,1,1721,0
49.9358967,1,1720,0
49.9775633,1,1720,0
50.01923,1,1720,0
50.0608967,1,1720,0
50.1025633,1,1721,0
50.14423,1,1721,0
50.1858967,1,1722,0
50.2275633,1,1723,0
50.26923,1,1724,0
50.3108967,1,1725,0
50.3525633,1,1726,0
50.39423,1,1727,0
50.4358967,1,1728,0
50.4775633,1,1730,0
50.51923,1,1731,0
50.5608967,1,1732,4
50.6025633,1,1733,0
50.64423,1,1735,0
50.6858967,1,1736,0
50.7275633,1,1737,0
50.76923,1,1737,0
50.8108967,1,1738,0
50.8525633,1,1739,2
50.89423,1,1739,1
50.9358967,1,1739,17
50.9775633,1,1739,12
51.01923,1,1739,11
51.0608967,1,1738,15
51.1025633,1,1738,7
51.14423,1,1737,9
51.1858967,1,1735,3
51.2275633,1,1734,6
51.26923,1,1732,0
51.3108967,1,1731,0
51.3525633,1,1729,3
51.39423,1,1727,0
51.4358967,1,1725,0
51.4775633,1,1723,0
51.51923,1,1721,0
51.5608967,1,1719,0
51.6025633,1,1717,1
51.64423,1,1714,1
51.6858967,1,1712,0
51.7275633,1,1710,0
51.76923,1,1708,0
51.8108967,1,1706,0
51.8525633,1,1704,0
51.89423,1,1702,0
51.9358967,1,1700,0
51.9775633,1,1699,0
52.01923,1,1697,0
52.0608967,1,1696,0
52.1025633,1,1695,0
52.14423,1,1694,0
52.1858967,1,1693,0
52.2275633,1,1692,0
52.26923,1,1691,0
52.3108967,1,1691,0
52.3525633,1,1690,0
52.39423,1,1690,0
52.43589670000001,1,1690,0
52.47756329999999,1,1690,0
52.51923000000001,1,1690,0
52.56089670000001,1,1690,0
52.60256329999999,1,1690,0
52.64423000000001,1,1690,0
52.68589670000001,1,1690,0
52.72756329999999,1,1690,0
52.76923000000001,1,1690,0
52.81089670000001,1,1691,0
52.85256329999999,1,1691,0
52.89423000000001,1,1691,0
52.93589670000001,1,1691,0
52.97756329999999,1,1692,0
53.01923000000001,1,1692,0
53.06089670000001,1,1692,0
53.10256329999999,1,1693,0
53.14423000000001,1,1693,0
53.18589670000001,1,1693,0
53.22756329999999,1,1694,0
53.26923000000001,1,1694,0
53.31089670000001,1,1694,0
53.35256329999999,1,1695,0
53.39423000000001,1,1695,0
53.43589670000001,1,1695,0
53.47756329999999,1,1696,0
53.51923000000001,1,1696,0
53.56089670000001,1,1696,0
53.60256329999999,1,1696,0
53.64423000000001,1,1697,0
53.68589670000001,1,1697,0
53.72756329999999,1,1697,0
53.76923000000001,1,1698,0
53.81089670000001,1,1698,0
53.85256329999999,1,1699,0
53.89423000000001,1,1699,0
53.93589670000001,1,1699,0
53.97756329999999,1,1700,0
54.01923000000001,1,1700,0
54.06089670000001,1,1701,0
54.10256329999999,1,1701,0
54.14423000000001,1,1702,0
54.18589670000001,1,1702,0
54.22756329999999,1,1702,0
54.26923000000001,1,1703,0
54.31089670000001,1,1703,3
54.35256329999999,1,1703,14
54.39423000000001,1,1704,27
54.43589670000001,1,1704,7
54.47756329999999,1,1704,5
54.51923000000001,1,1704,5
54.56089670000001,1,1705,0
54.60256329999999,1,1705,0
54.64423000000001,1,1704,0
54.68589670000001,1,1704,0
54.72756329999999,1,1704,0
54.76923000000001,1,1704,0
54.81089670000001,1,1703,0
54.85256329999999,1,1703,0
54.89423000000001,1,1702,0
54.93589670000001,1,1701,0
54.97756329999999,1,1701,0
55.01923000000001,1,1700,0
55.06089670000001,1,1698,0
55.10256329999999,1,1697,3
55.14423000000001,1,1696,3
55.18589670000001,1,1694,2
55.22756329999999,1,1693,0
55.26923000000001,1,1691,0
55.31089670000001,1,1690,0
55.35256329999999,1,1688,0
55.39423000000001,1,1686,0
55.43589670000001,1,1685,0
55.47756329999999,1,1683,0
55.51923000000001,1,1681,0
55.56089670000001,1,1680,0
55.60256329999999,1,1678,0
55.64423000000001,1,1677,0
55.68589670000001,1,1676,0
55.72756329999999,1,1674,0
55.76923000000001,1,1673,0
55.81089670000001,1,1672,0
