time,births,population,reported_cases
44.01923,5,5858,0
44.0608967,5,5838,0
44.1025633,5,5818,0
44.14423,5,5800,0
44.1858967,5,5783,0
44.2275633,5,5767,0
44.26923,5,5752,0
44.3108967,5,5738,0
44.3525633,4,5725,0
44.39423,4,5713,0
44.4358967,4,5702,0
44.4775633,4,5692,0
44.51923,4,5684,0
44.5608967,4,5676,0
44.6025633,4,5669,0
44.64423,4,5663,0
44.6858967,4,5658,0
44.7275633,4,5655,0
44.76923,4,5652,0
44.8108967,4,5649,0
44.8525633,4,5648,0
44.89423,4,5648,0
44.9358967,4,5648,1
44.9775633,4,5650,0
45.01923,4,5652,0
45.0608967,4,5655,0
45.1025633,4,5659,3
45.14423,4,5664,4
45.1858967,5,5669,2
45.2275633,5,5675,3
45.26923,5,5682,8
45.3108967,5,5690,2
45.3525633,5,5698,0
45.39423,5,5707,0
45.4358967,5,5717,0
45.4775633,5,5727,0
45.51923,5,5737,0
45.5608967,5,5749,5
45.6025633,5,5760,11
45.64423,5,5773,1
45.6858967,5,5785,0
45.7275633,5,5799,0
45.76923,5,5812,0
45.8108967,5,5826,0
45.8525633,5,5841,0
45.89423,5,5856,0
45.9358967,5,5871,0
45.9775633,5,5887,0
46.01923,5,5902,0
46.0608967,5,5918,0
46.1025633,5,5935,0
46.14423,5,5951,0
46.1858967,6,5968,0
46.2275633,6,5985,0
46.26923,6,6002,0
46.3108967,6,6018,0
46.3525633,6,6035,0
46.39423,6,6052,0
46.4358967,6,6069,6
46.4775633,6,6085,1
46.51923,6,6101,0
46.5608967,6,6117,0
46.6025633,6,6133,0
46.64423,6,6148,0
46.6858967,6,6163,0
46.7275633,6,6178,0
46.76923,6,6192,0
46.8108967,6,6206,0
46.8525633,6,6219,0
46.89423,6,6231,0
46.9358967,6,6243,0
46.9775633,6,6254,0
47.01923,6,6265,0
47.0608967,6,6274,0
47.1025633,6,6283,0
47.14423,6,6292,0
47.1858967,5,6299,0
47.2275633,5,6306,0
47.26923,5,6313,0
