time,births,population,reported_cases
44.01923,2,3009,0
44.0608967,2,3004,0
44.1025633,3,2999,0
44.14423,3,2994,0
44.1858967,3,2991,0
44.2275633,3,2988,0
44.26923,3,2985,0
44.3108967,3,2983,0
44.3525633,3,2981,0
44.39423,3,2980,0
44.4358967,3,2980,0
44.4775633,3,2980,0
44.51923,3,2980,0
44.5608967,3,2981,0
44.6025633,3,2982,0
44.64423,3,2984,0
44.6858967,3,2986,0
44.7275633,3,2988,0
44.76923,3,2990,0
44.8108967,3,2993,2
44.8525633,3,2997,0
44.89423,3,3000,0
44.9358967,3,3004,0
44.9775633,3,3008,0
45.01923,3,3012,0
45.0608967,3,3016,0
45.1025633,3,3021,0
45.14423,3,3026,0
45.1858967,3,3031,1
45.2275633,3,3036,7
45.26923,3,3041,2
45.3108967,3,3046,0
45.3525633,3,3051,0
45.39423,3,3057,3
45.4358967,3,3062,0
45.4775633,3,3068,0
45.51923,2,3073,0
45.5608967,2,3079,0
45.6025633,2,3084,0
45.64423,2,3090,0
45.6858967,2,3096,0
45.7275633,2,3101,0
45.76923,2,3107,0
45.8108967,2,3112,0
45.8525633,2,3117,0
45.89423,2,3122,0
45.9358967,2,3127,0
45.9775633,2,3132,0
46.01923,2,3137,0
46.0608967,2,3142,0
46.1025633,2,3146,0
46.14423,2,3151,0
46.1858967,2,3155,0
46.2275633,2,3159,0
46.26923,2,3163,0
46.3108967,2,3166,0
46.3525633,2,3170,0
46.39423,2,3174,0
46.4358967,3,3177,0
46.4775633,3,3180,0
46.51923,3,3183,0
46.5608967,3,3186,0
46.6025633,3,3189,0
46.64423,3,3192,0
46.6858967,3,3194,1
46.7275633,3,3197,0
46.76923,3,3199,0
46.8108967,3,3201,0
46.8525633,3,3203,0
46.89423,3,3205,1
46.9358967,3,3207,0
46.9775633,3,3209,0
47.01923,3,3211,0
47.0608967,3,3212,0
47.1025633,3,3214,1
47.14423,3,3215,0
47.1858967,3,3217,0
47.2275633,3,3218,2
47.26923,3,3219,0
47.3108967,3,3220,0
47.3525633,3,3221,0
47.39423,3,3222,0
47.4358967,3,3223,0
47.4775633,3,3224,1
47.51923,3,3225,3
47.5608967,3,3226,32
47.6025633,3,3227,35
47.64423,3,3228,2
47.6858967,3,3229,0
47.7275633,3,3230,0
47.76923,3,3231,0
47.8108967,3,3233,0
47.8525633,3,3234,0
47.89423,3,3235,0
47.9358967,3,3236,0
47.9775633,3,3237,0
48.01923,3,3239,0
48.0608967,3,3240,2
48.1025633,3,3242,3
48.14423,3,3243,0
48.1858967,3,3245,1
48.2275633,3,3246,1
48.26923,3,3248,0
48.3108967,3,3250,1
48.3525633,3,3252,9
48.39423,3,3254,11
48.4358967,3,3256,3
48.4775633,3,3258,9
48.51923,3,3260,0
48.5608967,3,3262,0
48.6025633,3,3265,0
48.64423,3,3267,0
48.6858967,3,3269,0
48.7275633,3,3271,0
48.76923,3,3274,0
48.8108967,3,3276,0
48.8525633,3,3279,0
48.89423,3,3281,0
48.9358967,3,3284,0
48.9775633,3,3287,0
49.01923,3,3289,0
49.0608967,3,3292,0
49.1025633,3,3295,0
49.14423,3,3297,2
49.1858967,3,3300,1
