time,births,population,reported_cases
44.01923,14,19375,2
44.0608967,14,19345,0
44.1025633,14,19319,14
44.14423,14,19296,43
44.1858967,14,19278,66
44.2275633,15,19262,27
44.26923,15,19251,17
44.3108967,15,19242,74
44.3525633,15,19237,62
44.39423,15,19235,18
44.4358967,15,19235,16
44.4775633,15,19238,2
44.51923,15,19244,0
44.5608967,15,19253,7
44.6025633,15,19264,0
44.64423,15,19277,0
44.6858967,15,19292,0
44.7275633,15,19309,0
44.76923,15,19328,0
44.8108967,15,19348,0
44.8525633,15,19371,0
44.89423,15,19394,0
44.9358967,15,19419,1
44.9775633,15,19445,3
45.01923,15,19473,10
45.0608967,15,19501,7
45.1025633,15,19530,3
45.14423,15,19560,2
45.1858967,15,19590,1
45.2275633,15,19622,2
45.26923,15,19653,2
45.3108967,15,19685,3
45.3525633,15,19717,0
45.39423,15,19750,0
45.4358967,15,19783,4
45.4775633,15,19815,10
45.51923,15,19848,12
45.5608967,15,19880,5
45.6025633,15,19913,1
45.64423,15,19945,2
45.6858967,15,19976,2
45.7275633,15,20007,0
45.76923,15,20037,0
45.8108967,15,20067,0
45.8525633,15,20096,3
45.89423,16,20124,0
45.9358967,16,20151,3
45.9775633,16,20177,2
46.01923,16,20201,0
46.0608967,16,20225,0
46.1025633,16,20247,0
46.14423,16,20268,0
46.1858967,16,20289,2
46.2275633,16,20308,0
46.26923,17,20326,0
46.3108967,17,20343,0
46.3525633,17,20359,0
46.39423,17,20375,0
46.4358967,17,20390,0
46.4775633,17,20403,0
46.51923,17,20417,2
46.5608967,17,20429,2
46.6025633,17,20441,1
46.64423,17,20452,7
46.6858967,17,20463,1
46.7275633,18,20473,0
46.76923,18,20483,0
46.8108967,18,20492,33
46.8525633,18,20501,58
46.89423,18,20509,105
46.9358967,18,20518,172
46.9775633,18,20526,55
47.01923,17,20534,41
47.0608967,17,20541,14
47.1025633,17,20549,8
47.14423,17,20556,5
47.1858967,17,20563,2
47.2275633,17,20570,2
47.26923,17,20577,2
47.3108967,17,20584,0
47.3525633,16,20591,1
47.39423,16,20598,4
47.4358967,16,20604,6
47.4775633,16,20611,6
47.51923,16,20618,4
47.5608967,15,20624,3
47.6025633,15,20631,4
47.64423,15,20638,2
47.6858967,15,20645,0
47.7275633,15,20652,1
47.76923,15,20659,0
47.8108967,14,20666,0
47.8525633,14,20673,2
47.89423,14,20680,1
47.9358967,14,20688,0
47.9775633,14,20696,2
48.01923,14,20704,0
48.0608967,14,20712,0
48.1025633,14,20720,0
48.14423,13,20728,4
48.1858967,13,20737,2
48.2275633,13,20745,4
48.26923,13,20754,8
48.3108967,13,20763,15
48.3525633,13,20771,24
48.39423,13,20780,18
48.4358967,13,20788,8
48.4775633,13,20797,46
48.51923,13,20805,15
48.5608967,13,20813,14
48.6025633,13,20821,6
48.64423,13,20828,1
48.6858967,13,20836,7
48.7275633,13,20843,30
48.76923,13,20849,10
48.8108967,13,20856,9
48.8525633,13,20862,14
48.89423,14,20868,29
48.9358967,14,20873,39
48.9775633,14,20878,10
49.01923,14,20882,21
49.0608967,14,20886,16
49.1025633,14,20889,10
49.14423,14,20892,6
49.1858967,14,20894,1
49.2275633,14,20895,6
49.26923,14,20896,6
49.3108967,14,20897,28
49.3525633,14,20897,16
49.39423,14,20896,2
49.4358967,13,20895,3
49.4775633,13,20893,0
49.51923,13,20890,0
49.5608967,13,20887,0
49.6025633,13,20883,0
49.64423,13,20878,0
49.6858967,13,20873,0
49.7275633,13,20867,0
49.76923,13,20860,0
49.8108967,13,20853,5
49.8525633,13,20845,0
49.89423,13,20836,1
49.9358967,13,20826,0
49.9775633,13,20816,2
50.01923,13,20805,0
50.0608967,13,20793,0
50.1025633,13,20780,0
50.14423,13,20767,1
50.1858967,12,20753,1
50.2275633,12,20739,0
50.26923,12,20724,0
50.3108967,12,20709,0
50.3525633,12,20694,0
50.39423,12,20679,2
50.4358967,12,20663,0
50.4775633,12,20648,0
50.51923,12,20632,0
50.5608967,12,20617,2
50.6025633,12,20602,2
50.64423,12,20587,1
50.6858967,12,20572,1
50.7275633,12,20558,0
50.76923,12,20544,0
50.8108967,12,20531,20
50.8525633,12,20519,109
50.89423,12,20507,143
50.9358967,12,20496,82
50.9775633,12,20485,22
51.01923,12,20476,10
51.0608967,12,20467,13
51.1025633,12,20460,9
51.14423,12,20453,8
51.1858967,12,20447,1
51.2275633,12,20441,1
51.26923,12,20436,0
51.3108967,12,20432,2
51.3525633,12,20428,0
51.39423,12,20424,2
51.4358967,13,20421,0
51.4775633,13,20418,0
51.51923,13,20416,0
51.5608967,13,20413,0
51.6025633,13,20411,1
51.64423,13,20408,1
51.6858967,13,20406,0
51.7275633,13,20403,0
51.76923,14,20401,0
51.8108967,14,20398,0
51.8525633,14,20395,0
51.89423,14,20391,0
51.9358967,14,20387,0
51.9775633,14,20383,2
52.01923,14,20378,0
52.0608967,14,20372,0
52.1025633,14,20366,1
52.14423,14,20360,15
52.1858967,15,20353,19
52.2275633,15,20346,0
52.26923,15,20338,0
52.3108967,15,20331,3
52.3525633,15,20323,0
52.39423,15,20315,0
52.43589670000001,15,20307,0
52.47756329999999,15,20299,1
52.51923000000001,15,20291,0
52.56089670000001,15,20283,1
52.60256329999999,15,20275,2
52.64423000000001,15,20268,0
52.68589670000001,15,20261,0
52.72756329999999,15,20254,2
52.76923000000001,15,20247,104
52.81089670000001,15,20241,106
52.85256329999999,14,20235,72
52.89423000000001,14,20230,81
52.93589670000001,14,20226,87
52.97756329999999,14,20222,48
53.01923000000001,14,20219,21
53.06089670000001,14,20216,9
53.10256329999999,14,20214,9
53.14423000000001,14,20213,11
53.18589670000001,14,20212,10
53.22756329999999,14,20212,3
53.26923000000001,14,20212,6
53.31089670000001,14,20212,2
53.35256329999999,13,20213,3
53.39423000000001,13,20214,8
53.43589670000001,13,20215,4
53.47756329999999,13,20216,5
53.51923000000001,13,20218,0
53.56089670000001,13,20219,2
53.60256329999999,13,20220,0
53.64423000000001,13,20222,0
53.68589670000001,13,20223,1
53.72756329999999,13,20223,0
53.76923000000001,12,20224,0
53.81089670000001,12,20224,3
53.85256329999999,12,20224,9
53.89423000000001,12,20224,5
53.93589670000001,12,20223,1
53.97756329999999,12,20221,0
54.01923000000001,12,20219,2
54.06089670000001,12,20216,0
54.10256329999999,12,20213,7
54.14423000000001,12,20209,3
54.18589670000001,11,20205,0
54.22756329999999,11,20200,0
54.26923000000001,11,20195,0
54.31089670000001,11,20189,0
54.35256329999999,11,20183,0
54.39423000000001,11,20177,1
54.43589670000001,11,20171,1
54.47756329999999,11,20165,0
54.51923000000001,11,20158,0
54.56089670000001,11,20152,2
54.60256329999999,11,20145,0
