time,births,population,reported_cases
44.01923,9,11484,0
44.0608967,9,11452,0
44.1025633,9,11424,0
44.14423,9,11401,0
44.1858967,9,11380,1
44.2275633,9,11364,2
44.26923,9,11351,2
44.3108967,9,11341,3
44.3525633,9,11334,1
44.39423,9,11331,0
44.4358967,9,11330,6
44.4775633,9,11332,5
44.51923,9,11336,6
44.5608967,9,11343,0
44.6025633,9,11353,0
44.64423,9,11364,0
44.6858967,9,11378,0
44.7275633,9,11393,0
44.76923,9,11410,0
44.8108967,9,11429,0
44.8525633,9,11449,1
44.89423,9,11471,1
44.9358967,9,11493,3
44.9775633,9,11517,4
45.01923,9,11541,58
45.0608967,9,11567,52
45.1025633,9,11593,23
45.14423,9,11619,6
45.1858967,9,11647,0
45.2275633,9,11674,0
45.26923,9,11702,2
45.3108967,9,11730,2
45.3525633,9,11758,1
45.39423,9,11787,1
45.4358967,9,11815,0
45.4775633,9,11843,0
45.51923,9,11871,0
45.5608967,9,11899,2
45.6025633,9,11926,0
45.64423,9,11953,0
45.6858967,9,11979,0
45.7275633,9,12005,0
45.76923,9,12030,0
45.8108967,9,12054,0
45.8525633,9,12077,0
45.89423,9,12099,0
45.9358967,9,12120,1
45.9775633,9,12140,2
46.01923,9,12158,4
46.0608967,9,12176,9
46.1025633,9,12192,1
46.14423,9,12207,2
46.1858967,10,12221,1
46.2275633,10,12234,0
46.26923,10,12246,0
46.3108967,10,12257,0
46.3525633,10,12267,0
46.39423,10,12277,0
46.4358967,10,12286,0
46.4775633,10,12295,0
46.51923,10,12303,2
46.5608967,10,12311,0
46.6025633,10,12318,3
46.64423,10,12326,1
46.6858967,10,12333,3
46.7275633,10,12340,2
46.76923,10,12347,0
46.8108967,10,12354,0
46.8525633,10,12362,0
46.89423,10,12369,0
46.9358967,10,12377,0
46.9775633,10,12385,0
47.01923,10,12394,0
47.0608967,10,12403,5
47.1025633,10,12413,1
47.14423,10,12423,35
47.1858967,10,12433,33
47.2275633,10,12444,46
47.26923,10,12455,10
47.3108967,10,12466,5
47.3525633,10,12478,4
47.39423,10,12490,2
47.4358967,10,12501,0
47.4775633,10,12513,3
47.51923,9,12525,0
47.5608967,9,12537,0
47.6025633,9,12548,0
47.64423,9,12560,0
47.6858967,9,12572,0
47.7275633,9,12583,0
47.76923,9,12594,0
47.8108967,9,12605,0
47.8525633,9,12616,0
47.89423,9,12626,0
47.9358967,9,12636,0
47.9775633,9,12645,0
48.01923,9,12654,0
48.0608967,9,12663,0
48.1025633,9,12671,17
48.14423,9,12678,0
48.1858967,9,12685,0
48.2275633,8,12692,0
48.26923,8,12698,0
48.3108967,8,12703,2
48.3525633,8,12708,1
48.39423,8,12713,8
48.4358967,8,12717,3
48.4775633,8,12721,0
48.51923,8,12724,10
48.5608967,8,12727,10
48.6025633,8,12730,1
48.64423,8,12732,2
48.6858967,8,12733,0
48.7275633,8,12734,3
48.76923,8,12735,0
48.8108967,8,12735,17
48.8525633,8,12735,19
48.89423,8,12734,10
48.9358967,8,12733,14
48.9775633,8,12731,22
49.01923,8,12729,44
49.0608967,8,12727,15
49.1025633,8,12724,10
49.14423,8,12721,5
49.1858967,8,12717,4
49.2275633,8,12713,0
49.26923,8,12709,6
49.3108967,8,12705,0
49.3525633,8,12700,4
49.39423,8,12695,4
49.4358967,8,12690,3
49.4775633,8,12685,2
49.51923,8,12680,2
49.5608967,8,12675,0
49.6025633,8,12669,1
49.64423,8,12664,2
49.6858967,8,12659,1
49.7275633,8,12653,0
49.76923,8,12648,0
49.8108967,8,12642,0
49.8525633,8,12637,0
49.89423,8,12632,0
49.9358967,8,12627,0
49.9775633,8,12622,0
50.01923,8,12618,0
50.0608967,8,12614,0
50.1025633,8,12609,0
50.14423,8,12606,3
50.1858967,8,12602,3
50.2275633,8,12599,0
50.26923,8,12595,2
50.3108967,8,12593,0
50.3525633,8,12590,0
50.39423,8,12588,2
50.4358967,8,12586,6
50.4775633,8,12584,3
50.51923,8,12582,12
50.5608967,8,12581,15
50.6025633,8,12581,20
50.64423,8,12580,1
50.6858967,8,12580,0
50.7275633,8,12580,0
50.76923,8,12581,0
50.8108967,8,12581,2
50.8525633,8,12583,1
50.89423,8,12584,2
50.9358967,8,12586,3
50.9775633,8,12589,0
51.01923,7,12591,19
51.0608967,7,12594,8
51.1025633,7,12598,10
51.14423,7,12602,12
51.1858967,7,12605,23
51.2275633,7,12609,13
51.26923,7,12614,23
51.3108967,7,12618,7
51.3525633,7,12622,6
51.39423,7,12626,5
51.4358967,7,12630,2
51.4775633,7,12634,3
51.51923,7,12638,0
51.5608967,7,12642,0
51.6025633,7,12645,1
51.64423,7,12648,2
51.6858967,7,12650,0
51.7275633,7,12652,0
51.76923,7,12653,0
51.8108967,7,12654,0
51.8525633,7,12655,0
51.89423,7,12654,1
51.9358967,7,12653,0
51.9775633,7,12651,0
52.01923,7,12649,0
52.0608967,7,12645,0
52.1025633,7,12641,0
52.14423,7,12636,0
52.1858967,7,12630,0
52.2275633,7,12624,0
52.26923,7,12618,2
52.3108967,7,12611,8
52.3525633,7,12603,7
52.39423,7,12596,9
52.43589670000001,7,12588,4
52.47756329999999,7,12580,6
52.51923000000001,7,12571,8
52.56089670000001,7,12563,3
52.60256329999999,7,12555,0
52.64423000000001,7,12547,0
52.68589670000001,7,12539,1
52.72756329999999,7,12531,0
52.76923000000001,7,12524,4
52.81089670000001,7,12516,6
52.85256329999999,7,12510,2
52.89423000000001,7,12503,1
52.93589670000001,7,12498,0
52.97756329999999,6,12492,2
53.01923000000001,6,12488,4
53.06089670000001,6,12484,18
53.10256329999999,6,12481,5
53.14423000000001,6,12479,11
53.18589670000001,6,12477,23
53.22756329999999,6,12475,30
53.26923000000001,6,12474,25
53.31089670000001,6,12473,13
53.35256329999999,6,12473,3
53.39423000000001,6,12473,4
53.43589670000001,6,12473,0
53.47756329999999,6,12474,2
53.51923000000001,6,12474,0
53.56089670000001,6,12475,0
53.60256329999999,6,12476,0
53.64423000000001,6,12477,0
53.68589670000001,6,12478,0
53.72756329999999,6,12479,0
53.76923000000001,6,12480,0
53.81089670000001,6,12480,0
53.85256329999999,6,12481,0
53.89423000000001,6,12481,0
53.93589670000001,6,12481,0
53.97756329999999,6,12480,0
54.01923000000001,6,12480,0
54.06089670000001,6,12478,0
54.10256329999999,6,12477,0
54.14423000000001,6,12475,0
54.18589670000001,6,12473,1
54.22756329999999,6,12471,0
54.26923000000001,6,12468,4
54.31089670000001,6,12466,0
54.35256329999999,6,12463,0
54.39423000000001,6,12460,0
54.43589670000001,6,12458,1
54.47756329999999,6,12455,0
54.51923000000001,6,12452,0
54.56089670000001,6,12450,0
54.60256329999999,6,12447,1
54.64423000000001,6,12445,3
54.68589670000001,6,12443,0
54.72756329999999,6,12442,0
54.76923000000001,6,12440,2
54.81089670000001,6,12439,5
54.85256329999999,6,12438,2
54.89423000000001,6,12438,9
54.93589670000001,6,12439,7
54.97756329999999,6,12439,9
55.01923000000001,6,12441,21
55.06089670000001,7,12443,13
55.10256329999999,7,12445,26
55.14423000000001,7,12448,31
55.18589670000001,7,12451,12
55.22756329999999,7,12455,7
55.26923000000001,7,12459,0
55.31089670000001,7,12463,3
55.35256329999999,7,12467,3
55.39423000000001,7,12472,0
55.43589670000001,7,12477,1
55.47756329999999,7,12482,20
55.51923000000001,7,12487,29
55.56089670000001,7,12491,7
55.60256329999999,7,12496,3
55.64423000000001,7,12501,1
55.68589670000001,7,12506,0
55.72756329999999,7,12510,0
55.76923000000001,7,12514,0
55.81089670000001,7,12518,0
55.85256329999999,7,12521,0
55.89423000000001,7,12524,0
55.93589670000001,7,12527,0
55.97756329999999,7,12529,0
56.01923000000001,7,12531,0
56.06089670000001,7,12532,0
56.10256329999999,7,12532,0
56.14423000000001,7,12532,0
56.18589670000001,7,12532,0
56.22756329999999,7,12531,0
56.26923000000001,7,12530,0
56.31089670000001,7,12528,0
56.35256329999999,7,12527,0
56.39423000000001,7,12524,0
56.43589670000001,7,12522,0
56.47756329999999,7,12519,0
56.51923000000001,7,12516,0
56.56089670000001,7,12513,2
56.60256329999999,7,12510,0
56.64423000000001,7,12507,0
56.68589670000001,7,12504,1
56.72756329999999,7,12500,0
56.76923000000001,7,12497,2
56.81089670000001,7,12494,0
56.85256329999999,7,12491,0
56.89423000000001,7,12487,0
56.93589670000001,7,12484,2
56.97756329999999,7,12481,0
57.01923000000001,7,12479,0
57.06089670000001,7,12476,4
57.10256329999999,7,12474,17
57.14423000000001,7,12472,10
57.18589670000001,7,12470,7
57.22756329999999,7,12468,6
57.26923000000001,7,12466,8
57.31089670000001,7,12465,6
57.35256329999999,7,12464,7
57.39423000000001,7,12462,3
57.43589670000001,7,12461,1
57.47756329999999,7,12460,0
57.51923000000001,7,12459,2
57.56089670000001,7,12458,0
57.60256329999999,7,12457,0
57.64423000000001,8,12456,1
57.68589670000001,8,12456,0
57.72756329999999,8,12455,0
57.76923000000001,8,12454,0
57.81089670000001,8,12453,0
57.85256329999999,8,12453,1
57.89423000000001,8,12452,1
57.93589670000001,8,12451,0
57.97756329999999,8,12450,0
58.01923000000001,8,12450,0
58.06089670000001,8,12449,0
58.10256329999999,8,12448,0
58.14423000000001,8,12447,0
58.18589670000001,8,12446,0
58.22756329999999,8,12445,0
58.26923000000001,8,12444,5
58.31089670000001,8,12443,3
58.35256329999999,8,12442,3
58.39423000000001,8,12441,29
58.43589670000001,8,12441,35
58.47756329999999,8,12440,7
58.51923000000001,8,12439,1
58.56089670000001,8,12439,5
58.60256329999999,8,12438,4
58.64423000000001,8,12438,1
58.68589670000001,8,12437,3
58.72756329999999,8,12437,1
58.76923000000001,8,12437,2
58.81089670000001,8,12437,0
58.85256329999999,8,12438,0
58.89423000000001,8,12438,1
58.93589670000001,8,12439,0
58.97756329999999,8,12439,2
59.01923000000001,8,12440,0
59.06089670000001,8,12442,0
59.10256329999999,8,12443,0
59.14423000000001,8,12444,5
59.18589670000001,8,12446,12
59.22756329999999,8,12447,2
59.26923000000001,8,12449,2
59.31089670000001,8,12450,6
59.35256329999999,8,12451,12
59.39423000000001,8,12452,6
59.43589670000001,8,12453,8
59.47756329999999,8,12454,6
59.51923000000001,8,12454,12
59.56089670000001,8,12454,25
59.60256329999999,8,12453,18
59.64423000000001,7,12452,5
59.68589670000001,7,12451,1
59.72756329999999,7,12449,2
59.76923000000001,7,12446,4
59.81089670000001,7,12443,10
59.85256329999999,7,12439,5
59.89423000000001,7,12435,0
59.93589670000001,7,12430,1
59.97756329999999,7,12424,0
60.01923000000001,7,12417,0
60.06089670000001,7,12409,0
60.10256329999999,7,12400,0
60.14423000000001,7,12391,3
60.18589670000001,7,12381,1
60.22756329999999,7,12371,3
60.26923000000001,7,12360,0
60.31089670000001,7,12348,2
60.35256329999999,7,12337,2
60.39423000000001,8,12324,5
60.43589670000001,8,12312,8
60.47756329999999,8,12299,10
60.51923000000001,8,12287,8
60.56089670000001,8,12274,7
60.60256329999999,8,12261,17
60.64423000000001,8,12248,6
60.68589670000001,8,12235,6
60.72756329999999,8,12223,2
60.76923000000001,8,12211,0
60.81089670000001,8,12199,0
60.85256329999999,8,12187,0
60.89423000000001,8,12176,0
60.93589670000001,8,12165,0
60.97756329999999,9,12155,0
61.01923000000001,9,12146,2
61.06089670000001,9,12137,7
61.10256329999999,9,12129,1
61.14423000000001,9,12121,6
61.18589670000001,9,12114,8
61.22756329999999,9,12107,4
61.26923000000001,9,12101,4
61.31089670000001,9,12096,8
61.35256329999999,9,12091,12
61.39423000000001,9,12087,1
61.43589670000001,9,12083,10
61.47756329999999,9,12079,6
61.51923000000001,9,12076,2
61.56089670000001,9,12073,2
61.60256329999999,9,12070,1
61.64423000000001,9,12068,0
61.68589670000001,9,12066,0
61.72756329999999,9,12065,0
61.76923000000001,9,12063,0
61.81089670000001,9,12062,0
61.85256329999999,9,12062,1
61.89423000000001,9,12061,1
61.93589670000001,9,12060,0
61.97756329999999,9,12060,0
62.01923000000001,9,12060,0
62.06089670000001,9,12060,0
62.10256329999999,9,12060,0
62.14423000000001,9,12060,0
62.18589670000001,9,12060,0
62.22756329999999,9,12060,0
62.26923000000001,9,12061,0
62.31089670000001,9,12061,0
62.35256329999999,9,12061,0
62.39423000000001,9,12061,0
62.43589670000001,9,12061,0
62.47756329999999,9,12061,0
62.51923000000001,9,12061,0
62.56089670000001,9,12061,2
62.60256329999999,9,12061,0
62.64423000000001,9,12061,2
62.68589670000001,9,12060,1
62.72756329999999,9,12060,0
62.76923000000001,9,12059,4
62.81089670000001,9,12058,9
62.85256329999999,9,12057,16
62.89423000000001,9,12055,12
62.93589670000001,9,12053,22
62.97756329999999,9,12051,20
63.01923000000001,9,12049,42
63.06089670000001,9,12046,19
