time,births,population,reported_cases
44.01923,17,19864,0
44.0608967,17,19772,0
44.1025633,16,19687,0
44.14423,16,19609,0
44.1858967,16,19539,0
44.2275633,16,19476,0
44.26923,16,19419,9
44.3108967,15,19368,4
44.3525633,15,19323,0
44.39423,15,19284,1
44.4358967,15,19250,0
44.4775633,15,19221,0
44.51923,15,19196,2
44.5608967,15,19175,0
44.6025633,15,19158,0
44.64423,15,19144,0
44.6858967,14,19134,0
44.7275633,14,19126,0
44.76923,14,19121,0
44.8108967,14,19118,0
44.8525633,14,19116,0
44.89423,14,19116,0
44.9358967,15,19117,0
44.9775633,15,19119,0
45.01923,15,19121,0
45.0608967,15,19123,0
45.1025633,15,19125,5
45.14423,15,19127,5
45.1858967,15,19129,7
45.2275633,15,19130,5
45.26923,15,19131,4
45.3108967,15,19132,32
45.3525633,15,19131,65
45.39423,15,19130,114
45.4358967,15,19128,51
45.4775633,16,19124,17
45.51923,16,19120,15
45.5608967,16,19114,4
45.6025633,16,19106,7
45.64423,16,19098,2
45.6858967,16,19087,0
45.7275633,16,19074,0
45.76923,16,19060,0
45.8108967,16,19044,0
45.8525633,17,19025,1
45.89423,17,19004,0
45.9358967,17,18981,0
45.9775633,17,18955,0
46.01923,17,18927,0
46.0608967,17,18895,0
46.1025633,17,18862,0
46.14423,17,18827,0
46.1858967,17,18791,0
46.2275633,17,18753,0
46.26923,17,18715,0
46.3108967,17,18677,0
46.3525633,18,18639,0
46.39423,18,18601,0
46.4358967,18,18565,4
46.4775633,18,18529,13
46.51923,18,18495,11
46.5608967,18,18463,9
46.6025633,18,18434,4
46.64423,18,18408,0
46.6858967,18,18384,1
46.7275633,18,18364,0
46.76923,18,18349,0
46.8108967,18,18337,0
46.8525633,18,18330,0
46.89423,18,18329,0
46.9358967,18,18333,0
46.9775633,18,18342,0
47.01923,18,18358,0
47.0608967,18,18380,2
47.1025633,18,18408,3
47.14423,18,18441,0
47.1858967,18,18479,0
47.2275633,18,18521,0
47.26923,17,18567,0
47.3108967,17,18617,1
47.3525633,17,18669,0
47.39423,17,18723,0
47.4358967,17,18779,0
47.4775633,17,18837,0
47.51923,17,18895,1
47.5608967,17,18954,0
47.6025633,17,19012,0
47.64423,17,19070,0
47.6858967,17,19127,0
47.7275633,17,19183,1
47.76923,17,19236,0
47.8108967,17,19286,0
47.8525633,17,19334,0
47.89423,17,19378,0
47.9358967,17,19418,0
47.9775633,17,19453,0
48.01923,17,19483,0
48.0608967,17,19509,0
48.1025633,17,19529,0
48.14423,16,19546,0
48.1858967,16,19558,0
48.2275633,16,19568,0
48.26923,16,19574,2
48.3108967,16,19579,6
48.3525633,16,19581,51
48.39423,16,19582,178
48.4358967,16,19581,101
48.4775633,16,19580,47
48.51923,16,19579,45
48.5608967,16,19578,16
48.6025633,16,19578,3
48.64423,16,19579,0
48.6858967,16,19582,1
48.7275633,16,19587,0
48.76923,16,19594,0
48.8108967,16,19604,0
48.8525633,16,19618,0
48.89423,16,19635,0
48.9358967,16,19657,1
48.9775633,16,19684,0
49.01923,16,19715,4
49.0608967,16,19752,4
49.1025633,16,19794,1
49.14423,16,19840,10
49.1858967,16,19889,5
49.2275633,16,19942,2
49.26923,16,19998,0
49.3108967,16,20056,7
49.3525633,16,20116,2
49.39423,16,20176,9
49.4358967,16,20238,9
49.4775633,16,20300,0
49.51923,16,20362,0
49.5608967,16,20423,0
49.6025633,16,20483,1
49.64423,16,20541,0
49.6858967,16,20597,0
49.7275633,16,20651,0
49.76923,16,20701,0
49.8108967,16,20748,2
49.8525633,16,20790,0
49.89423,16,20828,0
49.9358967,16,20861,0
49.9775633,16,20888,0
50.01923,16,20909,0
50.0608967,16,20924,0
50.1025633,16,20933,0
50.14423,16,20937,0
50.1858967,16,20935,1
50.2275633,16,20930,1
