time,births,population,reported_cases
44.01923,13,16856,0
44.0608967,13,16807,0
44.1025633,13,16765,0
44.14423,12,16728,0
44.1858967,12,16696,0
44.2275633,12,16670,0
44.26923,12,16648,0
44.3108967,12,16632,0
44.3525633,12,16620,2
44.39423,11,16612,0
44.4358967,11,16609,2
44.4775633,11,16609,0
44.51923,11,16614,0
44.5608967,11,16622,2
44.6025633,11,16633,0
44.64423,11,16648,0
44.6858967,11,16666,0
44.7275633,11,16687,2
44.76923,11,16710,2
44.8108967,11,16736,3
44.8525633,11,16764,19
44.89423,11,16795,32
44.9358967,11,16827,35
44.9775633,11,16861,53
45.01923,11,16897,117
45.0608967,12,16933,59
45.1025633,12,16972,8
45.14423,12,17011,2
45.1858967,12,17051,2
45.2275633,12,17092,7
45.26923,12,17134,25
45.3108967,12,17176,12
45.3525633,13,17219,3
45.39423,13,17262,5
45.4358967,13,17305,3
45.4775633,13,17349,1
45.51923,13,17392,5
45.5608967,13,17435,0
45.6025633,14,17478,0
45.64423,14,17520,0
45.6858967,14,17561,0
45.7275633,14,17602,0
45.76923,14,17642,0
45.8108967,15,17680,0
45.8525633,15,17718,0
45.89423,15,17754,0
45.9358967,15,17789,0
45.9775633,15,17823,0
46.01923,16,17854,0
46.0608967,16,17884,0
46.1025633,16,17913,0
46.14423,16,17939,0
46.1858967,16,17964,0
46.2275633,16,17988,0
46.26923,17,18010,0
46.3108967,17,18031,0
46.3525633,17,18050,0
46.39423,17,18068,1
46.4358967,17,18085,0
46.4775633,17,18101,0
46.51923,17,18116,0
46.5608967,17,18130,2
46.6025633,18,18143,3
46.64423,18,18155,12
46.6858967,18,18166,0
46.7275633,18,18176,8
46.76923,18,18186,0
46.8108967,18,18195,0
46.8525633,18,18204,0
46.89423,18,18212,6
46.9358967,18,18219,13
46.9775633,18,18226,3
47.01923,18,18233,5
47.0608967,18,18240,4
47.1025633,17,18246,11
47.14423,17,18252,15
47.1858967,17,18257,1
47.2275633,17,18263,0
47.26923,17,18268,0
47.3108967,17,18273,0
47.3525633,17,18277,3
47.39423,16,18281,0
47.4358967,16,18286,0
47.4775633,16,18289,6
47.51923,16,18293,29
47.5608967,16,18296,12
47.6025633,16,18300,0
47.64423,15,18303,0
47.6858967,15,18305,0
47.7275633,15,18308,1
47.76923,15,18310,0
47.8108967,15,18312,0
47.8525633,15,18314,5
47.89423,14,18316,0
47.9358967,14,18318,1
47.9775633,14,18319,21
48.01923,14,18321,16
48.0608967,14,18322,21
48.1025633,14,18323,7
48.14423,14,18324,25
48.1858967,14,18325,19
48.2275633,14,18326,11
48.26923,14,18327,14
48.3108967,14,18328,4
48.3525633,14,18330,0
48.39423,14,18331,1
48.4358967,14,18333,0
48.4775633,14,18335,2
48.51923,14,18337,2
48.5608967,14,18340,2
48.6025633,14,18343,4
48.64423,14,18347,0
48.6858967,14,18351,3
48.7275633,14,18355,0
48.76923,14,18360,0
48.8108967,14,18366,0
48.8525633,14,18372,0
48.89423,14,18379,0
48.9358967,14,18387,2
48.9775633,14,18395,0
49.01923,14,18404,0
49.0608967,14,18414,5
49.1025633,14,18425,2
49.14423,14,18436,1
49.1858967,14,18447,0
49.2275633,14,18459,0
49.26923,14,18471,0
49.3108967,14,18483,3
49.3525633,14,18494,0
49.39423,14,18506,1
49.4358967,14,18517,0
49.4775633,14,18527,0
49.51923,14,18537,0
49.5608967,14,18546,0
49.6025633,14,18554,0
49.64423,14,18561,0
49.6858967,14,18567,0
49.7275633,14,18571,0
49.76923,14,18574,0
49.8108967,14,18576,0
49.8525633,14,18576,0
49.89423,14,18574,0
49.9358967,14,18570,0
49.9775633,14,18564,0
50.01923,14,18556,0
50.0608967,14,18546,0
50.1025633,14,18533,0
50.14423,14,18519,0
50.1858967,14,18504,0
50.2275633,14,18487,0
50.26923,14,18468,0
50.3108967,14,18449,0
50.3525633,14,18429,5
50.39423,14,18408,3
50.4358967,14,18387,5
50.4775633,13,18365,1
50.51923,13,18343,0
50.5608967,13,18322,0
50.6025633,13,18301,2
50.64423,13,18280,0
50.6858967,13,18260,9
50.7275633,13,18241,32
50.76923,13,18222,18
50.8108967,13,18206,57
50.8525633,13,18190,100
50.89423,13,18176,99
50.9358967,12,18164,210
50.9775633,12,18154,93
51.01923,12,18147,65
51.0608967,12,18141,1
51.1025633,12,18138,1
51.14423,12,18136,3
51.1858967,12,18137,5
51.2275633,12,18139,0
51.26923,12,18142,0
51.3108967,12,18147,0
51.3525633,12,18153,0
51.39423,12,18161,0
51.4358967,12,18169,0
51.4775633,12,18178,0
51.51923,12,18188,0
51.5608967,12,18198,0
51.6025633,12,18208,0
51.64423,12,18219,0
51.6858967,12,18230,0
51.7275633,12,18241,0
51.76923,12,18252,0
51.8108967,12,18262,0
51.8525633,12,18272,0
51.89423,12,18281,0
51.9358967,12,18289,2
51.9775633,12,18296,2
52.01923,12,18303,0
52.0608967,12,18308,3
52.1025633,13,18312,22
52.14423,13,18315,33
52.1858967,13,18318,34
52.2275633,13,18319,35
52.26923,13,18320,46
52.3108967,13,18320,23
52.3525633,13,18319,1
52.39423,13,18318,0
52.43589670000001,13,18316,2
52.47756329999999,13,18314,2
52.51923000000001,14,18312,0
52.56089670000001,14,18309,0
52.60256329999999,14,18306,2
52.64423000000001,14,18303,3
52.68589670000001,14,18300,1
52.72756329999999,14,18296,1
52.76923000000001,14,18293,2
52.81089670000001,14,18290,2
52.85256329999999,14,18287,0
52.89423000000001,14,18285,0
52.93589670000001,14,18283,0
52.97756329999999,14,18281,0
53.01923000000001,14,18279,0
53.06089670000001,14,18279,6
53.10256329999999,14,18278,9
53.14423000000001,14,18278,0
53.18589670000001,14,18279,0
53.22756329999999,14,18280,0
53.26923000000001,14,18281,0
53.31089670000001,13,18282,2
53.35256329999999,13,18284,3
53.39423000000001,13,18286,15
53.43589670000001,13,18288,5
53.47756329999999,13,18290,3
53.51923000000001,13,18293,0
53.56089670000001,13,18295,0
53.60256329999999,13,18298,0
53.64423000000001,13,18301,0
53.68589670000001,12,18303,0
53.72756329999999,12,18306,0
53.76923000000001,12,18309,0
53.81089670000001,12,18311,0
53.85256329999999,12,18313,0
53.89423000000001,12,18316,0
53.93589670000001,12,18317,0
53.97756329999999,12,18319,0
54.01923000000001,12,18321,0
54.06089670000001,12,18322,0
54.10256329999999,12,18323,0
54.14423000000001,12,18323,1
54.18589670000001,12,18324,0
54.22756329999999,12,18324,0
54.26923000000001,12,18324,0
54.31089670000001,12,18323,0
54.35256329999999,12,18323,0
54.39423000000001,12,18322,0
54.43589670000001,12,18321,0
54.47756329999999,12,18320,0
54.51923000000001,12,18318,2
54.56089670000001,12,18316,2
54.60256329999999,12,18315,3
54.64423000000001,12,18313,1
54.68589670000001,12,18311,1
54.72756329999999,12,18308,1
54.76923000000001,12,18306,0
54.81089670000001,13,18303,0
54.85256329999999,13,18301,0
54.89423000000001,13,18298,0
54.93589670000001,13,18295,0
54.97756329999999,13,18292,2
55.01923000000001,13,18289,0
55.06089670000001,13,18285,2
55.10256329999999,13,18282,2
55.14423000000001,13,18278,1
55.18589670000001,13,18275,2
55.22756329999999,13,18271,6
55.26923000000001,13,18268,2
55.31089670000001,13,18264,3
55.35256329999999,13,18260,34
55.39423000000001,13,18256,125
55.43589670000001,13,18252,195
55.47756329999999,13,18248,37
55.51923000000001,13,18244,27
55.56089670000001,13,18239,2
55.60256329999999,13,18235,2
55.64423000000001,13,18230,1
55.68589670000001,13,18226,0
55.72756329999999,13,18221,0
55.76923000000001,13,18217,0
55.81089670000001,13,18212,0
55.85256329999999,13,18207,0
55.89423000000001,13,18203,0
55.93589670000001,13,18198,1
55.97756329999999,13,18193,0
56.01923000000001,13,18188,5
56.06089670000001,13,18183,2
56.10256329999999,13,18178,1
56.14423000000001,13,18172,3
56.18589670000001,13,18167,0
56.22756329999999,13,18162,0
56.26923000000001,13,18157,0
56.31089670000001,13,18152,2
56.35256329999999,13,18146,0
56.39423000000001,13,18141,0
56.43589670000001,13,18136,0
56.47756329999999,13,18131,0
56.51923000000001,13,18126,0
56.56089670000001,13,18120,0
56.60256329999999,13,18115,0
56.64423000000001,13,18110,2
56.68589670000001,13,18105,0
56.72756329999999,13,18100,0
56.76923000000001,13,18095,5
56.81089670000001,13,18091,1
56.85256329999999,13,18086,2
56.89423000000001,13,18081,1
56.93589670000001,13,18077,0
56.97756329999999,13,18072,0
57.01923000000001,13,18068,0
57.06089670000001,13,18064,0
57.10256329999999,13,18060,0
57.14423000000001,13,18056,0
57.18589670000001,13,18052,0
57.22756329999999,13,18048,0
57.26923000000001,13,18044,0
57.31089670000001,13,18041,1
57.35256329999999,13,18037,3
57.39423000000001,13,18034,3
57.43589670000001,13,18030,14
57.47756329999999,13,18027,26
57.51923000000001,13,18024,0
57.56089670000001,13,18021,0
57.60256329999999,13,18018,3
57.64423000000001,13,18014,1
57.68589670000001,13,18011,6
57.72756329999999,13,18008,12
57.76923000000001,14,18006,9
57.81089670000001,14,18003,3
57.85256329999999,14,18000,0
57.89423000000001,14,17997,0
57.93589670000001,14,17994,0
57.97756329999999,14,17991,0
58.01923000000001,14,17989,0
58.06089670000001,14,17986,2
58.10256329999999,14,17983,4
58.14423000000001,14,17981,18
58.18589670000001,14,17978,4
58.22756329999999,14,17976,4
58.26923000000001,14,17973,3
58.31089670000001,14,17971,13
58.35256329999999,14,17969,7
58.39423000000001,14,17967,0
58.43589670000001,14,17965,4
58.47756329999999,14,17963,0
58.51923000000001,14,17961,1
58.56089670000001,14,17960,0
58.60256329999999,14,17959,0
58.64423000000001,14,17958,0
58.68589670000001,14,17957,6
58.72756329999999,14,17957,2
58.76923000000001,14,17956,2
58.81089670000001,14,17956,2
58.85256329999999,14,17957,2
58.89423000000001,14,17957,0
58.93589670000001,14,17958,3
58.97756329999999,14,17959,12
59.01923000000001,14,17961,18
59.06089670000001,14,17963,8
59.10256329999999,14,17965,44
59.14423000000001,14,17967,56
59.18589670000001,14,17969,21
59.22756329999999,14,17971,9
59.26923000000001,14,17973,5
59.31089670000001,14,17975,5
59.35256329999999,14,17977,9
59.39423000000001,14,17978,8
59.43589670000001,14,17979,18
59.47756329999999,13,17979,8
59.51923000000001,13,17978,0
59.56089670000001,13,17977,0
59.60256329999999,13,17975,0
59.64423000000001,13,17972,0
59.68589670000001,13,17969,0
59.72756329999999,13,17964,0
59.76923000000001,13,17958,0
59.81089670000001,13,17950,0
59.85256329999999,13,17942,0
59.89423000000001,13,17932,0
59.93589670000001,12,17921,0
59.97756329999999,12,17908,0
60.01923000000001,12,17893,0
60.06089670000001,12,17877,0
60.10256329999999,12,17859,0
60.14423000000001,12,17840,0
60.18589670000001,12,17820,0
60.22756329999999,12,17798,0
60.26923000000001,12,17776,0
60.31089670000001,12,17753,0
60.35256329999999,12,17729,0
60.39423000000001,12,17705,0
60.43589670000001,12,17680,0
60.47756329999999,12,17655,0
60.51923000000001,12,17629,0
60.56089670000001,12,17604,0
60.60256329999999,12,17579,2
60.64423000000001,13,17554,8
60.68589670000001,13,17529,3
60.72756329999999,13,17505,0
60.76923000000001,13,17482,7
60.81089670000001,13,17459,18
60.85256329999999,13,17437,87
60.89423000000001,13,17417,68
60.93589670000001,13,17397,108
60.97756329999999,13,17379,57
61.01923000000001,13,17362,11
61.06089670000001,13,17347,0
61.10256329999999,13,17333,5
61.14423000000001,13,17321,3
61.18589670000001,13,17310,2
61.22756329999999,13,17300,2
61.26923000000001,13,17291,2
61.31089670000001,13,17283,0
61.35256329999999,13,17276,0
61.39423000000001,13,17270,0
61.43589670000001,13,17265,0
61.47756329999999,13,17261,0
61.51923000000001,13,17257,0
61.56089670000001,13,17254,0
61.60256329999999,13,17251,0
61.64423000000001,13,17249,0
61.68589670000001,13,17248,0
61.72756329999999,13,17246,5
61.76923000000001,13,17245,2
61.81089670000001,13,17244,0
61.85256329999999,13,17243,0
61.89423000000001,13,17242,0
61.93589670000001,13,17242,0
61.97756329999999,13,17241,0
62.01923000000001,13,17239,0
62.06089670000001,13,17238,0
62.10256329999999,13,17236,0
62.14423000000001,13,17234,0
62.18589670000001,13,17232,0
62.22756329999999,13,17230,0
62.26923000000001,13,17227,0
62.31089670000001,13,17224,0
62.35256329999999,13,17221,0
62.39423000000001,13,17217,0
62.43589670000001,13,17213,0
62.47756329999999,13,17209,0
62.51923000000001,13,17205,2
62.56089670000001,13,17200,0
62.60256329999999,13,17195,0
62.64423000000001,13,17190,0
62.68589670000001,13,17184,4
62.72756329999999,13,17178,0
62.76923000000001,13,17172,0
62.81089670000001,13,17165,1
62.85256329999999,13,17158,5
62.89423000000001,14,17150,10
62.93589670000001,14,17143,5
62.97756329999999,14,17135,21
63.01923000000001,14,17126,14
63.06089670000001,14,17117,9
63.10256329999999,14,17108,11
63.14423000000001,14,17098,17
63.18589670000001,14,17089,7
63.22756329999999,14,17079,7
63.26923000000001,14,17068,14
63.31089670000001,14,17058,1
63.35256329999999,14,17048,2
63.39423000000001,14,17037,1
63.43589670000001,14,17026,0
63.47756329999999,14,17015,2
63.51923000000001,14,17005,5
63.56089670000001,14,16994,5
63.60256329999999,14,16983,2
63.64423000000001,14,16973,3
63.68589670000001,14,16962,2
63.72756329999999,14,16952,0
63.76923000000001,14,16942,0
63.81089670000001,14,16932,0
63.85256329999999,14,16922,0
63.89423000000001,14,16913,0
63.93589670000001,14,16903,0
63.97756329999999,14,16895,0
