time,births,population,reported_cases
44.01923,17,17308,0
44.0608967,17,17302,0
44.1025633,16,17290,0
44.14423,16,17275,0
44.1858967,16,17256,0
44.2275633,15,17233,0
44.26923,15,17207,0
44.3108967,15,17179,0
44.3525633,15,17147,0
44.39423,14,17114,0
44.4358967,14,17078,0
44.4775633,14,17041,0
44.51923,14,17002,2
44.5608967,14,16963,0
44.6025633,14,16923,0
44.64423,14,16882,0
44.6858967,14,16841,0
44.7275633,14,16800,0
44.76923,14,16760,0
44.8108967,14,16721,0
44.8525633,14,16682,0
44.89423,14,16645,0
44.9358967,14,16610,0
44.9775633,14,16577,2
45.01923,14,16546,0
45.0608967,14,16518,0
45.1025633,14,16492,9
45.14423,14,16469,11
45.1858967,15,16449,31
45.2275633,15,16432,65
45.26923,15,16417,62
45.3108967,15,16406,38
45.3525633,15,16398,46
45.39423,15,16394,59
45.4358967,15,16393,6
45.4775633,16,16395,2
45.51923,16,16402,0
45.5608967,16,16412,1
45.6025633,16,16425,0
45.64423,16,16443,0
45.6858967,16,16465,0
45.7275633,16,16491,0
45.76923,17,16521,0
45.8108967,17,16556,0
45.8525633,17,16595,0
45.89423,17,16638,0
45.9358967,17,16686,0
45.9775633,17,16739,0
46.01923,17,16797,0
46.0608967,17,16860,0
46.1025633,17,16927,1
46.14423,17,16998,0
46.1858967,17,17072,0
46.2275633,17,17149,0
46.26923,17,17228,0
46.3108967,17,17310,0
46.3525633,17,17393,0
46.39423,17,17478,1
46.4358967,17,17563,0
46.4775633,17,17649,2
46.51923,17,17735,0
46.5608967,17,17820,0
46.6025633,17,17904,0
46.64423,17,17986,0
46.6858967,17,18067,1
46.7275633,17,18145,0
46.76923,17,18221,0
46.8108967,17,18293,0
46.8525633,17,18362,0
46.89423,17,18427,0
46.9358967,17,18487,1
46.9775633,17,18542,0
47.01923,17,18592,0
47.0608967,17,18637,0
47.1025633,17,18676,9
47.14423,17,18710,42
47.1858967,17,18740,6
47.2275633,17,18765,30
47.26923,17,18787,2
47.3108967,17,18804,0
47.3525633,17,18818,0
47.39423,17,18829,0
47.4358967,17,18837,1
47.4775633,17,18842,1
47.51923,17,18845,0
47.5608967,17,18846,0
47.6025633,17,18845,8
47.64423,17,18842,0
47.6858967,17,18838,0
47.7275633,17,18834,2
47.76923,17,18828,0
47.8108967,17,18823,0
47.8525633,17,18817,0
47.89423,17,18811,0
47.9358967,17,18806,28
47.9775633,17,18802,22
48.01923,17,18799,135
48.0608967,17,18797,46
48.1025633,17,18796,80
48.14423,17,18796,45
48.1858967,17,18797,37
48.2275633,17,18799,1
48.26923,17,18802,6
48.3108967,17,18805,0
48.3525633,17,18810,1
48.39423,16,18815,0
48.4358967,16,18821,0
48.4775633,16,18827,0
48.51923,16,18834,0
48.5608967,16,18841,0
48.6025633,16,18849,0
48.64423,16,18857,0
48.6858967,16,18865,0
48.7275633,16,18874,0
48.76923,16,18883,0
48.8108967,16,18891,0
48.8525633,15,18900,1
48.89423,15,18909,1
48.9358967,15,18917,0
