time,births,population,reported_cases
44.01923,18,27399,4
44.0608967,18,27298,0
44.1025633,18,27210,0
44.14423,18,27135,0
44.1858967,17,27072,3
44.2275633,17,27022,5
44.26923,17,26983,0
44.3108967,17,26954,0
44.3525633,17,26937,0
44.39423,17,26930,0
44.4358967,17,26932,0
44.4775633,16,26944,0
44.51923,16,26964,0
44.5608967,16,26993,0
44.6025633,16,27030,0
44.64423,16,27074,0
44.6858967,16,27125,1
44.7275633,16,27183,0
44.76923,16,27246,0
44.8108967,17,27316,10
44.8525633,17,27391,2
44.89423,17,27470,16
44.9358967,17,27554,5
44.9775633,17,27641,12
45.01923,17,27732,7
45.0608967,17,27826,6
45.1025633,17,27923,13
45.14423,17,28022,8
45.1858967,17,28124,27
45.2275633,18,28227,24
45.26923,18,28331,17
45.3108967,18,28437,16
45.3525633,18,28544,12
45.39423,18,28651,28
45.4358967,18,28759,40
45.4775633,19,28866,42
45.51923,19,28974,28
45.5608967,19,29080,8
45.6025633,19,29186,10
45.64423,19,29291,1
45.6858967,19,29394,0
45.7275633,20,29495,0
45.76923,20,29594,0
45.8108967,20,29690,0
45.8525633,20,29784,0
45.89423,20,29875,0
45.9358967,20,29963,0
45.9775633,20,30046,0
46.01923,21,30126,0
46.0608967,21,30202,0
46.1025633,21,30274,0
46.14423,21,30343,0
46.1858967,21,30407,0
46.2275633,21,30469,0
46.26923,21,30527,0
46.3108967,21,30583,3
46.3525633,21,30636,1
46.39423,21,30686,0
46.4358967,22,30734,5
46.4775633,22,30779,4
46.51923,22,30823,17
46.5608967,22,30865,27
46.6025633,22,30905,28
46.64423,22,30944,10
46.6858967,22,30981,7
46.7275633,22,31017,3
46.76923,22,31053,15
46.8108967,22,31087,11
46.8525633,22,31121,14
46.89423,22,31155,8
46.9358967,22,31188,36
46.9775633,22,31222,4
47.01923,22,31256,3
47.0608967,22,31290,17
47.1025633,22,31324,10
47.14423,22,31358,17
47.1858967,21,31393,28
47.2275633,21,31427,86
47.26923,21,31462,12
47.3108967,21,31497,10
47.3525633,21,31532,0
47.39423,21,31566,0
47.4358967,21,31601,14
47.4775633,21,31636,14
47.51923,21,31671,9
47.5608967,21,31705,7
47.6025633,21,31739,6
47.64423,20,31773,7
47.6858967,20,31807,0
47.7275633,20,31840,0
47.76923,20,31874,2
47.8108967,20,31906,0
47.8525633,20,31939,0
47.89423,20,31971,0
47.9358967,20,32002,0
47.9775633,20,32033,0
48.01923,19,32064,0
48.0608967,19,32094,4
48.1025633,19,32123,55
48.14423,19,32152,28
48.1858967,19,32181,32
48.2275633,19,32208,11
48.26923,19,32235,13
48.3108967,19,32262,15
48.3525633,19,32288,25
48.39423,19,32313,22
48.4358967,19,32338,21
48.4775633,19,32362,15
48.51923,18,32386,22
48.5608967,18,32409,23
48.6025633,18,32431,22
48.64423,18,32452,7
48.6858967,18,32473,1
48.7275633,18,32494,1
48.76923,18,32513,0
48.8108967,18,32532,0
48.8525633,18,32551,0
48.89423,18,32568,0
48.9358967,18,32585,0
48.9775633,18,32602,0
49.01923,18,32617,4
49.0608967,18,32632,3
49.1025633,18,32646,40
49.14423,18,32660,25
49.1858967,18,32673,16
49.2275633,18,32686,31
49.26923,17,32698,39
49.3108967,17,32709,41
49.3525633,17,32721,7
49.39423,17,32732,3
49.4358967,17,32742,4
49.4775633,17,32753,0
49.51923,17,32763,0
49.5608967,17,32773,0
49.6025633,17,32783,0
49.64423,17,32793,0
49.6858967,17,32803,1
49.7275633,17,32813,0
49.76923,17,32822,0
49.8108967,17,32832,0
49.8525633,17,32842,0
49.89423,17,32853,0
49.9358967,17,32863,0
49.9775633,17,32874,0
50.01923,17,32885,2
50.0608967,17,32897,4
50.1025633,17,32908,5
50.14423,17,32920,20
50.1858967,17,32933,7
50.2275633,17,32945,2
50.26923,17,32958,0
50.3108967,17,32971,0
50.3525633,17,32985,3
50.39423,17,32998,1
50.4358967,17,33012,1
50.4775633,16,33027,0
50.51923,16,33041,0
50.5608967,16,33056,4
50.6025633,16,33070,0
50.64423,16,33085,4
50.6858967,16,33101,0
50.7275633,16,33116,0
50.76923,16,33131,0
50.8108967,16,33147,4
50.8525633,16,33163,25
50.89423,16,33179,38
50.9358967,16,33195,20
50.9775633,16,33211,7
51.01923,16,33228,35
51.0608967,16,33244,109
51.1025633,16,33261,30
51.14423,16,33277,45
51.1858967,16,33294,99
51.2275633,16,33311,77
51.26923,16,33329,28
51.3108967,16,33346,46
51.3525633,16,33364,22
51.39423,16,33382,29
51.4358967,15,33401,24
51.4775633,15,33419,0
51.51923,15,33438,0
51.5608967,15,33458,0
51.6025633,15,33478,0
51.64423,15,33498,0
51.6858967,15,33519,4
51.7275633,15,33540,2
51.76923,15,33561,2
51.8108967,15,33583,0
51.8525633,15,33606,0
51.89423,15,33629,0
51.9358967,15,33653,0
51.9775633,15,33677,0
52.01923,15,33702,0
52.0608967,16,33727,0
52.1025633,16,33753,0
52.14423,16,33779,3
52.1858967,16,33806,0
52.2275633,16,33833,2
52.26923,16,33860,0
52.3108967,16,33887,2
52.3525633,16,33915,0
52.39423,16,33942,3
52.43589670000001,16,33969,0
52.47756329999999,16,33997,1
52.51923000000001,16,34024,3
52.56089670000001,17,34051,2
52.60256329999999,17,34077,2
52.64423000000001,17,34103,4
52.68589670000001,17,34129,0
52.72756329999999,17,34154,2
52.76923000000001,17,34178,6
52.81089670000001,17,34202,24
52.85256329999999,17,34225,1
52.89423000000001,17,34248,2
52.93589670000001,17,34269,9
52.97756329999999,17,34289,4
53.01923000000001,17,34309,15
53.06089670000001,18,34327,6
53.10256329999999,18,34345,20
53.14423000000001,18,34362,38
53.18589670000001,18,34380,109
53.22756329999999,18,34397,127
53.26923000000001,18,34414,98
53.31089670000001,18,34432,28
53.35256329999999,18,34450,20
53.39423000000001,18,34470,5
53.43589670000001,18,34491,0
53.47756329999999,18,34513,2
53.51923000000001,18,34537,0
53.56089670000001,18,34562,0
53.60256329999999,18,34590,0
53.64423000000001,18,34620,1
53.68589670000001,18,34653,0
53.72756329999999,18,34689,0
53.76923000000001,18,34728,0
53.81089670000001,18,34770,0
53.85256329999999,18,34816,0
53.89423000000001,19,34865,0
53.93589670000001,19,34919,0
53.97756329999999,19,34977,4
54.01923000000001,19,35039,11
54.06089670000001,19,35106,2
54.10256329999999,19,35177,16
54.14423000000001,19,35252,35
54.18589670000001,19,35331,20
54.22756329999999,19,35412,5
54.26923000000001,20,35497,13
54.31089670000001,20,35584,0
54.35256329999999,20,35673,1
54.39423000000001,20,35763,4
54.43589670000001,20,35856,5
54.47756329999999,20,35949,5
54.51923000000001,21,36043,2
54.56089670000001,21,36138,3
54.60256329999999,21,36233,0
54.64423000000001,21,36328,0
54.68589670000001,21,36422,1
54.72756329999999,22,36515,1
54.76923000000001,22,36607,0
54.81089670000001,22,36698,0
54.85256329999999,22,36786,0
54.89423000000001,22,36873,1
54.93589670000001,22,36957,0
54.97756329999999,23,37038,0
55.01923000000001,23,37115,0
55.06089670000001,23,37190,5
55.10256329999999,23,37261,25
55.14423000000001,23,37329,58
55.18589670000001,23,37394,65
55.22756329999999,23,37456,55
55.26923000000001,24,37516,67
55.31089670000001,24,37572,63
55.35256329999999,24,37627,35
55.39423000000001,24,37678,94
55.43589670000001,24,37728,86
55.47756329999999,24,37775,64
55.51923000000001,24,37819,7
55.56089670000001,24,37862,12
55.60256329999999,24,37903,28
55.64423000000001,24,37943,24
55.68589670000001,24,37980,2
55.72756329999999,24,38016,4
55.76923000000001,24,38051,0
55.81089670000001,24,38084,0
55.85256329999999,24,38116,0
55.89423000000001,24,38146,0
55.93589670000001,24,38176,2
55.97756329999999,24,38205,0
56.01923000000001,24,38233,0
56.06089670000001,24,38260,0
56.10256329999999,24,38287,1
56.14423000000001,24,38312,1
56.18589670000001,24,38338,4
56.22756329999999,24,38362,11
56.26923000000001,24,38385,2
56.31089670000001,24,38408,13
56.35256329999999,23,38430,1
56.39423000000001,23,38452,2
56.43589670000001,23,38473,1
56.47756329999999,23,38492,4
56.51923000000001,23,38512,7
56.56089670000001,23,38530,0
56.60256329999999,23,38548,1
56.64423000000001,23,38565,2
56.68589670000001,22,38581,3
56.72756329999999,22,38597,0
56.76923000000001,22,38611,26
56.81089670000001,22,38625,41
56.85256329999999,22,38639,22
56.89423000000001,22,38651,50
56.93589670000001,22,38663,87
56.97756329999999,22,38674,21
57.01923000000001,22,38685,26
57.06089670000001,22,38694,8
57.10256329999999,22,38703,28
57.14423000000001,22,38712,71
57.18589670000001,22,38720,59
57.22756329999999,22,38727,63
57.26923000000001,22,38734,109
57.31089670000001,22,38741,167
57.35256329999999,22,38747,88
57.39423000000001,22,38753,55
57.43589670000001,22,38759,58
57.47756329999999,22,38764,72
57.51923000000001,22,38769,67
57.56089670000001,22,38775,49
57.60256329999999,22,38780,9
57.64423000000001,22,38785,3
57.68589670000001,23,38791,22
57.72756329999999,23,38796,2
57.76923000000001,23,38802,0
57.81089670000001,23,38808,0
57.85256329999999,23,38815,0
57.89423000000001,23,38821,0
57.93589670000001,23,38828,0
57.97756329999999,23,38836,0
58.01923000000001,23,38844,0
58.06089670000001,23,38852,0
58.10256329999999,23,38861,0
58.14423000000001,23,38871,1
58.18589670000001,23,38880,2
58.22756329999999,23,38890,2
58.26923000000001,23,38900,2
58.31089670000001,23,38910,9
58.35256329999999,23,38920,6
58.39423000000001,23,38929,31
58.43589670000001,23,38939,17
58.47756329999999,23,38948,26
58.51923000000001,23,38957,30
58.56089670000001,23,38966,18
58.60256329999999,23,38974,9
58.64423000000001,23,38981,1
58.68589670000001,23,38988,2
58.72756329999999,23,38994,0
58.76923000000001,22,38999,0
58.81089670000001,22,39003,0
58.85256329999999,22,39007,0
58.89423000000001,22,39009,0
58.93589670000001,22,39010,5
58.97756329999999,22,39011,2
59.01923000000001,22,39009,2
59.06089670000001,22,39007,20
59.10256329999999,22,39004,41
59.14423000000001,22,39000,32
59.18589670000001,22,38995,20
59.22756329999999,22,38991,34
59.26923000000001,22,38987,96
59.31089670000001,22,38983,50
59.35256329999999,22,38981,59
59.39423000000001,22,38979,70
59.43589670000001,22,38978,41
59.47756329999999,22,38980,63
59.51923000000001,22,38983,44
59.56089670000001,22,38988,8
59.60256329999999,22,38996,7
59.64423000000001,22,39007,1
59.68589670000001,22,39020,1
59.72756329999999,22,39037,0
59.76923000000001,22,39058,0
59.81089670000001,22,39082,0
59.85256329999999,22,39111,0
59.89423000000001,22,39144,0
59.93589670000001,22,39182,0
59.97756329999999,22,39225,0
60.01923000000001,22,39273,0
60.06089670000001,22,39326,0
60.10256329999999,22,39384,0
60.14423000000001,22,39447,0
60.18589670000001,22,39514,0
60.22756329999999,22,39584,0
60.26923000000001,22,39657,0
60.31089670000001,22,39733,0
60.35256329999999,22,39811,0
60.39423000000001,22,39891,0
60.43589670000001,22,39972,1
60.47756329999999,22,40054,0
60.51923000000001,22,40137,0
60.56089670000001,22,40220,0
60.60256329999999,22,40303,0
60.64423000000001,22,40384,0
60.68589670000001,22,40465,0
60.72756329999999,22,40544,0
60.76923000000001,22,40621,0
60.81089670000001,22,40695,16
60.85256329999999,22,40767,9
60.89423000000001,22,40835,36
60.93589670000001,22,40899,34
60.97756329999999,22,40959,25
61.01923000000001,23,41015,72
61.06089670000001,23,41066,19
61.10256329999999,23,41112,15
61.14423000000001,23,41154,63
61.18589670000001,23,41192,37
61.22756329999999,23,41225,29
61.26923000000001,23,41255,22
61.31089670000001,23,41281,54
61.35256329999999,23,41304,20
61.39423000000001,23,41324,26
61.43589670000001,23,41341,30
61.47756329999999,23,41354,37
61.51923000000001,23,41366,30
61.56089670000001,23,41374,18
61.60256329999999,23,41381,12
61.64423000000001,23,41386,4
61.68589670000001,23,41388,1
61.72756329999999,23,41389,2
61.76923000000001,24,41389,0
61.81089670000001,24,41387,0
61.85256329999999,24,41385,0
61.89423000000001,24,41381,0
61.93589670000001,24,41377,0
61.97756329999999,24,41373,0
62.01923000000001,24,41368,0
62.06089670000001,24,41363,0
62.10256329999999,24,41358,1
62.14423000000001,24,41353,17
62.18589670000001,23,41348,28
62.22756329999999,23,41343,15
62.26923000000001,23,41338,41
62.31089670000001,23,41334,18
62.35256329999999,23,41329,4
62.39423000000001,23,41326,0
62.43589670000001,23,41322,1
62.47756329999999,23,41319,0
62.51923000000001,23,41317,2
62.56089670000001,23,41315,2
62.60256329999999,23,41314,5
62.64423000000001,23,41314,9
62.68589670000001,23,41314,0
62.72756329999999,23,41316,0
62.76923000000001,23,41318,0
62.81089670000001,22,41321,0
62.85256329999999,22,41326,1
62.89423000000001,22,41331,3
62.93589670000001,22,41337,3
62.97756329999999,22,41345,28
63.01923000000001,22,41354,28
63.06089670000001,22,41365,22
63.10256329999999,22,41376,63
63.14423000000001,22,41389,65
63.18589670000001,22,41403,65
63.22756329999999,22,41419,85
63.26923000000001,22,41435,67
63.31089670000001,22,41453,7
63.35256329999999,21,41471,3
63.39423000000001,21,41491,2
63.43589670000001,21,41511,0
63.47756329999999,21,41533,4
63.51923000000001,21,41555,9
63.56089670000001,21,41579,17
63.60256329999999,21,41603,17
63.64423000000001,21,41628,7
63.68589670000001,21,41654,9
63.72756329999999,21,41680,1
63.76923000000001,21,41708,4
63.81089670000001,22,41736,12
63.85256329999999,22,41764,25
63.89423000000001,22,41793,12
63.93589670000001,22,41823,6
63.97756329999999,22,41853,7
