time,births,population,reported_cases
44.01923,55,63187,0
44.0608967,54,62870,3
44.1025633,53,62602,1
44.14423,53,62380,11
44.1858967,52,62204,21
44.2275633,51,62072,46
44.26923,51,61981,4
44.3108967,50,61930,2
44.3525633,50,61918,2
44.39423,49,61942,2
44.4358967,49,62001,1
44.4775633,49,62093,0
44.51923,48,62217,0
44.5608967,48,62371,2
44.6025633,48,62552,1
44.64423,48,62760,0
44.6858967,48,62992,0
44.7275633,49,63248,0
44.76923,49,63524,2
44.8108967,49,63820,2
44.8525633,49,64134,6
44.89423,50,64463,10
44.9358967,50,64807,7
44.9775633,51,65163,10
45.01923,51,65531,22
45.0608967,52,65907,55
45.1025633,52,66292,77
45.14423,53,66684,109
45.1858967,54,67082,129
45.2275633,54,67485,157
45.26923,55,67891,224
45.3108967,56,68300,108
45.3525633,57,68710,67
45.39423,57,69120,65
45.4358967,58,69530,22
45.4775633,59,69937,10
45.51923,60,70341,0
45.5608967,61,70740,8
45.6025633,62,71134,4
45.64423,63,71521,2
45.6858967,64,71901,3
45.7275633,65,72271,0
45.76923,65,72631,0
45.8108967,66,72980,0
45.8525633,67,73317,0
45.89423,68,73640,0
45.9358967,69,73948,0
45.9775633,70,74240,2
46.01923,71,74515,0
46.0608967,72,74773,0
46.1025633,73,75014,0
46.14423,73,75239,0
46.1858967,74,75449,0
46.2275633,75,75645,2
46.26923,76,75827,2
46.3108967,76,75996,1
46.3525633,77,76153,18
46.39423,78,76299,38
46.4358967,78,76434,30
46.4775633,79,76559,91
46.51923,79,76674,137
46.5608967,80,76781,82
46.6025633,80,76881,65
46.64423,80,76973,29
46.6858967,81,77059,4
46.7275633,81,77139,10
46.76923,81,77215,20
46.8108967,81,77287,18
46.8525633,81,77355,9
46.89423,81,77420,13
46.9358967,81,77484,35
46.9775633,81,77547,22
47.01923,80,77609,48
47.0608967,80,77671,60
47.1025633,80,77733,62
47.14423,79,77794,45
47.1858967,79,77856,56
47.2275633,78,77917,125
47.26923,77,77978,74
47.3108967,77,78038,83
47.3525633,76,78097,36
47.39423,75,78156,33
47.4358967,75,78214,28
47.4775633,74,78272,18
47.51923,73,78328,18
47.5608967,72,78384,8
47.6025633,71,78438,14
47.64423,70,78492,8
47.6858967,70,78544,0
47.7275633,69,78594,2
47.76923,68,78644,0
47.8108967,67,78692,0
47.8525633,67,78739,4
47.89423,66,78784,1
47.9358967,65,78827,1
47.9775633,64,78868,2
48.01923,64,78908,4
48.0608967,63,78946,0
48.1025633,63,78982,1
48.14423,62,79017,34
48.1858967,62,79049,46
48.2275633,62,79081,38
48.26923,61,79111,41
48.3108967,61,79139,87
48.3525633,61,79166,118
48.39423,61,79192,149
48.4358967,60,79216,120
48.4775633,60,79239,49
48.51923,60,79261,7
48.5608967,60,79283,4
48.6025633,60,79303,7
48.64423,60,79322,5
48.6858967,59,79341,1
48.7275633,59,79358,8
48.76923,59,79375,28
48.8108967,59,79392,72
48.8525633,59,79408,143
48.89423,59,79423,123
48.9358967,59,79438,125
48.9775633,58,79452,145
49.01923,58,79467,165
49.0608967,58,79480,75
49.1025633,58,79494,78
49.14423,58,79506,92
49.1858967,57,79518,41
49.2275633,57,79528,49
49.26923,57,79537,37
49.3108967,57,79545,26
49.3525633,56,79551,28
49.39423,56,79554,25
49.4358967,56,79556,14
49.4775633,55,79555,16
49.51923,55,79552,11
49.5608967,55,79546,3
49.6025633,55,79536,4
49.64423,54,79524,0
49.6858967,54,79508,8
49.7275633,54,79489,3
49.76923,54,79466,0
49.8108967,53,79439,2
49.8525633,53,79407,1
49.89423,53,79372,0
49.9358967,53,79331,0
49.9775633,52,79286,0
50.01923,52,79236,4
50.0608967,52,79181,4
50.1025633,52,79122,2
50.14423,52,79058,4
50.1858967,52,78991,2
50.2275633,52,78920,7
50.26923,52,78847,7
50.3108967,52,78771,32
50.3525633,51,78694,36
50.39423,51,78615,41
50.4358967,51,78534,57
50.4775633,51,78453,21
50.51923,51,78372,22
50.5608967,51,78291,28
