time,births,population,reported_cases
44.01923,67,68210,0
44.0608967,66,68114,0
44.1025633,65,68034,1
44.14423,65,67970,0
44.1858967,64,67921,0
44.2275633,63,67887,0
44.26923,62,67866,2
44.3108967,62,67859,4
44.3525633,61,67865,9
44.39423,61,67883,4
44.4358967,60,67913,9
44.4775633,60,67954,3
44.51923,60,68005,0
44.5608967,59,68067,1
44.6025633,59,68137,3
44.64423,59,68217,4
44.6858967,59,68304,6
44.7275633,59,68400,1
44.76923,59,68502,0
44.8108967,59,68611,0
44.8525633,59,68725,1
44.89423,59,68845,8
44.9358967,59,68970,13
44.9775633,60,69099,9
45.01923,60,69232,30
45.0608967,60,69367,69
45.1025633,60,69505,268
45.14423,61,69646,324
45.1858967,61,69789,500
45.2275633,61,69933,184
45.26923,62,70079,253
45.3108967,62,70225,92
45.3525633,62,70372,55
45.39423,63,70518,27
45.4358967,63,70665,8
45.4775633,64,70811,8
45.51923,64,70956,0
45.5608967,64,71099,4
45.6025633,65,71241,1
45.64423,65,71381,2
45.6858967,66,71518,3
45.7275633,66,71652,4
45.76923,66,71782,0
45.8108967,67,71909,0
45.8525633,67,72033,4
45.89423,68,72151,0
45.9358967,68,72265,0
45.9775633,68,72374,6
46.01923,69,72477,2
46.0608967,69,72574,0
46.1025633,69,72667,0
46.14423,70,72754,1
46.1858967,70,72836,0
46.2275633,70,72913,2
46.26923,71,72987,0
46.3108967,71,73056,2
46.3525633,71,73121,2
46.39423,71,73183,2
46.4358967,72,73242,3
46.4775633,72,73297,4
46.51923,72,73350,0
46.5608967,72,73400,3
46.6025633,72,73448,1
46.64423,72,73493,2
46.6858967,72,73538,4
46.7275633,72,73580,8
46.76923,73,73622,4
46.8108967,73,73662,7
46.8525633,73,73702,6
46.89423,73,73741,6
46.9358967,73,73780,20
46.9775633,73,73819,46
47.01923,73,73858,68
47.0608967,73,73898,39
47.1025633,72,73938,114
47.14423,72,73978,77
47.1858967,72,74019,39
47.2275633,72,74060,49
47.26923,72,74100,36
47.3108967,72,74141,27
47.3525633,72,74181,41
47.39423,72,74222,39
47.4358967,72,74261,134
47.4775633,71,74301,63
47.51923,71,74340,59
47.5608967,71,74378,66
47.6025633,71,74416,30
47.64423,71,74453,10
47.6858967,70,74490,12
47.7275633,70,74525,4
47.76923,70,74560,2
47.8108967,70,74593,7
47.8525633,69,74626,12
47.89423,69,74657,2
47.9358967,69,74687,7
47.9775633,68,74715,2
48.01923,68,74742,9
48.0608967,68,74768,8
48.1025633,68,74792,32
48.14423,67,74816,28
48.1858967,67,74838,38
48.2275633,67,74859,82
48.26923,66,74880,61
48.3108967,66,74899,88
48.3525633,66,74919,56
48.39423,66,74938,90
48.4358967,65,74956,83
48.4775633,65,74975,86
48.51923,65,74993,48
48.5608967,65,75012,42
48.6025633,64,75031,24
48.64423,64,75050,11
48.6858967,64,75070,11
48.7275633,64,75091,20
48.76923,64,75112,43
48.8108967,64,75134,38
48.8525633,63,75158,25
48.89423,63,75182,25
48.9358967,63,75208,31
48.9775633,63,75235,26
49.01923,63,75263,17
49.0608967,63,75294,22
49.1025633,63,75325,25
49.14423,63,75357,32
49.1858967,63,75390,54
49.2275633,63,75424,79
49.26923,64,75457,87
49.3108967,64,75491,167
49.3525633,64,75524,128
49.39423,64,75556,91
49.4358967,64,75588,104
49.4775633,64,75618,60
49.51923,64,75646,69
49.5608967,64,75673,66
49.6025633,65,75698,88
49.64423,65,75721,35
49.6858967,65,75741,8
49.7275633,65,75758,18
49.76923,65,75772,15
49.8108967,65,75782,9
49.8525633,65,75789,8
49.89423,65,75792,12
49.9358967,65,75791,9
49.9775633,65,75785,2
50.01923,65,75775,11
50.0608967,64,75759,24
50.1025633,64,75740,26
50.14423,64,75716,16
50.1858967,64,75688,16
50.2275633,63,75657,11
50.26923,63,75623,11
50.3108967,63,75587,24
50.3525633,63,75547,38
50.39423,62,75506,105
50.4358967,62,75463,87
50.4775633,61,75419,44
50.51923,61,75374,26
50.5608967,61,75328,78
50.6025633,60,75282,72
50.64423,60,75236,57
50.6858967,60,75190,51
50.7275633,59,75145,97
50.76923,59,75101,139
50.8108967,59,75058,159
50.8525633,59,75017,186
50.89423,58,74978,152
50.9358967,58,74941,111
50.9775633,58,74907,115
51.01923,58,74876,74
51.0608967,58,74848,48
51.1025633,58,74824,15
51.14423,58,74802,11
51.1858967,58,74783,9
51.2275633,58,74766,9
51.26923,58,74752,11
51.3108967,58,74740,3
51.3525633,58,74730,9
51.39423,58,74722,6
51.4358967,58,74716,5
51.4775633,58,74712,10
51.51923,59,74709,17
51.5608967,59,74707,10
51.6025633,59,74707,11
51.64423,59,74707,8
51.6858967,59,74708,6
51.7275633,59,74710,21
51.76923,60,74713,74
51.8108967,60,74716,86
51.8525633,60,74719,47
51.89423,60,74722,45
51.9358967,60,74726,101
51.9775633,61,74729,82
52.01923,61,74731,107
52.0608967,61,74733,67
52.1025633,61,74735,53
52.14423,61,74736,43
52.1858967,61,74737,59
52.2275633,61,74738,69
52.26923,61,74738,83
52.3108967,61,74738,86
52.3525633,61,74738,43
52.39423,61,74738,41
52.43589670000001,61,74738,28
52.47756329999999,61,74737,45
52.51923000000001,61,74737,56
52.56089670000001,61,74736,39
52.60256329999999,61,74736,20
52.64423000000001,61,74736,11
52.68589670000001,61,74735,11
52.72756329999999,61,74735,17
52.76923000000001,61,74735,17
52.81089670000001,61,74735,17
52.85256329999999,61,74736,14
52.89423000000001,61,74737,30
52.93589670000001,61,74738,58
52.97756329999999,60,74739,22
53.01923000000001,60,74741,45
53.06089670000001,60,74743,67
53.10256329999999,60,74746,114
53.14423000000001,60,74749,99
53.18589670000001,60,74752,64
53.22756329999999,59,74756,48
53.26923000000001,59,74760,67
53.31089670000001,59,74764,31
53.35256329999999,59,74768,41
53.39423000000001,58,74773,55
53.43589670000001,58,74778,38
53.47756329999999,58,74783,35
53.51923000000001,58,74788,37
53.56089670000001,58,74793,34
53.60256329999999,57,74798,4
53.64423000000001,57,74804,12
53.68589670000001,57,74809,6
53.72756329999999,57,74815,3
53.76923000000001,57,74820,0
53.81089670000001,56,74826,2
53.85256329999999,56,74831,3
53.89423000000001,56,74837,2
53.93589670000001,56,74842,1
53.97756329999999,56,74847,0
54.01923000000001,55,74852,0
