time,births,population,reported_cases
44.01923,14,15143,0
44.0608967,14,15213,0
44.1025633,14,15278,0
44.14423,14,15340,0
44.1858967,14,15398,0
44.2275633,14,15453,0
44.26923,14,15504,0
44.3108967,14,15551,0
44.3525633,14,15596,0
44.39423,14,15637,0
44.4358967,14,15675,4
44.4775633,13,15710,4
44.51923,13,15742,19
44.5608967,13,15772,10
44.6025633,13,15799,4
44.64423,13,15823,5
44.6858967,13,15845,0
44.7275633,13,15864,9
44.76923,13,15882,19
44.8108967,13,15897,65
44.8525633,13,15909,60
44.89423,13,15920,63
44.9358967,13,15929,53
44.9775633,13,15937,25
45.01923,13,15942,32
45.0608967,14,15946,29
45.1025633,14,15949,27
45.14423,14,15950,26
45.1858967,14,15950,31
45.2275633,14,15948,23
45.26923,14,15946,11
45.3108967,14,15942,11
45.3525633,14,15938,1
45.39423,14,15932,0
45.4358967,14,15926,1
45.4775633,14,15919,0
45.51923,14,15912,0
45.5608967,14,15904,2
45.6025633,14,15895,0
45.64423,14,15886,0
45.6858967,14,15877,0
45.7275633,14,15868,0
45.76923,15,15859,0
45.8108967,15,15850,0
45.8525633,15,15840,0
45.89423,15,15831,0
45.9358967,15,15823,0
45.9775633,15,15814,0
46.01923,15,15806,0
46.0608967,15,15799,0
46.1025633,15,15792,0
46.14423,15,15786,0
46.1858967,15,15780,0
46.2275633,16,15775,0
46.26923,16,15770,0
46.3108967,16,15766,0
46.3525633,16,15763,0
46.39423,16,15760,0
46.4358967,16,15757,0
46.4775633,16,15756,0
46.51923,16,15754,0
46.5608967,16,15754,0
46.6025633,16,15754,0
46.64423,16,15755,0
46.6858967,16,15756,0
46.7275633,16,15759,0
46.76923,16,15761,0
46.8108967,16,15765,0
46.8525633,16,15769,0
46.89423,16,15774,0
46.9358967,16,15780,0
46.9775633,16,15786,2
47.01923,16,15793,2
47.0608967,16,15801,0
47.1025633,16,15810,41
47.14423,16,15819,1
47.1858967,16,15828,0
47.2275633,16,15838,0
47.26923,16,15849,5
47.3108967,16,15859,3
47.3525633,16,15870,1
47.39423,15,15880,7
47.4358967,15,15891,48
47.4775633,15,15902,53
47.51923,15,15913,79
47.5608967,15,15923,56
47.6025633,15,15933,2
47.64423,15,15943,15
47.6858967,14,15952,1
47.7275633,14,15961,5
47.76923,14,15969,1
47.8108967,14,15977,0
47.8525633,14,15983,0
47.89423,14,15989,0
47.9358967,14,15994,0
47.9775633,14,15998,0
48.01923,14,16001,0
48.0608967,14,16003,0
48.1025633,13,16004,0
48.14423,13,16004,0
48.1858967,13,16003,0
48.2275633,13,16002,0
48.26923,13,16000,0
48.3108967,13,15997,0
48.3525633,13,15993,0
48.39423,13,15990,11
48.4358967,13,15986,30
48.4775633,13,15982,34
48.51923,13,15977,0
48.5608967,13,15973,0
48.6025633,13,15968,16
