time,births,population,reported_cases
44.01923,3,4354,0
44.0608967,3,4334,0
44.1025633,3,4317,0
44.14423,3,4302,0
44.1858967,3,4290,0
44.2275633,3,4280,0
44.26923,3,4272,0
44.3108967,3,4267,0
44.3525633,3,4264,0
44.39423,3,4262,0
44.4358967,3,4263,0
44.4775633,3,4265,0
44.51923,3,4268,0
44.5608967,3,4273,0
44.6025633,2,4280,0
44.64423,2,4288,0
44.6858967,2,4296,1
44.7275633,2,4306,0
44.76923,2,4317,0
44.8108967,2,4328,0
44.8525633,2,4340,0
44.89423,2,4353,0
44.9358967,2,4366,0
44.9775633,2,4380,0
45.01923,2,4393,0
45.0608967,2,4407,0
45.1025633,2,4421,0
45.14423,2,4435,0
45.1858967,2,4448,0
45.2275633,2,4462,2
45.26923,2,4475,0
45.3108967,2,4488,0
45.3525633,2,4501,1
45.39423,2,4514,0
45.4358967,2,4526,1
45.4775633,2,4537,0
45.51923,2,4548,0
45.5608967,2,4558,0
45.6025633,2,4568,1
45.64423,2,4577,0
45.6858967,2,4585,3
45.7275633,2,4592,0
45.76923,2,4599,0
45.8108967,2,4604,0
45.8525633,2,4608,0
45.89423,2,4611,0
45.9358967,2,4613,0
45.9775633,2,4614,0
46.01923,2,4614,0
46.0608967,2,4612,0
46.1025633,2,4609,0
46.14423,2,4605,0
46.1858967,2,4600,0
46.2275633,2,4594,0
46.26923,2,4587,0
46.3108967,2,4579,0
46.3525633,2,4571,0
46.39423,3,4563,0
46.4358967,3,4554,0
46.4775633,3,4544,0
46.51923,3,4535,0
46.5608967,3,4525,0
46.6025633,3,4515,0
46.64423,3,4506,0
46.6858967,3,4496,5
46.7275633,3,4487,0
46.76923,3,4478,0
46.8108967,3,4470,2
46.8525633,3,4462,1
46.89423,3,4455,2
46.9358967,3,4448,6
46.9775633,3,4443,5
47.01923,3,4438,0
47.0608967,3,4434,0
47.1025633,3,4431,1
47.14423,3,4429,4
47.1858967,3,4428,2
47.2275633,3,4428,14
47.26923,3,4428,2
47.3108967,3,4429,0
47.3525633,3,4431,1
47.39423,3,4433,2
47.4358967,3,4436,0
47.4775633,3,4439,1
47.51923,3,4443,0
47.5608967,3,4447,0
47.6025633,3,4451,0
47.64423,3,4456,0
47.6858967,3,4461,0
47.7275633,3,4466,0
47.76923,3,4471,0
47.8108967,3,4476,0
47.8525633,3,4482,0
47.89423,3,4487,0
47.9358967,3,4492,0
47.9775633,3,4497,0
48.01923,3,4502,0
48.0608967,3,4507,0
48.1025633,3,4512,0
48.14423,3,4516,0
48.1858967,3,4520,0
48.2275633,3,4524,0
48.26923,3,4528,0
48.3108967,3,4532,0
48.3525633,3,4536,0
48.39423,3,4539,0
48.4358967,3,4542,0
48.4775633,3,4545,0
48.51923,3,4548,0
48.5608967,3,4551,2
48.6025633,3,4553,0
48.64423,3,4556,0
48.6858967,3,4558,0
48.7275633,3,4560,0
48.76923,3,4562,0
48.8108967,3,4564,0
48.8525633,3,4565,7
48.89423,3,4567,23
48.9358967,3,4568,12
48.9775633,3,4569,5
49.01923,3,4570,0
49.0608967,3,4571,5
49.1025633,3,4572,0
49.14423,3,4573,0
49.1858967,3,4574,0
49.2275633,3,4574,0
49.26923,3,4575,0
49.3108967,3,4575,0
49.3525633,3,4576,0
49.39423,3,4576,1
49.4358967,3,4576,1
49.4775633,3,4577,0
49.51923,2,4577,0
49.5608967,2,4578,0
49.6025633,2,4578,0
49.64423,2,4579,0
49.6858967,2,4580,0
49.7275633,2,4581,0
49.76923,2,4582,0
49.8108967,2,4583,0
49.8525633,2,4584,0
49.89423,2,4585,0
49.9358967,2,4587,0
49.9775633,2,4589,2
50.01923,2,4591,2
50.0608967,2,4593,0
50.1025633,2,4596,0
50.14423,2,4598,0
50.1858967,2,4601,0
50.2275633,2,4604,0
50.26923,2,4607,0
50.3108967,2,4611,0
50.3525633,2,4614,0
50.39423,2,4618,0
50.4358967,2,4622,1
50.4775633,2,4625,0
50.51923,2,4629,0
50.5608967,3,4633,0
50.6025633,3,4638,1
50.64423,3,4642,2
50.6858967,3,4646,1
50.7275633,3,4650,2
50.76923,3,4655,0
50.8108967,3,4659,1
50.8525633,3,4663,0
50.89423,3,4668,1
50.9358967,3,4672,2
50.9775633,3,4677,3
51.01923,3,4681,9
51.0608967,3,4685,4
51.1025633,3,4690,2
51.14423,3,4694,2
51.1858967,3,4698,0
51.2275633,3,4702,0
51.26923,3,4706,0
51.3108967,3,4710,1
51.3525633,3,4714,0
51.39423,3,4718,0
51.4358967,3,4722,3
51.4775633,3,4725,0
51.51923,3,4728,0
51.5608967,3,4732,0
51.6025633,3,4735,1
51.64423,3,4738,0
51.6858967,3,4740,0
51.7275633,3,4743,0
51.76923,3,4745,0
51.8108967,3,4748,0
51.8525633,3,4750,0
51.89423,3,4751,0
51.9358967,3,4753,18
51.9775633,3,4754,11
52.01923,3,4755,4
52.0608967,3,4756,3
52.1025633,3,4757,1
52.14423,3,4757,0
52.1858967,2,4758,0
52.2275633,2,4758,0
52.26923,2,4758,0
52.3108967,2,4757,0
52.3525633,2,4757,0
52.39423,2,4756,0
52.43589670000001,2,4756,0
52.47756329999999,2,4755,0
52.51923000000001,2,4754,0
52.56089670000001,2,4754,0
52.60256329999999,2,4753,0
52.64423000000001,2,4752,0
52.68589670000001,2,4751,0
52.72756329999999,2,4751,0
52.76923000000001,2,4750,0
52.81089670000001,2,4749,0
52.85256329999999,2,4748,0
52.89423000000001,2,4748,0
52.93589670000001,2,4747,0
52.97756329999999,2,4747,0
53.01923000000001,2,4747,0
53.06089670000001,2,4747,4
53.10256329999999,2,4747,13
53.14423000000001,2,4747,3
53.18589670000001,2,4747,5
53.22756329999999,2,4748,0
53.26923000000001,2,4748,0
53.31089670000001,2,4749,1
53.35256329999999,3,4749,1
53.39423000000001,3,4750,1
53.43589670000001,3,4751,0
53.47756329999999,3,4752,4
53.51923000000001,3,4752,0
53.56089670000001,3,4753,0
53.60256329999999,3,4754,0
53.64423000000001,3,4755,0
53.68589670000001,3,4756,0
53.72756329999999,3,4756,0
53.76923000000001,3,4757,0
53.81089670000001,3,4758,0
53.85256329999999,3,4758,0
53.89423000000001,3,4759,0
53.93589670000001,3,4759,0
53.97756329999999,3,4760,0
54.01923000000001,3,4760,0
54.06089670000001,3,4760,0
54.10256329999999,3,4760,0
54.14423000000001,3,4761,0
54.18589670000001,3,4760,0
54.22756329999999,3,4760,0
54.26923000000001,3,4760,0
54.31089670000001,3,4760,0
54.35256329999999,3,4760,0
54.39423000000001,3,4759,0
54.43589670000001,3,4759,0
54.47756329999999,3,4758,0
54.51923000000001,3,4758,0
54.56089670000001,3,4757,0
54.60256329999999,3,4757,0
54.64423000000001,3,4756,0
54.68589670000001,3,4755,0
54.72756329999999,3,4755,0
54.76923000000001,3,4754,2
54.81089670000001,3,4753,0
54.85256329999999,3,4753,0
54.89423000000001,3,4752,0
54.93589670000001,3,4751,0
54.97756329999999,3,4750,0
55.01923000000001,3,4750,0
55.06089670000001,3,4749,0
55.10256329999999,3,4748,1
55.14423000000001,3,4748,0
55.18589670000001,3,4747,1
55.22756329999999,3,4746,2
55.26923000000001,3,4746,7
55.31089670000001,3,4745,4
55.35256329999999,3,4745,7
55.39423000000001,3,4744,2
55.43589670000001,3,4744,0
55.47756329999999,3,4743,2
55.51923000000001,3,4743,0
55.56089670000001,3,4742,0
55.60256329999999,3,4742,0
55.64423000000001,3,4742,0
55.68589670000001,3,4741,0
55.72756329999999,3,4741,0
55.76923000000001,3,4741,0
55.81089670000001,3,4741,0
55.85256329999999,3,4740,0
55.89423000000001,3,4740,0
55.93589670000001,3,4740,0
55.97756329999999,3,4740,0
56.01923000000001,3,4740,0
56.06089670000001,3,4740,0
56.10256329999999,3,4740,0
56.14423000000001,3,4740,0
56.18589670000001,3,4740,0
56.22756329999999,3,4740,0
