time,births,population,reported_cases
44.01923,5,5386,0
44.0608967,5,5366,0
44.1025633,5,5350,0
44.14423,5,5336,0
44.1858967,5,5325,0
44.2275633,5,5316,2
44.26923,5,5310,0
44.3108967,5,5307,0
44.3525633,5,5305,0
44.39423,5,5306,0
44.4358967,5,5308,0
44.4775633,5,5313,0
44.51923,5,5319,0
44.5608967,5,5327,0
44.6025633,5,5337,0
44.64423,5,5348,0
44.6858967,4,5360,0
44.7275633,4,5373,0
44.76923,4,5388,0
44.8108967,4,5404,0
44.8525633,4,5420,0
44.89423,4,5438,0
44.9358967,4,5455,0
44.9775633,4,5474,0
45.01923,4,5493,0
45.0608967,4,5512,0
45.1025633,4,5531,0
45.14423,4,5551,0
45.1858967,4,5571,0
45.2275633,4,5591,0
45.26923,4,5611,0
45.3108967,4,5630,27
45.3525633,4,5650,27
45.39423,4,5669,18
45.4358967,4,5689,0
45.4775633,4,5707,0
45.51923,4,5726,0
45.5608967,4,5744,0
45.6025633,4,5761,0
45.64423,4,5778,0
45.6858967,4,5794,0
45.7275633,4,5810,0
45.76923,4,5824,0
45.8108967,4,5838,0
45.8525633,5,5850,0
45.89423,5,5862,0
45.9358967,5,5873,0
45.9775633,5,5882,0
46.01923,5,5891,0
46.0608967,5,5898,0
46.1025633,5,5904,0
46.14423,5,5909,0
46.1858967,5,5912,0
46.2275633,5,5915,0
46.26923,5,5918,0
46.3108967,6,5919,0
46.3525633,6,5919,0
46.39423,6,5919,0
46.4358967,6,5919,0
46.4775633,6,5918,2
46.51923,6,5916,0
46.5608967,6,5915,0
46.6025633,6,5913,0
46.64423,6,5910,0
46.6858967,6,5908,0
46.7275633,7,5906,0
46.76923,7,5903,0
46.8108967,7,5901,0
46.8525633,7,5899,0
46.89423,7,5897,0
46.9358967,7,5896,0
46.9775633,7,5894,0
47.01923,7,5894,0
47.0608967,7,5894,0
47.1025633,6,5894,0
47.14423,6,5895,0
47.1858967,6,5896,0
47.2275633,6,5897,0
47.26923,6,5899,0
47.3108967,6,5902,8
47.3525633,6,5904,0
47.39423,6,5907,2
47.4358967,6,5910,0
47.4775633,5,5913,3
47.51923,5,5917,1
47.5608967,5,5920,2
47.6025633,5,5924,0
47.64423,5,5928,0
47.6858967,5,5932,0
47.7275633,5,5936,1
47.76923,5,5940,0
47.8108967,4,5944,0
47.8525633,4,5948,0
47.89423,4,5952,0
47.9358967,4,5956,0
47.9775633,4,5960,0
48.01923,4,5964,0
48.0608967,4,5967,0
48.1025633,4,5971,1
48.14423,4,5974,0
48.1858967,4,5977,1
48.2275633,4,5980,0
48.26923,4,5984,0
48.3108967,4,5987,0
48.3525633,4,5990,0
48.39423,4,5993,0
48.4358967,4,5997,0
48.4775633,4,6000,0
48.51923,4,6003,0
48.5608967,5,6007,0
48.6025633,5,6011,0
48.64423,5,6015,0
48.6858967,5,6019,0
48.7275633,5,6024,0
48.76923,5,6028,0
48.8108967,5,6033,25
48.8525633,5,6039,116
48.89423,5,6044,63
48.9358967,5,6050,7
48.9775633,5,6056,7
49.01923,5,6063,0
49.0608967,5,6070,5
49.1025633,5,6078,0
49.14423,5,6085,0
49.1858967,5,6094,0
49.2275633,5,6102,0
49.26923,5,6110,0
49.3108967,5,6119,0
49.3525633,5,6128,0
49.39423,5,6136,0
49.4358967,5,6145,0
49.4775633,5,6154,0
49.51923,5,6163,0
49.5608967,5,6172,0
49.6025633,5,6180,0
49.64423,5,6189,1
49.6858967,4,6197,0
49.7275633,4,6205,0
49.76923,4,6213,0
49.8108967,4,6221,0
49.8525633,4,6228,0
49.89423,4,6235,0
49.9358967,4,6241,0
49.9775633,4,6247,0
50.01923,4,6252,0
50.0608967,4,6257,0
50.1025633,4,6262,0
50.14423,4,6266,0
50.1858967,4,6269,0
50.2275633,4,6273,0
50.26923,4,6276,0
50.3108967,4,6278,2
50.3525633,4,6280,0
50.39423,4,6283,0
50.4358967,4,6284,0
50.4775633,4,6286,0
50.51923,4,6287,0
50.5608967,4,6289,0
50.6025633,4,6290,0
50.64423,4,6291,0
50.6858967,4,6293,0
50.7275633,5,6294,0
50.76923,5,6295,0
50.8108967,5,6296,5
50.8525633,5,6298,55
50.89423,5,6299,65
50.9358967,5,6301,22
50.9775633,5,6303,3
51.01923,5,6305,4
51.0608967,5,6307,0
51.1025633,5,6310,0
51.14423,5,6313,1
51.1858967,5,6316,1
51.2275633,5,6319,2
51.26923,5,6322,0
51.3108967,5,6325,2
51.3525633,5,6328,1
51.39423,5,6331,2
51.4358967,5,6335,1
51.4775633,5,6338,0
51.51923,5,6341,0
51.5608967,5,6344,3
51.6025633,5,6347,7
51.64423,5,6350,4
51.6858967,5,6353,7
51.7275633,5,6356,0
51.76923,5,6358,0
51.8108967,5,6360,0
51.8525633,5,6362,0
51.89423,5,6363,0
51.9358967,5,6365,0
51.9775633,5,6366,0
52.01923,5,6366,0
52.0608967,5,6366,0
52.1025633,5,6366,0
52.14423,5,6366,0
52.1858967,5,6365,0
52.2275633,5,6364,9
52.26923,5,6363,21
52.3108967,5,6362,15
52.3525633,5,6360,8
52.39423,5,6358,0
52.43589670000001,5,6357,0
52.47756329999999,5,6355,0
52.51923000000001,5,6353,0
52.56089670000001,5,6351,0
52.60256329999999,5,6349,0
52.64423000000001,5,6348,0
52.68589670000001,5,6346,0
52.72756329999999,5,6344,0
52.76923000000001,5,6343,0
52.81089670000001,5,6342,0
52.85256329999999,5,6341,0
52.89423000000001,5,6340,0
52.93589670000001,5,6339,1
52.97756329999999,5,6339,0
53.01923000000001,5,6339,0
53.06089670000001,5,6339,0
53.10256329999999,5,6340,1
53.14423000000001,5,6341,1
