time,births,population,reported_cases
44.01923,38,41885,0
44.0608967,38,41719,0
44.1025633,37,41576,0
44.14423,36,41455,0
44.1858967,36,41354,1
44.2275633,35,41274,4
44.26923,35,41213,0
44.3108967,35,41171,0
44.3525633,34,41146,1
44.39423,34,41139,0
44.4358967,34,41147,1
44.4775633,34,41170,0
44.51923,33,41207,0
44.5608967,33,41258,0
44.6025633,33,41321,4
44.64423,33,41396,4
44.6858967,33,41482,4
44.7275633,33,41578,2
44.76923,33,41683,0
44.8108967,33,41796,6
44.8525633,33,41917,39
44.89423,33,42044,41
44.9358967,34,42176,65
44.9775633,34,42314,144
45.01923,34,42456,86
45.0608967,34,42601,65
45.1025633,34,42749,54
45.14423,34,42899,42
45.1858967,35,43050,23
45.2275633,35,43203,7
45.26923,35,43357,13
45.3108967,35,43511,4
45.3525633,36,43665,0
45.39423,36,43817,9
45.4358967,36,43969,3
45.4775633,36,44118,4
45.51923,37,44265,0
45.5608967,37,44410,0
45.6025633,37,44550,0
45.64423,37,44687,1
45.6858967,38,44820,1
45.7275633,38,44947,0
45.76923,38,45069,0
45.8108967,38,45184,0
45.8525633,39,45294,0
45.89423,39,45396,0
45.9358967,39,45490,0
45.9775633,39,45577,0
46.01923,39,45655,0
46.0608967,39,45724,0
46.1025633,40,45785,10
46.14423,40,45839,13
46.1858967,40,45885,7
46.2275633,40,45925,11
46.26923,40,45958,15
46.3108967,40,45986,2
46.3525633,40,46009,3
46.39423,40,46027,15
46.4358967,40,46041,44
46.4775633,40,46052,15
46.51923,40,46059,0
46.5608967,40,46064,7
46.6025633,40,46067,1
46.64423,40,46069,1
46.6858967,40,46069,0
46.7275633,40,46069,0
46.76923,40,46069,0
46.8108967,40,46069,0
46.8525633,40,46070,0
46.89423,40,46073,4
46.9358967,40,46078,23
46.9775633,40,46085,42
47.01923,40,46095,56
47.0608967,40,46109,54
47.1025633,39,46125,66
47.14423,39,46144,82
47.1858967,39,46166,39
47.2275633,39,46190,35
47.26923,39,46216,11
47.3108967,39,46244,19
47.3525633,39,46274,8
47.39423,38,46305,13
47.4358967,38,46338,1
47.4775633,38,46371,3
47.51923,38,46405,5
47.5608967,38,46439,3
47.6025633,37,46474,4
47.64423,37,46509,6
47.6858967,37,46544,1
47.7275633,37,46579,13
47.76923,37,46613,12
47.8108967,36,46646,18
47.8525633,36,46678,9
47.89423,36,46709,30
47.9358967,36,46738,17
47.9775633,35,46766,5
48.01923,35,46792,7
48.0608967,35,46815,3
48.1025633,35,46837,18
48.14423,35,46858,50
48.1858967,34,46876,142
48.2275633,34,46893,83
48.26923,34,46908,68
48.3108967,34,46922,38
48.3525633,34,46935,11
48.39423,33,46946,3
48.4358967,33,46956,7
48.4775633,33,46965,0
48.51923,33,46973,2
48.5608967,33,46981,4
48.6025633,33,46987,4
48.64423,32,46993,1
48.6858967,32,46999,0
48.7275633,32,47003,2
48.76923,32,47008,0
48.8108967,32,47012,0
48.8525633,32,47016,0
48.89423,32,47020,0
48.9358967,31,47024,2
48.9775633,31,47028,1
49.01923,31,47032,20
49.0608967,31,47036,19
49.1025633,31,47041,8
49.14423,31,47046,6
49.1858967,31,47051,4
49.2275633,31,47056,8
49.26923,31,47061,7
49.3108967,31,47066,3
49.3525633,31,47071,1
49.39423,31,47077,11
49.4358967,31,47082,35
49.4775633,31,47088,16
49.51923,31,47093,7
49.5608967,31,47099,47
49.6025633,31,47104,32
49.64423,31,47110,17
49.6858967,31,47115,11
49.7275633,31,47120,12
49.76923,31,47125,0
49.8108967,31,47130,11
49.8525633,31,47135,6
49.89423,31,47139,8
49.9358967,31,47144,4
49.9775633,31,47148,1
50.01923,31,47152,0
50.0608967,31,47155,8
50.1025633,30,47159,63
50.14423,30,47162,66
50.1858967,30,47166,58
50.2275633,30,47169,45
50.26923,30,47172,35
50.3108967,30,47176,39
50.3525633,30,47180,83
50.39423,30,47183,74
50.4358967,30,47188,79
50.4775633,30,47192,93
50.51923,29,47197,57
50.5608967,29,47202,63
50.6025633,29,47208,23
50.64423,29,47214,10
50.6858967,29,47222,2
50.7275633,29,47229,2
50.76923,29,47238,2
50.8108967,29,47247,0
50.8525633,29,47257,1
50.89423,29,47268,0
50.9358967,29,47280,0
50.9775633,29,47293,0
51.01923,28,47307,0
51.0608967,28,47322,3
51.1025633,28,47338,1
51.14423,28,47355,4
51.1858967,28,47372,2
51.2275633,28,47391,10
51.26923,28,47410,2
51.3108967,28,47430,14
51.3525633,28,47451,12
51.39423,28,47472,35
51.4358967,28,47493,24
51.4775633,28,47515,57
51.51923,28,47537,42
51.5608967,29,47560,30
51.6025633,29,47582,20
51.64423,29,47605,8
51.6858967,29,47627,5
51.7275633,29,47650,0
51.76923,29,47672,0
51.8108967,29,47694,1
51.8525633,29,47716,3
51.89423,29,47737,2
51.9358967,29,47759,4
51.9775633,29,47779,3
52.01923,29,47799,4
52.0608967,29,47819,10
52.1025633,29,47838,50
52.14423,29,47856,118
52.1858967,29,47874,234
52.2275633,29,47892,120
52.26923,29,47909,66
52.3108967,29,47926,77
52.3525633,29,47943,18
52.39423,29,47960,5
52.43589670000001,29,47977,6
52.47756329999999,29,47994,10
52.51923000000001,29,48010,7
52.56089670000001,29,48027,6
52.60256329999999,29,48044,11
52.64423000000001,29,48061,4
52.68589670000001,29,48078,2
52.72756329999999,29,48095,0
52.76923000000001,29,48113,2
52.81089670000001,29,48131,0
52.85256329999999,29,48150,2
52.89423000000001,29,48169,16
52.93589670000001,29,48189,27
52.97756329999999,29,48209,11
53.01923000000001,28,48230,15
53.06089670000001,28,48251,4
53.10256329999999,28,48273,5
53.14423000000001,28,48296,7
53.18589670000001,28,48319,4
53.22756329999999,28,48342,14
53.26923000000001,28,48365,9
