time,births,population,reported_cases
44.01923,38,55329,0
44.0608967,37,54923,0
44.1025633,36,54584,6
44.14423,35,54310,2
44.1858967,34,54099,4
44.2275633,33,53948,1
44.26923,33,53854,2
44.3108967,32,53815,6
44.3525633,32,53828,3
44.39423,32,53891,17
44.4358967,32,54002,15
44.4775633,32,54157,6
44.51923,32,54354,0
44.5608967,32,54591,0
44.6025633,33,54865,0
44.64423,33,55173,0
44.6858967,33,55514,0
44.7275633,34,55884,0
44.76923,34,56280,0
44.8108967,35,56702,0
44.8525633,36,57145,1
44.89423,37,57607,0
44.9358967,37,58086,7
44.9775633,38,58579,24
45.01923,39,59084,23
45.0608967,40,59599,18
45.1025633,41,60121,11
45.14423,42,60651,7
45.1858967,43,61184,11
45.2275633,44,61722,12
45.26923,45,62260,6
45.3108967,46,62800,17
45.3525633,47,63337,9
45.39423,48,63872,10
45.4358967,49,64402,6
45.4775633,50,64926,8
45.51923,51,65442,17
45.5608967,52,65949,22
45.6025633,52,66445,18
45.64423,53,66929,23
45.6858967,54,67399,5
45.7275633,55,67853,2
45.76923,56,68290,0
45.8108967,57,68709,1
45.8525633,57,69107,0
45.89423,58,69483,0
45.9358967,59,69836,0
45.9775633,59,70164,2
46.01923,60,70466,0
46.0608967,60,70741,0
46.1025633,60,70990,0
46.14423,61,71216,2
46.1858967,61,71419,2
46.2275633,61,71602,4
46.26923,61,71764,0
46.3108967,61,71909,2
46.3525633,61,72037,2
46.39423,61,72150,4
46.4358967,61,72249,4
46.4775633,61,72335,15
46.51923,61,72411,6
46.5608967,61,72477,23
46.6025633,61,72535,14
46.64423,60,72586,10
46.6858967,60,72633,9
46.7275633,60,72675,4
46.76923,60,72715,6
46.8108967,59,72754,6
46.8525633,59,72794,43
46.89423,58,72836,62
46.9358967,58,72881,28
46.9775633,58,72931,17
47.01923,57,72987,2
47.0608967,57,73050,4
47.1025633,56,73119,17
47.14423,56,73194,29
47.1858967,55,73273,42
47.2275633,55,73358,27
47.26923,54,73446,6
47.3108967,54,73538,4
47.3525633,53,73633,6
47.39423,53,73730,22
47.4358967,52,73828,52
47.4775633,52,73928,18
47.51923,51,74029,2
47.5608967,51,74129,6
47.6025633,50,74229,2
