time,births,population,reported_cases
44.01923,46,52620,0
44.0608967,46,52513,0
44.1025633,46,52411,0
44.14423,45,52312,0
44.1858967,45,52216,2
44.2275633,45,52124,0
44.26923,45,52036,0
44.3108967,44,51952,0
44.3525633,44,51871,0
44.39423,44,51794,0
44.4358967,44,51720,0
44.4775633,43,51650,0
44.51923,43,51583,2
44.5608967,43,51520,0
44.6025633,43,51461,0
44.64423,42,51405,0
44.6858967,42,51353,1
44.7275633,42,51304,0
44.76923,42,51258,2
44.8108967,42,51217,0
44.8525633,41,51178,0
44.89423,41,51143,2
44.9358967,41,51112,1
44.9775633,41,51084,0
45.01923,41,51059,0
45.0608967,41,51038,2
45.1025633,41,51020,20
45.14423,40,51005,26
45.1858967,40,50994,28
45.2275633,40,50986,51
45.26923,40,50981,87
45.3108967,40,50979,137
45.3525633,40,50979,81
45.39423,40,50983,199
45.4358967,40,50990,106
45.4775633,40,50999,21
45.51923,40,51011,28
45.5608967,40,51026,9
45.6025633,40,51044,4
45.64423,40,51064,2
45.6858967,40,51086,0
45.7275633,40,51111,0
45.76923,41,51139,0
45.8108967,41,51168,0
45.8525633,41,51200,0
45.89423,41,51234,1
45.9358967,41,51270,0
45.9775633,41,51309,0
46.01923,41,51349,0
46.0608967,41,51391,0
46.1025633,42,51435,0
46.14423,42,51480,1
46.1858967,42,51527,0
46.2275633,42,51575,0
46.26923,42,51624,2
46.3108967,43,51674,4
46.3525633,43,51724,1
46.39423,43,51775,0
46.4358967,43,51826,1
46.4775633,43,51877,0
46.51923,44,51928,2
46.5608967,44,51979,7
46.6025633,44,52029,3
46.64423,44,52078,2
46.6858967,44,52127,0
46.7275633,44,52175,2
46.76923,45,52222,2
46.8108967,45,52267,0
46.8525633,45,52311,0
46.89423,45,52353,3
46.9358967,45,52393,1
46.9775633,45,52431,2
47.01923,45,52466,2
47.0608967,45,52500,4
47.1025633,45,52531,5
47.14423,45,52559,9
47.1858967,44,52586,26
47.2275633,44,52611,37
47.26923,44,52634,67
47.3108967,44,52655,94
47.3525633,44,52674,117
47.39423,44,52692,137
47.4358967,43,52708,81
47.4775633,43,52723,28
47.51923,43,52736,25
47.5608967,43,52747,22
47.6025633,42,52758,10
47.64423,42,52767,3
47.6858967,42,52775,8
47.7275633,41,52782,1
47.76923,41,52789,1
47.8108967,41,52794,2
47.8525633,41,52799,0
47.89423,40,52803,0
47.9358967,40,52806,0
47.9775633,40,52809,4
48.01923,39,52811,0
48.0608967,39,52813,0
48.1025633,39,52815,0
48.14423,39,52816,1
48.1858967,38,52818,1
48.2275633,38,52820,0
48.26923,38,52821,2
48.3108967,38,52824,13
48.3525633,37,52826,41
48.39423,37,52829,28
48.4358967,37,52833,31
48.4775633,37,52837,29
48.51923,37,52842,0
48.5608967,36,52848,47
48.6025633,36,52854,19
48.64423,36,52862,8
48.6858967,36,52872,0
48.7275633,36,52882,0
48.76923,36,52894,0
48.8108967,36,52907,0
48.8525633,36,52922,0
48.89423,36,52939,1
48.9358967,35,52958,0
48.9775633,35,52978,8
49.01923,35,53001,11
49.0608967,35,53025,34
49.1025633,35,53051,60
49.14423,35,53080,26
49.1858967,36,53109,47
49.2275633,36,53140,58
49.26923,36,53172,56
49.3108967,36,53205,41
49.3525633,36,53240,38
49.39423,36,53275,20
49.4358967,36,53310,20
49.4775633,36,53346,7
49.51923,36,53382,4
49.5608967,36,53419,13
49.6025633,36,53455,12
49.64423,37,53491,4
49.6858967,37,53527,2
49.7275633,37,53562,0
49.76923,37,53597,0
49.8108967,37,53631,4
49.8525633,37,53664,7
49.89423,37,53696,3
49.9358967,37,53726,0
49.9775633,37,53755,0
50.01923,37,53782,2
50.0608967,37,53808,2
50.1025633,37,53833,2
50.14423,38,53855,23
50.1858967,38,53877,49
50.2275633,38,53897,75
50.26923,38,53915,132
50.3108967,38,53933,105
50.3525633,38,53949,82
50.39423,38,53965,69
50.4358967,38,53979,52
50.4775633,37,53993,42
50.51923,37,54006,30
50.5608967,37,54018,19
50.6025633,37,54029,17
50.64423,37,54040,2
50.6858967,37,54050,6
50.7275633,37,54060,4
50.76923,37,54070,7
50.8108967,37,54079,6
50.8525633,37,54088,7
50.89423,37,54097,2
50.9358967,37,54106,4
50.9775633,37,54115,4
51.01923,37,54124,4
51.0608967,37,54134,0
51.1025633,37,54143,4
51.14423,37,54153,21
51.1858967,37,54163,20
51.2275633,37,54173,15
51.26923,37,54183,22
51.3108967,37,54193,26
51.3525633,37,54204,22
51.39423,37,54215,15
51.4358967,37,54226,8
51.4775633,37,54237,10
51.51923,36,54248,0
51.5608967,36,54260,4
51.6025633,36,54272,1
51.64423,36,54284,5
51.6858967,36,54297,3
51.7275633,36,54310,1
51.76923,36,54323,0
51.8108967,36,54336,0
51.8525633,36,54350,0
51.89423,36,54363,1
51.9358967,36,54378,0
51.9775633,36,54392,0
52.01923,36,54407,0
52.0608967,36,54422,0
52.1025633,36,54437,0
52.14423,36,54453,0
52.1858967,36,54468,0
52.2275633,36,54484,0
52.26923,36,54500,0
52.3108967,36,54517,1
52.3525633,36,54533,0
52.39423,36,54549,0
52.43589670000001,36,54565,0
52.47756329999999,36,54582,1
52.51923000000001,36,54598,2
52.56089670000001,36,54614,5
52.60256329999999,37,54630,6
52.64423000000001,37,54646,4
52.68589670000001,37,54661,0
52.72756329999999,37,54677,0
52.76923000000001,37,54692,3
52.81089670000001,37,54707,0
52.85256329999999,37,54721,0
52.89423000000001,37,54736,1
52.93589670000001,37,54749,15
52.97756329999999,38,54763,28
53.01923000000001,38,54776,39
53.06089670000001,38,54789,63
53.10256329999999,38,54801,149
53.14423000000001,38,54813,471
53.18589670000001,39,54825,465
53.22756329999999,39,54837,357
53.26923000000001,39,54849,126
53.31089670000001,39,54861,40
53.35256329999999,40,54873,9
53.39423000000001,40,54886,15
53.43589670000001,40,54899,7
53.47756329999999,40,54913,4
