time,births,population,reported_cases
44.01923,26,25109,0
44.0608967,25,25089,0
44.1025633,25,25073,0
44.14423,25,25061,1
44.1858967,24,25053,0
44.2275633,24,25048,0
44.26923,24,25047,0
44.3108967,24,25050,0
44.3525633,23,25055,1
44.39423,23,25064,7
44.4358967,23,25076,16
44.4775633,23,25090,38
44.51923,22,25107,43
44.5608967,22,25127,25
44.6025633,22,25150,9
44.64423,22,25174,11
44.6858967,22,25201,2
44.7275633,22,25230,0
44.76923,21,25261,0
44.8108967,21,25293,1
44.8525633,21,25328,0
44.89423,21,25363,0
44.9358967,21,25400,0
44.9775633,21,25439,0
45.01923,21,25478,0
45.0608967,21,25519,0
45.1025633,21,25560,17
45.14423,21,25603,28
45.1858967,21,25646,48
45.2275633,21,25690,49
45.26923,21,25734,56
45.3108967,21,25779,21
45.3525633,21,25825,16
45.39423,21,25871,15
45.4358967,21,25917,5
45.4775633,21,25963,2
45.51923,21,26010,0
45.5608967,21,26057,0
45.6025633,22,26104,0
45.64423,22,26151,3
45.6858967,22,26198,0
45.7275633,22,26244,0
45.76923,22,26291,0
45.8108967,22,26337,0
45.8525633,23,26383,0
45.89423,23,26428,0
45.9358967,23,26472,0
45.9775633,23,26517,0
46.01923,23,26560,0
46.0608967,24,26603,0
46.1025633,24,26645,0
46.14423,24,26686,0
46.1858967,24,26727,0
46.2275633,24,26767,0
46.26923,25,26807,0
46.3108967,25,26847,0
46.3525633,25,26886,0
46.39423,25,26925,0
46.4358967,26,26964,0
46.4775633,26,27002,0
46.51923,26,27040,0
46.5608967,26,27079,0
46.6025633,26,27117,4
46.64423,26,27155,3
46.6858967,27,27193,1
46.7275633,27,27232,4
46.76923,27,27270,4
46.8108967,27,27309,16
46.8525633,27,27348,23
46.89423,27,27388,33
46.9358967,27,27428,31
46.9775633,27,27468,60
47.01923,27,27509,55
47.0608967,27,27550,18
47.1025633,27,27592,6
47.14423,27,27633,15
47.1858967,27,27675,13
47.2275633,26,27716,11
47.26923,26,27758,2
47.3108967,26,27798,1
47.3525633,26,27838,0
47.39423,26,27878,0
47.4358967,25,27916,0
47.4775633,25,27954,13
47.51923,25,27990,27
47.5608967,25,28025,22
47.6025633,25,28058,17
47.64423,24,28089,15
47.6858967,24,28119,12
47.7275633,24,28147,6
47.76923,24,28173,4
47.8108967,23,28196,0
47.8525633,23,28217,0
47.89423,23,28236,0
47.9358967,23,28251,0
47.9775633,23,28264,3
48.01923,22,28274,21
48.0608967,22,28281,25
48.1025633,22,28285,28
48.14423,22,28287,20
48.1858967,22,28286,9
48.2275633,22,28284,45
48.26923,22,28280,30
48.3108967,22,28274,11
48.3525633,22,28268,12
48.39423,22,28260,6
48.4358967,22,28252,6
48.4775633,22,28244,6
48.51923,22,28235,13
48.5608967,22,28227,18
48.6025633,22,28219,6
48.64423,22,28212,5
48.6858967,22,28206,1
48.7275633,22,28202,0
48.76923,22,28198,2
48.8108967,22,28197,0
48.8525633,22,28197,1
48.89423,22,28200,3
48.9358967,23,28206,4
48.9775633,23,28214,5
49.01923,23,28226,4
49.0608967,23,28240,2
49.1025633,23,28258,4
49.14423,23,28278,3
49.1858967,23,28300,9
49.2275633,23,28324,8
49.26923,23,28350,4
49.3108967,24,28378,11
49.3525633,24,28407,15
49.39423,24,28436,23
49.4358967,24,28466,56
49.4775633,24,28497,21
49.51923,24,28527,17
49.5608967,24,28558,6
49.6025633,24,28587,4
49.64423,25,28616,6
49.6858967,25,28644,3
49.7275633,25,28670,0
49.76923,25,28695,0
49.8108967,25,28718,0
49.8525633,25,28739,2
49.89423,25,28757,1
49.9358967,25,28772,0
49.9775633,25,28785,0
50.01923,25,28794,6
50.0608967,25,28799,4
50.1025633,25,28802,9
50.14423,25,28801,10
50.1858967,25,28798,53
50.2275633,25,28793,49
50.26923,25,28785,62
50.3108967,25,28775,71
50.3525633,25,28763,80
50.39423,25,28750,60
50.4358967,25,28735,21
50.4775633,25,28719,20
50.51923,24,28703,26
50.5608967,24,28685,17
50.6025633,24,28667,11
50.64423,24,28650,4
50.6858967,24,28632,3
50.7275633,24,28614,4
50.76923,24,28597,0
50.8108967,24,28580,1
50.8525633,24,28564,1
50.89423,24,28550,2
50.9358967,24,28537,0
50.9775633,24,28525,0
51.01923,24,28516,0
51.0608967,24,28508,2
51.1025633,24,28502,1
51.14423,24,28498,3
51.1858967,24,28495,16
51.2275633,24,28494,6
51.26923,24,28495,6
51.3108967,24,28496,3
51.3525633,24,28499,4
51.39423,24,28503,9
51.4358967,24,28508,2
51.4775633,24,28514,19
51.51923,24,28521,19
51.5608967,24,28529,22
51.6025633,24,28537,18
51.64423,24,28546,13
51.6858967,24,28555,10
51.7275633,24,28565,5
51.76923,24,28575,2
51.8108967,24,28585,0
51.8525633,24,28595,1
51.89423,24,28605,1
51.9358967,24,28615,0
51.9775633,24,28625,0
52.01923,24,28634,0
52.0608967,24,28643,0
52.1025633,24,28652,0
52.14423,24,28661,0
52.1858967,24,28669,0
52.2275633,24,28677,3
52.26923,24,28685,20
52.3108967,24,28693,52
52.3525633,24,28701,33
52.39423,24,28708,64
52.43589670000001,24,28716,119
52.47756329999999,24,28724,41
52.51923000000001,24,28732,20
52.56089670000001,24,28739,8
52.60256329999999,24,28748,10
52.64423000000001,24,28756,3
52.68589670000001,24,28764,6
52.72756329999999,24,28773,4
52.76923000000001,24,28782,2
52.81089670000001,24,28792,2
52.85256329999999,24,28801,5
52.89423000000001,24,28812,9
52.93589670000001,24,28822,12
52.97756329999999,24,28834,6
53.01923000000001,24,28846,4
53.06089670000001,24,28858,11
53.10256329999999,24,28871,34
53.14423000000001,24,28884,17
53.18589670000001,24,28897,26
53.22756329999999,24,28911,21
53.26923000000001,24,28925,21
53.31089670000001,24,28940,10
53.35256329999999,24,28954,2
53.39423000000001,23,28969,0
53.43589670000001,23,28983,0
53.47756329999999,23,28998,2
53.51923000000001,23,29012,0
53.56089670000001,23,29026,0
53.60256329999999,23,29040,0
53.64423000000001,23,29054,0
53.68589670000001,23,29067,0
53.72756329999999,23,29080,2
53.76923000000001,23,29092,2
53.81089670000001,23,29104,0
53.85256329999999,23,29116,1
53.89423000000001,23,29126,2
53.93589670000001,23,29136,0
53.97756329999999,23,29145,0
54.01923000000001,23,29154,0
54.06089670000001,23,29161,0
54.10256329999999,23,29168,0
54.14423000000001,23,29174,2
54.18589670000001,23,29179,1
54.22756329999999,23,29184,0
54.26923000000001,23,29187,2
54.31089670000001,23,29191,0
54.35256329999999,23,29193,1
54.39423000000001,23,29195,2
54.43589670000001,23,29197,13
54.47756329999999,23,29198,13
54.51923000000001,23,29198,15
54.56089670000001,23,29198,25
54.60256329999999,23,29198,20
54.64423000000001,23,29197,7
54.68589670000001,23,29196,15
54.72756329999999,23,29194,12
54.76923000000001,23,29193,15
54.81089670000001,23,29191,43
54.85256329999999,23,29189,16
54.89423000000001,23,29186,7
54.93589670000001,23,29184,20
54.97756329999999,23,29181,36
55.01923000000001,22,29179,41
55.06089670000001,22,29176,3
55.10256329999999,22,29173,8
55.14423000000001,22,29171,36
55.18589670000001,22,29168,58
55.22756329999999,22,29165,53
55.26923000000001,22,29162,49
55.31089670000001,22,29160,15
55.35256329999999,21,29157,10
55.39423000000001,21,29154,10
55.43589670000001,21,29152,21
55.47756329999999,21,29149,21
55.51923000000001,21,29147,32
55.56089670000001,21,29144,11
55.60256329999999,21,29142,9
55.64423000000001,20,29140,6
55.68589670000001,20,29138,4
55.72756329999999,20,29137,3
55.76923000000001,20,29135,0
55.81089670000001,20,29134,0
55.85256329999999,20,29132,0
55.89423000000001,20,29131,0
55.93589670000001,20,29131,0
55.97756329999999,20,29130,0
56.01923000000001,20,29130,2
56.06089670000001,20,29130,0
56.10256329999999,20,29130,0
56.14423000000001,20,29131,0
56.18589670000001,20,29131,0
56.22756329999999,20,29132,0
56.26923000000001,20,29133,2
56.31089670000001,20,29135,0
56.35256329999999,20,29136,0
56.39423000000001,20,29138,0
56.43589670000001,20,29140,0
56.47756329999999,20,29142,0
56.51923000000001,20,29144,0
56.56089670000001,21,29147,0
56.60256329999999,21,29149,0
56.64423000000001,21,29152,0
56.68589670000001,21,29155,0
56.72756329999999,21,29158,2
56.76923000000001,21,29161,2
56.81089670000001,21,29164,5
56.85256329999999,21,29167,4
56.89423000000001,21,29171,1
56.93589670000001,21,29174,1
56.97756329999999,21,29178,4
57.01923000000001,21,29182,4
57.06089670000001,21,29186,0
57.10256329999999,21,29189,5
57.14423000000001,21,29193,9
57.18589670000001,21,29197,75
57.22756329999999,21,29201,240
57.26923000000001,21,29206,128
57.31089670000001,21,29210,53
57.35256329999999,21,29214,56
57.39423000000001,21,29219,61
57.43589670000001,21,29223,61
57.47756329999999,21,29227,31
57.51923000000001,21,29232,6
57.56089670000001,21,29237,2
57.60256329999999,21,29241,1
57.64423000000001,21,29246,3
57.68589670000001,21,29251,1
57.72756329999999,21,29256,2
57.76923000000001,21,29261,0
57.81089670000001,20,29266,0
57.85256329999999,20,29271,0
57.89423000000001,20,29277,0
57.93589670000001,20,29282,0
57.97756329999999,20,29287,0
58.01923000000001,20,29292,0
58.06089670000001,20,29298,0
58.10256329999999,20,29304,1
58.14423000000001,20,29309,0
58.18589670000001,20,29315,2
58.22756329999999,20,29321,0
58.26923000000001,20,29327,0
58.31089670000001,20,29333,0
58.35256329999999,21,29340,0
58.39423000000001,21,29347,2
58.43589670000001,21,29353,2
58.47756329999999,21,29361,0
58.51923000000001,21,29368,1
58.56089670000001,21,29376,0
58.60256329999999,21,29384,0
58.64423000000001,21,29392,0
58.68589670000001,21,29401,0
58.72756329999999,21,29410,1
58.76923000000001,21,29420,0
58.81089670000001,21,29430,0
58.85256329999999,21,29440,0
58.89423000000001,21,29451,0
58.93589670000001,21,29462,0
58.97756329999999,21,29474,0
59.01923000000001,21,29486,0
59.06089670000001,21,29498,7
59.10256329999999,21,29511,2
59.14423000000001,21,29525,1
59.18589670000001,21,29538,1
59.22756329999999,21,29552,4
59.26923000000001,21,29565,11
59.31089670000001,21,29579,14
59.35256329999999,21,29592,21
59.39423000000001,21,29605,47
59.43589670000001,21,29618,100
59.47756329999999,21,29630,122
59.51923000000001,21,29642,107
59.56089670000001,21,29653,47
59.60256329999999,21,29663,18
59.64423000000001,21,29673,3
59.68589670000001,21,29682,3
59.72756329999999,21,29690,7
59.76923000000001,21,29696,6
59.81089670000001,21,29702,2
59.85256329999999,21,29706,10
59.89423000000001,21,29709,0
59.93589670000001,21,29711,9
59.97756329999999,21,29711,4
60.01923000000001,21,29709,2
60.06089670000001,21,29706,0
60.10256329999999,21,29701,1
60.14423000000001,21,29695,1
60.18589670000001,21,29689,0
60.22756329999999,21,29681,0
60.26923000000001,21,29672,0
60.31089670000001,21,29663,2
60.35256329999999,21,29653,0
