time,births,population,reported_cases
44.01923,8,8325,0
44.0608967,8,8314,0
44.1025633,7,8304,0
44.14423,7,8296,0
44.1858967,7,8288,0
44.2275633,7,8282,0
44.26923,7,8277,0
44.3108967,7,8273,0
44.3525633,7,8270,0
44.39423,7,8268,0
44.4358967,7,8266,0
44.4775633,7,8266,2
44.51923,7,8266,0
44.5608967,7,8267,0
44.6025633,7,8269,0
44.64423,7,8271,0
44.6858967,7,8274,0
44.7275633,7,8278,0
44.76923,7,8282,0
44.8108967,7,8286,0
44.8525633,7,8291,0
44.89423,7,8296,0
44.9358967,7,8302,0
44.9775633,7,8308,0
45.01923,7,8314,0
45.0608967,7,8320,7
45.1025633,7,8326,3
45.14423,7,8333,0
45.1858967,7,8339,0
45.2275633,7,8346,0
45.26923,7,8352,0
45.3108967,7,8359,18
45.3525633,7,8365,15
45.39423,7,8372,19
45.4358967,7,8378,0
45.4775633,7,8384,8
45.51923,7,8390,0
45.5608967,7,8396,5
45.6025633,7,8402,0
45.64423,7,8407,0
45.6858967,7,8413,1
45.7275633,7,8418,0
45.76923,7,8422,0
45.8108967,7,8427,0
45.8525633,7,8430,0
45.89423,7,8434,0
45.9358967,7,8437,0
45.9775633,8,8440,0
46.01923,8,8442,0
46.0608967,8,8444,0
46.1025633,8,8445,0
46.14423,8,8446,0
46.1858967,8,8446,0
46.2275633,8,8446,0
46.26923,8,8446,0
46.3108967,8,8446,0
46.3525633,8,8445,0
46.39423,8,8444,0
46.4358967,8,8443,0
46.4775633,8,8442,0
46.51923,8,8440,0
46.5608967,8,8439,0
46.6025633,8,8438,0
46.64423,9,8436,0
46.6858967,9,8435,0
46.7275633,9,8434,0
46.76923,9,8432,0
46.8108967,9,8431,0
46.8525633,9,8430,0
46.89423,9,8430,0
46.9358967,9,8429,0
46.9775633,9,8429,0
47.01923,9,8429,0
47.0608967,9,8430,0
47.1025633,9,8430,0
47.14423,9,8431,0
47.1858967,9,8433,0
47.2275633,9,8434,0
47.26923,8,8436,5
47.3108967,8,8438,2
47.3525633,8,8440,2
47.39423,8,8442,0
47.4358967,8,8445,5
47.4775633,8,8448,9
47.51923,8,8451,87
47.5608967,8,8454,27
47.6025633,8,8457,19
47.64423,8,8460,11
47.6858967,8,8463,1
47.7275633,8,8466,0
47.76923,8,8470,0
47.8108967,8,8473,0
47.8525633,8,8476,0
47.89423,8,8480,1
47.9358967,8,8483,0
47.9775633,7,8486,0
48.01923,7,8489,0
48.0608967,7,8493,0
48.1025633,7,8496,0
48.14423,7,8499,0
48.1858967,7,8502,28
48.2275633,7,8505,4
48.26923,7,8508,0
48.3108967,7,8511,0
48.3525633,7,8514,0
48.39423,7,8517,0
48.4358967,7,8521,0
48.4775633,7,8524,0
48.51923,7,8528,2
48.5608967,7,8531,0
48.6025633,7,8535,0
48.64423,7,8539,0
48.6858967,7,8543,1
48.7275633,7,8547,0
48.76923,7,8552,0
48.8108967,7,8557,0
48.8525633,7,8561,0
48.89423,7,8567,0
48.9358967,7,8572,0
48.9775633,7,8578,0
49.01923,7,8584,0
49.0608967,7,8590,0
49.1025633,7,8597,0
49.14423,7,8603,3
49.1858967,7,8610,0
49.2275633,7,8617,0
49.26923,7,8624,0
49.3108967,7,8631,2
49.3525633,7,8638,5
49.39423,7,8645,0
49.4358967,7,8652,0
49.4775633,7,8659,0
49.51923,7,8665,0
49.5608967,7,8672,0
49.6025633,7,8678,0
49.64423,7,8683,0
49.6858967,7,8688,0
49.7275633,7,8693,2
49.76923,7,8698,0
49.8108967,7,8701,0
49.8525633,7,8705,0
49.89423,7,8707,0
49.9358967,7,8709,0
49.9775633,7,8711,0
50.01923,6,8711,2
50.0608967,6,8711,0
