time,births,population,reported_cases
44.01923,23,22033,0
44.0608967,23,21979,0
44.1025633,23,21930,1
44.14423,22,21886,1
44.1858967,22,21846,0
44.2275633,22,21811,2
44.26923,22,21781,0
44.3108967,21,21754,7
44.3525633,21,21732,1
44.39423,21,21714,12
44.4358967,21,21699,1
44.4775633,21,21689,7
44.51923,20,21681,4
44.5608967,20,21677,3
44.6025633,20,21677,1
44.64423,20,21679,2
44.6858967,20,21684,1
44.7275633,20,21692,0
44.76923,20,21702,0
44.8108967,20,21715,0
44.8525633,20,21730,1
44.89423,20,21748,5
44.9358967,19,21767,31
44.9775633,19,21788,20
45.01923,19,21811,39
45.0608967,19,21835,22
45.1025633,19,21861,41
45.14423,19,21888,16
45.1858967,19,21916,9
45.2275633,19,21945,6
45.26923,19,21976,4
45.3108967,19,22007,7
45.3525633,19,22039,10
45.39423,20,22072,1
45.4358967,20,22106,4
45.4775633,20,22140,4
45.51923,20,22175,2
45.5608967,20,22210,11
45.6025633,20,22246,1
45.64423,20,22281,0
45.6858967,20,22317,0
45.7275633,20,22353,2
45.76923,20,22389,0
45.8108967,20,22424,0
45.8525633,20,22459,0
45.89423,20,22494,0
45.9358967,21,22528,0
45.9775633,21,22562,0
46.01923,21,22595,0
46.0608967,21,22628,1
46.1025633,21,22659,0
46.14423,21,22691,9
46.1858967,21,22721,57
46.2275633,21,22751,25
46.26923,21,22781,9
46.3108967,21,22811,23
46.3525633,22,22840,46
46.39423,22,22868,17
46.4358967,22,22897,12
46.4775633,22,22925,3
46.51923,22,22954,4
46.5608967,22,22982,4
46.6025633,22,23010,1
46.64423,22,23039,0
46.6858967,22,23067,1
46.7275633,22,23096,0
46.76923,22,23124,0
46.8108967,22,23153,0
46.8525633,22,23183,0
46.89423,22,23212,0
46.9358967,22,23243,6
46.9775633,22,23273,0
47.01923,22,23304,0
47.0608967,22,23336,0
47.1025633,22,23368,0
47.14423,22,23401,1
47.1858967,22,23433,1
47.2275633,22,23466,6
47.26923,22,23498,31
47.3108967,22,23531,16
47.3525633,22,23563,39
47.39423,21,23595,56
47.4358967,21,23626,57
47.4775633,21,23657,76
47.51923,21,23687,10
47.5608967,21,23716,5
47.6025633,21,23745,6
47.64423,21,23772,2
47.6858967,21,23799,0
47.7275633,21,23824,5
47.76923,21,23847,3
47.8108967,20,23870,0
47.8525633,20,23890,0
47.89423,20,23910,1
47.9358967,20,23927,1
47.9775633,20,23942,0
48.01923,20,23956,2
48.0608967,20,23968,4
48.1025633,20,23977,9
48.14423,20,23985,8
48.1858967,20,23992,3
48.2275633,20,23997,5
48.26923,20,24001,7
48.3108967,20,24004,6
48.3525633,20,24006,24
48.39423,20,24008,11
48.4358967,20,24009,23
48.4775633,20,24009,13
48.51923,20,24009,2
48.5608967,20,24009,6
48.6025633,20,24009,3
48.64423,20,24009,0
48.6858967,20,24010,0
48.7275633,20,24011,0
48.76923,20,24012,0
48.8108967,20,24015,6
48.8525633,20,24018,6
48.89423,20,24023,14
48.9358967,20,24028,9
48.9775633,20,24036,4
49.01923,20,24044,4
49.0608967,20,24055,2
49.1025633,20,24066,0
49.14423,20,24080,0
49.1858967,20,24094,1
49.2275633,20,24110,4
49.26923,20,24127,2
49.3108967,20,24146,0
49.3525633,20,24165,4
49.39423,19,24185,3
49.4358967,19,24207,3
49.4775633,19,24229,2
49.51923,19,24251,0
49.5608967,19,24275,24
49.6025633,19,24299,8
49.64423,19,24323,2
49.6858967,19,24348,1
49.7275633,19,24373,0
49.76923,19,24398,0
49.8108967,19,24424,0
49.8525633,19,24450,0
49.89423,19,24475,0
49.9358967,18,24501,2
49.9775633,18,24526,0
50.01923,18,24552,0
50.0608967,19,24577,5
50.1025633,19,24601,23
50.14423,19,24626,47
50.1858967,19,24650,40
50.2275633,19,24674,68
50.26923,19,24697,63
50.3108967,19,24721,41
50.3525633,19,24744,12
50.39423,19,24767,9
50.4358967,19,24790,27
50.4775633,19,24813,8
50.51923,20,24835,20
50.5608967,20,24857,15
50.6025633,20,24879,0
50.64423,20,24901,1
50.6858967,20,24922,1
50.7275633,20,24944,0
50.76923,20,24965,0
50.8108967,20,24986,0
50.8525633,21,25007,0
50.89423,21,25028,1
50.9358967,21,25049,0
50.9775633,21,25069,15
51.01923,21,25089,15
51.0608967,21,25110,9
51.1025633,21,25130,0
51.14423,21,25149,2
51.1858967,21,25169,1
51.2275633,21,25188,10
51.26923,21,25206,28
51.3108967,21,25224,15
51.3525633,21,25242,7
51.39423,21,25259,20
