time,births,population,reported_cases
44.01923,11,13986,0
44.0608967,11,13957,0
44.1025633,10,13932,0
44.14423,10,13910,0
44.1858967,10,13891,0
44.2275633,9,13875,0
44.26923,9,13862,0
44.3108967,9,13852,0
44.3525633,9,13845,0
44.39423,9,13840,0
44.4358967,9,13838,2
44.4775633,9,13838,4
44.51923,9,13840,0
44.5608967,9,13845,0
44.6025633,9,13851,0
44.64423,9,13860,0
44.6858967,9,13871,0
44.7275633,9,13883,0
44.76923,9,13897,0
44.8108967,9,13912,0
44.8525633,9,13929,1
44.89423,9,13948,0
44.9358967,9,13968,0
44.9775633,9,13988,0
45.01923,9,14010,0
45.0608967,9,14033,0
45.1025633,9,14057,0
45.14423,10,14081,0
45.1858967,10,14107,0
45.2275633,10,14133,0
45.26923,10,14159,2
45.3108967,10,14186,6
45.3525633,10,14214,11
45.39423,11,14242,12
45.4358967,11,14270,24
45.4775633,11,14299,0
45.51923,11,14328,0
45.5608967,11,14357,0
45.6025633,12,14386,0
45.64423,12,14414,0
45.6858967,12,14443,0
45.7275633,12,14472,0
45.76923,12,14500,0
45.8108967,12,14528,0
45.8525633,13,14556,0
45.89423,13,14583,0
45.9358967,13,14610,0
45.9775633,13,14636,0
46.01923,13,14662,0
46.0608967,13,14686,0
46.1025633,14,14711,0
46.14423,14,14734,0
46.1858967,14,14757,0
46.2275633,14,14779,0
46.26923,14,14801,0
46.3108967,14,14822,0
46.3525633,14,14843,0
46.39423,14,14863,0
46.4358967,15,14883,0
46.4775633,15,14902,0
46.51923,15,14921,0
46.5608967,15,14940,0
46.6025633,15,14958,0
46.64423,15,14976,0
46.6858967,15,14993,0
46.7275633,15,15011,0
46.76923,15,15028,0
46.8108967,15,15045,0
46.8525633,15,15062,0
46.89423,15,15078,2
46.9358967,15,15095,7
46.9775633,15,15111,4
47.01923,15,15128,0
47.0608967,15,15144,0
47.1025633,15,15160,0
47.14423,15,15176,3
47.1858967,15,15192,0
47.2275633,14,15208,0
47.26923,14,15223,0
47.3108967,14,15239,0
47.3525633,14,15254,0
47.39423,14,15268,0
47.4358967,14,15283,0
47.4775633,14,15297,0
47.51923,14,15310,4
47.5608967,13,15324,3
47.6025633,13,15336,6
47.64423,13,15349,1
47.6858967,13,15360,2
47.7275633,13,15372,7
47.76923,13,15382,0
47.8108967,13,15392,0
47.8525633,13,15402,2
47.89423,12,15411,0
47.9358967,12,15419,0
47.9775633,12,15426,0
48.01923,12,15433,0
48.0608967,12,15439,0
48.1025633,12,15444,0
48.14423,12,15449,2
48.1858967,12,15453,7
48.2275633,12,15456,0
48.26923,12,15460,2
48.3108967,11,15462,2
48.3525633,11,15464,1
48.39423,11,15466,0
48.4358967,11,15468,0
48.4775633,11,15469,0
48.51923,11,15471,0
48.5608967,11,15472,0
48.6025633,11,15473,0
48.64423,11,15474,0
48.6858967,11,15475,0
48.7275633,11,15476,2
48.76923,11,15478,0
48.8108967,11,15479,0
48.8525633,11,15481,0
48.89423,11,15483,5
48.9358967,11,15486,30
48.9775633,11,15488,17
49.01923,11,15492,4
49.0608967,11,15495,2
49.1025633,11,15499,0
49.14423,11,15504,0
49.1858967,11,15509,0
49.2275633,11,15514,0
49.26923,11,15520,2
49.3108967,11,15525,2
49.3525633,11,15531,0
49.39423,11,15538,12
49.4358967,11,15544,14
49.4775633,11,15550,12
49.51923,11,15557,13
49.5608967,11,15564,9
49.6025633,11,15570,1
49.64423,11,15577,0
49.6858967,11,15584,0
49.7275633,11,15590,0
49.76923,11,15597,0
49.8108967,10,15603,0
49.8525633,10,15610,0
49.89423,10,15616,0
49.9358967,10,15622,0
49.9775633,10,15627,0
50.01923,10,15632,0
50.0608967,10,15637,1
50.1025633,10,15642,0
50.14423,10,15647,14
50.1858967,10,15651,9
50.2275633,10,15655,11
50.26923,10,15658,9
50.3108967,10,15662,0
50.3525633,10,15665,0
50.39423,10,15668,1
50.4358967,10,15670,0
50.4775633,10,15673,0
50.51923,10,15675,2
50.5608967,10,15677,0
50.6025633,10,15679,0
50.64423,10,15681,0
50.6858967,10,15682,0
50.7275633,10,15684,0
50.76923,10,15685,0
50.8108967,10,15686,0
50.8525633,10,15687,0
50.89423,10,15688,1
50.9358967,10,15689,1
50.9775633,10,15690,0
51.01923,9,15690,0
51.0608967,9,15691,0
51.1025633,9,15691,2
51.14423,9,15692,0
51.1858967,9,15692,0
51.2275633,9,15692,0
51.26923,9,15692,21
51.3108967,9,15692,30
51.3525633,9,15692,48
51.39423,9,15692,59
51.4358967,9,15692,55
51.4775633,9,15692,53
51.51923,9,15692,4
51.5608967,9,15692,8
51.6025633,9,15692,5
51.64423,9,15692,2
51.6858967,9,15692,1
51.7275633,9,15691,0
51.76923,9,15691,0
51.8108967,9,15691,0
51.8525633,9,15691,0
51.89423,9,15690,0
51.9358967,9,15690,0
51.9775633,9,15690,0
52.01923,9,15690,0
52.0608967,9,15690,0
52.1025633,9,15690,0
52.14423,9,15690,0
52.1858967,9,15690,0
52.2275633,9,15689,0
52.26923,9,15689,3
52.3108967,10,15690,0
52.3525633,10,15690,0
52.39423,10,15690,0
52.43589670000001,10,15690,0
52.47756329999999,10,15690,0
52.51923000000001,10,15691,0
52.56089670000001,10,15691,2
52.60256329999999,10,15691,0
52.64423000000001,10,15692,2
52.68589670000001,10,15693,1
52.72756329999999,10,15693,0
52.76923000000001,10,15694,0
52.81089670000001,10,15695,0
52.85256329999999,10,15696,0
52.89423000000001,10,15697,1
52.93589670000001,10,15698,4
52.97756329999999,10,15699,2
53.01923000000001,10,15701,6
53.06089670000001,10,15702,69
53.10256329999999,10,15704,179
53.14423000000001,10,15705,139
53.18589670000001,10,15707,31
53.22756329999999,10,15708,10
53.26923000000001,9,15710,0
53.31089670000001,9,15712,2
53.35256329999999,9,15714,0
53.39423000000001,9,15715,6
53.43589670000001,9,15717,2
53.47756329999999,9,15719,0
53.51923000000001,9,15720,0
53.56089670000001,9,15722,0
53.60256329999999,9,15723,0
53.64423000000001,9,15725,0
53.68589670000001,9,15726,0
53.72756329999999,8,15727,0
53.76923000000001,8,15728,0
53.81089670000001,8,15729,0
53.85256329999999,8,15729,0
53.89423000000001,8,15730,0
53.93589670000001,8,15730,0
53.97756329999999,8,15730,0
54.01923000000001,8,15730,0
54.06089670000001,8,15730,0
54.10256329999999,8,15729,0
54.14423000000001,8,15728,0
54.18589670000001,8,15727,0
54.22756329999999,9,15726,0
54.26923000000001,9,15725,0
54.31089670000001,9,15723,0
54.35256329999999,9,15722,0
54.39423000000001,9,15720,0
54.43589670000001,9,15718,0
54.47756329999999,9,15716,0
54.51923000000001,9,15714,0
54.56089670000001,9,15712,0
54.60256329999999,10,15710,0
54.64423000000001,10,15708,0
54.68589670000001,10,15706,0
54.72756329999999,10,15704,0
54.76923000000001,10,15701,0
54.81089670000001,10,15699,0
54.85256329999999,10,15697,0
54.89423000000001,10,15695,0
54.93589670000001,10,15693,0
54.97756329999999,10,15691,0
55.01923000000001,10,15689,0
55.06089670000001,10,15687,6
55.10256329999999,10,15686,25
55.14423000000001,10,15684,9
55.18589670000001,10,15682,11
55.22756329999999,10,15681,52
55.26923000000001,10,15679,49
55.31089670000001,10,15678,21
55.35256329999999,10,15677,4
55.39423000000001,10,15676,2
55.43589670000001,9,15674,8
55.47756329999999,9,15673,6
55.51923000000001,9,15672,23
55.56089670000001,9,15671,14
55.60256329999999,9,15670,9
55.64423000000001,9,15669,2
55.68589670000001,9,15668,1
55.72756329999999,9,15667,0
55.76923000000001,8,15666,0
55.81089670000001,8,15665,0
55.85256329999999,8,15664,0
55.89423000000001,8,15663,0
55.93589670000001,8,15662,0
55.97756329999999,8,15661,0
56.01923000000001,8,15660,0
56.06089670000001,8,15658,0
56.10256329999999,8,15657,0
56.14423000000001,8,15656,0
56.18589670000001,8,15655,0
56.22756329999999,8,15654,0
56.26923000000001,8,15653,0
56.31089670000001,8,15653,0
56.35256329999999,8,15652,0
56.39423000000001,8,15651,0
56.43589670000001,8,15650,0
56.47756329999999,8,15650,0
56.51923000000001,8,15650,0
