time,births,population,reported_cases
44.01923,19,17689,0
44.0608967,19,17669,0
44.1025633,18,17653,0
44.14423,18,17641,0
44.1858967,18,17634,0
44.2275633,18,17630,4
44.26923,17,17630,0
44.3108967,17,17634,0
44.3525633,17,17642,1
44.39423,17,17652,4
44.4358967,17,17666,1
44.4775633,17,17683,2
44.51923,16,17702,0
44.5608967,16,17724,0
44.6025633,16,17748,0
44.64423,16,17774,0
44.6858967,16,17802,0
44.7275633,16,17832,0
44.76923,16,17864,4
44.8108967,16,17897,2
44.8525633,16,17931,1
44.89423,16,17967,0
44.9358967,16,18003,0
44.9775633,16,18040,0
45.01923,16,18077,2
45.0608967,17,18115,69
45.1025633,17,18153,152
45.14423,17,18192,115
45.1858967,17,18230,58
45.2275633,17,18269,8
45.26923,17,18307,2
45.3108967,17,18345,2
45.3525633,17,18383,1
45.39423,18,18421,2
45.4358967,18,18458,0
45.4775633,18,18494,0
45.51923,18,18530,0
45.5608967,18,18565,0
45.6025633,18,18600,0
45.64423,19,18633,0
45.6858967,19,18666,0
45.7275633,19,18697,0
45.76923,19,18728,0
45.8108967,19,18757,0
45.8525633,19,18784,0
45.89423,20,18811,0
45.9358967,20,18835,0
45.9775633,20,18858,0
46.01923,20,18880,4
46.0608967,20,18899,4
46.1025633,20,18917,0
46.14423,20,18934,0
46.1858967,21,18949,0
46.2275633,21,18964,0
46.26923,21,18977,0
46.3108967,21,18990,0
46.3525633,21,19001,0
46.39423,21,19013,0
46.4358967,21,19024,0
46.4775633,21,19034,0
46.51923,21,19045,0
46.5608967,21,19056,0
46.6025633,21,19067,0
46.64423,21,19078,0
46.6858967,21,19090,0
46.7275633,21,19102,0
46.76923,21,19115,2
46.8108967,21,19130,0
46.8525633,21,19145,1
46.89423,21,19161,1
46.9358967,21,19179,0
46.9775633,21,19199,0
47.01923,21,19220,0
47.0608967,21,19243,2
47.1025633,21,19267,1
47.14423,21,19293,0
47.1858967,20,19320,0
47.2275633,20,19348,2
47.26923,20,19377,2
47.3108967,20,19407,13
47.3525633,20,19438,74
47.39423,19,19469,59
47.4358967,19,19500,79
47.4775633,19,19532,17
47.51923,19,19563,13
47.5608967,19,19595,6
47.6025633,18,19626,0
47.64423,18,19657,0
47.6858967,18,19687,2
47.7275633,18,19716,1
47.76923,18,19745,0
47.8108967,18,19772,0
47.8525633,17,19799,0
47.89423,17,19824,0
47.9358967,17,19847,1
47.9775633,17,19869,0
48.01923,17,19889,0
48.0608967,17,19907,0
48.1025633,17,19924,0
48.14423,17,19939,0
48.1858967,17,19952,0
48.2275633,17,19964,6
48.26923,17,19974,2
48.3108967,17,19983,0
48.3525633,17,19991,0
48.39423,17,19998,0
48.4358967,17,20004,3
48.4775633,17,20008,0
48.51923,17,20012,4
48.5608967,17,20015,10
48.6025633,17,20017,3
48.64423,17,20019,11
48.6858967,17,20020,23
48.7275633,18,20021,4
48.76923,18,20021,0
48.8108967,18,20021,12
48.8525633,18,20021,40
48.89423,18,20021,17
48.9358967,18,20020,79
48.9775633,18,20020,68
49.01923,18,20020,74
49.0608967,18,20020,31
49.1025633,17,20020,3
49.14423,17,20021,1
49.1858967,17,20021,9
49.2275633,17,20021,4
49.26923,17,20022,0
49.3108967,17,20022,1
49.3525633,17,20022,3
49.39423,17,20023,3
49.4358967,17,20023,0
49.4775633,16,20023,0
49.51923,16,20022,0
49.5608967,16,20022,0
49.6025633,16,20021,1
49.64423,16,20019,0
49.6858967,16,20018,0
49.7275633,16,20016,0
49.76923,16,20013,0
49.8108967,15,20010,0
49.8525633,15,20007,0
49.89423,15,20003,0
49.9358967,15,19998,0
49.9775633,15,19993,0
50.01923,15,19987,0
50.0608967,15,19981,0
50.1025633,15,19974,0
50.14423,15,19966,0
50.1858967,15,19958,0
50.2275633,15,19949,0
50.26923,15,19940,0
50.3108967,15,19930,0
50.3525633,15,19920,1
50.39423,15,19909,0
50.4358967,15,19899,0
50.4775633,15,19888,0
50.51923,16,19876,0
50.5608967,16,19865,0
50.6025633,16,19853,1
50.64423,16,19841,4
50.6858967,16,19829,6
50.7275633,16,19817,0
50.76923,16,19805,0
50.8108967,16,19793,15
50.8525633,16,19781,21
50.89423,16,19769,20
50.9358967,16,19758,71
50.9775633,16,19746,28
51.01923,16,19735,43
51.0608967,16,19724,9
51.1025633,16,19713,33
51.14423,16,19702,36
51.1858967,16,19692,44
51.2275633,16,19682,4
51.26923,16,19673,0
51.3108967,16,19664,0
51.3525633,16,19656,13
51.39423,16,19648,7
51.4358967,16,19641,3
51.4775633,16,19635,0
51.51923,15,19629,0
51.5608967,15,19624,0
51.6025633,15,19620,4
51.64423,15,19617,0
51.6858967,15,19615,0
51.7275633,15,19613,0
51.76923,15,19613,0
51.8108967,15,19613,0
51.8525633,15,19615,0
51.89423,15,19618,0
51.9358967,15,19622,0
51.9775633,15,19627,0
52.01923,14,19633,0
52.0608967,14,19641,0
52.1025633,14,19649,0
52.14423,14,19659,2
52.1858967,14,19669,27
52.2275633,14,19681,0
52.26923,14,19692,2
52.3108967,14,19705,56
52.3525633,14,19718,60
52.39423,14,19731,116
52.43589670000001,14,19745,52
52.47756329999999,14,19759,35
52.51923000000001,14,19772,0
52.56089670000001,14,19786,10
52.60256329999999,14,19800,11
52.64423000000001,15,19813,0
52.68589670000001,15,19826,3
52.72756329999999,15,19838,1
