time,births,population,reported_cases
44.01923,21,20190,0
44.0608967,20,20132,0
44.1025633,20,20086,0
44.14423,20,20050,0
44.1858967,20,20025,1
44.2275633,19,20009,0
44.26923,19,20003,0
44.3108967,19,20005,0
44.3525633,19,20015,0
44.39423,19,20034,0
44.4358967,19,20060,0
44.4775633,19,20092,2
44.51923,19,20132,0
44.5608967,19,20177,4
44.6025633,19,20227,0
44.64423,19,20283,2
44.6858967,19,20344,6
44.7275633,19,20408,17
44.76923,19,20476,19
44.8108967,19,20548,58
44.8525633,19,20622,37
44.89423,19,20699,11
44.9358967,19,20777,23
44.9775633,19,20857,15
45.01923,19,20937,11
45.0608967,19,21019,31
45.1025633,19,21100,5
45.14423,19,21182,5
45.1858967,19,21263,6
45.2275633,20,21344,0
45.26923,20,21424,0
45.3108967,20,21504,0
45.3525633,20,21582,1
45.39423,20,21659,2
45.4358967,20,21734,0
45.4775633,20,21807,1
45.51923,21,21878,0
45.5608967,21,21946,2
45.6025633,21,22012,0
45.64423,21,22075,0
45.6858967,21,22135,0
45.7275633,21,22192,0
45.76923,22,22245,0
45.8108967,22,22294,0
45.8525633,22,22338,0
45.89423,22,22379,0
45.9358967,22,22415,0
45.9775633,22,22445,0
46.01923,23,22471,0
46.0608967,23,22492,0
46.1025633,23,22508,0
46.14423,23,22520,0
46.1858967,23,22527,0
46.2275633,23,22531,0
46.26923,23,22532,2
46.3108967,23,22530,0
46.3525633,23,22526,0
46.39423,24,22519,1
46.4358967,24,22510,0
46.4775633,24,22501,0
46.51923,24,22490,0
46.5608967,24,22478,3
46.6025633,24,22466,17
46.64423,24,22455,20
46.6858967,24,22443,6
46.7275633,24,22433,14
46.76923,24,22423,71
46.8108967,24,22416,27
46.8525633,24,22410,3
46.89423,24,22406,5
46.9358967,24,22405,22
46.9775633,24,22407,71
47.01923,24,22413,87
47.0608967,24,22422,41
47.1025633,24,22434,17
47.14423,24,22450,14
47.1858967,23,22468,1
47.2275633,23,22488,2
47.26923,23,22511,5
47.3108967,23,22537,1
47.3525633,23,22564,0
47.39423,23,22592,0
47.4358967,23,22623,6
47.4775633,23,22654,0
47.51923,23,22687,0
47.5608967,22,22720,0
47.6025633,22,22754,0
47.64423,22,22788,0
47.6858967,22,22822,0
47.7275633,22,22856,6
47.76923,22,22890,0
47.8108967,22,22923,0
47.8525633,22,22955,0
47.89423,22,22987,2
47.9358967,22,23017,0
47.9775633,21,23045,0
48.01923,21,23072,0
48.0608967,21,23097,0
48.1025633,21,23121,6
48.14423,21,23143,27
48.1858967,21,23163,17
48.2275633,21,23182,1
48.26923,21,23200,0
48.3108967,21,23216,3
48.3525633,21,23232,9
48.39423,21,23246,2
48.4358967,21,23260,4
48.4775633,21,23273,6
48.51923,21,23286,4
48.5608967,21,23298,12
48.6025633,21,23309,14
48.64423,21,23321,8
48.6858967,21,23332,2
48.7275633,21,23343,0
48.76923,21,23354,0
48.8108967,21,23365,0
48.8525633,21,23376,0
48.89423,21,23388,0
48.9358967,21,23400,0
48.9775633,21,23413,1
49.01923,21,23426,2
49.0608967,22,23440,4
49.1025633,22,23455,1
49.14423,22,23470,1
49.1858967,22,23486,2
49.2275633,22,23502,0
49.26923,22,23518,6
49.3108967,22,23534,19
49.3525633,22,23551,17
49.39423,22,23567,31
49.4358967,22,23584,17
49.4775633,22,23600,38
49.51923,22,23616,73
49.5608967,22,23632,72
49.6025633,22,23648,65
49.64423,22,23663,32
49.6858967,22,23677,9
49.7275633,22,23691,2
49.76923,22,23704,0
49.8108967,22,23716,0
49.8525633,22,23728,4
49.89423,22,23738,3
49.9358967,22,23748,11
49.9775633,22,23756,12
50.01923,22,23763,4
50.0608967,22,23769,6
50.1025633,22,23774,6
50.14423,22,23778,5
50.1858967,22,23780,16
50.2275633,22,23782,29
50.26923,22,23783,15
50.3108967,22,23784,8
50.3525633,22,23784,16
50.39423,22,23783,23
50.4358967,22,23782,21
50.4775633,22,23781,32
50.51923,22,23779,6
50.5608967,21,23777,4
50.6025633,21,23775,1
50.64423,21,23774,2
50.6858967,21,23772,0
50.7275633,21,23770,0
50.76923,21,23769,0
50.8108967,21,23768,0
50.8525633,21,23767,0
50.89423,21,23767,3
50.9358967,21,23768,5
50.9775633,21,23769,10
51.01923,21,23771,43
51.0608967,21,23774,38
51.1025633,21,23778,69
51.14423,21,23782,83
51.1858967,21,23787,86
51.2275633,21,23793,23
51.26923,21,23800,28
51.3108967,21,23807,44
51.3525633,21,23815,35
51.39423,21,23823,16
51.4358967,21,23832,5
51.4775633,21,23842,1
51.51923,21,23852,9
51.5608967,21,23863,5
51.6025633,21,23874,2
51.64423,21,23886,2
51.6858967,21,23898,1
51.7275633,21,23910,0
51.76923,21,23923,0
51.8108967,21,23936,1
51.8525633,21,23950,1
51.89423,21,23964,0
51.9358967,21,23978,1
51.9775633,21,23992,0
52.01923,21,24007,0
52.0608967,21,24022,2
52.1025633,21,24037,0
52.14423,21,24052,0
52.1858967,21,24067,4
52.2275633,21,24083,8
52.26923,22,24099,4
52.3108967,22,24115,0
52.3525633,22,24132,1
52.39423,22,24149,1
52.43589670000001,22,24166,4
52.47756329999999,22,24184,1
52.51923000000001,22,24202,3
52.56089670000001,22,24220,5
52.60256329999999,22,24239,27
52.64423000000001,22,24258,19
52.68589670000001,23,24278,2
52.72756329999999,23,24298,1
52.76923000000001,23,24318,9
52.81089670000001,23,24339,24
52.85256329999999,23,24360,47
52.89423000000001,23,24382,70
52.93589670000001,23,24405,47
52.97756329999999,23,24427,24
53.01923000000001,23,24451,2
53.06089670000001,23,24475,21
53.10256329999999,23,24499,9
53.14423000000001,23,24524,12
53.18589670000001,23,24549,9
53.22756329999999,23,24575,14
53.26923000000001,23,24600,4
53.31089670000001,22,24627,0
53.35256329999999,22,24653,0
53.39423000000001,22,24680,1
53.43589670000001,22,24707,4
53.47756329999999,22,24734,2
53.51923000000001,22,24761,0
