time,births,population,reported_cases
44.01923,16,20354,0
44.0608967,15,20281,0
44.1025633,15,20216,0
44.14423,14,20157,0
44.1858967,14,20105,0
44.2275633,14,20059,0
44.26923,13,20020,0
44.3108967,13,19986,0
44.3525633,13,19958,0
44.39423,12,19936,0
44.4358967,12,19919,0
44.4775633,12,19907,0
44.51923,12,19900,9
44.5608967,12,19898,0
44.6025633,12,19900,0
44.64423,12,19906,1
44.6858967,12,19917,0
44.7275633,12,19931,0
44.76923,12,19948,0
44.8108967,12,19969,0
44.8525633,12,19993,0
44.89423,12,20020,0
44.9358967,12,20050,3
44.9775633,12,20082,0
45.01923,12,20116,6
45.0608967,12,20152,0
45.1025633,12,20191,41
45.14423,13,20230,64
45.1858967,13,20272,97
45.2275633,13,20315,64
45.26923,13,20359,11
45.3108967,13,20404,13
45.3525633,14,20450,11
45.39423,14,20497,6
45.4358967,14,20545,5
45.4775633,14,20593,0
45.51923,14,20641,0
45.5608967,15,20690,4
45.6025633,15,20738,0
45.64423,15,20786,0
45.6858967,15,20834,0
45.7275633,16,20882,2
45.76923,16,20929,0
45.8108967,16,20975,0
45.8525633,16,21020,0
45.89423,17,21064,0
45.9358967,17,21107,0
45.9775633,17,21148,0
46.01923,17,21188,0
46.0608967,17,21226,0
46.1025633,18,21263,0
46.14423,18,21298,0
46.1858967,18,21332,0
46.2275633,18,21364,0
46.26923,18,21395,4
46.3108967,18,21424,0
46.3525633,18,21452,1
46.39423,19,21479,0
46.4358967,19,21505,1
46.4775633,19,21530,0
46.51923,19,21554,2
46.5608967,19,21576,0
46.6025633,19,21598,0
46.64423,19,21619,0
46.6858967,19,21639,4
46.7275633,19,21659,0
46.76923,19,21677,0
46.8108967,19,21695,0
46.8525633,19,21713,1
46.89423,19,21729,0
46.9358967,19,21746,0
46.9775633,19,21762,0
47.01923,19,21777,0
47.0608967,19,21792,0
47.1025633,19,21807,0
47.14423,19,21821,0
47.1858967,18,21835,0
47.2275633,18,21849,0
47.26923,18,21862,0
47.3108967,18,21874,2
47.3525633,18,21887,3
47.39423,18,21898,0
47.4358967,18,21910,1
47.4775633,17,21920,2
47.51923,17,21931,0
47.5608967,17,21940,6
47.6025633,17,21950,4
47.64423,17,21958,10
47.6858967,17,21967,4
47.7275633,16,21974,13
47.76923,16,21981,20
47.8108967,16,21988,30
47.8525633,16,21994,3
47.89423,16,21999,11
47.9358967,16,22004,12
47.9775633,16,22008,10
48.01923,15,22012,26
48.0608967,15,22014,4
48.1025633,15,22017,22
48.14423,15,22019,14
48.1858967,15,22020,2
48.2275633,15,22021,0
48.26923,15,22021,0
48.3108967,15,22021,0
48.3525633,14,22021,0
48.39423,14,22021,0
48.4358967,14,22020,4
48.4775633,14,22019,0
48.51923,14,22018,0
48.5608967,14,22017,4
48.6025633,14,22016,4
48.64423,14,22014,0
48.6858967,14,22013,6
48.7275633,14,22012,0
48.76923,14,22011,0
48.8108967,14,22010,0
48.8525633,14,22010,1
48.89423,14,22009,24
48.9358967,14,22009,36
48.9775633,14,22010,9
49.01923,14,22010,21
49.0608967,14,22011,26
49.1025633,14,22013,91
49.14423,14,22014,51
49.1858967,14,22016,84
49.2275633,14,22018,122
49.26923,14,22020,79
49.3108967,14,22022,2
49.3525633,14,22024,0
49.39423,14,22026,0
49.4358967,14,22028,4
49.4775633,14,22030,4
49.51923,14,22031,9
49.5608967,14,22032,0
49.6025633,14,22033,0
49.64423,14,22033,0
49.6858967,14,22033,0
49.7275633,14,22032,0
49.76923,14,22031,0
49.8108967,14,22029,0
49.8525633,14,22026,0
49.89423,14,22023,0
49.9358967,14,22018,0
49.9775633,14,22013,0
50.01923,14,22007,0
50.0608967,14,22000,0
50.1025633,14,21992,0
50.14423,14,21983,0
50.1858967,14,21974,4
50.2275633,14,21964,7
50.26923,14,21953,2
50.3108967,14,21942,5
50.3525633,14,21931,14
50.39423,14,21919,20
50.4358967,14,21907,21
50.4775633,14,21894,8
50.51923,14,21882,4
50.5608967,14,21869,8
50.6025633,14,21856,4
50.64423,14,21844,0
50.6858967,13,21831,0
50.7275633,13,21819,0
50.76923,13,21807,0
50.8108967,13,21796,0
50.8525633,13,21785,9
50.89423,13,21774,18
50.9358967,13,21764,11
50.9775633,13,21755,0
51.01923,13,21746,0
51.0608967,13,21738,6
51.1025633,13,21731,3
51.14423,13,21725,21
51.1858967,13,21719,24
51.2275633,13,21714,34
51.26923,13,21709,21
51.3108967,13,21705,31
51.3525633,13,21702,7
51.39423,13,21699,3
51.4358967,13,21697,3
51.4775633,13,21695,4
51.51923,13,21693,2
51.5608967,13,21692,4
51.6025633,13,21692,0
51.64423,13,21691,9
51.6858967,13,21692,1
51.7275633,13,21692,0
51.76923,13,21693,0
51.8108967,13,21693,2
51.8525633,13,21695,1
51.89423,13,21696,1
51.9358967,13,21697,1
51.9775633,13,21699,0
52.01923,13,21701,0
52.0608967,13,21703,0
52.1025633,13,21705,0
52.14423,13,21707,0
52.1858967,13,21709,0
52.2275633,14,21711,2
52.26923,14,21714,1
52.3108967,14,21716,0
52.3525633,14,21719,0
52.39423,14,21722,0
52.43589670000001,14,21724,1
52.47756329999999,14,21728,3
52.51923000000001,14,21731,17
52.56089670000001,14,21734,21
52.60256329999999,14,21738,36
52.64423000000001,14,21741,7
52.68589670000001,14,21745,5
52.72756329999999,14,21749,1
52.76923000000001,14,21753,9
52.81089670000001,15,21758,4
52.85256329999999,15,21762,2
52.89423000000001,15,21767,3
52.93589670000001,15,21772,7
52.97756329999999,15,21777,21
53.01923000000001,15,21782,83
53.06089670000001,14,21788,61
53.10256329999999,14,21794,51
53.14423000000001,14,21799,45
53.18589670000001,14,21805,24
53.22756329999999,14,21811,7
53.26923000000001,14,21817,4
53.31089670000001,14,21823,2
53.35256329999999,14,21829,0
53.39423000000001,14,21835,1
53.43589670000001,14,21841,0
53.47756329999999,14,21846,0
53.51923000000001,13,21851,0
53.56089670000001,13,21857,0
53.60256329999999,13,21862,0
53.64423000000001,13,21866,0
53.68589670000001,13,21871,0
53.72756329999999,13,21875,0
53.76923000000001,13,21878,0
53.81089670000001,13,21881,0
53.85256329999999,13,21884,0
53.89423000000001,13,21886,0
53.93589670000001,13,21888,0
53.97756329999999,13,21890,0
54.01923000000001,12,21890,0
54.06089670000001,12,21890,0
54.10256329999999,12,21890,0
54.14423000000001,12,21889,0
54.18589670000001,12,21887,1
54.22756329999999,12,21885,0
54.26923000000001,13,21883,0
54.31089670000001,13,21880,0
54.35256329999999,13,21877,0
54.39423000000001,13,21873,0
54.43589670000001,13,21869,0
54.47756329999999,13,21865,0
54.51923000000001,13,21860,0
54.56089670000001,13,21855,0
54.60256329999999,13,21850,3
54.64423000000001,13,21844,4
54.68589670000001,13,21838,0
54.72756329999999,13,21832,0
54.76923000000001,13,21826,0
54.81089670000001,13,21820,0
54.85256329999999,13,21814,0
54.89423000000001,13,21807,0
54.93589670000001,13,21800,0
54.97756329999999,13,21794,7
55.01923000000001,13,21787,0
55.06089670000001,13,21780,0
55.10256329999999,13,21773,1
55.14423000000001,13,21767,0
55.18589670000001,13,21760,0
55.22756329999999,13,21753,11
55.26923000000001,13,21747,28
55.31089670000001,13,21740,40
55.35256329999999,13,21734,89
55.39423000000001,13,21727,70
55.43589670000001,13,21721,43
55.47756329999999,13,21715,9
55.51923000000001,13,21709,0
55.56089670000001,13,21704,0
55.60256329999999,13,21698,0
55.64423000000001,13,21693,0
55.68589670000001,13,21688,1
