time,births,population,reported_cases
44.01923,122,118608,0
44.0608967,119,118296,0
44.1025633,117,118038,0
44.14423,115,117831,1
44.1858967,113,117674,0
44.2275633,111,117565,0
44.26923,110,117500,2
44.3108967,109,117479,3
44.3525633,108,117500,2
44.39423,107,117560,7
44.4358967,106,117658,9
44.4775633,105,117791,3
44.51923,105,117958,0
44.5608967,104,118156,4
44.6025633,104,118384,14
44.64423,104,118640,9
44.6858967,104,118921,11
44.7275633,104,119226,21
44.76923,105,119552,22
44.8108967,105,119898,61
44.8525633,105,120261,115
44.89423,106,120641,154
44.9358967,107,121033,195
44.9775633,107,121438,185
45.01923,108,121852,122
45.0608967,109,122275,56
45.1025633,110,122704,52
45.14423,111,123139,12
45.1858967,112,123579,23
45.2275633,113,124022,12
45.26923,114,124467,11
45.3108967,115,124914,12
45.3525633,117,125360,8
45.39423,118,125806,14
45.4358967,119,126249,22
45.4775633,120,126688,12
45.51923,122,127123,4
45.5608967,123,127553,0
45.6025633,124,127975,1
45.64423,126,128389,0
45.6858967,127,128794,0
45.7275633,128,129188,4
45.76923,129,129571,2
45.8108967,131,129941,2
45.8525633,132,130298,1
45.89423,133,130639,1
45.9358967,134,130964,1
45.9775633,135,131272,2
46.01923,136,131561,0
46.0608967,137,131832,2
46.1025633,138,132085,0
46.14423,139,132323,2
46.1858967,140,132545,4
46.2275633,141,132753,3
46.26923,142,132949,11
46.3108967,142,133133,9
46.3525633,143,133308,7
46.39423,144,133473,11
46.4358967,144,133630,22
46.4775633,145,133781,69
46.51923,145,133926,46
46.5608967,145,134067,44
46.6025633,146,134205,38
46.64423,146,134342,21
46.6858967,146,134477,10
46.7275633,146,134613,10
46.76923,147,134751,15
46.8108967,147,134892,26
46.8525633,147,135037,38
46.89423,147,135187,57
46.9358967,147,135343,42
46.9775633,146,135508,65
47.01923,146,135681,65
47.0608967,146,135863,40
47.1025633,146,136054,116
47.14423,145,136252,123
47.1858967,145,136455,124
47.2275633,144,136665,49
47.26923,144,136878,53
47.3108967,143,137095,28
47.3525633,143,137314,11
47.39423,142,137534,8
47.4358967,141,137755,10
47.4775633,141,137976,8
47.51923,140,138195,14
47.5608967,139,138411,12
47.6025633,139,138624,25
47.64423,138,138833,7
47.6858967,137,139037,7
47.7275633,137,139234,2
47.76923,136,139424,3
47.8108967,135,139605,13
47.8525633,135,139778,4
47.89423,134,139940,11
47.9358967,133,140091,7
47.9775633,133,140230,3
48.01923,132,140357,31
48.0608967,131,140470,89
48.1025633,131,140570,194
48.14423,130,140660,283
48.1858967,130,140739,228
48.2275633,129,140808,179
48.26923,128,140869,109
48.3108967,128,140922,43
48.3525633,127,140968,21
48.39423,127,141008,28
