time,births,population,reported_cases
44.01923,10,11264,0
44.0608967,10,11294,0
44.1025633,9,11322,0
44.14423,9,11349,0
44.1858967,9,11375,0
44.2275633,8,11400,0
44.26923,8,11423,0
44.3108967,8,11445,0
44.3525633,8,11466,1
44.39423,8,11486,1
44.4358967,7,11505,0
44.4775633,7,11523,0
44.51923,7,11540,0
44.5608967,7,11556,0
44.6025633,7,11571,3
44.64423,7,11585,1
44.6858967,7,11599,0
44.7275633,7,11612,0
44.76923,7,11624,2
44.8108967,7,11635,0
44.8525633,7,11646,0
44.89423,7,11656,0
44.9358967,7,11666,1
44.9775633,7,11675,0
45.01923,7,11684,0
45.0608967,7,11692,4
45.1025633,7,11700,14
45.14423,7,11708,13
45.1858967,7,11715,21
45.2275633,8,11722,18
45.26923,8,11729,32
45.3108967,8,11736,17
45.3525633,8,11743,10
45.39423,8,11749,8
45.4358967,8,11755,10
45.4775633,8,11761,3
45.51923,8,11768,2
45.5608967,8,11774,4
45.6025633,9,11780,0
45.64423,9,11787,0
45.6858967,9,11793,0
45.7275633,9,11800,0
45.76923,9,11807,0
45.8108967,9,11814,0
45.8525633,9,11821,0
45.89423,9,11829,0
45.9358967,9,11837,0
45.9775633,9,11845,0
46.01923,10,11854,0
46.0608967,10,11863,0
46.1025633,10,11873,1
46.14423,10,11883,0
46.1858967,10,11894,0
46.2275633,10,11904,0
46.26923,10,11916,0
46.3108967,10,11927,0
46.3525633,10,11939,3
46.39423,10,11952,2
46.4358967,10,11964,2
46.4775633,10,11978,0
46.51923,10,11991,15
46.5608967,10,12005,4
46.6025633,10,12019,2
46.64423,10,12034,8
46.6858967,10,12048,0
46.7275633,10,12064,11
46.76923,10,12079,30
46.8108967,9,12095,18
46.8525633,9,12111,2
46.89423,9,12127,16
46.9358967,9,12144,54
46.9775633,9,12161,27
47.01923,9,12178,23
47.0608967,9,12195,13
47.1025633,9,12213,5
47.14423,9,12231,0
47.1858967,9,12249,0
47.2275633,9,12267,4
47.26923,9,12285,0
47.3108967,9,12303,1
47.3525633,9,12321,0
47.39423,9,12339,2
47.4358967,9,12357,0
47.4775633,9,12375,3
47.51923,9,12393,2
47.5608967,9,12410,2
47.6025633,9,12427,0
47.64423,9,12444,0
47.6858967,9,12461,1
47.7275633,9,12477,0
47.76923,9,12493,0
47.8108967,8,12508,0
47.8525633,8,12522,0
47.89423,8,12537,0
47.9358967,8,12550,0
47.9775633,8,12563,0
48.01923,8,12576,0
48.0608967,8,12587,0
48.1025633,8,12598,0
48.14423,8,12609,0
48.1858967,8,12619,0
48.2275633,8,12628,0
48.26923,8,12637,2
48.3108967,8,12646,4
48.3525633,8,12654,0
48.39423,8,12662,2
48.4358967,8,12670,1
48.4775633,8,12677,2
48.51923,8,12685,2
48.5608967,8,12692,0
48.6025633,8,12699,4
48.64423,8,12706,1
48.6858967,8,12713,0
48.7275633,8,12720,0
48.76923,8,12727,0
48.8108967,8,12734,0
48.8525633,8,12742,0
48.89423,8,12749,0
48.9358967,8,12757,0
48.9775633,8,12765,0
49.01923,8,12774,0
49.0608967,8,12783,0
49.1025633,8,12792,22
49.14423,8,12802,36
49.1858967,8,12812,28
49.2275633,8,12822,17
49.26923,8,12832,32
49.3108967,8,12843,81
49.3525633,8,12854,78
49.39423,8,12865,66
49.4358967,8,12876,79
49.4775633,8,12888,22
49.51923,8,12900,6
49.5608967,8,12911,1
49.6025633,8,12923,0
49.64423,8,12935,0
49.6858967,8,12948,0
49.7275633,8,12960,0
49.76923,8,12972,0
49.8108967,8,12984,0
49.8525633,8,12997,0
49.89423,8,13009,0
49.9358967,8,13021,0
49.9775633,8,13033,0
50.01923,8,13046,0
50.0608967,8,13058,0
50.1025633,8,13070,0
50.14423,8,13082,0
50.1858967,8,13093,0
50.2275633,8,13105,0
50.26923,8,13116,0
50.3108967,8,13128,0
50.3525633,8,13139,0
50.39423,8,13149,0
50.4358967,8,13160,0
50.4775633,8,13170,0
50.51923,8,13180,0
50.5608967,8,13190,0
50.6025633,8,13200,1
50.64423,8,13209,0
50.6858967,8,13217,0
50.7275633,8,13226,0
50.76923,8,13234,0
50.8108967,8,13241,0
50.8525633,8,13248,0
50.89423,8,13255,0
50.9358967,8,13261,1
50.9775633,8,13267,0
