time,births,population,reported_cases
44.01923,75,102519,0
44.0608967,74,102298,0
44.1025633,73,102103,2
44.14423,72,101932,5
44.1858967,71,101786,1
44.2275633,70,101664,0
44.26923,69,101563,2
44.3108967,68,101485,0
44.3525633,68,101427,1
44.39423,67,101390,0
44.4358967,66,101371,1
44.4775633,66,101371,2
44.51923,65,101389,0
44.5608967,65,101423,6
44.6025633,65,101473,7
44.64423,64,101538,8
44.6858967,64,101618,20
44.7275633,64,101710,29
44.76923,64,101816,48
44.8108967,64,101933,85
44.8525633,64,102061,100
44.89423,64,102199,205
44.9358967,64,102347,331
44.9775633,64,102503,349
45.01923,65,102666,247
45.0608967,65,102837,132
45.1025633,65,103014,42
45.14423,66,103196,11
45.1858967,66,103384,4
45.2275633,67,103577,3
45.26923,67,103773,2
45.3108967,68,103974,5
45.3525633,68,104177,1
45.39423,69,104383,2
45.4358967,69,104590,1
45.4775633,70,104799,0
45.51923,71,105009,2
45.5608967,71,105218,2
45.6025633,72,105428,1
45.64423,73,105637,0
45.6858967,73,105844,0
45.7275633,74,106049,0
45.76923,75,106251,0
45.8108967,76,106450,0
45.8525633,76,106646,0
45.89423,77,106837,2
45.9358967,78,107024,0
45.9775633,79,107205,0
46.01923,79,107380,0
46.0608967,80,107549,0
46.1025633,81,107712,0
46.14423,82,107870,0
46.1858967,82,108022,0
46.2275633,83,108168,2
46.26923,84,108310,0
46.3108967,85,108447,0
46.3525633,85,108580,1
46.39423,86,108708,0
46.4358967,87,108832,0
46.4775633,87,108952,0
46.51923,88,109069,0
46.5608967,88,109182,0
46.6025633,89,109292,4
46.64423,89,109400,0
46.6858967,89,109504,4
46.7275633,90,109606,9
46.76923,90,109706,4
46.8108967,90,109804,11
46.8525633,91,109900,41
46.89423,91,109995,72
46.9358967,91,110088,186
46.9775633,91,110181,123
47.01923,91,110272,268
47.0608967,91,110363,197
47.1025633,91,110452,133
47.14423,90,110540,76
47.1858967,90,110627,32
47.2275633,90,110712,40
47.26923,90,110795,17
47.3108967,89,110876,5
47.3525633,89,110954,6
47.39423,88,111029,6
47.4358967,88,111101,2
47.4775633,87,111170,1
47.51923,87,111236,4
47.5608967,86,111298,2
47.6025633,86,111355,9
47.64423,85,111409,6
47.6858967,85,111458,2
47.7275633,84,111503,0
47.76923,83,111542,2
47.8108967,83,111576,2
47.8525633,82,111605,0
47.89423,82,111628,0
47.9358967,81,111646,3
47.9775633,81,111657,1
48.01923,80,111661,4
48.0608967,80,111660,2
48.1025633,79,111652,2
48.14423,79,111640,0
48.1858967,78,111622,0
48.2275633,78,111601,0
48.26923,78,111576,2
48.3108967,77,111548,3
48.3525633,77,111517,7
48.39423,77,111484,10
48.4358967,76,111449,23
48.4775633,76,111414,30
48.51923,76,111378,15
48.5608967,75,111342,11
48.6025633,75,111307,21
48.64423,75,111272,15
48.6858967,75,111240,9
48.7275633,74,111209,8
48.76923,74,111181,17
48.8108967,74,111157,54
48.8525633,74,111136,103
48.89423,74,111119,103
48.9358967,73,111108,90
48.9775633,73,111101,150
49.01923,73,111100,303
49.0608967,73,111106,244
49.1025633,73,111116,218
49.14423,72,111131,208
49.1858967,72,111151,115
49.2275633,72,111173,71
49.26923,72,111199,70
49.3108967,72,111227,44
49.3525633,71,111257,9
49.39423,71,111288,10
49.4358967,71,111319,11
49.4775633,71,111351,15
49.51923,71,111382,4
49.5608967,70,111411,8
49.6025633,70,111439,3
49.64423,70,111465,4
49.6858967,70,111487,1
49.7275633,70,111506,0
49.76923,70,111521,2
49.8108967,69,111531,2
49.8525633,69,111535,4
49.89423,69,111534,2
49.9358967,69,111526,4
49.9775633,69,111511,0
50.01923,68,111489,0
50.0608967,68,111458,2
50.1025633,68,111421,3
50.14423,68,111377,1
50.1858967,68,111327,0
50.2275633,68,111271,0
50.26923,67,111211,2
50.3108967,67,111147,0
50.3525633,67,111079,4
50.39423,67,111008,1
50.4358967,67,110934,3
50.4775633,67,110859,6
50.51923,66,110782,4
50.5608967,66,110705,15
50.6025633,66,110628,33
50.64423,66,110551,38
50.6858967,66,110475,16
50.7275633,66,110401,26
50.76923,66,110329,28
50.8108967,66,110261,258
50.8525633,66,110195,361
50.89423,66,110134,383
50.9358967,66,110077,289
50.9775633,66,110025,239
51.01923,66,109980,205
51.0608967,66,109940,110
51.1025633,66,109906,50
51.14423,66,109877,33
51.1858967,66,109852,27
51.2275633,66,109833,24
51.26923,66,109817,31
51.3108967,66,109805,25
51.3525633,66,109796,10
51.39423,66,109790,11
51.4358967,66,109787,27
51.4775633,66,109786,10
51.51923,66,109787,4
51.5608967,66,109789,0
51.6025633,66,109792,4
51.64423,67,109796,0
51.6858967,67,109800,1
51.7275633,67,109804,0
51.76923,67,109807,0
51.8108967,67,109810,0
51.8525633,67,109811,1
51.89423,67,109811,2
51.9358967,67,109808,2
51.9775633,67,109804,2
52.01923,67,109796,0
52.0608967,66,109786,0
52.1025633,66,109773,1
52.14423,66,109757,3
52.1858967,66,109740,0
52.2275633,66,109720,2
52.26923,66,109698,7
52.3108967,66,109674,18
52.3525633,65,109649,15
52.39423,65,109623,31
52.43589670000001,65,109595,78
52.47756329999999,65,109566,71
52.51923000000001,65,109537,123
52.56089670000001,64,109507,134
52.60256329999999,64,109476,107
52.64423000000001,64,109445,35
52.68589670000001,64,109415,25
52.72756329999999,64,109384,5
52.76923000000001,63,109354,6
52.81089670000001,63,109324,0
52.85256329999999,63,109295,6
52.89423000000001,63,109266,5
52.93589670000001,63,109239,3
52.97756329999999,63,109213,3
53.01923000000001,63,109189,13
53.06089670000001,62,109166,16
53.10256329999999,62,109145,28
53.14423000000001,62,109125,21
53.18589670000001,62,109106,53
53.22756329999999,62,109088,102
53.26923000000001,62,109072,98
53.31089670000001,62,109057,92
53.35256329999999,62,109042,154
53.39423000000001,62,109029,154
53.43589670000001,62,109017,162
53.47756329999999,62,109005,133
53.51923000000001,62,108994,100
53.56089670000001,62,108984,47
53.60256329999999,63,108975,40
53.64423000000001,63,108966,9
53.68589670000001,63,108957,4
53.72756329999999,63,108949,12
53.76923000000001,63,108941,4
53.81089670000001,63,108934,14
53.85256329999999,63,108926,5
53.89423000000001,63,108919,3
53.93589670000001,63,108911,12
53.97756329999999,63,108904,1
54.01923000000001,63,108897,0
54.06089670000001,63,108889,0
54.10256329999999,63,108881,0
54.14423000000001,63,108873,2
54.18589670000001,63,108865,0
54.22756329999999,63,108856,0
54.26923000000001,64,108847,0
54.31089670000001,64,108837,0
54.35256329999999,64,108828,2
54.39423000000001,64,108818,0
54.43589670000001,64,108807,10
54.47756329999999,64,108796,17
54.51923000000001,64,108784,15
54.56089670000001,64,108772,13
54.60256329999999,64,108759,11
54.64423000000001,64,108745,7
54.68589670000001,64,108731,1
54.72756329999999,64,108716,0
54.76923000000001,64,108701,2
54.81089670000001,64,108685,6
54.85256329999999,64,108667,36
54.89423000000001,64,108649,24
54.93589670000001,64,108631,41
54.97756329999999,64,108611,44
55.01923000000001,64,108590,57
55.06089670000001,64,108569,97
55.10256329999999,65,108546,261
55.14423000000001,65,108523,284
55.18589670000001,65,108499,239
55.22756329999999,65,108474,182
55.26923000000001,65,108448,79
55.31089670000001,65,108422,114
55.35256329999999,65,108394,90
55.39423000000001,65,108367,53
55.43589670000001,65,108338,22
55.47756329999999,65,108309,11
55.51923000000001,66,108279,2
55.56089670000001,66,108249,8
55.60256329999999,66,108218,14
55.64423000000001,66,108186,2
55.68589670000001,66,108154,6
55.72756329999999,66,108122,1
55.76923000000001,66,108089,4
55.81089670000001,66,108055,1
55.85256329999999,66,108022,1
55.89423000000001,66,107988,2
55.93589670000001,66,107953,0
55.97756329999999,66,107919,0
56.01923000000001,66,107884,2
56.06089670000001,66,107849,13
56.10256329999999,66,107813,14
56.14423000000001,66,107778,13
56.18589670000001,66,107742,18
56.22756329999999,66,107706,19
56.26923000000001,66,107669,50
56.31089670000001,66,107633,35
56.35256329999999,66,107596,26
56.39423000000001,66,107559,19
56.43589670000001,66,107522,15
56.47756329999999,66,107485,7
56.51923000000001,66,107447,4
56.56089670000001,66,107409,24
56.60256329999999,66,107371,21
56.64423000000001,65,107333,13
56.68589670000001,65,107295,7
56.72756329999999,65,107256,4
56.76923000000001,65,107218,9
56.81089670000001,65,107179,28
56.85256329999999,65,107140,31
56.89423000000001,65,107100,67
56.93589670000001,65,107061,77
56.97756329999999,66,107021,60
57.01923000000001,66,106982,55
57.06089670000001,66,106942,91
57.10256329999999,66,106902,75
57.14423000000001,66,106862,115
57.18589670000001,66,106822,109
57.22756329999999,66,106783,101
57.26923000000001,66,106744,55
57.31089670000001,67,106705,44
57.35256329999999,67,106667,19
57.39423000000001,67,106629,37
57.43589670000001,67,106592,25
57.47756329999999,67,106556,25
57.51923000000001,67,106521,28
57.56089670000001,68,106486,7
57.60256329999999,68,106453,8
57.64423000000001,68,106420,8
57.68589670000001,68,106389,5
57.72756329999999,68,106359,4
57.76923000000001,68,106330,2
57.81089670000001,69,106303,3
57.85256329999999,69,106277,1
57.89423000000001,69,106253,1
57.93589670000001,69,106231,0
57.97756329999999,69,106210,0
58.01923000000001,69,106192,6
58.06089670000001,69,106175,0
58.10256329999999,69,106159,9
58.14423000000001,69,106146,19
58.18589670000001,69,106133,6
