time,births,population,reported_cases
44.01923,3,3125,0
44.0608967,3,3140,0
44.1025633,3,3153,0
44.14423,3,3166,0
44.1858967,3,3177,0
44.2275633,3,3187,0
44.26923,3,3197,0
44.3108967,3,3206,0
44.3525633,3,3214,0
44.39423,3,3221,0
44.4358967,3,3227,0
44.4775633,3,3233,0
44.51923,3,3238,0
44.5608967,3,3243,0
44.6025633,3,3247,0
44.64423,3,3250,0
44.6858967,3,3254,0
44.7275633,3,3257,0
44.76923,3,3259,0
44.8108967,3,3261,0
44.8525633,3,3264,0
44.89423,3,3265,0
44.9358967,3,3267,0
44.9775633,3,3269,0
45.01923,3,3271,0
45.0608967,3,3273,0
45.1025633,3,3274,1
45.14423,3,3276,2
45.1858967,3,3278,6
45.2275633,3,3280,11
45.26923,3,3283,4
45.3108967,3,3285,0
45.3525633,3,3287,0
45.39423,3,3290,0
45.4358967,3,3293,0
45.4775633,3,3296,4
45.51923,3,3300,0
45.5608967,3,3303,0
45.6025633,3,3307,0
45.64423,3,3312,0
45.6858967,3,3316,0
45.7275633,3,3321,0
45.76923,3,3327,0
45.8108967,3,3332,0
45.8525633,3,3339,0
45.89423,3,3345,0
45.9358967,3,3352,0
45.9775633,3,3360,0
46.01923,3,3368,0
46.0608967,4,3376,0
46.1025633,4,3385,0
46.14423,4,3395,0
46.1858967,4,3404,0
46.2275633,4,3414,0
46.26923,4,3424,0
46.3108967,4,3435,0
46.3525633,4,3445,0
46.39423,4,3456,0
46.4358967,4,3466,0
46.4775633,4,3477,0
46.51923,4,3487,0
46.5608967,4,3497,0
46.6025633,4,3507,0
46.64423,4,3517,0
46.6858967,4,3527,0
46.7275633,4,3536,0
46.76923,4,3545,0
46.8108967,4,3553,0
46.8525633,4,3561,0
46.89423,4,3568,0
46.9358967,4,3574,0
46.9775633,4,3580,0
47.01923,4,3585,0
47.0608967,4,3590,0
47.1025633,4,3593,0
47.14423,4,3597,0
47.1858967,4,3599,0
47.2275633,4,3601,47
47.26923,4,3602,46
47.3108967,4,3603,4
47.3525633,4,3604,0
47.39423,4,3604,0
47.4358967,4,3604,4
47.4775633,4,3604,0
47.51923,4,3604,1
47.5608967,4,3603,0
47.6025633,4,3602,0
47.64423,4,3602,0
47.6858967,4,3601,0
47.7275633,4,3600,0
47.76923,4,3600,0
47.8108967,4,3599,0
47.8525633,4,3599,0
47.89423,4,3599,0
47.9358967,4,3599,0
47.9775633,4,3600,0
48.01923,4,3600,0
48.0608967,4,3602,0
48.1025633,4,3604,0
48.14423,4,3606,0
48.1858967,4,3608,0
48.2275633,4,3610,2
48.26923,4,3613,0
48.3108967,4,3616,0
48.3525633,4,3619,0
48.39423,4,3622,0
48.4358967,4,3626,0
48.4775633,4,3629,0
48.51923,3,3632,0
48.5608967,3,3635,0
48.6025633,3,3639,1
48.64423,3,3642,1
48.6858967,3,3645,1
48.7275633,3,3647,0
48.76923,3,3650,0
48.8108967,3,3652,0
48.8525633,3,3654,0
48.89423,3,3656,0
48.9358967,3,3657,0
48.9775633,3,3658,0
49.01923,3,3658,0
49.0608967,3,3658,0
49.1025633,3,3658,0
49.14423,3,3657,0
49.1858967,3,3656,0
49.2275633,3,3654,0
49.26923,3,3652,0
49.3108967,3,3650,0
49.3525633,3,3648,0
49.39423,3,3645,0
49.4358967,3,3642,0
49.4775633,3,3639,2
49.51923,3,3636,0
49.5608967,3,3632,0
49.6025633,3,3629,0
49.64423,3,3625,1
49.6858967,3,3622,0
49.7275633,3,3618,0
49.76923,3,3615,0
49.8108967,3,3611,0
49.8525633,3,3608,0
49.89423,3,3604,0
49.9358967,3,3601,0
49.9775633,3,3598,0
50.01923,3,3595,0
50.0608967,3,3592,0
50.1025633,3,3589,0
50.14423,3,3586,0
50.1858967,3,3584,0
50.2275633,3,3582,0
50.26923,3,3580,0
50.3108967,3,3578,0
50.3525633,3,3576,0
50.39423,3,3574,0
50.4358967,3,3572,0
50.4775633,3,3571,0
50.51923,3,3569,0
50.5608967,3,3568,0
50.6025633,3,3567,10
50.64423,3,3565,10
50.6858967,3,3564,1
50.7275633,3,3563,0
50.76923,3,3562,0
50.8108967,3,3561,0
50.8525633,3,3560,0
50.89423,3,3559,0
50.9358967,3,3558,0
50.9775633,3,3557,0
51.01923,3,3557,0
51.0608967,3,3556,0
51.1025633,3,3555,1
51.14423,3,3554,0
51.1858967,3,3553,0
51.2275633,3,3553,0
51.26923,3,3552,2
51.3108967,3,3551,0
51.3525633,3,3551,1
51.39423,3,3551,1
51.4358967,3,3550,0
51.4775633,3,3550,0
51.51923,2,3550,0
51.5608967,2,3551,0
51.6025633,2,3551,1
51.64423,2,3552,0
51.6858967,2,3552,0
51.7275633,2,3553,0
51.76923,2,3555,0
51.8108967,2,3556,0
51.8525633,2,3558,0
51.89423,2,3560,0
51.9358967,2,3562,0
51.9775633,2,3565,0
52.01923,2,3567,0
52.0608967,2,3570,0
52.1025633,2,3574,0
52.14423,2,3577,0
52.1858967,2,3581,0
52.2275633,2,3585,0
52.26923,2,3589,0
52.3108967,2,3594,0
52.3525633,2,3598,0
52.39423,2,3602,0
52.43589670000001,2,3607,0
52.47756329999999,2,3611,0
52.51923000000001,2,3616,0
52.56089670000001,2,3620,0
52.60256329999999,2,3624,0
52.64423000000001,2,3629,0
52.68589670000001,2,3633,0
52.72756329999999,2,3637,0
52.76923000000001,2,3641,0
52.81089670000001,2,3644,0
52.85256329999999,2,3647,0
52.89423000000001,2,3651,0
52.93589670000001,2,3653,3
52.97756329999999,2,3656,0
53.01923000000001,3,3658,0
53.06089670000001,3,3660,19
53.10256329999999,3,3661,5
53.14423000000001,3,3662,14
53.18589670000001,3,3663,34
53.22756329999999,3,3663,79
53.26923000000001,3,3663,11
53.31089670000001,3,3663,2
53.35256329999999,3,3663,0
53.39423000000001,3,3662,2
53.43589670000001,3,3661,0
53.47756329999999,3,3659,0
53.51923000000001,3,3658,0
53.56089670000001,3,3656,0
53.60256329999999,3,3653,0
53.64423000000001,3,3651,0
53.68589670000001,3,3648,0
53.72756329999999,3,3645,0
53.76923000000001,3,3642,0
53.81089670000001,3,3638,0
53.85256329999999,3,3635,0
53.89423000000001,3,3631,0
53.93589670000001,3,3627,0
53.97756329999999,3,3622,0
54.01923000000001,3,3618,0
54.06089670000001,3,3613,0
54.10256329999999,3,3608,0
54.14423000000001,3,3603,0
54.18589670000001,3,3598,0
54.22756329999999,3,3593,0
54.26923000000001,3,3587,0
54.31089670000001,3,3582,0
54.35256329999999,3,3576,0
54.39423000000001,3,3571,0
54.43589670000001,3,3565,0
54.47756329999999,3,3559,0
54.51923000000001,3,3553,0
54.56089670000001,3,3548,0
54.60256329999999,3,3542,0
54.64423000000001,3,3536,0
54.68589670000001,3,3530,0
54.72756329999999,3,3525,0
54.76923000000001,3,3519,0
54.81089670000001,3,3514,0
54.85256329999999,3,3508,0
54.89423000000001,3,3503,0
54.93589670000001,3,3498,0
54.97756329999999,3,3493,0
55.01923000000001,3,3488,0
55.06089670000001,3,3483,0
55.10256329999999,3,3479,0
55.14423000000001,3,3474,0
55.18589670000001,3,3470,0
55.22756329999999,3,3466,0
55.26923000000001,3,3462,0
55.31089670000001,3,3458,0
55.35256329999999,3,3454,0
55.39423000000001,3,3450,0
55.43589670000001,3,3446,0
55.47756329999999,3,3443,0
55.51923000000001,3,3439,0
55.56089670000001,3,3436,0
55.60256329999999,3,3432,0
55.64423000000001,3,3429,1
55.68589670000001,3,3426,0
55.72756329999999,3,3422,0
55.76923000000001,3,3419,0
55.81089670000001,3,3416,0
55.85256329999999,3,3412,0
55.89423000000001,3,3409,0
55.93589670000001,3,3405,0
55.97756329999999,3,3402,0
56.01923000000001,3,3398,2
56.06089670000001,3,3395,0
56.10256329999999,3,3391,0
56.14423000000001,3,3388,0
56.18589670000001,3,3384,0
56.22756329999999,3,3380,0
56.26923000000001,3,3376,0
56.31089670000001,3,3373,0
56.35256329999999,2,3369,0
56.39423000000001,2,3365,0
56.43589670000001,2,3361,0
56.47756329999999,2,3357,0
56.51923000000001,2,3353,0
56.56089670000001,2,3350,0
56.60256329999999,2,3346,0
56.64423000000001,2,3342,0
56.68589670000001,2,3338,0
56.72756329999999,2,3334,0
56.76923000000001,2,3330,0
56.81089670000001,2,3327,0
56.85256329999999,2,3323,0
56.89423000000001,2,3319,0
56.93589670000001,2,3316,0
56.97756329999999,2,3312,0
57.01923000000001,2,3308,0
57.06089670000001,2,3305,0
57.10256329999999,2,3301,0
57.14423000000001,2,3298,0
57.18589670000001,2,3295,0
57.22756329999999,2,3291,0
57.26923000000001,2,3288,0
57.31089670000001,2,3285,0
57.35256329999999,2,3282,1
57.39423000000001,2,3279,23
57.43589670000001,2,3276,43
57.47756329999999,2,3274,57
57.51923000000001,2,3271,20
57.56089670000001,2,3268,2
57.60256329999999,3,3266,1
57.64423000000001,3,3264,1
57.68589670000001,3,3262,1
57.72756329999999,3,3260,0
57.76923000000001,3,3258,0
57.81089670000001,3,3256,0
57.85256329999999,3,3254,0
57.89423000000001,3,3253,0
57.93589670000001,3,3252,0
57.97756329999999,3,3251,0
58.01923000000001,3,3250,0
58.06089670000001,3,3249,0
58.10256329999999,3,3248,0
58.14423000000001,3,3248,0
58.18589670000001,3,3247,0
58.22756329999999,3,3247,0
58.26923000000001,3,3247,0
58.31089670000001,3,3247,0
58.35256329999999,3,3247,0
58.39423000000001,3,3247,0
58.43589670000001,3,3247,0
58.47756329999999,3,3247,0
58.51923000000001,3,3248,2
58.56089670000001,3,3248,0
58.60256329999999,3,3248,0
58.64423000000001,3,3249,0
58.68589670000001,3,3249,0
58.72756329999999,3,3249,4
58.76923000000001,3,3250,0
58.81089670000001,3,3250,0
58.85256329999999,3,3250,0
58.89423000000001,3,3250,2
58.93589670000001,3,3250,0
58.97756329999999,3,3250,0
59.01923000000001,3,3250,0
59.06089670000001,3,3250,0
59.10256329999999,3,3249,0
59.14423000000001,3,3249,1
59.18589670000001,3,3249,2
59.22756329999999,3,3249,0
59.26923000000001,3,3248,0
59.31089670000001,3,3248,0
59.35256329999999,3,3248,0
59.39423000000001,3,3248,0
59.43589670000001,3,3249,0
59.47756329999999,3,3250,0
59.51923000000001,3,3250,0
59.56089670000001,3,3252,0
59.60256329999999,3,3253,0
59.64423000000001,3,3255,0
59.68589670000001,3,3257,0
59.72756329999999,3,3260,0
59.76923000000001,3,3263,0
59.81089670000001,3,3267,0
59.85256329999999,3,3271,0
59.89423000000001,3,3275,0
59.93589670000001,3,3281,0
59.97756329999999,3,3287,0
60.01923000000001,3,3293,0
60.06089670000001,3,3300,0
60.10256329999999,3,3308,0
60.14423000000001,3,3316,1
60.18589670000001,3,3325,0
60.22756329999999,3,3334,0
60.26923000000001,3,3343,0
60.31089670000001,3,3353,0
60.35256329999999,3,3363,0
60.39423000000001,3,3373,1
60.43589670000001,3,3383,3
60.47756329999999,3,3393,2
60.51923000000001,3,3403,0
60.56089670000001,3,3414,0
60.60256329999999,3,3424,0
60.64423000000001,3,3433,0
60.68589670000001,3,3443,0
60.72756329999999,3,3452,0
60.76923000000001,3,3461,0
60.81089670000001,3,3469,0
60.85256329999999,3,3477,0
60.89423000000001,3,3484,0
60.93589670000001,3,3491,0
60.97756329999999,3,3497,0
61.01923000000001,3,3502,0
61.06089670000001,3,3507,0
61.10256329999999,3,3511,0
61.14423000000001,3,3514,1
61.18589670000001,3,3516,0
61.22756329999999,3,3518,9
61.26923000000001,3,3520,93
61.31089670000001,3,3521,40
61.35256329999999,3,3521,7
61.39423000000001,3,3521,5
61.43589670000001,3,3520,2
61.47756329999999,3,3519,0
61.51923000000001,3,3518,0
61.56089670000001,3,3516,1
61.60256329999999,3,3515,1
61.64423000000001,3,3513,0
61.68589670000001,3,3510,1
61.72756329999999,3,3508,0
61.76923000000001,3,3505,0
61.81089670000001,3,3502,0
61.85256329999999,3,3500,0
61.89423000000001,3,3497,0
61.93589670000001,3,3494,0
61.97756329999999,3,3491,0
62.01923000000001,3,3489,0
62.06089670000001,3,3486,0
62.10256329999999,3,3484,0
62.14423000000001,3,3482,0
62.18589670000001,3,3479,0
62.22756329999999,3,3477,0
62.26923000000001,3,3476,0
62.31089670000001,3,3474,0
62.35256329999999,3,3473,0
62.39423000000001,3,3471,0
62.43589670000001,3,3470,0
62.47756329999999,3,3469,0
62.51923000000001,3,3469,0
62.56089670000001,3,3468,0
62.60256329999999,3,3468,0
62.64423000000001,3,3468,0
62.68589670000001,3,3468,0
62.72756329999999,3,3469,0
62.76923000000001,3,3470,0
62.81089670000001,3,3471,0
62.85256329999999,3,3472,0
62.89423000000001,3,3474,0
62.93589670000001,3,3476,0
62.97756329999999,3,3479,0
63.01923000000001,3,3481,0
63.06089670000001,3,3484,0
63.10256329999999,3,3488,0
63.14423000000001,3,3491,0
63.18589670000001,3,3496,1
63.22756329999999,3,3500,0
63.26923000000001,3,3505,0
63.31089670000001,3,3510,2
63.35256329999999,3,3515,0
63.39423000000001,3,3520,0
63.43589670000001,3,3526,0
63.47756329999999,3,3532,22
63.51923000000001,3,3539,13
63.56089670000001,3,3545,13
63.60256329999999,3,3552,1
63.64423000000001,3,3559,0
63.68589670000001,3,3567,0
63.72756329999999,3,3574,2
63.76923000000001,3,3582,0
63.81089670000001,3,3590,0
63.85256329999999,3,3599,0
63.89423000000001,3,3607,0
63.93589670000001,3,3616,1
63.97756329999999,3,3625,0
