time,births,population,reported_cases
44.01923,25,28998,0
44.0608967,25,28897,3
44.1025633,24,28810,9
44.14423,24,28735,7
44.1858967,23,28673,0
44.2275633,23,28624,2
44.26923,22,28585,7
44.3108967,22,28558,0
44.3525633,22,28540,0
44.39423,22,28533,2
44.4358967,22,28534,1
44.4775633,21,28544,0
44.51923,21,28562,2
44.5608967,21,28588,7
44.6025633,21,28620,19
44.64423,21,28659,8
44.6858967,21,28703,23
44.7275633,21,28752,11
44.76923,22,28806,42
44.8108967,22,28864,10
44.8525633,22,28925,2
44.89423,22,28989,9
44.9358967,22,29055,25
44.9775633,22,29123,1
45.01923,22,29192,0
45.0608967,23,29262,18
45.1025633,23,29331,19
45.14423,23,29401,40
45.1858967,23,29471,29
45.2275633,24,29540,72
45.26923,24,29609,49
45.3108967,24,29676,17
45.3525633,24,29742,18
45.39423,25,29806,20
45.4358967,25,29869,65
45.4775633,25,29929,19
45.51923,25,29986,0
45.5608967,26,30041,4
45.6025633,26,30092,7
45.64423,26,30140,0
45.6858967,26,30185,0
45.7275633,26,30225,0
45.76923,27,30261,0
45.8108967,27,30293,0
45.8525633,27,30319,0
45.89423,27,30341,1
45.9358967,27,30357,0
45.9775633,27,30367,0
46.01923,28,30371,0
46.0608967,28,30369,0
46.1025633,28,30362,0
46.14423,28,30350,0
46.1858967,28,30334,0
46.2275633,28,30313,0
46.26923,28,30289,0
46.3108967,28,30262,0
46.3525633,28,30232,0
46.39423,28,30200,0
46.4358967,28,30167,0
46.4775633,28,30133,0
46.51923,28,30098,4
46.5608967,28,30064,0
46.6025633,28,30029,1
46.64423,28,29996,0
46.6858967,28,29964,0
46.7275633,28,29934,27
46.76923,28,29906,36
46.8108967,28,29882,25
46.8525633,28,29861,7
46.89423,28,29843,10
46.9358967,28,29830,16
46.9775633,28,29822,38
47.01923,28,29819,43
47.0608967,28,29822,46
47.1025633,28,29830,18
47.14423,28,29843,7
47.1858967,28,29860,2
47.2275633,28,29881,7
47.26923,28,29906,2
47.3108967,28,29934,7
47.3525633,28,29965,6
47.39423,28,29998,1
47.4358967,28,30034,2
47.4775633,28,30071,5
47.51923,28,30110,3
47.5608967,28,30151,3
47.6025633,28,30192,0
47.64423,28,30233,1
47.6858967,28,30274,8
47.7275633,28,30315,1
47.76923,28,30356,0
47.8108967,28,30395,0
47.8525633,28,30433,0
47.89423,28,30469,3
47.9358967,28,30503,0
47.9775633,28,30534,3
48.01923,28,30563,0
48.0608967,27,30588,2
48.1025633,27,30611,0
48.14423,27,30631,12
48.1858967,27,30649,14
48.2275633,27,30664,11
48.26923,27,30678,16
48.3108967,27,30689,25
48.3525633,26,30699,55
48.39423,26,30707,25
48.4358967,26,30714,52
48.4775633,26,30720,96
48.51923,26,30725,22
48.5608967,26,30729,21
48.6025633,25,30732,4
48.64423,25,30735,3
48.6858967,25,30738,0
48.7275633,25,30741,0
48.76923,25,30744,2
48.8108967,24,30747,0
48.8525633,24,30750,1
48.89423,24,30755,0
48.9358967,24,30760,0
48.9775633,24,30766,0
49.01923,24,30774,0
49.0608967,23,30782,0
49.1025633,23,30792,2
49.14423,23,30803,1
49.1858967,23,30814,5
49.2275633,23,30826,7
49.26923,23,30839,7
49.3108967,23,30852,5
49.3525633,22,30865,12
49.39423,22,30878,12
49.4358967,22,30890,36
49.4775633,22,30903,15
49.51923,22,30915,9
49.5608967,22,30926,4
49.6025633,22,30936,2
49.64423,22,30945,0
49.6858967,22,30953,1
49.7275633,22,30960,0
49.76923,22,30965,0
49.8108967,22,30969,0
49.8525633,22,30971,0
49.89423,21,30971,2
49.9358967,21,30968,1
49.9775633,21,30964,2
50.01923,21,30956,0
50.0608967,21,30947,2
50.1025633,21,30935,0
50.14423,21,30921,0
50.1858967,21,30905,9
50.2275633,21,30888,6
50.26923,21,30869,25
50.3108967,21,30848,39
50.3525633,21,30827,29
50.39423,21,30805,42
50.4358967,21,30782,22
50.4775633,21,30758,11
50.51923,21,30734,13
50.5608967,21,30710,16
50.6025633,21,30687,11
50.64423,21,30663,2
50.6858967,21,30640,1
50.7275633,21,30617,0
50.76923,21,30596,2
50.8108967,21,30575,23
50.8525633,21,30556,10
50.89423,21,30538,13
50.9358967,21,30521,14
50.9775633,21,30507,1
51.01923,21,30495,0
51.0608967,21,30484,0
51.1025633,21,30476,1
51.14423,21,30469,0
51.1858967,21,30464,20
51.2275633,21,30461,139
51.26923,21,30458,161
51.3108967,21,30458,124
51.3525633,21,30458,54
51.39423,21,30459,20
51.4358967,21,30462,17
51.4775633,21,30465,6
51.51923,21,30468,11
51.5608967,21,30472,6
51.6025633,21,30477,1
51.64423,21,30481,2
51.6858967,21,30486,7
51.7275633,21,30490,4
51.76923,21,30495,7
51.8108967,21,30499,4
51.8525633,21,30503,0
51.89423,21,30506,0
51.9358967,21,30508,1
51.9775633,21,30510,6
52.01923,21,30510,0
52.0608967,21,30510,0
52.1025633,21,30508,0
52.14423,21,30506,0
52.1858967,22,30503,0
52.2275633,22,30499,4
52.26923,22,30494,3
52.3108967,22,30489,2
52.3525633,22,30483,10
52.39423,22,30477,5
52.43589670000001,22,30471,2
52.47756329999999,22,30464,2
52.51923000000001,22,30457,7
52.56089670000001,22,30450,4
52.60256329999999,22,30442,0
52.64423000000001,22,30435,1
52.68589670000001,22,30427,2
52.72756329999999,22,30420,1
52.76923000000001,22,30413,10
52.81089670000001,22,30406,27
52.85256329999999,23,30400,10
52.89423000000001,23,30393,3
52.93589670000001,23,30388,11
52.97756329999999,23,30383,11
53.01923000000001,23,30378,54
53.06089670000001,23,30374,61
53.10256329999999,23,30371,126
53.14423000000001,23,30368,48
53.18589670000001,23,30365,29
53.22756329999999,23,30363,25
53.26923000000001,23,30362,13
53.31089670000001,23,30361,22
53.35256329999999,23,30360,13
53.39423000000001,23,30359,1
53.43589670000001,23,30359,2
53.47756329999999,23,30359,0
53.51923000000001,23,30359,2
53.56089670000001,22,30359,6
53.60256329999999,22,30360,1
53.64423000000001,22,30360,0
53.68589670000001,22,30361,0
53.72756329999999,22,30361,0
53.76923000000001,22,30361,0
53.81089670000001,22,30361,0
53.85256329999999,22,30362,0
53.89423000000001,22,30361,0
53.93589670000001,22,30361,0
53.97756329999999,22,30360,0
54.01923000000001,22,30360,0
54.06089670000001,22,30358,0
54.10256329999999,22,30357,0
54.14423000000001,22,30355,1
54.18589670000001,22,30353,0
54.22756329999999,22,30351,0
54.26923000000001,22,30349,0
54.31089670000001,22,30346,0
54.35256329999999,22,30343,0
54.39423000000001,22,30341,0
54.43589670000001,22,30338,1
54.47756329999999,22,30335,0
54.51923000000001,22,30332,0
54.56089670000001,22,30330,2
54.60256329999999,22,30327,13
54.64423000000001,22,30324,18
54.68589670000001,22,30322,16
54.72756329999999,22,30320,15
54.76923000000001,22,30317,9
54.81089670000001,22,30315,20
54.85256329999999,22,30314,33
54.89423000000001,22,30312,45
54.93589670000001,22,30311,35
54.97756329999999,22,30310,12
55.01923000000001,22,30310,47
55.06089670000001,22,30310,32
55.10256329999999,22,30310,19
55.14423000000001,22,30310,17
55.18589670000001,22,30311,5
55.22756329999999,21,30312,4
55.26923000000001,21,30314,11
55.31089670000001,21,30315,22
55.35256329999999,21,30317,37
55.39423000000001,21,30319,13
55.43589670000001,21,30321,20
55.47756329999999,21,30324,9
55.51923000000001,21,30326,11
55.56089670000001,21,30329,2
55.60256329999999,21,30332,3
55.64423000000001,21,30334,2
55.68589670000001,21,30337,3
55.72756329999999,21,30340,0
55.76923000000001,21,30343,0
55.81089670000001,21,30346,0
55.85256329999999,21,30350,0
55.89423000000001,21,30353,0
55.93589670000001,21,30356,0
55.97756329999999,21,30358,0
56.01923000000001,21,30361,0
56.06089670000001,21,30364,0
56.10256329999999,21,30367,0
56.14423000000001,21,30369,0
56.18589670000001,21,30372,0
56.22756329999999,21,30375,2
56.26923000000001,21,30377,0
56.31089670000001,21,30380,0
56.35256329999999,21,30383,21
56.39423000000001,21,30385,26
56.43589670000001,22,30388,52
56.47756329999999,22,30391,23
56.51923000000001,22,30394,9
56.56089670000001,22,30397,2
56.60256329999999,22,30400,2
56.64423000000001,22,30404,2
56.68589670000001,22,30407,1
56.72756329999999,22,30411,0
56.76923000000001,22,30415,0
56.81089670000001,22,30419,2
56.85256329999999,22,30423,13
56.89423000000001,22,30427,12
56.93589670000001,22,30432,4
56.97756329999999,22,30437,0
57.01923000000001,22,30442,67
57.06089670000001,22,30448,65
57.10256329999999,22,30454,169
57.14423000000001,22,30460,117
57.18589670000001,22,30466,73
57.22756329999999,22,30473,59
57.26923000000001,22,30479,18
57.31089670000001,22,30486,5
57.35256329999999,22,30493,7
57.39423000000001,22,30500,8
57.43589670000001,22,30507,7
57.47756329999999,22,30514,3
57.51923000000001,22,30522,2
57.56089670000001,22,30529,1
57.60256329999999,22,30536,9
57.64423000000001,22,30543,0
57.68589670000001,22,30550,0
57.72756329999999,22,30557,0
57.76923000000001,22,30564,0
57.81089670000001,22,30571,0
57.85256329999999,22,30578,0
57.89423000000001,22,30584,0
57.93589670000001,22,30591,0
57.97756329999999,22,30597,0
58.01923000000001,22,30603,0
58.06089670000001,22,30608,0
58.10256329999999,22,30614,0
58.14423000000001,22,30619,0
58.18589670000001,22,30624,0
58.22756329999999,22,30630,0
58.26923000000001,22,30635,0
58.31089670000001,22,30640,0
58.35256329999999,22,30645,0
58.39423000000001,22,30651,0
58.43589670000001,22,30656,0
58.47756329999999,22,30662,0
58.51923000000001,22,30668,0
58.56089670000001,22,30675,0
58.60256329999999,22,30681,0
58.64423000000001,22,30688,8
58.68589670000001,22,30696,3
58.72756329999999,22,30704,0
58.76923000000001,22,30712,0
58.81089670000001,22,30721,0
58.85256329999999,22,30731,0
58.89423000000001,22,30741,0
58.93589670000001,22,30752,2
58.97756329999999,22,30763,5
59.01923000000001,22,30776,0
59.06089670000001,22,30789,0
59.10256329999999,22,30803,8
59.14423000000001,22,30817,43
59.18589670000001,22,30831,49
59.22756329999999,22,30846,27
59.26923000000001,22,30861,25
59.31089670000001,22,30876,26
59.35256329999999,22,30891,77
59.39423000000001,22,30906,16
59.43589670000001,22,30920,30
59.47756329999999,22,30934,12
59.51923000000001,22,30947,9
59.56089670000001,22,30960,4
59.60256329999999,23,30971,4
59.64423000000001,23,30982,2
59.68589670000001,23,30992,12
59.72756329999999,23,31001,0
59.76923000000001,23,31008,0
59.81089670000001,23,31014,2
59.85256329999999,23,31018,0
59.89423000000001,23,31021,0
59.93589670000001,23,31022,0
59.97756329999999,23,31021,0
60.01923000000001,23,31018,0
60.06089670000001,23,31014,0
60.10256329999999,24,31007,0
60.14423000000001,24,30999,0
60.18589670000001,24,30989,0
60.22756329999999,24,30978,0
60.26923000000001,24,30966,0
60.31089670000001,24,30954,0
60.35256329999999,24,30940,0
60.39423000000001,24,30926,0
60.43589670000001,24,30912,1
60.47756329999999,24,30898,0
60.51923000000001,24,30884,0
60.56089670000001,24,30870,0
60.60256329999999,24,30857,4
60.64423000000001,24,30844,0
60.68589670000001,24,30832,0
60.72756329999999,24,30822,0
60.76923000000001,24,30812,0
60.81089670000001,24,30804,6
60.85256329999999,24,30797,0
60.89423000000001,24,30793,0
60.93589670000001,24,30790,0
60.97756329999999,24,30789,0
61.01923000000001,24,30791,0
61.06089670000001,24,30795,0
61.10256329999999,24,30802,1
61.14423000000001,24,30810,0
61.18589670000001,24,30820,33
61.22756329999999,23,30832,85
61.26923000000001,23,30845,138
61.31089670000001,23,30860,98
61.35256329999999,23,30876,88
61.39423000000001,23,30892,27
61.43589670000001,23,30909,21
61.47756329999999,23,30927,6
61.51923000000001,23,30945,2
61.56089670000001,23,30964,0
61.60256329999999,23,30982,0
61.64423000000001,23,31000,0
61.68589670000001,22,31018,1
61.72756329999999,22,31035,0
61.76923000000001,22,31051,0
61.81089670000001,22,31067,0
61.85256329999999,22,31081,0
61.89423000000001,22,31094,0
61.93589670000001,22,31106,0
61.97756329999999,22,31115,0
62.01923000000001,22,31123,0
62.06089670000001,22,31129,0
62.10256329999999,22,31134,0
62.14423000000001,22,31136,1
62.18589670000001,22,31137,0
62.22756329999999,22,31136,0
62.26923000000001,22,31134,0
62.31089670000001,22,31130,0
62.35256329999999,23,31125,0
62.39423000000001,23,31118,0
62.43589670000001,23,31110,0
62.47756329999999,23,31102,0
62.51923000000001,23,31092,0
62.56089670000001,23,31081,0
62.60256329999999,23,31069,0
62.64423000000001,23,31057,1
62.68589670000001,23,31044,0
62.72756329999999,24,31030,2
62.76923000000001,24,31016,0
62.81089670000001,24,31001,2
62.85256329999999,24,30986,1
62.89423000000001,24,30970,0
62.93589670000001,24,30954,0
62.97756329999999,24,30939,0
63.01923000000001,25,30923,0
63.06089670000001,25,30907,0
63.10256329999999,25,30891,0
63.14423000000001,25,30876,30
63.18589670000001,25,30861,22
63.22756329999999,25,30848,32
63.26923000000001,25,30835,0
63.31089670000001,26,30823,62
63.35256329999999,26,30813,0
63.39423000000001,26,30805,108
63.43589670000001,26,30798,61
63.47756329999999,26,30793,31
63.51923000000001,26,30790,0
63.56089670000001,26,30789,11
63.60256329999999,26,30791,49
63.64423000000001,26,30796,0
63.68589670000001,26,30803,1
63.72756329999999,26,30814,0
63.76923000000001,26,30827,0
63.81089670000001,26,30844,3
63.85256329999999,26,30865,0
63.89423000000001,26,30890,0
63.93589670000001,26,30918,0
63.97756329999999,26,30951,0
