time,births,population,reported_cases
44.01923,4,5624,0
44.0608967,4,5630,0
44.1025633,4,5634,0
44.14423,4,5636,0
44.1858967,3,5636,0
44.2275633,3,5634,0
44.26923,3,5630,0
44.3108967,3,5625,0
44.3525633,3,5618,0
44.39423,3,5610,0
44.4358967,3,5600,0
44.4775633,3,5590,0
44.51923,3,5578,0
44.5608967,3,5565,0
44.6025633,3,5552,0
44.64423,3,5537,0
44.6858967,3,5522,0
44.7275633,3,5507,0
44.76923,3,5491,0
44.8108967,3,5475,0
44.8525633,3,5459,0
44.89423,3,5443,0
44.9358967,3,5426,0
44.9775633,3,5410,0
45.01923,3,5395,0
45.0608967,3,5380,0
45.1025633,3,5365,0
45.14423,3,5351,0
45.1858967,3,5337,3
45.2275633,3,5324,0
45.26923,3,5311,2
45.3108967,3,5300,11
45.3525633,3,5289,8
45.39423,3,5279,10
45.4358967,3,5270,2
45.4775633,3,5262,5
45.51923,3,5255,0
45.5608967,3,5249,0
45.6025633,3,5244,0
45.64423,3,5240,0
45.6858967,3,5238,0
45.7275633,3,5236,0
45.76923,3,5237,0
45.8108967,3,5238,0
45.8525633,3,5241,0
45.89423,3,5246,0
45.9358967,3,5252,0
45.9775633,3,5260,0
46.01923,3,5270,0
46.0608967,3,5281,0
46.1025633,3,5294,0
46.14423,3,5308,0
46.1858967,4,5323,0
46.2275633,4,5340,0
46.26923,4,5357,0
46.3108967,4,5375,0
46.3525633,4,5395,0
46.39423,3,5414,0
46.4358967,3,5434,0
46.4775633,3,5455,0
46.51923,3,5475,0
46.5608967,3,5496,0
46.6025633,3,5517,0
46.64423,3,5537,0
46.6858967,3,5557,0
46.7275633,3,5577,0
46.76923,3,5596,0
46.8108967,3,5614,0
46.8525633,3,5631,0
46.89423,3,5647,0
46.9358967,3,5662,0
46.9775633,3,5676,0
47.01923,3,5689,0
47.0608967,3,5699,0
47.1025633,3,5709,0
47.14423,3,5717,0
47.1858967,3,5724,0
47.2275633,3,5729,0
47.26923,3,5734,0
47.3108967,3,5737,0
47.3525633,3,5739,0
47.39423,3,5740,0
47.4358967,3,5740,0
47.4775633,3,5740,0
47.51923,3,5738,0
47.5608967,3,5736,0
47.6025633,3,5732,0
47.64423,3,5729,0
47.6858967,3,5724,0
47.7275633,3,5719,0
47.76923,3,5714,0
47.8108967,3,5708,0
47.8525633,3,5701,2
47.89423,3,5694,0
47.9358967,3,5687,0
47.9775633,3,5680,0
48.01923,3,5673,0
48.0608967,3,5665,0
48.1025633,3,5657,2
48.14423,3,5650,0
48.1858967,3,5643,0
48.2275633,3,5637,0
48.26923,3,5631,0
48.3108967,3,5626,0
48.3525633,3,5621,0
48.39423,3,5618,0
48.4358967,3,5616,0
48.4775633,3,5615,0
48.51923,3,5616,0
48.5608967,3,5618,0
48.6025633,3,5623,0
48.64423,3,5628,0
48.6858967,3,5636,0
48.7275633,3,5646,0
48.76923,3,5659,17
48.8108967,3,5674,0
48.8525633,4,5691,0
48.89423,4,5711,0
48.9358967,4,5734,0
48.9775633,4,5760,0
49.01923,3,5789,0
49.0608967,3,5821,0
49.1025633,3,5856,0
49.14423,3,5892,0
49.1858967,3,5931,0
49.2275633,3,5972,0
49.26923,3,6013,17
49.3108967,3,6056,6
49.3525633,3,6099,1
49.39423,3,6142,2
49.4358967,3,6184,2
49.4775633,3,6226,0
49.51923,3,6267,0
49.5608967,3,6307,0
49.6025633,3,6345,0
49.64423,3,6381,0
49.6858967,3,6414,0
49.7275633,3,6444,0
49.76923,3,6471,0
49.8108967,3,6494,0
49.8525633,3,6514,0
49.89423,3,6529,0
49.9358967,2,6539,0
49.9775633,2,6544,0
50.01923,2,6544,0
50.0608967,2,6539,0
50.1025633,3,6528,0
50.14423,3,6513,0
50.1858967,3,6493,0
50.2275633,3,6470,0
50.26923,3,6443,0
50.3108967,3,6414,0
50.3525633,3,6382,0
50.39423,3,6348,0
50.4358967,3,6312,0
50.4775633,3,6275,0
50.51923,3,6237,0
50.5608967,3,6199,0
50.6025633,3,6161,0
50.64423,3,6124,0
50.6858967,3,6087,0
50.7275633,3,6052,0
50.76923,3,6019,0
50.8108967,3,5988,0
50.8525633,3,5959,0
50.89423,3,5934,0
50.9358967,4,5912,0
50.9775633,4,5894,0
51.01923,4,5880,0
51.0608967,4,5871,0
51.1025633,4,5866,0
51.14423,4,5865,0
51.1858967,4,5867,0
51.2275633,4,5873,0
51.26923,4,5883,0
51.3108967,4,5895,0
51.3525633,4,5910,0
51.39423,4,5927,0
51.4358967,4,5946,2
51.4775633,4,5968,13
51.51923,4,5991,17
51.5608967,4,6015,38
51.6025633,4,6041,15
51.64423,3,6067,10
51.6858967,3,6094,2
51.7275633,3,6122,0
51.76923,3,6150,0
51.8108967,3,6177,0
51.8525633,3,6204,0
51.89423,3,6231,0
51.9358967,3,6257,2
51.9775633,3,6281,0
52.01923,3,6305,0
52.0608967,3,6326,0
52.1025633,3,6346,0
52.14423,3,6365,0
52.1858967,3,6383,0
52.2275633,3,6399,0
52.26923,3,6414,0
52.3108967,3,6427,0
52.3525633,3,6440,0
52.39423,3,6451,0
52.43589670000001,4,6461,2
52.47756329999999,4,6470,3
52.51923000000001,4,6478,0
52.56089670000001,4,6485,0
52.60256329999999,4,6491,5
52.64423000000001,4,6496,0
52.68589670000001,4,6500,0
52.72756329999999,4,6504,0
52.76923000000001,4,6506,0
52.81089670000001,4,6508,0
52.85256329999999,4,6509,0
52.89423000000001,4,6510,0
52.93589670000001,4,6509,0
52.97756329999999,4,6509,0
53.01923000000001,4,6507,0
53.06089670000001,4,6506,0
53.10256329999999,4,6503,1
53.14423000000001,4,6501,0
53.18589670000001,4,6498,1
53.22756329999999,4,6494,0
53.26923000000001,4,6491,0
53.31089670000001,4,6487,0
53.35256329999999,4,6482,2
53.39423000000001,4,6478,2
53.43589670000001,4,6474,2
53.47756329999999,4,6469,0
53.51923000000001,4,6464,0
53.56089670000001,4,6460,0
53.60256329999999,4,6455,0
53.64423000000001,4,6451,0
53.68589670000001,4,6446,0
53.72756329999999,4,6442,0
53.76923000000001,4,6438,0
53.81089670000001,4,6434,0
53.85256329999999,4,6430,0
53.89423000000001,4,6427,0
53.93589670000001,4,6424,0
53.97756329999999,4,6421,0
54.01923000000001,4,6419,0
54.06089670000001,4,6417,0
54.10256329999999,4,6416,0
54.14423000000001,4,6415,0
54.18589670000001,4,6413,0
54.22756329999999,4,6412,0
54.26923000000001,4,6411,0
54.31089670000001,4,6410,0
54.35256329999999,4,6409,0
54.39423000000001,4,6407,0
54.43589670000001,4,6405,0
54.47756329999999,4,6403,0
54.51923000000001,4,6400,0
54.56089670000001,4,6397,0
54.60256329999999,4,6392,0
54.64423000000001,4,6387,0
54.68589670000001,4,6381,0
54.72756329999999,4,6374,0
54.76923000000001,4,6367,0
54.81089670000001,4,6358,0
54.85256329999999,4,6347,0
54.89423000000001,4,6336,0
54.93589670000001,4,6323,0
54.97756329999999,4,6308,0
55.01923000000001,4,6292,0
55.06089670000001,4,6275,0
55.10256329999999,4,6256,0
55.14423000000001,4,6237,0
55.18589670000001,4,6216,0
55.22756329999999,4,6195,0
55.26923000000001,4,6173,0
55.31089670000001,4,6152,0
55.35256329999999,3,6130,0
55.39423000000001,3,6109,0
55.43589670000001,3,6088,0
55.47756329999999,3,6068,2
55.51923000000001,3,6048,0
55.56089670000001,3,6030,0
55.60256329999999,3,6014,1
55.64423000000001,3,5999,1
55.68589670000001,3,5986,0
55.72756329999999,3,5975,0
55.76923000000001,3,5966,0
55.81089670000001,3,5960,0
55.85256329999999,2,5957,0
55.89423000000001,2,5956,0
55.93589670000001,2,5959,0
55.97756329999999,2,5965,0
56.01923000000001,2,5975,0
56.06089670000001,2,5988,0
56.10256329999999,2,6005,0
56.14423000000001,2,6025,0
56.18589670000001,2,6047,0
56.22756329999999,3,6071,0
56.26923000000001,3,6098,2
56.31089670000001,3,6126,0
56.35256329999999,3,6155,0
56.39423000000001,3,6186,0
56.43589670000001,3,6217,0
56.47756329999999,3,6248,0
56.51923000000001,3,6279,0
56.56089670000001,3,6310,1
56.60256329999999,3,6341,35
56.64423000000001,3,6370,74
56.68589670000001,3,6398,21
56.72756329999999,3,6424,24
56.76923000000001,3,6448,81
56.81089670000001,3,6470,67
56.85256329999999,3,6489,18
56.89423000000001,4,6505,11
56.93589670000001,4,6518,7
56.97756329999999,4,6527,7
57.01923000000001,4,6532,0
57.06089670000001,4,6533,0
57.10256329999999,4,6530,2
57.14423000000001,4,6524,1
57.18589670000001,4,6515,0
57.22756329999999,4,6502,0
57.26923000000001,4,6487,0
57.31089670000001,4,6469,0
57.35256329999999,4,6450,0
57.39423000000001,3,6428,0
57.43589670000001,3,6405,0
57.47756329999999,3,6380,0
