time,births,population,reported_cases
44.01923,127,153738,0
44.0608967,125,153336,0
44.1025633,123,152981,1
44.14423,121,152672,0
44.1858967,119,152407,1
44.2275633,117,152184,17
44.26923,116,152003,4
44.3108967,114,151860,4
44.3525633,113,151756,5
44.39423,112,151687,5
44.4358967,111,151653,2
44.4775633,110,151652,0
44.51923,109,151682,4
44.5608967,109,151741,0
44.6025633,108,151828,4
44.64423,108,151942,1
44.6858967,107,152080,1
44.7275633,107,152242,1
44.76923,107,152424,7
44.8108967,107,152627,6
44.8525633,107,152847,47
44.89423,108,153085,111
44.9358967,108,153337,352
44.9775633,108,153602,488
45.01923,109,153879,679
45.0608967,109,154167,490
45.1025633,110,154463,177
45.14423,111,154768,122
45.1858967,112,155080,45
45.2275633,113,155399,38
45.26923,113,155722,9
45.3108967,114,156049,16
45.3525633,116,156380,8
45.39423,117,156712,11
45.4358967,118,157046,13
45.4775633,119,157379,7
45.51923,120,157711,13
45.5608967,121,158041,9
45.6025633,123,158368,1
45.64423,124,158690,9
45.6858967,125,159007,0
45.7275633,126,159318,0
45.76923,128,159621,0
45.8108967,129,159916,0
45.8525633,130,160202,0
45.89423,132,160476,0
45.9358967,133,160740,1
45.9775633,134,160991,2
46.01923,136,161228,2
46.0608967,137,161451,2
46.1025633,138,161661,1
46.14423,139,161859,0
46.1858967,140,162045,0
46.2275633,142,162220,0
46.26923,143,162385,0
46.3108967,144,162541,3
46.3525633,145,162688,1
46.39423,146,162826,0
46.4358967,146,162958,0
46.4775633,147,163083,0
46.51923,148,163202,0
46.5608967,149,163317,3
46.6025633,149,163427,3
46.64423,150,163533,11
46.6858967,150,163636,2
46.7275633,151,163738,4
46.76923,151,163838,2
46.8108967,151,163937,13
46.8525633,151,164036,33
46.89423,151,164137,35
46.9358967,151,164239,46
46.9775633,151,164343,34
47.01923,150,164450,83
47.0608967,150,164560,128
47.1025633,149,164673,294
47.14423,149,164789,385
47.1858967,148,164906,291
47.2275633,147,165026,243
47.26923,146,165146,187
47.3108967,145,165267,122
47.3525633,144,165388,77
47.39423,143,165509,113
47.4358967,142,165630,66
47.4775633,141,165750,49
47.51923,139,165868,22
47.5608967,138,165985,22
47.6025633,137,166099,8
47.64423,136,166211,0
47.6858967,135,166320,0
47.7275633,133,166425,1
47.76923,132,166527,5
47.8108967,131,166624,6
47.8525633,130,166716,9
47.89423,129,166804,3
47.9358967,128,166886,0
47.9775633,127,166962,2
48.01923,126,167031,0
48.0608967,126,167095,0
48.1025633,125,167152,0
