time,births,population,reported_cases
44.01923,69,55771,4
44.0608967,68,55685,0
44.1025633,67,55624,1
44.14423,66,55588,1
44.1858967,65,55575,0
44.2275633,64,55586,0
44.26923,64,55618,0
44.3108967,63,55671,4
44.3525633,63,55743,0
44.39423,62,55835,6
44.4358967,62,55944,3
44.4775633,62,56070,2
44.51923,61,56211,22
44.5608967,61,56368,17
44.6025633,61,56538,22
44.64423,61,56721,23
44.6858967,61,56915,18
44.7275633,61,57121,9
44.76923,61,57336,11
44.8108967,61,57560,26
44.8525633,61,57792,69
44.89423,62,58031,92
44.9358967,62,58275,71
44.9775633,62,58524,75
45.01923,63,58777,69
45.0608967,63,59033,14
45.1025633,64,59292,21
45.14423,64,59552,6
45.1858967,65,59814,3
45.2275633,65,60076,2
45.26923,66,60338,0
45.3108967,66,60600,3
45.3525633,67,60861,6
45.39423,68,61120,0
45.4358967,68,61377,2
45.4775633,69,61632,0
45.51923,70,61883,0
45.5608967,70,62130,2
45.6025633,71,62373,1
45.64423,72,62610,0
45.6858967,73,62842,1
45.7275633,73,63068,0
45.76923,74,63287,13
45.8108967,75,63498,28
45.8525633,76,63702,15
45.89423,77,63897,7
45.9358967,77,64083,14
45.9775633,78,64259,3
46.01923,79,64425,11
46.0608967,80,64581,0
46.1025633,80,64728,1
46.14423,81,64865,1
46.1858967,82,64994,13
46.2275633,82,65115,4
46.26923,83,65230,4
46.3108967,84,65338,9
46.3525633,84,65440,13
46.39423,85,65537,15
46.4358967,85,65630,52
46.4775633,86,65720,62
46.51923,86,65806,71
46.5608967,87,65890,22
46.6025633,87,65971,13
46.64423,87,66052,7
46.6858967,87,66133,11
46.7275633,88,66213,3
46.76923,88,66295,15
46.8108967,88,66377,18
46.8525633,88,66462,27
46.89423,88,66550,24
46.9358967,88,66641,18
46.9775633,88,66737,15
47.01923,88,66837,7
47.0608967,88,66942,8
47.1025633,87,67051,11
47.14423,87,67164,11
47.1858967,87,67281,8
47.2275633,86,67400,10
47.26923,86,67522,10
47.3108967,85,67646,10
47.3525633,85,67771,7
47.39423,84,67897,13
47.4358967,83,68024,26
47.4775633,83,68150,71
47.51923,82,68276,56
47.5608967,81,68401,31
47.6025633,81,68525,33
47.64423,80,68646,20
47.6858967,79,68765,9
47.7275633,79,68881,4
47.76923,78,68993,1
47.8108967,77,69102,7
47.8525633,77,69206,9
47.89423,76,69305,1
47.9358967,75,69398,0
47.9775633,75,69486,0
48.01923,74,69567,11
48.0608967,74,69641,0
48.1025633,73,69709,3
48.14423,73,69771,7
48.1858967,72,69827,26
48.2275633,72,69876,33
48.26923,71,69921,42
48.3108967,71,69960,84
48.3525633,70,69993,138
48.39423,70,70022,106
48.4358967,70,70046,45
48.4775633,70,70065,21
48.51923,69,70080,9
48.5608967,69,70091,6
48.6025633,69,70098,6
48.64423,69,70100,3
48.6858967,68,70100,6
48.7275633,68,70096,3
48.76923,68,70089,4
48.8108967,68,70078,2
48.8525633,68,70065,2
48.89423,68,70050,1
48.9358967,68,70032,3
48.9775633,68,70012,6
49.01923,68,69990,4
49.0608967,68,69966,8
49.1025633,68,69941,7
49.14423,68,69916,21
49.1858967,68,69891,5
49.2275633,68,69867,25
49.26923,68,69844,24
49.3108967,68,69822,30
49.3525633,68,69803,22
49.39423,69,69787,10
49.4358967,69,69775,11
49.4775633,69,69766,34
49.51923,69,69763,31
49.5608967,69,69764,46
49.6025633,69,69771,2
49.64423,69,69785,12
49.6858967,69,69805,9
49.7275633,70,69833,5
49.76923,70,69869,4
49.8108967,70,69914,3
49.8525633,70,69968,5
49.89423,70,70031,10
49.9358967,70,70105,44
49.9775633,70,70190,41
50.01923,70,70286,69
50.0608967,70,70393,45
50.1025633,70,70511,74
50.14423,70,70639,78
50.1858967,70,70775,124
50.2275633,70,70919,73
50.26923,70,71070,38
50.3108967,70,71228,61
50.3525633,70,71390,27
50.39423,69,71557,48
50.4358967,69,71728,38
50.4775633,69,71901,20
50.51923,69,72076,9
50.5608967,69,72252,16
50.6025633,69,72428,16
50.64423,69,72603,12
50.6858967,69,72776,1
50.7275633,68,72947,6
50.76923,68,73114,0
50.8108967,68,73278,0
50.8525633,68,73436,2
50.89423,68,73587,1
50.9358967,68,73732,0
50.9775633,68,73870,0
51.01923,68,73998,0
51.0608967,67,74118,2
51.1025633,67,74229,0
51.14423,67,74332,2
51.1858967,67,74428,4
51.2275633,67,74516,20
51.26923,67,74598,13
51.3108967,67,74674,37
51.3525633,67,74743,39
51.39423,67,74807,42
51.4358967,67,74866,46
51.4775633,67,74921,57
51.51923,67,74972,64
51.5608967,67,75018,25
51.6025633,67,75062,41
51.64423,67,75103,34
51.6858967,67,75141,36
51.7275633,67,75178,48
51.76923,67,75213,49
51.8108967,67,75247,49
51.8525633,67,75280,35
51.89423,67,75313,62
51.9358967,67,75347,57
51.9775633,67,75381,88
52.01923,67,75416,82
52.0608967,67,75453,81
52.1025633,67,75491,66
52.14423,68,75530,82
52.1858967,68,75569,93
52.2275633,68,75610,42
52.26923,68,75651,27
52.3108967,68,75693,36
52.3525633,68,75735,29
52.39423,68,75777,20
52.43589670000001,68,75819,8
52.47756329999999,68,75861,12
52.51923000000001,68,75903,10
52.56089670000001,68,75945,7
52.60256329999999,69,75986,4
52.64423000000001,69,76027,1
52.68589670000001,69,76067,1
52.72756329999999,69,76106,0
52.76923000000001,69,76144,2
52.81089670000001,69,76181,4
52.85256329999999,69,76216,2
52.89423000000001,69,76250,2
52.93589670000001,70,76283,3
52.97756329999999,70,76314,2
53.01923000000001,70,76343,4
53.06089670000001,70,76371,10
53.10256329999999,70,76396,15
53.14423000000001,71,76421,28
53.18589670000001,71,76444,26
53.22756329999999,71,76465,19
53.26923000000001,71,76486,62
53.31089670000001,71,76507,70
53.35256329999999,71,76526,133
53.39423000000001,72,76546,117
53.43589670000001,72,76565,103
53.47756329999999,72,76584,104
53.51923000000001,72,76604,122
53.56089670000001,72,76623,55
53.60256329999999,72,76644,35
53.64423000000001,72,76665,6
53.68589670000001,73,76687,7
53.72756329999999,73,76710,7
53.76923000000001,73,76734,0
53.81089670000001,73,76760,4
53.85256329999999,73,76787,6
53.89423000000001,73,76816,6
53.93589670000001,73,76848,4
53.97756329999999,73,76881,7
54.01923000000001,73,76917,15
54.06089670000001,73,76955,7
54.10256329999999,73,76995,14
54.14423000000001,73,77038,14
54.18589670000001,73,77082,13
54.22756329999999,73,77129,14
54.26923000000001,72,77177,24
54.31089670000001,72,77226,24
54.35256329999999,72,77277,35
54.39423000000001,72,77330,25
54.43589670000001,72,77383,41
54.47756329999999,72,77438,31
54.51923000000001,72,77493,20
54.56089670000001,72,77549,33
54.60256329999999,72,77606,27
54.64423000000001,72,77663,34
54.68589670000001,72,77721,7
54.72756329999999,72,77778,15
54.76923000000001,72,77836,46
54.81089670000001,72,77894,41
54.85256329999999,72,77951,60
54.89423000000001,72,78008,74
54.93589670000001,72,78064,107
54.97756329999999,72,78120,48
55.01923000000001,73,78175,80
55.06089670000001,73,78230,39
55.10256329999999,73,78283,22
55.14423000000001,74,78336,46
55.18589670000001,74,78388,29
55.22756329999999,75,78439,16
55.26923000000001,75,78490,15
55.31089670000001,76,78541,50
55.35256329999999,76,78591,53
55.39423000000001,77,78640,12
55.43589670000001,77,78690,15
55.47756329999999,78,78739,22
55.51923000000001,78,78788,46
55.56089670000001,79,78837,29
55.60256329999999,79,78886,18
55.64423000000001,80,78935,9
55.68589670000001,80,78983,4
55.72756329999999,81,79032,2
55.76923000000001,81,79082,7
55.81089670000001,82,79131,2
55.85256329999999,82,79181,0
55.89423000000001,83,79231,1
55.93589670000001,83,79281,1
55.97756329999999,83,79332,6
56.01923000000001,84,79384,2
56.06089670000001,84,79436,0
56.10256329999999,84,79488,5
56.14423000000001,84,79541,12
56.18589670000001,85,79595,13
56.22756329999999,85,79649,6
56.26923000000001,85,79702,0
56.31089670000001,85,79757,3
56.35256329999999,85,79811,1
56.39423000000001,85,79865,3
56.43589670000001,85,79920,4
56.47756329999999,85,79974,8
56.51923000000001,85,80028,9
56.56089670000001,85,80083,4
56.60256329999999,85,80136,13
56.64423000000001,85,80190,30
56.68589670000001,85,80244,37
56.72756329999999,85,80297,47
56.76923000000001,85,80349,60
56.81089670000001,84,80401,156
56.85256329999999,84,80453,245
56.89423000000001,84,80504,179
56.93589670000001,84,80554,235
56.97756329999999,84,80604,283
57.01923000000001,84,80652,181
57.06089670000001,84,80700,117
57.10256329999999,84,80748,99
57.14423000000001,84,80794,65
57.18589670000001,84,80840,27
57.22756329999999,84,80884,45
57.26923000000001,84,80928,13
57.31089670000001,85,80971,12
57.35256329999999,85,81013,15
57.39423000000001,85,81054,18
57.43589670000001,85,81095,18
57.47756329999999,85,81134,15
57.51923000000001,85,81173,11
57.56089670000001,85,81210,11
57.60256329999999,85,81247,8
57.64423000000001,85,81283,2
57.68589670000001,85,81318,1
57.72756329999999,85,81352,0
57.76923000000001,85,81385,0
57.81089670000001,85,81417,0
57.85256329999999,86,81448,1
57.89423000000001,86,81478,2
57.93589670000001,86,81507,4
57.97756329999999,86,81535,0
58.01923000000001,86,81562,5
58.06089670000001,85,81589,2
58.10256329999999,85,81614,2
58.14423000000001,85,81638,4
58.18589670000001,85,81662,0
58.22756329999999,85,81685,9
58.26923000000001,85,81707,13
58.31089670000001,85,81729,16
58.35256329999999,85,81750,16
58.39423000000001,85,81771,25
58.43589670000001,85,81792,40
58.47756329999999,85,81812,80
58.51923000000001,85,81832,61
58.56089670000001,84,81852,107
58.60256329999999,84,81872,83
58.64423000000001,84,81891,72
58.68589670000001,84,81911,41
58.72756329999999,84,81931,24
58.76923000000001,84,81951,36
58.81089670000001,84,81972,27
58.85256329999999,84,81993,100
58.89423000000001,84,82014,98
58.93589670000001,84,82036,98
58.97756329999999,84,82058,34
59.01923000000001,84,82081,119
59.06089670000001,84,82104,48
59.10256329999999,84,82128,29
59.14423000000001,84,82152,34
59.18589670000001,84,82177,43
59.22756329999999,85,82202,14
59.26923000000001,85,82227,13
59.31089670000001,85,82252,8
59.35256329999999,85,82277,13
59.39423000000001,85,82302,6
59.43589670000001,86,82326,1
59.47756329999999,86,82350,3
59.51923000000001,86,82374,7
59.56089670000001,86,82397,10
59.60256329999999,86,82419,5
59.64423000000001,87,82441,7
59.68589670000001,87,82462,3
59.72756329999999,87,82481,4
59.76923000000001,87,82500,9
59.81089670000001,87,82518,0
59.85256329999999,88,82534,1
59.89423000000001,88,82549,8
59.93589670000001,88,82562,2
59.97756329999999,88,82574,17
60.01923000000001,88,82585,20
60.06089670000001,88,82593,11
60.10256329999999,88,82600,12
60.14423000000001,89,82606,13
60.18589670000001,89,82611,29
60.22756329999999,89,82614,129
60.26923000000001,89,82617,84
60.31089670000001,89,82619,59
60.35256329999999,89,82620,50
60.39423000000001,89,82621,31
60.43589670000001,89,82622,32
60.47756329999999,89,82622,61
60.51923000000001,89,82623,11
60.56089670000001,89,82624,30
60.60256329999999,89,82625,14
60.64423000000001,89,82626,13
60.68589670000001,89,82628,16
60.72756329999999,89,82631,12
60.76923000000001,88,82635,7
60.81089670000001,88,82640,20
60.85256329999999,88,82646,65
60.89423000000001,88,82654,65
