time,births,population,reported_cases
44.01923,1,2502,0
44.0608967,1,2517,0
44.1025633,1,2530,0
44.14423,1,2541,0
44.1858967,1,2549,0
44.2275633,2,2555,0
44.26923,2,2559,4
44.3108967,2,2561,0
44.3525633,2,2562,0
44.39423,2,2560,0
44.4358967,2,2557,0
44.4775633,2,2553,0
44.51923,2,2548,0
44.5608967,2,2541,0
44.6025633,2,2533,0
44.64423,2,2524,0
44.6858967,2,2514,0
44.7275633,2,2503,0
44.76923,2,2492,0
44.8108967,2,2480,0
44.8525633,2,2468,0
44.89423,2,2455,0
44.9358967,2,2442,0
44.9775633,2,2429,0
45.01923,2,2416,0
45.0608967,2,2403,0
45.1025633,2,2390,0
45.14423,2,2378,1
45.1858967,2,2366,1
45.2275633,2,2354,0
45.26923,2,2342,0
45.3108967,2,2331,39
45.3525633,2,2320,0
45.39423,2,2310,0
45.4358967,2,2301,0
45.4775633,2,2292,0
45.51923,2,2284,0
45.5608967,2,2277,0
45.6025633,2,2270,0
45.64423,2,2264,0
45.6858967,2,2260,0
45.7275633,2,2256,0
45.76923,2,2253,0
45.8108967,2,2252,0
45.8525633,2,2251,0
45.89423,2,2252,0
45.9358967,2,2254,1
45.9775633,2,2258,0
46.01923,2,2262,0
46.0608967,2,2269,0
46.1025633,2,2276,0
46.14423,2,2285,0
46.1858967,2,2294,0
46.2275633,2,2305,0
46.26923,2,2316,0
46.3108967,2,2328,0
46.3525633,2,2341,0
46.39423,2,2355,0
46.4358967,2,2368,0
46.4775633,2,2382,5
46.51923,2,2397,2
46.5608967,2,2411,0
46.6025633,2,2425,1
46.64423,2,2440,0
46.6858967,2,2454,1
46.7275633,2,2468,0
46.76923,2,2481,0
46.8108967,2,2494,0
46.8525633,2,2506,0
46.89423,2,2518,1
46.9358967,2,2528,2
46.9775633,2,2538,2
47.01923,2,2547,0
47.0608967,2,2555,0
47.1025633,2,2561,0
47.14423,2,2567,0
47.1858967,2,2572,0
47.2275633,2,2576,0
47.26923,2,2579,0
47.3108967,2,2581,1
47.3525633,2,2583,0
47.39423,2,2584,0
47.4358967,2,2585,0
47.4775633,2,2585,8
47.51923,2,2585,15
47.5608967,2,2584,7
47.6025633,2,2583,0
47.64423,2,2582,0
47.6858967,2,2581,0
47.7275633,2,2579,0
47.76923,2,2578,0
47.8108967,2,2576,0
47.8525633,2,2574,0
47.89423,2,2573,0
47.9358967,2,2572,1
47.9775633,2,2570,0
48.01923,2,2570,0
48.0608967,2,2569,3
48.1025633,2,2569,7
48.14423,2,2569,1
48.1858967,2,2569,0
48.2275633,2,2569,0
48.26923,1,2570,0
48.3108967,1,2571,0
48.3525633,1,2572,0
48.39423,1,2573,0
48.4358967,1,2574,0
48.4775633,1,2575,0
48.51923,1,2576,0
48.5608967,1,2577,0
48.6025633,1,2579,0
48.64423,1,2580,0
48.6858967,1,2581,0
48.7275633,1,2583,0
48.76923,1,2584,0
48.8108967,1,2585,0
48.8525633,1,2586,0
48.89423,1,2587,1
48.9358967,1,2587,0
48.9775633,1,2588,0
49.01923,1,2588,0
49.0608967,2,2588,0
49.1025633,2,2588,4
49.14423,2,2588,1
49.1858967,2,2588,11
49.2275633,2,2587,0
49.26923,2,2587,0
49.3108967,2,2587,0
49.3525633,2,2586,0
49.39423,2,2586,0
49.4358967,2,2586,0
49.4775633,2,2585,0
49.51923,2,2585,0
49.5608967,2,2586,0
49.6025633,2,2586,0
49.64423,2,2587,0
49.6858967,2,2588,0
49.7275633,2,2589,0
49.76923,2,2590,0
49.8108967,2,2592,0
49.8525633,2,2594,0
49.89423,2,2597,0
49.9358967,2,2600,0
49.9775633,2,2604,0
50.01923,2,2608,0
50.0608967,2,2613,0
50.1025633,2,2618,0
50.14423,2,2623,0
50.1858967,2,2629,0
50.2275633,2,2636,0
50.26923,2,2642,0
50.3108967,2,2649,0
50.3525633,2,2656,0
50.39423,2,2664,0
50.4358967,2,2671,0
50.4775633,2,2679,0
50.51923,2,2687,0
50.5608967,2,2695,0
50.6025633,2,2703,0
50.64423,2,2711,0
50.6858967,2,2719,0
50.7275633,2,2727,0
50.76923,2,2735,0
50.8108967,2,2743,0
50.8525633,2,2750,1
50.89423,2,2758,1
50.9358967,2,2765,11
50.9775633,2,2771,0
51.01923,2,2778,30
51.0608967,2,2784,16
51.1025633,2,2790,16
51.14423,2,2796,7
51.1858967,2,2801,3
51.2275633,2,2806,0
51.26923,2,2811,0
51.3108967,2,2815,4
51.3525633,2,2819,5
51.39423,2,2824,4
51.4358967,2,2827,2
51.4775633,2,2831,0
51.51923,2,2835,0
51.5608967,2,2838,0
51.6025633,2,2841,0
51.64423,2,2845,0
51.6858967,2,2848,0
51.7275633,2,2851,0
51.76923,2,2854,0
51.8108967,2,2856,0
51.8525633,2,2859,0
51.89423,2,2862,0
51.9358967,2,2865,0
51.9775633,2,2868,0
52.01923,2,2870,0
52.0608967,2,2873,0
52.1025633,2,2876,0
52.14423,2,2879,0
52.1858967,2,2882,0
52.2275633,2,2884,0
52.26923,2,2887,0
52.3108967,2,2890,0
52.3525633,2,2893,0
52.39423,2,2896,0
52.43589670000001,2,2899,0
52.47756329999999,2,2901,0
52.51923000000001,2,2904,0
52.56089670000001,2,2907,1
52.60256329999999,2,2910,0
52.64423000000001,2,2913,0
52.68589670000001,2,2915,0
52.72756329999999,2,2918,0
52.76923000000001,2,2921,0
52.81089670000001,2,2923,0
52.85256329999999,2,2926,0
52.89423000000001,2,2929,1
52.93589670000001,2,2931,1
52.97756329999999,2,2934,0
53.01923000000001,2,2936,0
53.06089670000001,2,2939,0
53.10256329999999,2,2941,0
53.14423000000001,2,2943,0
53.18589670000001,2,2945,0
53.22756329999999,2,2948,0
53.26923000000001,2,2950,0
53.31089670000001,2,2952,0
53.35256329999999,2,2954,0
53.39423000000001,2,2956,0
53.43589670000001,2,2958,0
53.47756329999999,2,2960,0
53.51923000000001,2,2962,0
53.56089670000001,2,2963,0
53.60256329999999,2,2965,0
53.64423000000001,2,2967,0
53.68589670000001,2,2969,0
53.72756329999999,2,2970,0
