time,births,population,reported_cases
44.01923,16,18096,0
44.0608967,16,18069,0
44.1025633,16,18046,1
44.14423,16,18028,0
44.1858967,16,18013,0
44.2275633,16,18002,3
44.26923,16,17994,0
44.3108967,16,17990,0
44.3525633,16,17989,1
44.39423,16,17992,0
44.4358967,16,17997,0
44.4775633,16,18005,2
44.51923,17,18015,0
44.5608967,17,18028,0
44.6025633,17,18043,0
44.64423,17,18061,0
44.6858967,17,18080,1
44.7275633,17,18101,0
44.76923,17,18124,4
44.8108967,17,18148,2
44.8525633,17,18173,3
44.89423,17,18199,12
44.9358967,17,18227,22
44.9775633,17,18255,22
45.01923,17,18283,13
45.0608967,17,18312,21
45.1025633,17,18342,38
45.14423,18,18372,27
45.1858967,18,18402,11
45.2275633,18,18432,13
45.26923,18,18462,52
45.3108967,18,18492,20
45.3525633,18,18522,13
45.39423,18,18551,1
45.4358967,18,18580,4
45.4775633,18,18609,0
45.51923,18,18637,0
45.5608967,18,18665,0
45.6025633,18,18691,0
45.64423,18,18717,0
45.6858967,18,18742,1
45.7275633,18,18766,0
45.76923,18,18789,0
45.8108967,18,18810,0
45.8525633,19,18830,0
45.89423,19,18849,0
45.9358967,19,18867,0
45.9775633,19,18882,0
46.01923,19,18896,0
46.0608967,19,18909,0
46.1025633,19,18919,0
46.14423,19,18929,0
46.1858967,19,18937,0
46.2275633,19,18943,0
46.26923,19,18949,0
46.3108967,18,18954,4
46.3525633,18,18957,0
46.39423,18,18960,0
46.4358967,18,18963,0
46.4775633,18,18964,0
46.51923,18,18966,2
46.5608967,18,18967,2
46.6025633,18,18968,1
46.64423,18,18969,1
46.6858967,18,18970,1
46.7275633,18,18971,0
46.76923,18,18972,0
46.8108967,18,18974,0
46.8525633,18,18976,1
46.89423,18,18979,4
46.9358967,18,18983,7
46.9775633,18,18987,3
47.01923,18,18993,7
47.0608967,18,18999,74
47.1025633,18,19007,157
47.14423,17,19015,42
47.1858967,17,19024,20
47.2275633,17,19034,0
47.26923,17,19044,1
47.3108967,17,19056,3
47.3525633,17,19067,2
47.39423,17,19079,0
47.4358967,17,19092,0
47.4775633,17,19105,8
47.51923,17,19118,1
47.5608967,17,19132,3
47.6025633,17,19145,0
47.64423,17,19159,2
47.6858967,17,19173,3
47.7275633,17,19186,0
47.76923,17,19200,0
47.8108967,17,19213,2
47.8525633,17,19226,0
47.89423,16,19239,3
47.9358967,16,19252,4
47.9775633,16,19264,0
48.01923,16,19275,2
48.0608967,16,19286,13
48.1025633,16,19297,12
48.14423,16,19307,0
