time,births,population,reported_cases
44.01923,4,4930,0
44.0608967,4,4935,0
44.1025633,4,4938,0
44.14423,4,4938,0
44.1858967,3,4935,0
44.2275633,3,4930,0
44.26923,3,4923,0
44.3108967,3,4914,0
44.3525633,3,4903,0
44.39423,3,4890,0
44.4358967,3,4875,0
44.4775633,3,4860,0
44.51923,3,4843,0
44.5608967,3,4825,0
44.6025633,3,4806,0
44.64423,3,4787,0
44.6858967,3,4767,0
44.7275633,3,4747,0
44.76923,3,4726,0
44.8108967,3,4706,0
44.8525633,3,4686,0
44.89423,3,4666,0
44.9358967,3,4646,0
44.9775633,3,4628,0
45.01923,3,4610,0
45.0608967,3,4593,0
45.1025633,3,4577,0
45.14423,3,4562,0
45.1858967,3,4549,0
45.2275633,3,4537,0
45.26923,4,4526,4
45.3108967,4,4516,4
45.3525633,4,4508,5
45.39423,4,4502,37
45.4358967,4,4497,28
45.4775633,4,4494,2
45.51923,4,4492,0
45.5608967,4,4493,0
45.6025633,4,4495,0
45.64423,4,4500,0
45.6858967,4,4506,0
45.7275633,4,4515,0
45.76923,4,4526,0
45.8108967,5,4539,0
45.8525633,5,4554,0
45.89423,5,4572,1
45.9358967,5,4593,3
45.9775633,5,4616,0
46.01923,5,4641,0
46.0608967,5,4669,0
46.1025633,5,4700,0
46.14423,5,4733,0
46.1858967,5,4767,0
46.2275633,5,4804,0
46.26923,5,4842,0
46.3108967,5,4881,0
46.3525633,5,4921,0
46.39423,5,4962,0
46.4358967,5,5004,0
46.4775633,5,5046,0
46.51923,5,5088,0
46.5608967,5,5130,0
46.6025633,5,5172,0
46.64423,5,5213,0
46.6858967,5,5254,0
46.7275633,5,5294,0
46.76923,5,5332,0
46.8108967,5,5369,0
46.8525633,5,5405,0
46.89423,5,5439,0
46.9358967,5,5471,0
46.9775633,5,5500,0
47.01923,5,5527,0
47.0608967,4,5552,0
47.1025633,4,5574,0
47.14423,4,5593,0
47.1858967,4,5611,0
47.2275633,4,5626,2
47.26923,4,5639,0
47.3108967,4,5650,0
47.3525633,4,5659,2
47.39423,4,5667,4
47.4358967,4,5672,18
47.4775633,4,5676,0
47.51923,4,5679,0
47.5608967,4,5680,3
47.6025633,4,5680,2
47.64423,4,5678,0
47.6858967,4,5675,0
47.7275633,4,5672,0
47.76923,4,5667,0
47.8108967,4,5661,0
47.8525633,4,5655,0
47.89423,4,5648,0
47.9358967,4,5640,0
47.9775633,4,5632,0
48.01923,4,5623,0
