time,births,population,reported_cases
44.01923,6,5960,0
44.0608967,6,5946,0
44.1025633,6,5933,0
44.14423,6,5922,0
44.1858967,6,5912,0
44.2275633,6,5905,0
44.26923,6,5899,0
44.3108967,6,5894,0
44.3525633,5,5891,1
44.39423,5,5889,8
44.4358967,5,5889,0
44.4775633,5,5890,0
44.51923,5,5891,0
44.5608967,5,5894,0
44.6025633,5,5898,0
44.64423,5,5903,0
44.6858967,5,5908,0
44.7275633,5,5914,0
44.76923,5,5921,2
44.8108967,5,5929,18
44.8525633,5,5936,11
44.89423,5,5944,4
44.9358967,5,5953,25
44.9775633,5,5961,2
45.01923,5,5970,0
45.0608967,5,5979,2
45.1025633,5,5987,0
45.14423,5,5996,0
45.1858967,5,6005,0
45.2275633,5,6013,0
45.26923,5,6022,0
45.3108967,5,6030,2
45.3525633,5,6037,1
45.39423,5,6045,0
45.4358967,5,6052,0
45.4775633,5,6059,0
45.51923,5,6065,0
45.5608967,5,6071,0
45.6025633,5,6076,0
45.64423,5,6081,0
45.6858967,5,6085,0
45.7275633,5,6088,0
45.76923,5,6091,0
45.8108967,5,6092,0
45.8525633,5,6093,0
45.89423,5,6094,0
45.9358967,6,6093,0
45.9775633,6,6091,0
46.01923,6,6089,0
46.0608967,6,6085,0
46.1025633,6,6081,0
46.14423,6,6075,0
46.1858967,6,6069,0
46.2275633,6,6062,0
46.26923,6,6055,0
46.3108967,6,6047,0
46.3525633,6,6038,0
46.39423,7,6029,0
46.4358967,7,6020,0
46.4775633,7,6011,0
46.51923,7,6001,2
46.5608967,7,5991,4
46.6025633,7,5982,1
46.64423,7,5972,0
46.6858967,7,5962,0
46.7275633,7,5953,0
46.76923,7,5943,0
46.8108967,7,5935,0
46.8525633,7,5926,0
46.89423,7,5918,0
46.9358967,7,5910,0
46.9775633,8,5903,0
47.01923,8,5897,0
47.0608967,7,5892,0
47.1025633,7,5887,7
47.14423,7,5883,11
47.1858967,7,5879,41
47.2275633,7,5876,2
47.26923,7,5874,14
47.3108967,7,5872,12
47.3525633,7,5871,2
47.39423,7,5870,12
47.4358967,7,5870,0
47.4775633,7,5871,3
47.51923,7,5872,12
47.5608967,7,5873,2
47.6025633,7,5875,0
47.64423,7,5877,0
47.6858967,6,5880,0
47.7275633,6,5883,0
47.76923,6,5886,0
47.8108967,6,5890,0
47.8525633,6,5894,0
47.89423,6,5898,0
47.9358967,6,5902,0
47.9775633,6,5907,0
48.01923,6,5912,0
48.0608967,6,5918,0
48.1025633,6,5923,3
48.14423,6,5929,0
48.1858967,6,5935,0
48.2275633,6,5941,0
48.26923,6,5947,0
48.3108967,6,5953,0
48.3525633,6,5959,0
48.39423,6,5966,0
48.4358967,6,5972,3
48.4775633,6,5979,1
48.51923,6,5986,0
48.5608967,6,5992,0
48.6025633,6,5999,0
48.64423,6,6006,0
48.6858967,6,6012,0
48.7275633,6,6019,11
48.76923,6,6025,27
48.8108967,6,6032,4
48.8525633,6,6038,5
48.89423,6,6045,0
48.9358967,6,6051,12
48.9775633,6,6057,2
49.01923,6,6063,0
49.0608967,6,6068,0
49.1025633,6,6074,1
49.14423,6,6080,0
49.1858967,6,6085,1
49.2275633,6,6090,2
49.26923,6,6095,0
49.3108967,6,6100,0
49.3525633,6,6105,0
49.39423,6,6109,0
49.4358967,6,6114,1
49.4775633,6,6118,0
49.51923,6,6122,0
49.5608967,6,6126,0
49.6025633,6,6130,0
49.64423,6,6134,1
49.6858967,6,6137,0
49.7275633,6,6141,0
49.76923,6,6144,0
49.8108967,6,6147,0
49.8525633,6,6150,0
49.89423,6,6153,0
49.9358967,6,6156,0
49.9775633,6,6159,3
50.01923,6,6161,16
50.0608967,6,6164,0
50.1025633,6,6166,11
50.14423,6,6168,16
50.1858967,5,6170,11
50.2275633,5,6172,0
50.26923,5,6173,2
50.3108967,5,6175,0
50.3525633,5,6176,0
50.39423,5,6177,0
50.4358967,5,6178,7
50.4775633,5,6178,0
50.51923,5,6178,0
50.5608967,5,6178,0
50.6025633,5,6178,0
50.64423,5,6177,0
50.6858967,5,6176,0
50.7275633,5,6175,0
50.76923,5,6174,0
50.8108967,5,6172,0
50.8525633,5,6169,0
50.89423,5,6167,0
