time,births,population,reported_cases
44.01923,20,20292,0
44.0608967,20,20236,0
44.1025633,20,20187,0
44.14423,20,20144,0
44.1858967,19,20108,0
44.2275633,19,20078,2
44.26923,19,20055,0
44.3108967,19,20036,7
44.3525633,19,20023,0
44.39423,18,20015,1
44.4358967,18,20012,1
44.4775633,18,20014,1
44.51923,18,20019,0
44.5608967,18,20029,2
44.6025633,18,20042,0
44.64423,18,20059,2
44.6858967,17,20078,1
44.7275633,17,20101,2
44.76923,17,20126,2
44.8108967,17,20154,0
44.8525633,17,20183,0
44.89423,17,20215,2
44.9358967,17,20247,2
44.9775633,17,20281,2
45.01923,17,20316,7
45.0608967,17,20352,13
45.1025633,17,20388,13
45.14423,17,20425,62
45.1858967,17,20461,113
45.2275633,17,20498,98
45.26923,17,20535,160
45.3108967,18,20572,25
45.3525633,18,20608,28
45.39423,18,20644,66
45.4358967,18,20680,39
45.4775633,18,20714,15
45.51923,18,20748,0
45.5608967,18,20780,6
45.6025633,18,20812,13
45.64423,19,20841,15
45.6858967,19,20870,6
45.7275633,19,20897,1
45.76923,19,20922,0
45.8108967,19,20945,0
45.8525633,19,20965,0
45.89423,20,20984,2
45.9358967,20,21000,1
45.9775633,20,21014,3
46.01923,20,21025,0
46.0608967,20,21033,1
46.1025633,21,21039,1
46.14423,21,21042,2
46.1858967,21,21044,0
46.2275633,21,21043,0
46.26923,21,21041,9
46.3108967,22,21038,23
46.3525633,22,21033,11
46.39423,22,21027,12
46.4358967,22,21021,2
46.4775633,22,21014,1
46.51923,22,21006,14
46.5608967,22,20998,2
46.6025633,23,20991,3
46.64423,23,20983,0
46.6858967,23,20976,0
46.7275633,23,20970,0
46.76923,23,20965,0
46.8108967,23,20960,1
46.8525633,23,20957,0
46.89423,23,20956,1
46.9358967,23,20956,3
46.9775633,23,20958,2
47.01923,23,20962,2
47.0608967,23,20969,8
47.1025633,22,20977,9
47.14423,22,20987,7
47.1858967,22,20999,9
47.2275633,22,21013,47
47.26923,22,21028,19
47.3108967,21,21044,49
