time,births,population,reported_cases
44.01923,5,6276,0
44.0608967,5,6267,0
44.1025633,5,6258,0
44.14423,4,6250,0
44.1858967,4,6243,0
44.2275633,4,6236,0
44.26923,4,6231,0
44.3108967,4,6226,2
44.3525633,4,6222,0
44.39423,4,6218,0
44.4358967,4,6216,0
44.4775633,4,6213,0
44.51923,4,6212,0
44.5608967,4,6211,0
44.6025633,4,6211,1
44.64423,4,6211,0
44.6858967,4,6212,0
44.7275633,4,6213,0
44.76923,4,6215,0
44.8108967,4,6217,0
44.8525633,4,6219,0
44.89423,4,6222,0
44.9358967,4,6225,0
44.9775633,4,6229,2
45.01923,4,6233,0
45.0608967,4,6237,1
45.1025633,4,6241,0
45.14423,4,6246,0
45.1858967,4,6251,0
45.2275633,4,6256,0
45.26923,4,6262,0
45.3108967,4,6267,9
45.3525633,4,6273,24
45.39423,4,6279,35
45.4358967,4,6285,13
45.4775633,4,6291,21
45.51923,4,6297,0
45.5608967,4,6303,9
45.6025633,4,6309,0
45.64423,4,6316,0
45.6858967,4,6322,0
45.7275633,4,6328,0
45.76923,5,6334,0
45.8108967,5,6341,0
45.8525633,5,6347,0
45.89423,5,6353,0
45.9358967,5,6359,0
45.9775633,5,6365,0
46.01923,5,6371,0
46.0608967,5,6376,0
46.1025633,5,6382,0
46.14423,5,6387,0
46.1858967,5,6392,0
46.2275633,5,6398,0
46.26923,5,6403,0
46.3108967,5,6407,0
46.3525633,5,6412,0
46.39423,5,6417,0
46.4358967,5,6422,0
46.4775633,5,6426,0
46.51923,6,6430,0
46.5608967,6,6435,0
46.6025633,6,6439,0
46.64423,6,6443,0
46.6858967,6,6447,0
46.7275633,6,6451,0
46.76923,6,6455,0
46.8108967,6,6459,0
46.8525633,6,6463,0
46.89423,6,6467,2
46.9358967,6,6470,0
46.9775633,6,6474,0
47.01923,6,6478,0
47.0608967,6,6481,0
47.1025633,6,6485,0
47.14423,6,6488,0
47.1858967,6,6492,0
47.2275633,6,6495,0
47.26923,6,6498,0
47.3108967,6,6502,0
47.3525633,6,6505,0
47.39423,6,6508,0
47.4358967,6,6511,0
47.4775633,6,6514,2
47.51923,6,6517,0
47.5608967,5,6519,0
47.6025633,5,6522,2
47.64423,5,6524,2
47.6858967,5,6527,0
47.7275633,5,6529,0
47.76923,5,6531,0
47.8108967,5,6533,5
47.8525633,5,6535,24
47.89423,5,6536,22
47.9358967,5,6538,20
47.9775633,5,6539,22
48.01923,5,6541,52
48.0608967,5,6542,6
48.1025633,5,6543,3
48.14423,5,6543,2
48.1858967,5,6544,0
48.2275633,5,6545,2
48.26923,5,6545,2
48.3108967,5,6546,0
48.3525633,5,6546,0
48.39423,5,6547,0
48.4358967,5,6548,1
48.4775633,5,6548,0
48.51923,5,6549,0
48.5608967,5,6550,2
48.6025633,5,6551,0
48.64423,5,6552,0
48.6858967,5,6553,0
48.7275633,5,6554,0
48.76923,5,6556,0
48.8108967,5,6558,0
48.8525633,5,6560,0
48.89423,5,6562,0
48.9358967,5,6565,1
48.9775633,5,6567,2
49.01923,5,6570,2
49.0608967,5,6574,0
49.1025633,5,6578,0
49.14423,5,6582,0
49.1858967,5,6586,0
49.2275633,5,6590,2
