time,births,population,reported_cases
44.01923,2,2692,0
44.0608967,2,2683,0
44.1025633,2,2674,0
44.14423,2,2665,0
44.1858967,2,2657,0
44.2275633,2,2649,0
44.26923,2,2642,0
44.3108967,2,2635,0
44.3525633,2,2628,0
44.39423,2,2622,0
44.4358967,2,2616,0
44.4775633,2,2610,0
44.51923,2,2605,0
44.5608967,2,2600,0
44.6025633,2,2595,0
44.64423,2,2591,0
44.6858967,2,2587,0
44.7275633,2,2583,0
44.76923,2,2579,0
44.8108967,2,2576,0
44.8525633,2,2573,0
44.89423,2,2570,0
44.9358967,2,2567,0
44.9775633,2,2564,0
45.01923,2,2562,0
45.0608967,2,2560,0
45.1025633,2,2558,0
45.14423,2,2556,0
45.1858967,2,2554,0
45.2275633,2,2552,0
45.26923,2,2551,0
45.3108967,2,2549,0
45.3525633,2,2548,0
45.39423,2,2547,0
45.4358967,2,2545,0
45.4775633,2,2544,0
45.51923,2,2543,0
45.5608967,2,2542,0
45.6025633,2,2542,0
45.64423,2,2541,0
45.6858967,2,2540,0
45.7275633,2,2539,0
45.76923,2,2539,0
45.8108967,2,2538,0
45.8525633,2,2537,0
45.89423,2,2537,0
45.9358967,2,2536,0
45.9775633,2,2535,0
46.01923,2,2535,0
46.0608967,2,2534,0
46.1025633,2,2533,0
46.14423,2,2533,0
46.1858967,2,2532,0
46.2275633,2,2531,0
46.26923,2,2531,0
46.3108967,2,2530,0
46.3525633,2,2530,0
46.39423,2,2529,0
46.4358967,2,2529,0
46.4775633,2,2528,0
46.51923,2,2528,0
46.5608967,2,2527,0
46.6025633,2,2527,0
46.64423,2,2527,0
46.6858967,2,2527,0
46.7275633,2,2527,0
46.76923,2,2527,0
46.8108967,2,2527,0
46.8525633,2,2528,0
46.89423,2,2528,0
46.9358967,2,2529,0
46.9775633,2,2530,0
47.01923,2,2530,0
47.0608967,2,2531,0
47.1025633,2,2533,0
47.14423,2,2534,0
47.1858967,2,2535,0
47.2275633,2,2537,0
47.26923,2,2538,0
47.3108967,2,2540,0
47.3525633,2,2542,3
47.39423,2,2544,0
47.4358967,2,2545,0
47.4775633,2,2547,0
47.51923,2,2549,0
47.5608967,2,2551,0
47.6025633,2,2553,0
47.64423,2,2555,0
47.6858967,2,2557,0
47.7275633,2,2559,0
47.76923,2,2561,0
47.8108967,2,2562,0
47.8525633,2,2564,0
47.89423,2,2566,0
47.9358967,2,2568,0
47.9775633,2,2569,0
48.01923,2,2571,0
48.0608967,2,2572,0
48.1025633,2,2573,0
48.14423,2,2575,0
48.1858967,2,2576,0
48.2275633,2,2577,0
48.26923,2,2578,0
48.3108967,2,2579,0
48.3525633,2,2580,0
48.39423,2,2581,0
48.4358967,2,2582,0
48.4775633,2,2582,0
48.51923,2,2583,0
48.5608967,2,2584,0
48.6025633,2,2585,0
48.64423,2,2586,0
48.6858967,2,2587,0
48.7275633,2,2588,0
48.76923,2,2589,0
48.8108967,2,2590,45
48.8525633,2,2591,129
48.89423,2,2592,162
48.9358967,2,2593,0
48.9775633,2,2594,0
49.01923,2,2596,0
49.0608967,2,2597,0
49.1025633,2,2599,0
49.14423,2,2600,0
49.1858967,2,2602,42
49.2275633,2,2603,0
49.26923,2,2605,12
49.3108967,2,2607,6
49.3525633,2,2608,1
49.39423,2,2610,0
49.4358967,2,2611,0
49.4775633,2,2613,0
49.51923,2,2614,0
49.5608967,2,2615,0
49.6025633,2,2617,0
49.64423,2,2618,0
49.6858967,2,2619,0
49.7275633,1,2620,0
49.76923,1,2620,0
49.8108967,1,2621,0
49.8525633,1,2621,0
49.89423,1,2622,0
49.9358967,1,2621,0
49.9775633,1,2621,0
50.01923,1,2621,0
50.0608967,1,2620,0
50.1025633,1,2619,0
50.14423,1,2618,0
50.1858967,1,2617,0
50.2275633,1,2615,0
50.26923,2,2614,0
50.3108967,2,2612,0
50.3525633,2,2610,0
50.39423,2,2608,0
50.4358967,2,2606,0
50.4775633,2,2603,0
50.51923,2,2601,0
50.5608967,2,2599,0
50.6025633,2,2596,0
50.64423,2,2594,1
50.6858967,2,2592,0
50.7275633,2,2589,0
50.76923,2,2587,0
50.8108967,2,2585,0
50.8525633,2,2582,0
50.89423,2,2580,0
50.9358967,2,2578,0
50.9775633,2,2576,2
51.01923,2,2574,0
51.0608967,2,2572,0
51.1025633,2,2571,0
51.14423,2,2569,0
51.1858967,2,2568,0
51.2275633,2,2566,0
51.26923,2,2565,0
51.3108967,2,2564,0
51.3525633,2,2563,0
51.39423,2,2562,0
51.4358967,2,2561,0
51.4775633,2,2560,3
51.51923,2,2560,0
51.5608967,2,2559,0
51.6025633,2,2559,0
51.64423,2,2558,0
51.6858967,2,2558,0
51.7275633,2,2558,0
51.76923,2,2557,0
51.8108967,2,2557,0
51.8525633,2,2557,0
51.89423,2,2557,0
51.9358967,2,2557,0
51.9775633,2,2557,0
52.01923,2,2557,0
52.0608967,2,2557,0
52.1025633,2,2557,0
52.14423,2,2557,0
52.1858967,2,2558,0
52.2275633,2,2558,0
52.26923,2,2558,0
52.3108967,2,2558,0
52.3525633,2,2559,0
52.39423,2,2559,0
52.43589670000001,2,2559,0
52.47756329999999,2,2559,0
52.51923000000001,2,2559,0
52.56089670000001,2,2559,0
52.60256329999999,2,2559,0
52.64423000000001,2,2559,0
52.68589670000001,2,2559,0
52.72756329999999,2,2559,0
52.76923000000001,2,2559,0
52.81089670000001,2,2559,0
52.85256329999999,2,2558,0
52.89423000000001,2,2558,0
52.93589670000001,2,2557,0
52.97756329999999,2,2556,0
53.01923000000001,2,2556,0
53.06089670000001,2,2555,0
53.10256329999999,2,2554,0
53.14423000000001,2,2553,0
53.18589670000001,2,2551,0
53.22756329999999,2,2550,0
53.26923000000001,2,2549,0
53.31089670000001,2,2547,0
53.35256329999999,2,2546,0
53.39423000000001,2,2544,0
53.43589670000001,2,2543,0
53.47756329999999,2,2541,0
53.51923000000001,2,2539,0
53.56089670000001,2,2538,0
53.60256329999999,2,2536,0
53.64423000000001,2,2534,0
53.68589670000001,2,2532,0
53.72756329999999,2,2531,0
53.76923000000001,2,2529,0
53.81089670000001,2,2527,0
53.85256329999999,2,2526,0
53.89423000000001,2,2524,0
53.93589670000001,2,2522,0
53.97756329999999,2,2521,0
