time,births,population,reported_cases
44.01923,6,6878,0
44.0608967,6,6843,0
44.1025633,6,6813,0
44.14423,6,6786,0
44.1858967,6,6763,0
44.2275633,6,6743,3
44.26923,6,6727,2
44.3108967,6,6714,0
44.3525633,5,6703,0
44.39423,5,6696,1
44.4358967,5,6692,0
44.4775633,5,6690,0
44.51923,5,6691,0
44.5608967,5,6694,0
44.6025633,5,6699,0
44.64423,5,6707,0
44.6858967,5,6716,2
44.7275633,5,6728,0
44.76923,5,6741,0
44.8108967,5,6755,0
44.8525633,5,6771,0
44.89423,5,6788,0
44.9358967,5,6807,0
44.9775633,5,6826,0
45.01923,5,6846,5
45.0608967,5,6867,0
45.1025633,5,6889,52
45.14423,5,6911,65
45.1858967,5,6934,90
45.2275633,5,6957,36
45.26923,5,6981,14
45.3108967,5,7004,13
45.3525633,5,7028,8
45.39423,5,7052,8
45.4358967,5,7076,1
45.4775633,5,7100,0
45.51923,5,7123,0
45.5608967,5,7146,0
45.6025633,6,7169,0
45.64423,6,7191,0
45.6858967,6,7213,0
45.7275633,6,7234,0
45.76923,6,7254,0
45.8108967,6,7273,0
45.8525633,6,7292,0
45.89423,6,7309,0
45.9358967,6,7325,0
45.9775633,6,7340,0
46.01923,6,7354,0
46.0608967,6,7367,0
46.1025633,6,7378,0
46.14423,6,7388,0
46.1858967,6,7397,0
46.2275633,6,7405,0
46.26923,7,7412,0
46.3108967,7,7418,0
46.3525633,7,7423,0
46.39423,7,7428,8
46.4358967,7,7431,1
46.4775633,7,7434,2
46.51923,7,7437,0
46.5608967,7,7439,0
46.6025633,7,7441,1
46.64423,7,7442,0
46.6858967,7,7443,0
46.7275633,7,7444,0
46.76923,7,7444,0
46.8108967,7,7445,0
46.8525633,7,7445,0
46.89423,7,7446,0
46.9358967,7,7447,0
46.9775633,7,7447,0
47.01923,7,7449,0
47.0608967,7,7450,0
47.1025633,7,7452,0
47.14423,7,7454,0
47.1858967,7,7456,0
47.2275633,7,7458,2
47.26923,7,7461,0
47.3108967,7,7464,4
47.3525633,7,7467,1
47.39423,7,7470,0
47.4358967,7,7473,2
47.4775633,6,7477,0
47.51923,6,7480,0
47.5608967,6,7484,0
47.6025633,6,7488,0
47.64423,6,7492,0
47.6858967,6,7496,0
47.7275633,6,7501,0
47.76923,6,7505,0
47.8108967,6,7509,0
47.8525633,6,7513,0
47.89423,6,7518,0
47.9358967,6,7522,0
47.9775633,6,7527,0
48.01923,6,7531,0
48.0608967,6,7535,0
48.1025633,6,7540,0
