time,births,population,reported_cases
44.01923,3,3145,2
44.0608967,3,3138,9
44.1025633,3,3132,9
44.14423,3,3126,3
44.1858967,3,3121,5
44.2275633,3,3117,1
44.26923,3,3113,0
44.3108967,3,3110,2
44.3525633,3,3107,0
44.39423,3,3105,0
44.4358967,3,3103,0
44.4775633,3,3102,0
44.51923,3,3101,0
44.5608967,3,3101,0
44.6025633,3,3101,1
44.64423,3,3102,1
44.6858967,3,3103,0
44.7275633,3,3104,0
44.76923,3,3106,0
44.8108967,3,3108,0
44.8525633,3,3110,0
44.89423,3,3112,0
44.9358967,3,3115,0
44.9775633,3,3118,0
45.01923,3,3122,0
45.0608967,3,3125,0
45.1025633,3,3129,0
45.14423,3,3132,0
45.1858967,3,3136,0
45.2275633,3,3140,0
45.26923,3,3145,0
45.3108967,3,3149,0
45.3525633,3,3153,0
45.39423,3,3158,0
45.4358967,3,3162,0
45.4775633,3,3167,0
45.51923,3,3171,0
45.5608967,3,3176,0
45.6025633,3,3180,0
45.64423,3,3185,4
45.6858967,3,3189,0
45.7275633,3,3194,0
45.76923,3,3198,0
45.8108967,3,3203,0
45.8525633,3,3207,0
45.89423,4,3211,0
45.9358967,4,3215,0
45.9775633,4,3219,5
46.01923,4,3223,11
46.0608967,4,3226,9
46.1025633,4,3230,1
46.14423,4,3233,3
46.1858967,4,3236,3
46.2275633,4,3239,0
46.26923,4,3242,0
46.3108967,4,3245,0
46.3525633,4,3248,0
46.39423,4,3250,0
46.4358967,4,3253,0
46.4775633,4,3255,0
46.51923,4,3258,0
46.5608967,4,3260,13
46.6025633,4,3263,24
46.64423,4,3265,8
46.6858967,4,3267,0
46.7275633,4,3270,0
46.76923,4,3272,0
46.8108967,4,3275,0
46.8525633,4,3277,0
46.89423,4,3280,0
46.9358967,4,3282,0
46.9775633,4,3285,0
47.01923,4,3287,0
47.0608967,3,3290,0
47.1025633,3,3293,0
47.14423,3,3296,0
47.1858967,3,3299,0
47.2275633,3,3302,0
47.26923,3,3305,0
47.3108967,3,3308,1
47.3525633,3,3311,0
47.39423,3,3315,0
47.4358967,3,3318,0
47.4775633,3,3322,0
47.51923,3,3326,0
47.5608967,3,3330,0
47.6025633,3,3334,0
47.64423,3,3338,0
47.6858967,3,3342,0
47.7275633,3,3347,0
47.76923,3,3352,0
47.8108967,3,3356,0
47.8525633,3,3361,0
47.89423,3,3366,0
47.9358967,3,3372,0
47.9775633,3,3377,0
48.01923,3,3383,0
48.0608967,3,3388,0
48.1025633,3,3394,0
48.14423,3,3400,5
48.1858967,3,3406,11
48.2275633,3,3413,3
48.26923,3,3419,0
48.3108967,3,3425,0
48.3525633,3,3432,0
48.39423,3,3438,0
48.4358967,3,3444,0
48.4775633,3,3451,0
48.51923,3,3457,0
48.5608967,3,3463,0
48.6025633,3,3470,0
48.64423,3,3476,0
48.6858967,3,3482,0
