time,births,population,reported_cases
44.01923,7,8299,0
44.0608967,7,8243,0
44.1025633,7,8191,0
44.14423,7,8143,0
44.1858967,7,8099,0
44.2275633,7,8060,0
44.26923,7,8024,2
44.3108967,7,7992,0
44.3525633,7,7964,1
44.39423,7,7939,0
44.4358967,7,7918,0
44.4775633,7,7900,0
44.51923,7,7885,0
44.5608967,7,7874,0
44.6025633,7,7865,0
44.64423,7,7859,0
44.6858967,7,7856,0
44.7275633,7,7855,0
44.76923,7,7857,0
44.8108967,7,7861,0
44.8525633,7,7868,0
44.89423,7,7877,0
44.9358967,7,7887,1
44.9775633,7,7900,0
45.01923,7,7914,0
45.0608967,7,7930,0
45.1025633,7,7947,3
45.14423,7,7966,0
45.1858967,6,7986,5
45.2275633,6,8008,16
45.26923,6,8030,15
45.3108967,6,8054,2
45.3525633,6,8079,4
45.39423,6,8104,4
45.4358967,6,8130,1
45.4775633,6,8157,15
45.51923,6,8185,8
45.5608967,6,8213,5
45.6025633,6,8242,0
45.64423,6,8271,0
45.6858967,6,8300,0
45.7275633,6,8329,0
45.76923,6,8358,0
45.8108967,6,8387,0
45.8525633,6,8416,0
45.89423,6,8445,0
45.9358967,6,8473,0
45.9775633,6,8501,0
46.01923,6,8529,0
46.0608967,6,8555,0
46.1025633,6,8582,0
46.14423,6,8607,0
46.1858967,6,8632,0
46.2275633,6,8656,0
46.26923,6,8680,0
46.3108967,7,8703,0
46.3525633,7,8726,0
46.39423,7,8748,0
46.4358967,7,8769,0
46.4775633,7,8790,0
46.51923,7,8810,2
46.5608967,7,8830,0
46.6025633,7,8849,0
46.64423,7,8867,0
46.6858967,7,8885,1
46.7275633,7,8902,0
46.76923,7,8919,0
46.8108967,7,8934,0
46.8525633,7,8950,0
46.89423,7,8964,0
46.9358967,7,8979,0
46.9775633,7,8992,2
47.01923,8,9005,16
47.0608967,8,9017,2
47.1025633,8,9029,4
47.14423,8,9040,2
47.1858967,8,9050,0
47.2275633,8,9060,2
47.26923,8,9069,2
47.3108967,8,9078,4
47.3525633,8,9087,2
47.39423,8,9094,41
47.4358967,8,9101,3
47.4775633,8,9108,6
47.51923,8,9114,9
47.5608967,8,9120,56
47.6025633,8,9125,40
