time,births,population,reported_cases
44.01923,7,9340,0
44.0608967,7,9334,0
44.1025633,7,9329,0
44.14423,6,9326,0
44.1858967,6,9325,0
44.2275633,6,9325,0
44.26923,6,9326,0
44.3108967,6,9328,0
44.3525633,5,9331,0
44.39423,5,9335,1
44.4358967,5,9341,0
44.4775633,5,9347,0
44.51923,5,9354,0
44.5608967,5,9362,0
44.6025633,5,9370,0
44.64423,5,9379,0
44.6858967,5,9388,0
44.7275633,5,9398,0
44.76923,5,9408,0
44.8108967,5,9419,0
44.8525633,5,9429,0
44.89423,6,9440,0
44.9358967,6,9451,0
44.9775633,6,9461,0
45.01923,6,9472,0
45.0608967,6,9482,0
45.1025633,6,9492,0
45.14423,6,9502,0
45.1858967,6,9512,0
45.2275633,7,9521,0
45.26923,7,9529,0
45.3108967,7,9538,0
45.3525633,7,9545,0
45.39423,7,9552,0
45.4358967,7,9559,0
45.4775633,7,9565,2
45.51923,8,9570,0
45.5608967,8,9574,0
45.6025633,8,9578,12
45.64423,8,9580,10
45.6858967,8,9582,0
45.7275633,8,9583,0
45.76923,8,9583,0
45.8108967,9,9581,0
45.8525633,9,9579,0
45.89423,9,9575,0
45.9358967,9,9571,0
45.9775633,9,9565,0
46.01923,9,9557,0
46.0608967,9,9549,0
46.1025633,9,9539,0
46.14423,9,9528,0
46.1858967,9,9516,0
46.2275633,9,9503,0
46.26923,9,9489,0
46.3108967,9,9474,0
46.3525633,9,9459,0
46.39423,9,9442,1
46.4358967,9,9425,0
46.4775633,9,9407,4
46.51923,9,9389,0
46.5608967,9,9370,0
46.6025633,9,9351,0
46.64423,9,9332,0
46.6858967,9,9312,0
46.7275633,9,9292,0
46.76923,9,9272,0
46.8108967,9,9251,0
46.8525633,9,9231,0
46.89423,9,9211,0
46.9358967,9,9191,0
46.9775633,8,9171,0
47.01923,8,9151,0
47.0608967,8,9132,12
47.1025633,8,9113,18
47.14423,8,9094,15
47.1858967,8,9076,38
47.2275633,8,9058,11
47.26923,8,9041,0
47.3108967,8,9024,0
47.3525633,8,9008,0
47.39423,8,8993,0
47.4358967,8,8979,0
47.4775633,7,8965,0
47.51923,7,8952,0
47.5608967,7,8940,0
47.6025633,7,8929,0
47.64423,7,8919,2
47.6858967,7,8910,0
47.7275633,7,8902,0
47.76923,7,8895,0
47.8108967,7,8890,2
47.8525633,7,8885,1
47.89423,7,8882,0
47.9358967,7,8880,0
47.9775633,7,8880,0
48.01923,7,8881,0
48.0608967,7,8883,0
48.1025633,7,8887,0
48.14423,7,8891,0
48.1858967,7,8897,0
48.2275633,7,8904,0
48.26923,7,8912,0
48.3108967,7,8921,0
48.3525633,7,8931,0
48.39423,7,8941,0
48.4358967,7,8952,0
48.4775633,7,8964,0
48.51923,7,8976,23
48.5608967,7,8988,47
48.6025633,7,9001,11
48.64423,7,9014,24
48.6858967,7,9027,8
48.7275633,7,9040,0
48.76923,7,9053,0
48.8108967,7,9066,0
48.8525633,7,9078,1
48.89423,7,9091,5
48.9358967,7,9103,0
48.9775633,7,9114,0
49.01923,7,9125,0
49.0608967,7,9135,0
49.1025633,7,9145,0
49.14423,7,9154,0
49.1858967,7,9163,0
49.2275633,7,9171,2
49.26923,7,9178,0
49.3108967,7,9186,0
49.3525633,7,9192,2
49.39423,7,9199,0
49.4358967,7,9205,0
49.4775633,7,9210,0
49.51923,7,9216,0
49.5608967,7,9221,0
49.6025633,7,9225,0
49.64423,7,9230,0
49.6858967,7,9234,0
49.7275633,7,9238,0
49.76923,7,9242,0
49.8108967,7,9245,0
49.8525633,7,9249,0
49.89423,7,9252,0
49.9358967,7,9255,0
49.9775633,7,9258,0
50.01923,7,9261,0
50.0608967,7,9265,0
50.1025633,7,9268,0
50.14423,7,9271,0
50.1858967,7,9274,0
50.2275633,7,9276,2
50.26923,7,9279,0
50.3108967,7,9282,0
50.3525633,7,9285,0
50.39423,7,9287,0
50.4358967,7,9290,0
50.4775633,7,9292,0
50.51923,7,9294,0
50.5608967,7,9296,0
50.6025633,7,9299,0
50.64423,7,9300,0
50.6858967,7,9302,2
50.7275633,7,9304,4
50.76923,7,9305,0
50.8108967,7,9307,0
50.8525633,7,9308,0
50.89423,7,9309,1
50.9358967,7,9310,0
50.9775633,7,9311,1
51.01923,7,9311,0
51.0608967,7,9312,0
51.1025633,7,9312,0
51.14423,7,9312,1
51.1858967,7,9312,0
51.2275633,7,9312,0
51.26923,7,9311,2
51.3108967,7,9311,5
51.3525633,7,9310,14
51.39423,7,9310,28
51.4358967,7,9309,91
51.4775633,7,9309,38
51.51923,7,9308,14
51.5608967,7,9308,3
51.6025633,7,9307,3
51.64423,7,9306,0
51.6858967,7,9306,0
51.7275633,7,9305,0
51.76923,7,9305,0
51.8108967,7,9305,0
51.8525633,7,9305,0
51.89423,7,9305,0
51.9358967,7,9305,0
51.9775633,7,9305,0
52.01923,7,9305,0
52.0608967,7,9306,0
52.1025633,7,9306,0
52.14423,7,9307,0
52.1858967,7,9308,0
52.2275633,7,9309,0
52.26923,7,9310,0
52.3108967,7,9312,0
52.3525633,6,9313,0
52.39423,6,9314,0
52.43589670000001,6,9315,0
52.47756329999999,6,9317,0
52.51923000000001,6,9318,0
52.56089670000001,6,9319,0
52.60256329999999,6,9321,0
52.64423000000001,6,9322,0
52.68589670000001,6,9323,0
52.72756329999999,6,9324,6
52.76923000000001,6,9325,3
52.81089670000001,6,9325,2
52.85256329999999,6,9326,2
52.89423000000001,6,9327,0
52.93589670000001,6,9327,0
52.97756329999999,6,9327,0
53.01923000000001,6,9327,0
53.06089670000001,6,9327,0
53.10256329999999,6,9326,2
53.14423000000001,6,9326,5
53.18589670000001,6,9325,0
53.22756329999999,6,9324,0
53.26923000000001,6,9323,0
53.31089670000001,6,9322,2
53.35256329999999,6,9320,0
53.39423000000001,6,9319,0
53.43589670000001,6,9318,2
53.47756329999999,6,9316,0
53.51923000000001,6,9315,0
53.56089670000001,6,9313,0
53.60256329999999,6,9312,6
53.64423000000001,6,9310,3
53.68589670000001,6,9309,2
53.72756329999999,6,9307,0
53.76923000000001,6,9306,0
53.81089670000001,6,9305,0
53.85256329999999,7,9303,1
53.89423000000001,7,9302,5
53.93589670000001,7,9301,5
53.97756329999999,7,9300,2
54.01923000000001,7,9300,2
54.06089670000001,7,9299,0
54.10256329999999,7,9299,0
54.14423000000001,7,9298,0
54.18589670000001,7,9298,0
54.22756329999999,7,9298,0
54.26923000000001,7,9298,0
54.31089670000001,7,9298,0
54.35256329999999,7,9298,0
54.39423000000001,7,9298,0
54.43589670000001,7,9298,0
