time,births,population,reported_cases
44.01923,26,34632,0
44.0608967,26,34553,0
44.1025633,25,34479,0
44.14423,25,34410,0
44.1858967,25,34346,0
44.2275633,24,34286,0
44.26923,24,34230,0
44.3108967,24,34179,0
44.3525633,23,34133,0
44.39423,23,34090,0
44.4358967,23,34051,1
44.4775633,23,34016,0
44.51923,23,33985,0
44.5608967,23,33957,0
44.6025633,23,33933,1
44.64423,22,33912,2
44.6858967,22,33894,2
44.7275633,22,33879,8
44.76923,22,33868,0
44.8108967,22,33859,2
44.8525633,22,33852,0
44.89423,23,33849,0
44.9358967,23,33847,0
44.9775633,23,33849,0
45.01923,23,33852,2
45.0608967,23,33857,0
45.1025633,23,33864,1
45.14423,23,33874,0
45.1858967,23,33885,1
45.2275633,24,33897,2
45.26923,24,33912,0
45.3108967,24,33928,1
45.3525633,24,33945,4
45.39423,24,33964,26
45.4358967,25,33984,47
45.4775633,25,34005,38
45.51923,25,34027,77
45.5608967,25,34050,88
45.6025633,26,34074,14
45.64423,26,34099,3
45.6858967,26,34124,0
45.7275633,26,34151,0
45.76923,27,34177,0
45.8108967,27,34204,0
45.8525633,27,34232,0
45.89423,27,34259,0
45.9358967,28,34287,0
45.9775633,28,34315,0
46.01923,28,34343,0
46.0608967,28,34371,0
46.1025633,29,34398,0
46.14423,29,34426,0
46.1858967,29,34453,0
46.2275633,29,34481,0
46.26923,30,34508,0
46.3108967,30,34535,0
46.3525633,30,34563,0
46.39423,30,34590,0
46.4358967,30,34617,0
46.4775633,30,34644,0
46.51923,31,34671,0
46.5608967,31,34698,2
46.6025633,31,34725,1
46.64423,31,34752,1
46.6858967,31,34779,0
46.7275633,31,34805,0
46.76923,31,34832,0
46.8108967,31,34859,0
46.8525633,31,34886,0
46.89423,31,34912,0
46.9358967,31,34939,0
46.9775633,31,34966,0
47.01923,31,34992,0
47.0608967,31,35019,0
47.1025633,31,35045,1
47.14423,31,35072,1
47.1858967,31,35098,0
47.2275633,30,35124,0
47.26923,30,35149,2
47.3108967,30,35175,0
47.3525633,30,35200,1
47.39423,30,35224,3
47.4358967,30,35248,17
47.4775633,29,35272,6
47.51923,29,35294,7
47.5608967,29,35317,108
47.6025633,29,35338,47
47.64423,29,35359,26
47.6858967,28,35379,0
47.7275633,28,35398,4
47.76923,28,35417,24
47.8108967,28,35434,11
47.8525633,28,35450,37
47.89423,27,35466,22
47.9358967,27,35480,50
47.9775633,27,35493,74
48.01923,27,35505,22
48.0608967,27,35516,26
48.1025633,27,35526,24
48.14423,27,35535,4
48.1858967,26,35543,1
48.2275633,26,35550,0
48.26923,26,35556,2
48.3108967,26,35562,0
48.3525633,26,35567,1
48.39423,26,35572,0
48.4358967,26,35577,0
48.4775633,26,35581,0
48.51923,26,35585,0
48.5608967,26,35589,0
48.6025633,26,35593,0
48.64423,26,35597,0
48.6858967,26,35602,1
48.7275633,26,35606,0
48.76923,25,35611,0
48.8108967,25,35617,0
48.8525633,25,35623,0
48.89423,25,35629,0
48.9358967,25,35637,0
48.9775633,25,35645,30
49.01923,25,35654,20
49.0608967,25,35664,40
49.1025633,25,35675,79
49.14423,25,35687,180
49.1858967,25,35699,63
49.2275633,25,35711,22
49.26923,25,35723,4
49.3108967,25,35736,14
49.3525633,24,35748,20
49.39423,24,35760,10
49.4358967,24,35771,3
49.4775633,24,35782,1
49.51923,24,35792,31
49.5608967,24,35801,22
49.6025633,24,35809,12
49.64423,24,35815,8
49.6858967,24,35821,0
49.7275633,24,35824,0
49.76923,23,35826,0
49.8108967,23,35827,0
49.8525633,23,35825,0
49.89423,23,35821,0
49.9358967,23,35815,0
49.9775633,23,35806,0
50.01923,23,35794,0
50.0608967,23,35780,0
50.1025633,23,35764,0
50.14423,23,35746,0
50.1858967,23,35725,0
50.2275633,23,35703,0
50.26923,23,35679,0
50.3108967,23,35654,0
50.3525633,23,35628,1
50.39423,23,35600,1
50.4358967,23,35572,0
50.4775633,23,35544,0
50.51923,23,35515,0
50.5608967,23,35486,0
50.6025633,23,35458,0
50.64423,23,35429,2
50.6858967,23,35401,10
50.7275633,23,35374,0
50.76923,23,35348,0
50.8108967,23,35323,2
50.8525633,23,35299,0
50.89423,23,35277,0
