time,births,population,reported_cases
44.01923,17,18637,0
44.0608967,16,18763,0
44.1025633,16,18889,4
44.14423,16,19017,30
44.1858967,16,19145,44
44.2275633,15,19275,21
44.26923,15,19405,13
44.3108967,15,19535,4
44.3525633,15,19666,8
44.39423,15,19797,6
44.4358967,15,19929,9
44.4775633,15,20060,6
44.51923,15,20190,4
44.5608967,15,20321,2
44.6025633,15,20451,1
44.64423,15,20580,1
44.6858967,15,20708,0
44.7275633,15,20835,0
44.76923,15,20961,0
44.8108967,15,21086,0
44.8525633,15,21209,0
44.89423,15,21330,0
44.9358967,15,21450,2
44.9775633,15,21567,0
45.01923,16,21683,0
45.0608967,16,21796,0
45.1025633,16,21908,0
45.14423,16,22016,0
45.1858967,16,22123,3
45.2275633,17,22227,1
45.26923,17,22328,0
45.3108967,17,22427,0
45.3525633,17,22524,0
45.39423,18,22618,1
45.4358967,18,22709,0
45.4775633,18,22797,5
45.51923,18,22882,2
45.5608967,19,22965,0
45.6025633,19,23045,0
45.64423,19,23122,1
45.6858967,19,23196,0
45.7275633,20,23266,0
45.76923,20,23334,0
45.8108967,20,23399,0
45.8525633,20,23460,0
45.89423,21,23518,0
45.9358967,21,23572,0
45.9775633,21,23624,0
46.01923,21,23672,0
46.0608967,22,23716,0
46.1025633,22,23758,0
46.14423,22,23796,0
46.1858967,22,23832,0
46.2275633,23,23865,0
46.26923,23,23897,2
46.3108967,23,23926,0
46.3525633,23,23953,0
46.39423,23,23979,0
46.4358967,23,24004,0
46.4775633,24,24028,0
46.51923,24,24051,0
46.5608967,24,24073,13
46.6025633,24,24095,30
46.64423,24,24117,34
46.6858967,24,24138,15
46.7275633,24,24161,1
46.76923,24,24183,0
46.8108967,24,24207,2
46.8525633,24,24231,0
46.89423,24,24257,0
46.9358967,24,24285,0
46.9775633,24,24314,5
47.01923,24,24345,0
47.0608967,24,24377,7
47.1025633,24,24412,0
47.14423,24,24449,0
47.1858967,24,24487,1
47.2275633,24,24527,0
47.26923,24,24568,3
47.3108967,24,24610,1
47.3525633,24,24653,2
47.39423,23,24698,260
47.4358967,23,24743,93
47.4775633,23,24789,120
47.51923,23,24835,2
47.5608967,23,24882,1
47.6025633,23,24929,0
47.64423,22,24976,0
47.6858967,22,25024,0
47.7275633,22,25071,0
47.76923,22,25118,0
47.8108967,22,25165,0
47.8525633,22,25212,0
47.89423,22,25257,0
47.9358967,21,25302,0
47.9775633,21,25347,0
48.01923,21,25390,0
48.0608967,21,25432,0
48.1025633,21,25473,0
48.14423,21,25513,1
48.1858967,21,25552,0
48.2275633,21,25590,0
48.26923,21,25627,0
48.3108967,21,25663,1
48.3525633,21,25699,1
48.39423,20,25733,0
48.4358967,20,25766,1
48.4775633,20,25798,0
48.51923,20,25829,0
48.5608967,20,25859,0
48.6025633,20,25888,0
48.64423,20,25916,0
48.6858967,20,25944,0
48.7275633,20,25970,0
48.76923,20,25996,0
48.8108967,20,26020,0
48.8525633,20,26044,0
48.89423,20,26066,0
48.9358967,20,26088,0
48.9775633,20,26109,0
49.01923,20,26129,0
49.0608967,20,26148,0
49.1025633,20,26167,0
49.14423,20,26186,7
49.1858967,20,26205,1
49.2275633,20,26225,0
49.26923,20,26245,0
49.3108967,20,26267,2
49.3525633,20,26290,0
49.39423,20,26314,0
49.4358967,20,26341,5
49.4775633,20,26371,7
49.51923,20,26403,32
49.5608967,20,26439,12
49.6025633,20,26477,64
49.64423,20,26520,13
49.6858967,20,26566,20
49.7275633,20,26617,7
49.76923,20,26673,4
49.8108967,20,26733,0
49.8525633,20,26799,0
49.89423,20,26871,0
49.9358967,20,26948,0
49.9775633,20,27032,0
50.01923,20,27123,0
50.0608967,20,27219,0
50.1025633,20,27322,0
50.14423,20,27430,0
50.1858967,20,27542,3
50.2275633,20,27658,0
50.26923,20,27777,0
50.3108967,20,27898,0
50.3525633,20,28021,0
50.39423,20,28145,0
50.4358967,20,28269,0
50.4775633,20,28393,2
50.51923,20,28516,2
50.5608967,20,28638,0
50.6025633,20,28757,1
50.64423,20,28872,1
50.6858967,20,28985,0
50.7275633,20,29092,0
50.76923,20,29195,0
50.8108967,20,29292,0
50.8525633,20,29382,0
50.89423,21,29465,2
50.9358967,21,29541,7
50.9775633,21,29608,15
51.01923,21,29665,30
51.0608967,21,29714,64
51.1025633,21,29754,113
51.14423,21,29785,152
51.1858967,21,29809,166
51.2275633,21,29825,115
51.26923,21,29835,49
51.3108967,21,29838,10
51.3525633,20,29836,11
51.39423,20,29828,14
51.4358967,20,29816,8
51.4775633,20,29800,3
51.51923,20,29779,15
51.5608967,20,29756,15
51.6025633,20,29730,0
51.64423,20,29702,1
51.6858967,20,29673,0
51.7275633,20,29642,0
51.76923,20,29611,0
51.8108967,20,29579,0
51.8525633,20,29548,0
51.89423,20,29518,3
51.9358967,20,29490,0
51.9775633,20,29463,0
52.01923,20,29439,2
52.0608967,20,29418,1
52.1025633,20,29399,31
52.14423,20,29383,62
52.1858967,20,29369,81
52.2275633,20,29357,75
52.26923,20,29347,21
52.3108967,20,29340,6
52.3525633,20,29334,2
52.39423,20,29330,0
52.43589670000001,20,29328,6
52.47756329999999,20,29327,1
52.51923000000001,20,29328,2
52.56089670000001,20,29330,2
52.60256329999999,20,29333,2
52.64423000000001,20,29337,5
52.68589670000001,20,29342,8
52.72756329999999,20,29348,0
52.76923000000001,20,29355,0
52.81089670000001,20,29362,0
52.85256329999999,21,29370,0
52.89423000000001,21,29378,0
52.93589670000001,21,29387,3
52.97756329999999,21,29395,2
53.01923000000001,21,29404,6
53.06089670000001,21,29412,18
53.10256329999999,21,29421,18
53.14423000000001,21,29429,98
53.18589670000001,21,29438,163
53.22756329999999,21,29446,110
53.26923000000001,21,29455,76
53.31089670000001,21,29463,19
53.35256329999999,21,29471,15
53.39423000000001,21,29480,2
53.43589670000001,21,29488,5
53.47756329999999,21,29496,1
53.51923000000001,21,29504,2
53.56089670000001,21,29513,0
53.60256329999999,21,29521,1
53.64423000000001,21,29529,1
53.68589670000001,21,29537,0
53.72756329999999,21,29546,0
53.76923000000001,21,29554,0
53.81089670000001,21,29562,2
53.85256329999999,21,29570,0
53.89423000000001,21,29579,0
53.93589670000001,21,29587,0
53.97756329999999,21,29595,0
54.01923000000001,20,29604,0
54.06089670000001,20,29612,0
54.10256329999999,20,29621,0
54.14423000000001,20,29629,0
54.18589670000001,20,29638,0
54.22756329999999,20,29646,0
54.26923000000001,20,29655,0
54.31089670000001,20,29663,0
54.35256329999999,20,29672,0
54.39423000000001,20,29680,0
54.43589670000001,20,29689,0
54.47756329999999,20,29697,0
54.51923000000001,20,29706,0
54.56089670000001,19,29714,0
54.60256329999999,19,29723,0
54.64423000000001,19,29731,0
54.68589670000001,19,29739,0
54.72756329999999,19,29748,0
54.76923000000001,19,29756,0
54.81089670000001,19,29764,0
54.85256329999999,19,29772,0
54.89423000000001,19,29780,0
54.93589670000001,19,29788,0
54.97756329999999,19,29796,0
55.01923000000001,19,29804,0
55.06089670000001,19,29811,0
55.10256329999999,19,29819,3
55.14423000000001,19,29826,3
55.18589670000001,19,29834,1
55.22756329999999,19,29841,1
55.26923000000001,19,29849,2
55.31089670000001,19,29856,0
55.35256329999999,19,29864,6
55.39423000000001,19,29872,3
55.43589670000001,19,29879,13
55.47756329999999,19,29887,26
55.51923000000001,19,29895,44
55.56089670000001,19,29903,49
55.60256329999999,19,29911,42
55.64423000000001,19,29920,23
55.68589670000001,20,29928,15
55.72756329999999,20,29937,7
55.76923000000001,20,29946,0
55.81089670000001,20,29955,8
55.85256329999999,20,29964,18
55.89423000000001,20,29974,19
55.93589670000001,20,29984,46
55.97756329999999,20,29994,28
56.01923000000001,20,30005,63
56.06089670000001,20,30016,14
56.10256329999999,20,30027,6
56.14423000000001,20,30038,3
56.18589670000001,20,30050,4
56.22756329999999,20,30061,2
56.26923000000001,20,30073,4
56.31089670000001,20,30084,2
56.35256329999999,20,30095,7
56.39423000000001,20,30106,4
56.43589670000001,20,30117,1
56.47756329999999,21,30127,2
56.51923000000001,21,30137,0
56.56089670000001,21,30146,0
56.60256329999999,21,30155,2
56.64423000000001,21,30163,0
56.68589670000001,21,30171,0
56.72756329999999,21,30178,0
56.76923000000001,21,30184,0
56.81089670000001,21,30189,0
56.85256329999999,21,30193,0
56.89423000000001,21,30197,0
56.93589670000001,21,30199,0
56.97756329999999,21,30200,0
57.01923000000001,21,30200,0
57.06089670000001,20,30198,3
57.10256329999999,20,30196,7
57.14423000000001,20,30192,4
57.18589670000001,20,30188,1
57.22756329999999,20,30183,2
57.26923000000001,20,30176,0
57.31089670000001,20,30169,0
57.35256329999999,20,30161,3
57.39423000000001,20,30153,1
57.43589670000001,20,30144,0
57.47756329999999,20,30134,8
57.51923000000001,20,30124,15
57.56089670000001,20,30114,32
57.60256329999999,20,30103,44
57.64423000000001,20,30093,37
57.68589670000001,20,30082,20
57.72756329999999,20,30070,5
57.76923000000001,20,30059,0
57.81089670000001,20,30048,0
57.85256329999999,19,30037,0
57.89423000000001,19,30026,0
57.93589670000001,19,30016,0
57.97756329999999,19,30005,2
58.01923000000001,19,29995,48
58.06089670000001,19,29986,29
58.10256329999999,19,29977,32
58.14423000000001,19,29969,37
58.18589670000001,19,29961,156
58.22756329999999,19,29954,419
58.26923000000001,19,29947,138
58.31089670000001,19,29942,79
58.35256329999999,19,29937,6
58.39423000000001,19,29933,10
58.43589670000001,20,29929,12
58.47756329999999,20,29927,0
58.51923000000001,20,29926,0
58.56089670000001,20,29926,2
58.60256329999999,20,29927,0
58.64423000000001,20,29929,2
58.68589670000001,20,29932,0
58.72756329999999,20,29936,0
58.76923000000001,20,29942,2
58.81089670000001,20,29949,2
58.85256329999999,20,29958,4
58.89423000000001,20,29968,0
58.93589670000001,20,29979,4
58.97756329999999,20,29992,0
59.01923000000001,20,30007,0
59.06089670000001,20,30023,2
59.10256329999999,20,30041,11
59.14423000000001,20,30060,13
59.18589670000001,20,30080,13
59.22756329999999,20,30101,6
59.26923000000001,21,30124,21
59.31089670000001,21,30147,18
59.35256329999999,21,30171,22
59.39423000000001,21,30196,6
59.43589670000001,21,30221,7
59.47756329999999,21,30247,0
59.51923000000001,21,30273,2
59.56089670000001,21,30299,0
59.60256329999999,21,30325,0
59.64423000000001,21,30352,2
59.68589670000001,21,30378,0
59.72756329999999,21,30404,0
59.76923000000001,21,30429,0
59.81089670000001,21,30455,0
59.85256329999999,21,30479,0
59.89423000000001,21,30503,0
59.93589670000001,21,30526,0
59.97756329999999,21,30548,0
60.01923000000001,21,30570,0
60.06089670000001,21,30590,0
60.10256329999999,21,30609,0
60.14423000000001,21,30627,0
60.18589670000001,21,30644,1
60.22756329999999,21,30660,0
60.26923000000001,21,30675,0
60.31089670000001,21,30689,0
60.35256329999999,21,30702,0
60.39423000000001,21,30714,0
60.43589670000001,21,30725,1
60.47756329999999,21,30735,5
60.51923000000001,21,30744,0
60.56089670000001,21,30753,0
60.60256329999999,21,30760,0
60.64423000000001,21,30767,0
60.68589670000001,21,30773,0
60.72756329999999,21,30777,0
60.76923000000001,21,30782,0
60.81089670000001,21,30785,0
60.85256329999999,21,30787,0
60.89423000000001,21,30789,1
60.93589670000001,21,30790,8
60.97756329999999,21,30790,43
61.01923000000001,21,30790,51
61.06089670000001,21,30788,51
61.10256329999999,21,30787,16
61.14423000000001,21,30784,9
61.18589670000001,21,30781,51
61.22756329999999,21,30778,44
61.26923000000001,21,30774,99
61.31089670000001,21,30770,43
61.35256329999999,21,30766,22
61.39423000000001,21,30761,34
61.43589670000001,21,30757,52
61.47756329999999,21,30752,9
61.51923000000001,21,30748,4
61.56089670000001,21,30744,4
61.60256329999999,21,30739,13
61.64423000000001,21,30735,4
61.68589670000001,21,30732,0
61.72756329999999,21,30728,0
61.76923000000001,22,30725,0
61.81089670000001,22,30723,2
61.85256329999999,22,30721,0
61.89423000000001,22,30720,0
61.93589670000001,22,30719,1
61.97756329999999,22,30720,0
62.01923000000001,22,30721,0
62.06089670000001,22,30723,0
62.10256329999999,22,30725,0
62.14423000000001,22,30729,0
62.18589670000001,22,30734,0
62.22756329999999,22,30739,2
62.26923000000001,22,30746,0
62.31089670000001,22,30753,0
62.35256329999999,22,30762,0
62.39423000000001,22,30771,0
62.43589670000001,22,30782,0
62.47756329999999,22,30793,0
62.51923000000001,22,30806,0
62.56089670000001,22,30819,0
62.60256329999999,22,30834,0
62.64423000000001,22,30850,0
62.68589670000001,22,30867,0
62.72756329999999,22,30884,0
62.76923000000001,22,30903,0
62.81089670000001,22,30924,0
62.85256329999999,22,30945,0
62.89423000000001,22,30968,0
62.93589670000001,22,30991,0
62.97756329999999,22,31016,1
63.01923000000001,22,31042,0
63.06089670000001,22,31070,6
63.10256329999999,22,31098,11
63.14423000000001,22,31128,6
63.18589670000001,22,31159,1
63.22756329999999,22,31191,13
63.26923000000001,22,31224,30
63.31089670000001,22,31259,31
63.35256329999999,22,31295,28
63.39423000000001,22,31332,80
63.43589670000001,22,31370,103
63.47756329999999,22,31410,81
63.51923000000001,22,31451,101
63.56089670000001,23,31493,72
63.60256329999999,23,31536,21
63.64423000000001,23,31580,5
63.68589670000001,23,31626,12
63.72756329999999,23,31673,5
63.76923000000001,23,31721,0
63.81089670000001,23,31770,0
63.85256329999999,23,31821,0
63.89423000000001,24,31873,0
63.93589670000001,24,31926,0
63.97756329999999,24,31980,0
