time,births,population,reported_cases
44.01923,3,3379,0
44.0608967,3,3386,0
44.1025633,3,3392,0
44.14423,3,3398,0
44.1858967,3,3403,0
44.2275633,2,3407,0
44.26923,2,3411,0
44.3108967,2,3414,0
44.3525633,2,3417,0
44.39423,2,3419,0
44.4358967,2,3420,0
44.4775633,2,3421,0
44.51923,2,3422,0
44.5608967,2,3422,0
44.6025633,2,3422,0
44.64423,2,3422,0
44.6858967,2,3421,0
44.7275633,2,3420,0
44.76923,2,3419,0
44.8108967,2,3418,0
44.8525633,2,3416,0
44.89423,2,3415,0
44.9358967,2,3413,0
44.9775633,2,3412,0
45.01923,2,3410,0
45.0608967,2,3409,0
45.1025633,2,3407,1
45.14423,2,3406,0
45.1858967,2,3405,0
45.2275633,2,3404,0
45.26923,2,3403,0
45.3108967,2,3402,0
45.3525633,2,3401,0
45.39423,2,3401,0
45.4358967,3,3401,0
45.4775633,3,3401,0
45.51923,3,3401,0
45.5608967,3,3401,0
45.6025633,3,3402,0
45.64423,3,3403,0
45.6858967,3,3405,0
45.7275633,3,3407,0
45.76923,3,3409,0
45.8108967,3,3412,0
45.8525633,3,3415,0
45.89423,3,3418,0
45.9358967,3,3422,0
45.9775633,3,3426,0
46.01923,3,3431,0
46.0608967,3,3437,0
46.1025633,3,3442,0
46.14423,3,3449,0
46.1858967,3,3455,0
46.2275633,3,3462,0
46.26923,3,3469,0
46.3108967,3,3477,0
46.3525633,3,3485,0
46.39423,3,3493,0
46.4358967,3,3501,0
46.4775633,3,3509,0
46.51923,3,3517,0
46.5608967,3,3526,0
46.6025633,3,3534,0
46.64423,3,3543,0
46.6858967,3,3551,0
46.7275633,3,3559,0
46.76923,3,3567,0
46.8108967,3,3575,0
46.8525633,3,3583,0
46.89423,3,3591,0
46.9358967,3,3598,0
46.9775633,3,3605,0
47.01923,3,3612,0
47.0608967,3,3618,0
47.1025633,3,3625,0
47.14423,3,3630,0
47.1858967,3,3636,0
47.2275633,3,3641,0
47.26923,3,3646,0
47.3108967,3,3650,0
47.3525633,3,3654,0
47.39423,3,3658,0
47.4358967,3,3661,0
47.4775633,3,3665,0
47.51923,3,3668,0
47.5608967,3,3670,0
47.6025633,3,3673,0
47.64423,3,3675,0
47.6858967,3,3677,0
47.7275633,3,3678,0
47.76923,3,3679,0
47.8108967,3,3680,0
47.8525633,3,3681,0
47.89423,3,3682,0
47.9358967,3,3682,0
47.9775633,3,3682,0
48.01923,3,3682,0
48.0608967,3,3681,0
48.1025633,3,3681,0
48.14423,3,3680,0
48.1858967,3,3679,0
48.2275633,3,3678,0
48.26923,3,3676,0
48.3108967,3,3675,0
48.3525633,3,3673,0
48.39423,3,3671,0
48.4358967,3,3669,0
48.4775633,3,3667,0
48.51923,3,3664,0
48.5608967,3,3662,0
48.6025633,3,3659,0
48.64423,3,3657,0
48.6858967,3,3654,0
48.7275633,3,3651,0
48.76923,3,3648,0
48.8108967,3,3645,0
48.8525633,3,3642,0
48.89423,3,3639,0
48.9358967,3,3636,0
48.9775633,3,3633,0
49.01923,3,3630,0
49.0608967,3,3626,0
49.1025633,2,3623,0
49.14423,2,3620,0
49.1858967,2,3617,0
49.2275633,2,3613,0
49.26923,2,3610,0
49.3108967,2,3607,0
49.3525633,2,3603,0
49.39423,2,3600,0
49.4358967,2,3596,0
49.4775633,2,3592,0
49.51923,2,3588,0
49.5608967,2,3584,0
49.6025633,2,3580,0
49.64423,2,3576,0
49.6858967,2,3572,0
49.7275633,2,3567,0
49.76923,2,3562,0
49.8108967,2,3557,0
49.8525633,2,3552,0
49.89423,2,3547,0
49.9358967,2,3542,0
49.9775633,2,3536,0
50.01923,2,3530,0
50.0608967,2,3524,0
50.1025633,2,3518,0
50.14423,2,3512,0
50.1858967,3,3505,0
50.2275633,3,3499,0
50.26923,3,3492,0
50.3108967,3,3485,0
50.3525633,3,3479,0
50.39423,3,3472,0
50.4358967,3,3465,0
50.4775633,3,3459,0
50.51923,3,3452,12
50.5608967,3,3446,2
50.6025633,3,3440,0
50.64423,3,3433,0
50.6858967,3,3428,0
50.7275633,3,3422,0
50.76923,3,3416,0
50.8108967,3,3411,0
50.8525633,3,3406,0
50.89423,3,3402,0
50.9358967,3,3398,0
50.9775633,3,3394,0
51.01923,3,3390,0
51.0608967,3,3387,0
51.1025633,3,3385,0
51.14423,3,3383,0
51.1858967,3,3381,0
51.2275633,3,3379,0
51.26923,3,3378,0
51.3108967,3,3377,0
51.3525633,3,3376,0
51.39423,3,3376,0
51.4358967,3,3375,0
51.4775633,3,3375,0
51.51923,3,3375,0
51.5608967,3,3376,0
51.6025633,3,3376,0
51.64423,3,3376,0
51.6858967,3,3377,0
51.7275633,3,3378,0
51.76923,3,3379,0
51.8108967,3,3379,0
51.8525633,3,3380,0
51.89423,3,3381,0
51.9358967,3,3382,0
51.9775633,3,3383,0
52.01923,3,3383,0
52.0608967,3,3384,0
52.1025633,3,3384,0
52.14423,3,3385,0
52.1858967,3,3385,0
52.2275633,3,3386,0
52.26923,3,3386,0
52.3108967,3,3387,0
52.3525633,3,3387,0
52.39423,3,3387,0
52.43589670000001,3,3387,0
52.47756329999999,3,3388,0
52.51923000000001,3,3388,0
52.56089670000001,3,3388,0
52.60256329999999,3,3389,0
52.64423000000001,3,3389,0
52.68589670000001,3,3389,0
52.72756329999999,3,3390,0
52.76923000000001,3,3390,0
52.81089670000001,3,3391,2
52.85256329999999,3,3391,29
52.89423000000001,3,3392,29
52.93589670000001,3,3393,2
52.97756329999999,3,3394,5
53.01923000000001,3,3394,0
53.06089670000001,3,3395,4
53.10256329999999,3,3396,2
53.14423000000001,3,3398,0
53.18589670000001,3,3399,0
53.22756329999999,3,3400,0
53.26923000000001,3,3401,2
53.31089670000001,3,3403,0
53.35256329999999,3,3404,2
53.39423000000001,3,3405,1
53.43589670000001,3,3406,0
53.47756329999999,3,3408,0
53.51923000000001,3,3409,0
53.56089670000001,3,3410,0
53.60256329999999,3,3412,0
53.64423000000001,3,3413,0
53.68589670000001,3,3414,0
53.72756329999999,3,3415,0
53.76923000000001,3,3416,0
53.81089670000001,3,3417,0
53.85256329999999,3,3418,0
53.89423000000001,3,3419,0
53.93589670000001,3,3419,0
53.97756329999999,3,3420,0
54.01923000000001,3,3420,0
54.06089670000001,3,3420,0
54.10256329999999,3,3421,0
54.14423000000001,3,3421,0
54.18589670000001,3,3421,0
54.22756329999999,3,3420,0
54.26923000000001,3,3420,0
54.31089670000001,3,3420,0
54.35256329999999,3,3420,0
54.39423000000001,3,3419,0
54.43589670000001,3,3419,0
54.47756329999999,3,3419,0
54.51923000000001,3,3419,0
54.56089670000001,3,3418,0
54.60256329999999,3,3418,0
54.64423000000001,3,3418,0
54.68589670000001,3,3418,0
54.72756329999999,3,3418,0
54.76923000000001,3,3418,0
54.81089670000001,3,3418,0
54.85256329999999,3,3418,0
54.89423000000001,3,3418,0
54.93589670000001,3,3419,0
54.97756329999999,3,3420,0
55.01923000000001,3,3420,0
55.06089670000001,3,3421,0
55.10256329999999,3,3423,0
55.14423000000001,3,3424,0
55.18589670000001,3,3425,0
55.22756329999999,3,3427,2
55.26923000000001,3,3428,0
55.31089670000001,3,3430,0
55.35256329999999,3,3432,0
55.39423000000001,3,3434,0
55.43589670000001,3,3436,0
55.47756329999999,3,3439,0
55.51923000000001,3,3441,0
55.56089670000001,3,3443,0
55.60256329999999,3,3446,0
55.64423000000001,3,3448,1
55.68589670000001,3,3450,2
55.72756329999999,3,3453,0
55.76923000000001,3,3456,0
55.81089670000001,3,3458,5
55.85256329999999,3,3461,41
55.89423000000001,3,3463,23
55.93589670000001,3,3466,41
55.97756329999999,3,3469,10
56.01923000000001,3,3471,0
56.06089670000001,3,3474,0
56.10256329999999,3,3476,0
56.14423000000001,3,3479,0
56.18589670000001,3,3481,0
56.22756329999999,3,3484,4
56.26923000000001,3,3486,2
56.31089670000001,3,3489,0
56.35256329999999,3,3491,3
56.39423000000001,3,3494,0
56.43589670000001,3,3496,0
56.47756329999999,3,3499,0
56.51923000000001,3,3501,0
56.56089670000001,3,3504,0
56.60256329999999,3,3506,0
56.64423000000001,3,3508,0
56.68589670000001,3,3511,0
56.72756329999999,3,3513,0
56.76923000000001,3,3516,0
56.81089670000001,3,3518,0
56.85256329999999,3,3521,0
56.89423000000001,3,3523,0
56.93589670000001,3,3526,0
56.97756329999999,3,3529,0
57.01923000000001,3,3531,0
57.06089670000001,3,3534,0
57.10256329999999,3,3536,0
57.14423000000001,3,3539,0
57.18589670000001,3,3542,0
57.22756329999999,3,3544,0
57.26923000000001,3,3547,0
57.31089670000001,3,3550,0
57.35256329999999,3,3552,0
57.39423000000001,3,3555,0
57.43589670000001,3,3557,0
57.47756329999999,3,3559,0
57.51923000000001,3,3562,0
57.56089670000001,3,3564,0
57.60256329999999,3,3566,0
57.64423000000001,3,3568,0
57.68589670000001,3,3570,0
57.72756329999999,3,3572,0
57.76923000000001,3,3573,0
57.81089670000001,3,3575,0
57.85256329999999,2,3576,0
57.89423000000001,2,3578,0
57.93589670000001,2,3579,0
57.97756329999999,2,3580,0
58.01923000000001,2,3580,0
58.06089670000001,2,3581,0
58.10256329999999,2,3581,0
58.14423000000001,2,3582,0
58.18589670000001,2,3582,0
58.22756329999999,2,3582,0
58.26923000000001,2,3581,0
58.31089670000001,2,3581,0
58.35256329999999,2,3581,0
58.39423000000001,2,3580,0
58.43589670000001,2,3579,0
58.47756329999999,2,3578,0
58.51923000000001,2,3577,0
58.56089670000001,2,3576,0
58.60256329999999,2,3575,0
58.64423000000001,2,3574,0
58.68589670000001,2,3572,0
58.72756329999999,2,3571,0
58.76923000000001,2,3570,0
58.81089670000001,2,3568,0
58.85256329999999,2,3566,0
58.89423000000001,2,3565,0
58.93589670000001,2,3563,0
58.97756329999999,2,3561,0
59.01923000000001,2,3559,0
59.06089670000001,2,3557,0
59.10256329999999,2,3555,0
59.14423000000001,2,3553,0
59.18589670000001,2,3552,0
59.22756329999999,2,3550,0
59.26923000000001,2,3548,0
59.31089670000001,2,3546,0
59.35256329999999,2,3545,0
59.39423000000001,2,3543,0
59.43589670000001,2,3542,0
59.47756329999999,2,3541,0
59.51923000000001,2,3540,0
59.56089670000001,2,3540,0
59.60256329999999,2,3539,0
59.64423000000001,2,3539,2
59.68589670000001,2,3539,0
59.72756329999999,2,3539,0
59.76923000000001,2,3540,0
59.81089670000001,2,3541,0
59.85256329999999,2,3542,0
59.89423000000001,2,3544,0
59.93589670000001,2,3546,0
59.97756329999999,3,3548,0
60.01923000000001,3,3551,0
60.06089670000001,3,3555,0
60.10256329999999,3,3558,0
60.14423000000001,3,3563,22
60.18589670000001,3,3567,20
60.22756329999999,3,3572,40
60.26923000000001,3,3577,0
60.31089670000001,3,3582,0
60.35256329999999,3,3587,0
60.39423000000001,3,3593,0
60.43589670000001,3,3598,0
60.47756329999999,3,3604,0
60.51923000000001,3,3610,0
60.56089670000001,3,3616,0
60.60256329999999,3,3622,0
60.64423000000001,3,3627,0
60.68589670000001,3,3633,0
60.72756329999999,3,3639,0
60.76923000000001,3,3644,0
60.81089670000001,3,3649,0
60.85256329999999,3,3654,0
60.89423000000001,3,3659,0
60.93589670000001,3,3664,0
60.97756329999999,3,3668,0
61.01923000000001,3,3672,0
61.06089670000001,3,3675,0
61.10256329999999,3,3678,0
61.14423000000001,3,3681,2
61.18589670000001,3,3684,0
61.22756329999999,3,3686,0
61.26923000000001,3,3688,0
61.31089670000001,3,3690,0
61.35256329999999,3,3691,0
61.39423000000001,3,3693,0
61.43589670000001,3,3694,0
61.47756329999999,3,3695,0
61.51923000000001,3,3696,0
61.56089670000001,3,3696,0
61.60256329999999,3,3697,0
61.64423000000001,3,3697,1
61.68589670000001,3,3698,0
61.72756329999999,3,3698,0
61.76923000000001,3,3698,0
61.81089670000001,3,3699,0
61.85256329999999,3,3699,0
61.89423000000001,3,3699,0
61.93589670000001,3,3699,0
61.97756329999999,3,3700,0
62.01923000000001,3,3700,0
62.06089670000001,3,3701,0
62.10256329999999,3,3701,0
62.14423000000001,3,3702,0
62.18589670000001,3,3703,0
62.22756329999999,3,3704,2
62.26923000000001,3,3704,0
62.31089670000001,3,3706,0
62.35256329999999,3,3707,0
62.39423000000001,3,3708,0
62.43589670000001,2,3709,0
62.47756329999999,2,3711,0
62.51923000000001,2,3712,0
62.56089670000001,2,3714,0
62.60256329999999,2,3716,0
62.64423000000001,2,3718,0
62.68589670000001,2,3720,0
62.72756329999999,2,3722,0
62.76923000000001,2,3724,0
62.81089670000001,2,3727,0
62.85256329999999,2,3730,0
62.89423000000001,2,3732,0
62.93589670000001,2,3735,0
62.97756329999999,2,3738,0
63.01923000000001,2,3742,0
63.06089670000001,2,3745,0
63.10256329999999,2,3748,0
63.14423000000001,2,3752,0
63.18589670000001,2,3756,0
63.22756329999999,2,3760,0
63.26923000000001,2,3764,0
63.31089670000001,3,3768,0
63.35256329999999,3,3772,0
63.39423000000001,3,3777,0
63.43589670000001,3,3781,0
63.47756329999999,3,3786,0
63.51923000000001,3,3791,0
63.56089670000001,3,3795,0
63.60256329999999,3,3800,0
63.64423000000001,3,3805,1
63.68589670000001,3,3810,0
63.72756329999999,3,3815,0
63.76923000000001,3,3821,0
63.81089670000001,3,3826,0
63.85256329999999,3,3831,0
63.89423000000001,3,3836,0
63.93589670000001,3,3842,0
63.97756329999999,3,3847,0
