time,births,population,reported_cases
44.01923,8,10299,0
44.0608967,8,10335,0
44.1025633,8,10363,0
44.14423,8,10385,0
44.1858967,8,10401,0
44.2275633,8,10411,0
44.26923,8,10416,0
44.3108967,8,10415,0
44.3525633,8,10410,2
44.39423,8,10400,3
44.4358967,8,10387,1
44.4775633,8,10370,0
44.51923,8,10350,0
44.5608967,8,10327,0
44.6025633,8,10302,1
44.64423,8,10275,0
44.6858967,8,10247,0
44.7275633,8,10217,0
44.76923,8,10186,0
44.8108967,7,10155,0
44.8525633,7,10124,0
44.89423,7,10093,0
44.9358967,7,10064,0
44.9775633,7,10035,0
45.01923,7,10008,0
45.0608967,7,9982,0
45.1025633,7,9959,12
45.14423,7,9938,18
45.1858967,7,9919,20
45.2275633,7,9902,4
45.26923,8,9888,30
45.3108967,8,9877,19
45.3525633,8,9869,2
45.39423,8,9864,11
45.4358967,8,9862,10
45.4775633,8,9864,19
45.51923,8,9869,2
45.5608967,8,9878,1
45.6025633,8,9891,0
45.64423,8,9908,0
45.6858967,8,9929,2
45.7275633,8,9954,0
45.76923,8,9984,0
45.8108967,8,10019,0
45.8525633,8,10059,0
45.89423,8,10103,0
45.9358967,8,10153,0
45.9775633,8,10208,0
46.01923,8,10269,0
46.0608967,9,10334,0
46.1025633,9,10405,0
46.14423,9,10480,0
46.1858967,9,10559,0
46.2275633,9,10642,0
46.26923,9,10727,0
46.3108967,9,10815,0
46.3525633,9,10905,0
46.39423,9,10997,0
46.4358967,9,11089,0
46.4775633,9,11182,0
46.51923,9,11275,0
46.5608967,9,11368,0
46.6025633,9,11460,0
46.64423,9,11551,0
46.6858967,10,11639,0
46.7275633,10,11726,0
46.76923,10,11809,0
46.8108967,10,11890,0
46.8525633,10,11966,0
46.89423,10,12039,2
46.9358967,10,12106,0
46.9775633,10,12169,0
47.01923,10,12226,0
47.0608967,10,12277,0
47.1025633,10,12322,0
47.14423,10,12362,1
47.1858967,9,12398,6
47.2275633,9,12428,3
47.26923,9,12455,30
47.3108967,9,12477,15
47.3525633,9,12495,12
47.39423,9,12510,8
47.4358967,9,12521,5
47.4775633,9,12529,0
47.51923,9,12535,0
47.5608967,9,12538,0
47.6025633,9,12539,0
47.64423,9,12538,1
47.6858967,9,12535,0
47.7275633,9,12531,0
47.76923,8,12526,0
47.8108967,8,12520,0
47.8525633,8,12513,0
47.89423,8,12507,0
47.9358967,8,12500,1
47.9775633,8,12493,6
48.01923,8,12487,14
48.0608967,8,12482,13
48.1025633,8,12477,0
48.14423,8,12474,0
48.1858967,8,12470,1
48.2275633,8,12468,1
48.26923,8,12466,0
48.3108967,8,12465,0
48.3525633,8,12464,0
48.39423,8,12465,0
48.4358967,8,12466,4
48.4775633,8,12467,0
48.51923,8,12469,0
48.5608967,8,12472,0
48.6025633,8,12475,0
48.64423,8,12480,0
48.6858967,8,12484,0
48.7275633,8,12490,0
48.76923,8,12496,0
48.8108967,8,12502,0
48.8525633,8,12510,0
48.89423,8,12517,0
48.9358967,8,12526,0
48.9775633,8,12535,0
49.01923,9,12545,0
49.0608967,9,12555,0
49.1025633,9,12565,0
49.14423,9,12576,1
49.1858967,9,12587,0
49.2275633,9,12598,2
49.26923,9,12609,0
49.3108967,9,12620,0
49.3525633,9,12631,2
49.39423,9,12641,0
49.4358967,9,12650,1
49.4775633,9,12659,0
49.51923,9,12667,0
49.5608967,8,12674,11
49.6025633,8,12680,29
49.64423,8,12685,21
49.6858967,8,12689,11
49.7275633,8,12691,0
49.76923,8,12691,0
49.8108967,8,12690,0
49.8525633,8,12687,0
49.89423,8,12682,0
49.9358967,8,12675,0
49.9775633,8,12666,0
50.01923,8,12654,0
50.0608967,8,12641,0
50.1025633,8,12625,0
50.14423,8,12607,2
50.1858967,8,12587,2
50.2275633,8,12566,4
50.26923,8,12544,0
50.3108967,8,12520,2
50.3525633,8,12494,6
50.39423,8,12468,0
50.4358967,8,12441,0
50.4775633,8,12414,0
50.51923,7,12386,16
50.5608967,7,12357,39
50.6025633,7,12329,54
50.64423,7,12300,18
50.6858967,7,12272,18
50.7275633,7,12244,0
50.76923,7,12216,0
50.8108967,7,12189,0
50.8525633,7,12163,0
50.89423,7,12138,0
50.9358967,7,12114,0
50.9775633,7,12092,0
51.01923,7,12070,2
51.0608967,7,12051,0
51.1025633,7,12033,1
51.14423,7,12016,0
51.1858967,7,12001,4
51.2275633,7,11987,1
51.26923,6,11974,30
51.3108967,6,11963,51
51.3525633,6,11953,63
51.39423,6,11944,40
51.4358967,6,11936,12
51.4775633,6,11929,6
51.51923,6,11923,5
51.5608967,6,11918,11
51.6025633,6,11914,6
51.64423,6,11911,11
51.6858967,6,11908,2
51.7275633,6,11907,2
51.76923,6,11906,0
51.8108967,6,11905,0
51.8525633,6,11905,0
51.89423,6,11906,0
51.9358967,6,11907,0
51.9775633,6,11909,0
52.01923,6,11911,0
52.0608967,6,11913,2
52.1025633,6,11916,1
52.14423,6,11919,0
52.1858967,6,11922,0
52.2275633,6,11925,0
52.26923,6,11929,0
52.3108967,6,11932,0
52.3525633,6,11936,0
52.39423,6,11940,0
52.43589670000001,6,11943,0
52.47756329999999,6,11947,0
52.51923000000001,6,11950,0
52.56089670000001,6,11954,0
52.60256329999999,6,11957,0
52.64423000000001,6,11960,0
52.68589670000001,6,11962,0
52.72756329999999,6,11965,28
52.76923000000001,6,11967,14
52.81089670000001,6,11968,7
52.85256329999999,6,11970,0
52.89423000000001,6,11970,0
52.93589670000001,7,11971,0
52.97756329999999,7,11970,0
53.01923000000001,7,11970,0
53.06089670000001,7,11968,2
53.10256329999999,7,11966,0
53.14423000000001,7,11964,10
53.18589670000001,7,11961,20
53.22756329999999,7,11957,15
53.26923000000001,7,11954,37
53.31089670000001,7,11949,14
53.35256329999999,7,11945,3
53.39423000000001,7,11940,1
53.43589670000001,7,11936,0
53.47756329999999,7,11931,0
53.51923000000001,7,11925,5
53.56089670000001,7,11920,4
53.60256329999999,7,11915,3
53.64423000000001,7,11910,1
53.68589670000001,7,11904,0
53.72756329999999,7,11899,0
53.76923000000001,7,11894,0
53.81089670000001,7,11889,0
53.85256329999999,7,11884,0
53.89423000000001,7,11880,0
53.93589670000001,7,11876,0
53.97756329999999,7,11872,0
54.01923000000001,7,11868,0
54.06089670000001,7,11865,0
54.10256329999999,7,11863,0
54.14423000000001,7,11860,0
54.18589670000001,7,11858,0
54.22756329999999,7,11856,0
54.26923000000001,7,11855,0
54.31089670000001,7,11853,0
54.35256329999999,7,11852,0
54.39423000000001,7,11851,0
54.43589670000001,7,11851,0
54.47756329999999,7,11850,0
54.51923000000001,7,11850,0
54.56089670000001,7,11850,0
54.60256329999999,7,11850,0
54.64423000000001,7,11850,0
54.68589670000001,7,11850,0
54.72756329999999,7,11850,0
54.76923000000001,7,11850,0
54.81089670000001,7,11850,0
54.85256329999999,7,11850,0
54.89423000000001,7,11850,0
54.93589670000001,7,11850,0
54.97756329999999,7,11850,0
55.01923000000001,7,11850,0
55.06089670000001,7,11850,0
55.10256329999999,7,11849,0
55.14423000000001,7,11849,0
55.18589670000001,7,11848,0
55.22756329999999,7,11848,0
55.26923000000001,7,11847,0
55.31089670000001,7,11847,0
55.35256329999999,7,11846,3
55.39423000000001,7,11845,1
55.43589670000001,7,11844,1
55.47756329999999,7,11844,0
55.51923000000001,7,11843,0
55.56089670000001,7,11842,1
55.60256329999999,7,11842,7
55.64423000000001,7,11841,2
55.68589670000001,7,11841,1
55.72756329999999,7,11840,3
55.76923000000001,7,11840,21
55.81089670000001,7,11840,0
55.85256329999999,7,11840,7
55.89423000000001,7,11840,24
55.93589670000001,7,11840,16
55.97756329999999,7,11840,26
56.01923000000001,7,11840,9
56.06089670000001,7,11841,7
56.10256329999999,7,11841,24
56.14423000000001,7,11842,32
56.18589670000001,7,11843,8
56.22756329999999,7,11844,8
56.26923000000001,7,11845,2
56.31089670000001,7,11846,0
56.35256329999999,7,11847,2
56.39423000000001,7,11848,0
56.43589670000001,7,11850,0
56.47756329999999,7,11851,0
56.51923000000001,7,11852,0
56.56089670000001,7,11853,0
56.60256329999999,7,11854,0
56.64423000000001,7,11855,0
56.68589670000001,7,11856,0
56.72756329999999,7,11857,0
56.76923000000001,7,11858,0
56.81089670000001,7,11859,0
