time,births,population,reported_cases
44.01923,24,29451,0
44.0608967,24,29353,3
44.1025633,23,29266,1
44.14423,23,29191,0
44.1858967,23,29125,1
44.2275633,22,29070,3
44.26923,22,29025,4
44.3108967,22,28989,4
44.3525633,21,28962,23
44.39423,21,28943,41
44.4358967,21,28932,62
44.4775633,21,28929,25
44.51923,21,28933,19
44.5608967,20,28944,22
44.6025633,20,28961,7
44.64423,20,28984,4
44.6858967,20,29012,0
44.7275633,20,29046,0
44.76923,20,29084,2
44.8108967,20,29126,15
44.8525633,20,29172,17
44.89423,21,29222,13
44.9358967,21,29274,12
44.9775633,21,29329,5
45.01923,21,29387,2
45.0608967,21,29446,18
45.1025633,21,29506,35
45.14423,21,29568,13
45.1858967,21,29630,5
45.2275633,22,29694,13
45.26923,22,29758,13
45.3108967,22,29822,2
45.3525633,22,29887,3
45.39423,22,29951,3
45.4358967,23,30014,1
45.4775633,23,30077,17
45.51923,23,30139,15
45.5608967,23,30200,7
45.6025633,24,30259,30
45.64423,24,30316,9
45.6858967,24,30372,1
45.7275633,24,30425,0
45.76923,24,30476,0
45.8108967,25,30524,0
45.8525633,25,30569,0
45.89423,25,30610,1
45.9358967,25,30649,0
45.9775633,25,30683,0
46.01923,26,30714,0
46.0608967,26,30740,0
46.1025633,26,30763,0
46.14423,26,30782,0
46.1858967,26,30798,0
46.2275633,26,30811,0
46.26923,26,30822,0
46.3108967,26,30830,0
46.3525633,27,30835,0
46.39423,27,30839,0
46.4358967,27,30841,1
46.4775633,27,30842,4
46.51923,27,30842,13
46.5608967,27,30840,13
46.6025633,27,30838,7
46.64423,27,30836,0
46.6858967,27,30834,6
46.7275633,27,30832,0
46.76923,27,30830,2
46.8108967,27,30829,12
46.8525633,27,30829,10
46.89423,27,30830,28
46.9358967,27,30833,67
46.9775633,27,30837,73
47.01923,27,30843,62
47.0608967,27,30852,48
47.1025633,27,30862,73
47.14423,26,30874,19
47.1858967,26,30887,10
47.2275633,26,30903,0
47.26923,26,30919,3
47.3108967,26,30937,0
47.3525633,26,30955,1
47.39423,26,30975,0
47.4358967,26,30995,0
47.4775633,25,31016,0
47.51923,25,31038,2
47.5608967,25,31059,6
47.6025633,25,31081,6
47.64423,25,31103,8
47.6858967,25,31125,4
47.7275633,25,31147,0
47.76923,24,31168,3
47.8108967,24,31188,4
47.8525633,24,31208,2
47.89423,24,31227,1
47.9358967,24,31245,1
47.9775633,24,31261,1
48.01923,24,31277,2
48.0608967,23,31291,4
48.1025633,23,31304,3
48.14423,23,31315,6
48.1858967,23,31326,9
48.2275633,23,31335,4
48.26923,23,31343,21
48.3108967,23,31350,40
48.3525633,23,31355,63
48.39423,22,31360,46
48.4358967,22,31364,28
48.4775633,22,31367,6
48.51923,22,31369,11
48.5608967,22,31370,11
48.6025633,22,31370,14
48.64423,22,31370,24
48.6858967,22,31368,5
48.7275633,21,31366,9
48.76923,21,31364,4
48.8108967,21,31361,7
48.8525633,21,31357,4
48.89423,21,31353,4
48.9358967,21,31348,16
48.9775633,21,31343,7
49.01923,21,31337,30
49.0608967,21,31331,24
49.1025633,20,31325,46
49.14423,20,31319,43
49.1858967,20,31312,20
49.2275633,20,31305,17
49.26923,20,31297,13
49.3108967,20,31289,3
49.3525633,20,31281,3
49.39423,20,31273,2
49.4358967,20,31265,2
49.4775633,19,31256,2
49.51923,19,31248,2
49.5608967,19,31239,2
49.6025633,19,31230,1
49.64423,19,31220,0
49.6858967,19,31211,2
49.7275633,19,31202,1
49.76923,19,31192,0
49.8108967,19,31183,4
49.8525633,19,31174,6
49.89423,19,31164,4
49.9358967,19,31155,4
49.9775633,19,31145,4
50.01923,19,31136,0
50.0608967,19,31126,7
50.1025633,19,31117,7
50.14423,19,31108,15
50.1858967,19,31099,19
50.2275633,19,31090,16
50.26923,19,31081,21
50.3108967,19,31073,38
50.3525633,19,31065,23
50.39423,19,31057,27
50.4358967,19,31049,16
50.4775633,20,31042,5
50.51923,20,31035,11
50.5608967,20,31028,4
50.6025633,20,31022,18
50.64423,20,31017,11
50.6858967,20,31011,9
50.7275633,20,31007,7
50.76923,20,31003,4
50.8108967,20,30999,4
50.8525633,20,30996,3
50.89423,20,30993,3
50.9358967,20,30992,1
50.9775633,20,30990,4
51.01923,20,30990,39
51.0608967,20,30990,52
51.1025633,20,30991,41
51.14423,20,30992,82
51.1858967,20,30994,99
51.2275633,20,30997,90
51.26923,20,31001,36
51.3108967,19,31004,30
51.3525633,19,31009,21
51.39423,19,31014,18
51.4358967,19,31019,11
51.4775633,19,31025,6
51.51923,19,31031,0
51.5608967,19,31038,7
51.6025633,18,31045,5
51.64423,18,31053,0
51.6858967,18,31061,1
51.7275633,18,31069,0
51.76923,18,31078,0
51.8108967,18,31086,2
51.8525633,18,31096,1
51.89423,18,31105,0
51.9358967,18,31115,4
51.9775633,17,31125,0
52.01923,17,31135,0
52.0608967,17,31145,0
52.1025633,17,31155,0
52.14423,17,31166,2
52.1858967,17,31177,1
52.2275633,17,31187,2
52.26923,18,31198,9
52.3108967,18,31209,3
52.3525633,18,31220,1
52.39423,18,31231,2
52.43589670000001,18,31242,2
52.47756329999999,18,31253,1
52.51923000000001,18,31264,1
52.56089670000001,18,31274,4
52.60256329999999,18,31285,15
52.64423000000001,18,31296,18
52.68589670000001,18,31306,14
52.72756329999999,18,31317,13
52.76923000000001,18,31327,11
52.81089670000001,19,31337,7
52.85256329999999,19,31347,22
52.89423000000001,19,31357,20
52.93589670000001,19,31366,58
52.97756329999999,19,31375,39
53.01923000000001,19,31384,58
53.06089670000001,19,31393,74
53.10256329999999,19,31401,46
53.14423000000001,19,31409,20
53.18589670000001,19,31417,9
53.22756329999999,19,31425,1
53.26923000000001,19,31432,4
53.31089670000001,19,31439,7
53.35256329999999,19,31447,1
53.39423000000001,19,31454,4
53.43589670000001,19,31460,2
53.47756329999999,19,31467,0
53.51923000000001,19,31474,2
53.56089670000001,19,31481,2
53.60256329999999,19,31487,6
