time,births,population,reported_cases
44.01923,4,5023,4
44.0608967,4,5014,0
44.1025633,4,5007,0
44.14423,4,4999,1
44.1858967,4,4993,0
44.2275633,4,4987,0
44.26923,4,4982,0
44.3108967,4,4978,0
44.3525633,4,4974,0
44.39423,4,4970,0
44.4358967,4,4968,0
44.4775633,4,4965,0
44.51923,4,4964,0
44.5608967,4,4963,0
44.6025633,4,4962,0
44.64423,4,4962,0
44.6858967,4,4962,0
44.7275633,4,4962,0
44.76923,4,4963,0
44.8108967,4,4965,0
44.8525633,4,4966,0
44.89423,4,4968,0
44.9358967,4,4971,0
44.9775633,4,4973,0
45.01923,4,4976,0
45.0608967,4,4980,0
45.1025633,4,4983,1
45.14423,4,4987,0
45.1858967,4,4990,15
45.2275633,4,4995,8
45.26923,4,4999,0
45.3108967,4,5003,22
45.3525633,4,5008,7
45.39423,4,5012,5
45.4358967,4,5017,0
45.4775633,4,5022,0
45.51923,4,5027,0
45.5608967,4,5032,0
45.6025633,4,5037,0
45.64423,4,5042,0
45.6858967,4,5047,0
45.7275633,4,5052,0
45.76923,4,5057,0
45.8108967,4,5062,0
45.8525633,4,5067,0
45.89423,4,5072,0
45.9358967,4,5077,12
45.9775633,4,5082,3
46.01923,4,5086,0
46.0608967,4,5091,0
46.1025633,4,5095,0
46.14423,4,5099,0
46.1858967,4,5103,1
46.2275633,4,5107,0
46.26923,5,5111,0
46.3108967,5,5115,0
46.3525633,5,5119,0
46.39423,5,5123,0
46.4358967,5,5126,0
46.4775633,5,5130,0
46.51923,5,5133,0
46.5608967,5,5137,0
46.6025633,5,5140,0
46.64423,5,5144,0
46.6858967,5,5147,0
46.7275633,5,5151,0
46.76923,5,5154,0
46.8108967,5,5157,0
46.8525633,5,5161,1
46.89423,5,5164,0
46.9358967,5,5168,0
46.9775633,5,5171,0
47.01923,5,5175,0
47.0608967,5,5178,0
47.1025633,5,5182,0
47.14423,5,5185,1
47.1858967,5,5189,0
47.2275633,5,5193,0
47.26923,5,5197,0
47.3108967,5,5201,0
47.3525633,5,5205,0
47.39423,5,5209,0
47.4358967,5,5214,1
47.4775633,5,5218,8
47.51923,5,5223,0
47.5608967,5,5228,8
47.6025633,5,5233,0
47.64423,5,5239,0
47.6858967,5,5244,0
47.7275633,5,5250,0
47.76923,5,5257,0
47.8108967,5,5263,0
47.8525633,5,5270,0
47.89423,5,5277,0
47.9358967,5,5284,0
47.9775633,5,5292,0
48.01923,4,5300,0
48.0608967,4,5308,0
48.1025633,4,5317,0
48.14423,4,5326,0
48.1858967,4,5335,0
48.2275633,4,5344,0
48.26923,4,5353,0
48.3108967,4,5362,0
