time,births,population,reported_cases
44.01923,3,3804,0
44.0608967,3,3786,0
44.1025633,3,3769,0
44.14423,3,3753,0
44.1858967,3,3738,0
44.2275633,3,3723,0
44.26923,3,3710,0
44.3108967,3,3697,0
44.3525633,3,3685,0
44.39423,3,3674,0
44.4358967,3,3663,0
44.4775633,3,3654,0
44.51923,3,3645,0
44.5608967,2,3636,0
44.6025633,2,3628,0
44.64423,2,3621,0
44.6858967,2,3615,0
44.7275633,2,3608,0
44.76923,2,3603,0
44.8108967,2,3598,0
44.8525633,2,3593,0
44.89423,2,3589,0
44.9358967,2,3585,0
44.9775633,2,3582,0
45.01923,2,3579,0
45.0608967,2,3576,0
45.1025633,2,3573,0
45.14423,2,3571,0
45.1858967,2,3569,0
45.2275633,2,3568,0
45.26923,3,3566,0
45.3108967,3,3565,2
45.3525633,3,3565,1
45.39423,3,3564,6
45.4358967,3,3563,22
45.4775633,3,3563,5
45.51923,3,3563,2
45.5608967,3,3563,1
45.6025633,3,3563,1
45.64423,3,3564,0
45.6858967,3,3564,0
45.7275633,3,3565,0
45.76923,3,3565,0
45.8108967,3,3566,0
45.8525633,3,3567,0
45.89423,3,3568,0
45.9358967,3,3569,0
45.9775633,3,3570,0
46.01923,3,3570,0
46.0608967,3,3571,0
46.1025633,3,3572,0
46.14423,3,3573,0
46.1858967,3,3574,3
46.2275633,3,3575,0
46.26923,3,3576,0
46.3108967,3,3578,0
46.3525633,3,3579,0
46.39423,3,3580,0
46.4358967,3,3582,0
46.4775633,3,3584,2
46.51923,3,3586,0
46.5608967,3,3588,0
46.6025633,3,3590,0
46.64423,3,3593,5
46.6858967,3,3595,0
46.7275633,3,3598,0
46.76923,3,3601,0
46.8108967,3,3605,0
46.8525633,3,3608,0
46.89423,3,3612,0
46.9358967,3,3617,0
46.9775633,3,3621,0
47.01923,3,3626,0
47.0608967,3,3632,0
47.1025633,3,3637,0
47.14423,3,3643,0
47.1858967,3,3649,0
47.2275633,3,3655,0
47.26923,3,3661,0
47.3108967,3,3668,3
47.3525633,3,3674,6
47.39423,3,3680,0
47.4358967,3,3687,0
47.4775633,3,3693,0
47.51923,3,3699,0
47.5608967,3,3705,0
47.6025633,3,3711,0
47.64423,3,3717,0
47.6858967,3,3722,0
47.7275633,3,3727,0
47.76923,3,3731,0
47.8108967,3,3735,0
47.8525633,3,3739,0
47.89423,3,3742,0
47.9358967,3,3745,0
47.9775633,3,3747,0
48.01923,3,3749,0
48.0608967,3,3750,0
48.1025633,3,3750,0
48.14423,3,3750,0
48.1858967,3,3749,0
48.2275633,3,3748,0
48.26923,3,3747,0
48.3108967,3,3745,0
48.3525633,3,3743,0
48.39423,3,3741,0
48.4358967,3,3739,0
48.4775633,3,3736,0
48.51923,3,3734,0
48.5608967,3,3731,0
48.6025633,3,3729,0
48.64423,3,3727,1
48.6858967,3,3725,0
48.7275633,3,3723,2
48.76923,3,3721,0
48.8108967,3,3719,0
48.8525633,3,3718,0
48.89423,3,3718,0
48.9358967,3,3717,0
48.9775633,3,3718,0
49.01923,3,3718,0
49.0608967,3,3720,0
49.1025633,3,3722,0
49.14423,3,3724,0
49.1858967,3,3727,0
49.2275633,3,3730,0
49.26923,3,3733,0
49.3108967,3,3737,0
49.3525633,3,3741,0
49.39423,3,3746,0
49.4358967,3,3750,2
49.4775633,3,3755,4
49.51923,3,3760,12
49.5608967,3,3765,40
49.6025633,3,3770,9
49.64423,3,3775,0
49.6858967,3,3780,1
49.7275633,3,3785,0
49.76923,3,3789,0
49.8108967,3,3794,0
49.8525633,3,3798,0
49.89423,3,3803,0
49.9358967,3,3807,0
49.9775633,3,3810,0
50.01923,3,3813,0
50.0608967,3,3816,0
50.1025633,3,3819,0
50.14423,3,3821,0
50.1858967,3,3823,0
50.2275633,3,3824,6
50.26923,3,3826,0
50.3108967,3,3827,2
50.3525633,3,3827,0
50.39423,3,3828,0
50.4358967,3,3828,0
50.4775633,3,3828,0
50.51923,3,3827,0
50.5608967,3,3827,0
50.6025633,3,3826,0
50.64423,3,3825,0
50.6858967,3,3823,0
50.7275633,3,3822,0
50.76923,3,3820,0
50.8108967,2,3818,0
50.8525633,2,3816,0
50.89423,2,3814,0
50.9358967,2,3812,0
50.9775633,2,3809,0
51.01923,3,3807,0
51.0608967,3,3804,0
51.1025633,3,3801,0
51.14423,3,3799,2
51.1858967,3,3796,1
51.2275633,3,3793,0
51.26923,3,3790,0
51.3108967,3,3787,18
51.3525633,3,3784,31
51.39423,3,3781,49
51.4358967,3,3779,1
51.4775633,3,3776,0
51.51923,3,3773,0
51.5608967,3,3771,0
51.6025633,3,3768,0
51.64423,3,3766,0
51.6858967,3,3764,0
51.7275633,3,3762,2
51.76923,3,3760,0
51.8108967,3,3759,2
51.8525633,3,3757,0
51.89423,3,3756,0
51.9358967,3,3756,0
51.9775633,3,3755,0
52.01923,3,3755,0
52.0608967,3,3755,0
52.1025633,3,3755,0
52.14423,3,3756,0
52.1858967,3,3757,0
