time,births,population,reported_cases
44.01923,25,29081,4
44.0608967,25,29064,0
44.1025633,24,29050,0
44.14423,24,29039,0
44.1858967,24,29032,0
44.2275633,23,29027,0
44.26923,23,29026,0
44.3108967,23,29028,0
44.3525633,22,29032,0
44.39423,22,29040,0
44.4358967,22,29050,0
44.4775633,22,29063,0
44.51923,22,29078,0
44.5608967,21,29096,0
44.6025633,21,29116,2
44.64423,21,29138,0
44.6858967,21,29163,1
44.7275633,21,29189,1
44.76923,21,29218,2
44.8108967,21,29249,6
44.8525633,21,29281,12
44.89423,21,29315,68
44.9358967,21,29351,87
44.9775633,21,29389,53
45.01923,21,29428,13
45.0608967,21,29469,10
45.1025633,22,29511,10
45.14423,22,29554,6
45.1858967,22,29599,7
45.2275633,22,29645,20
45.26923,22,29691,7
45.3108967,22,29739,8
45.3525633,22,29788,15
45.39423,23,29838,6
45.4358967,23,29889,4
45.4775633,23,29940,11
45.51923,23,29992,13
45.5608967,23,30045,2
45.6025633,24,30098,1
45.64423,24,30152,1
45.6858967,24,30206,3
45.7275633,24,30260,4
45.76923,24,30315,0
45.8108967,25,30370,2
45.8525633,25,30425,0
45.89423,25,30480,0
45.9358967,25,30535,0
45.9775633,25,30590,0
46.01923,26,30645,0
46.0608967,26,30700,0
46.1025633,26,30755,0
46.14423,26,30809,0
46.1858967,26,30863,0
46.2275633,27,30916,2
46.26923,27,30970,9
46.3108967,27,31023,4
46.3525633,27,31076,5
46.39423,27,31128,3
46.4358967,27,31180,2
46.4775633,27,31231,5
46.51923,27,31282,2
46.5608967,28,31333,2
46.6025633,28,31383,4
46.64423,28,31432,1
46.6858967,28,31481,3
46.7275633,28,31530,2
46.76923,28,31577,0
46.8108967,28,31624,0
46.8525633,28,31671,0
46.89423,28,31717,0
46.9358967,28,31762,0
46.9775633,28,31806,0
47.01923,28,31850,15
47.0608967,28,31893,17
47.1025633,28,31935,47
47.14423,28,31976,84
47.1858967,28,32017,89
47.2275633,28,32056,81
47.26923,28,32095,49
47.3108967,27,32133,104
47.3525633,27,32169,120
47.39423,27,32205,63
47.4358967,27,32240,11
47.4775633,27,32273,6
47.51923,27,32306,4
47.5608967,27,32337,1
47.6025633,27,32367,2
47.64423,27,32396,2
47.6858967,26,32424,2
47.7275633,26,32450,1
47.76923,26,32475,5
47.8108967,26,32499,7
47.8525633,26,32522,0
47.89423,26,32543,0
47.9358967,26,32563,1
47.9775633,26,32581,0
48.01923,26,32598,0
48.0608967,26,32613,0
48.1025633,26,32627,1
48.14423,26,32639,0
48.1858967,26,32650,1
48.2275633,26,32660,2
48.26923,26,32669,4
48.3108967,26,32676,2
48.3525633,26,32682,1
48.39423,26,32687,0
48.4358967,26,32690,1
48.4775633,25,32693,3
48.51923,25,32695,2
48.5608967,25,32695,0
48.6025633,25,32695,1
48.64423,25,32694,0
48.6858967,25,32691,0
48.7275633,25,32688,2
48.76923,25,32685,7
48.8108967,25,32680,11
48.8525633,25,32674,33
48.89423,25,32668,49
48.9358967,25,32662,74
48.9775633,25,32654,43
49.01923,25,32646,87
49.0608967,25,32638,57
49.1025633,25,32629,28
49.14423,24,32619,23
49.1858967,24,32610,13
49.2275633,24,32599,9
49.26923,24,32589,2
49.3108967,24,32579,1
49.3525633,23,32568,22
49.39423,23,32557,2
49.4358967,23,32546,0
49.4775633,23,32536,0
49.51923,23,32525,2
49.5608967,22,32515,0
49.6025633,22,32505,2
49.64423,22,32495,0
49.6858967,22,32485,0
49.7275633,22,32476,0
49.76923,21,32467,0
49.8108967,21,32459,0
49.8525633,21,32451,1
49.89423,21,32444,0
49.9358967,21,32438,0
49.9775633,21,32433,0
50.01923,21,32428,11
50.0608967,21,32424,11
50.1025633,21,32421,0
50.14423,21,32418,0
50.1858967,20,32417,1
50.2275633,20,32415,2
50.26923,20,32415,0
50.3108967,21,32414,0
50.3525633,21,32414,0
50.39423,21,32415,0
50.4358967,21,32415,0
50.4775633,21,32416,0
50.51923,21,32417,0
50.5608967,21,32419,0
50.6025633,21,32420,1
50.64423,21,32421,1
50.6858967,21,32422,1
50.7275633,21,32423,0
50.76923,21,32423,2
50.8108967,21,32424,0
50.8525633,21,32424,0
50.89423,21,32423,0
50.9358967,21,32422,3
50.9775633,21,32421,6
51.01923,21,32419,16
51.0608967,21,32416,19
51.1025633,22,32413,9
51.14423,22,32410,21
51.1858967,22,32405,43
51.2275633,22,32401,42
51.26923,22,32395,65
51.3108967,22,32390,62
51.3525633,22,32383,88
51.39423,22,32377,59
51.4358967,22,32370,62
51.4775633,22,32363,6
51.51923,22,32355,4
51.5608967,22,32347,8
51.6025633,22,32339,0
51.64423,22,32330,1
51.6858967,21,32322,0
51.7275633,21,32313,0
51.76923,21,32303,0
51.8108967,21,32294,0
51.8525633,21,32284,0
51.89423,21,32275,0
51.9358967,21,32265,3
51.9775633,22,32255,0
52.01923,22,32245,0
52.0608967,22,32236,2
52.1025633,22,32226,4
52.14423,22,32216,10
52.1858967,22,32206,16
52.2275633,22,32196,11
52.26923,22,32186,8
52.3108967,22,32177,0
52.3525633,22,32167,0
52.39423,22,32157,0
52.43589670000001,22,32148,0
52.47756329999999,22,32139,2
52.51923000000001,22,32129,0
52.56089670000001,22,32120,5
52.60256329999999,22,32112,0
52.64423000000001,22,32103,0
52.68589670000001,22,32095,1
52.72756329999999,22,32087,14
52.76923000000001,22,32079,17
52.81089670000001,22,32071,46
52.85256329999999,22,32064,36
52.89423000000001,22,32057,19
52.93589670000001,22,32050,29
52.97756329999999,22,32043,21
53.01923000000001,22,32037,44
53.06089670000001,22,32031,9
53.10256329999999,22,32026,15
53.14423000000001,22,32021,32
53.18589670000001,22,32016,13
53.22756329999999,22,32011,11
53.26923000000001,22,32007,0
53.31089670000001,22,32002,7
53.35256329999999,22,31998,2
53.39423000000001,22,31994,11
53.43589670000001,22,31990,4
53.47756329999999,22,31986,2
53.51923000000001,22,31982,0
53.56089670000001,22,31979,0
53.60256329999999,22,31975,3
53.64423000000001,22,31971,0
53.68589670000001,22,31967,0
53.72756329999999,22,31962,0
53.76923000000001,22,31958,0
53.81089670000001,21,31953,0
53.85256329999999,21,31949,0
53.89423000000001,21,31944,0
53.93589670000001,21,31939,0
53.97756329999999,21,31933,0
54.01923000000001,21,31927,0
54.06089670000001,21,31921,0
54.10256329999999,21,31915,0
54.14423000000001,21,31908,0
54.18589670000001,21,31901,0
54.22756329999999,21,31894,4
54.26923000000001,21,31887,7
54.31089670000001,21,31879,6
54.35256329999999,21,31871,18
54.39423000000001,21,31864,39
54.43589670000001,21,31856,77
54.47756329999999,21,31848,103
54.51923000000001,21,31839,20
54.56089670000001,21,31831,3
54.60256329999999,21,31823,26
54.64423000000001,21,31815,3
54.68589670000001,21,31807,13
54.72756329999999,21,31799,6
54.76923000000001,21,31791,49
54.81089670000001,21,31783,19
54.85256329999999,21,31776,7
54.89423000000001,21,31768,8
54.93589670000001,21,31761,10
54.97756329999999,21,31754,2
55.01923000000001,21,31747,0
55.06089670000001,21,31740,0
55.10256329999999,21,31734,1
55.14423000000001,21,31728,8
55.18589670000001,21,31722,11
55.22756329999999,21,31716,4
55.26923000000001,21,31710,4
55.31089670000001,21,31705,16
55.35256329999999,21,31700,7
55.39423000000001,21,31695,2
55.43589670000001,21,31690,7
55.47756329999999,21,31685,6
55.51923000000001,21,31681,2
55.56089670000001,21,31677,2
55.60256329999999,21,31672,1
55.64423000000001,21,31668,2
55.68589670000001,21,31665,3
55.72756329999999,21,31661,0
55.76923000000001,21,31657,0
55.81089670000001,21,31654,0
55.85256329999999,21,31651,1
55.89423000000001,21,31648,0
55.93589670000001,21,31645,1
55.97756329999999,21,31642,0
56.01923000000001,21,31639,0
56.06089670000001,21,31636,0
56.10256329999999,22,31633,0
56.14423000000001,22,31631,0
56.18589670000001,22,31628,0
56.22756329999999,22,31626,0
56.26923000000001,22,31623,0
56.31089670000001,22,31621,0
56.35256329999999,22,31618,0
56.39423000000001,22,31616,0
56.43589670000001,22,31614,0
56.47756329999999,22,31612,0
56.51923000000001,22,31609,0
56.56089670000001,22,31607,2
56.60256329999999,22,31605,0
56.64423000000001,22,31602,1
56.68589670000001,22,31600,6
56.72756329999999,22,31597,4
56.76923000000001,22,31595,2
56.81089670000001,22,31592,6
56.85256329999999,22,31590,25
56.89423000000001,22,31587,27
56.93589670000001,22,31584,62
56.97756329999999,22,31582,96
57.01923000000001,22,31579,93
57.06089670000001,22,31576,82
57.10256329999999,22,31572,30
57.14423000000001,22,31569,60
57.18589670000001,22,31566,85
57.22756329999999,22,31563,31
