time,births,population,reported_cases
44.01923,2,2426,0
44.0608967,1,2426,0
44.1025633,1,2427,0
44.14423,1,2428,0
44.1858967,1,2429,1
44.2275633,1,2431,0
44.26923,1,2433,0
44.3108967,1,2435,0
44.3525633,1,2437,0
44.39423,1,2439,0
44.4358967,1,2442,0
44.4775633,1,2444,0
44.51923,1,2447,0
44.5608967,1,2450,0
44.6025633,1,2453,0
44.64423,1,2455,0
44.6858967,1,2458,0
44.7275633,1,2461,0
44.76923,1,2463,0
44.8108967,1,2466,0
44.8525633,1,2468,0
44.89423,1,2470,0
44.9358967,1,2472,0
44.9775633,1,2474,0
45.01923,1,2476,0
45.0608967,1,2477,0
45.1025633,1,2478,0
45.14423,1,2479,0
45.1858967,1,2479,0
45.2275633,1,2479,0
45.26923,1,2479,0
45.3108967,2,2479,0
45.3525633,2,2478,0
45.39423,2,2477,2
45.4358967,2,2476,0
45.4775633,2,2475,0
45.51923,2,2473,0
45.5608967,2,2471,0
45.6025633,2,2468,0
45.64423,2,2465,0
45.6858967,2,2462,0
45.7275633,2,2459,0
45.76923,2,2455,0
45.8108967,2,2451,0
45.8525633,2,2446,0
45.89423,2,2442,0
45.9358967,2,2437,0
45.9775633,2,2431,0
46.01923,2,2425,0
46.0608967,2,2419,0
46.1025633,2,2413,0
46.14423,2,2406,0
46.1858967,2,2399,0
46.2275633,2,2392,0
46.26923,2,2385,0
46.3108967,2,2378,0
46.3525633,2,2371,0
46.39423,2,2364,0
46.4358967,2,2357,0
46.4775633,2,2350,0
46.51923,2,2344,2
46.5608967,2,2337,0
46.6025633,2,2331,1
46.64423,2,2326,0
46.6858967,2,2321,0
46.7275633,2,2316,0
46.76923,2,2312,0
46.8108967,2,2308,0
46.8525633,2,2305,0
46.89423,2,2303,0
46.9358967,2,2301,0
46.9775633,2,2300,0
47.01923,2,2300,0
47.0608967,2,2301,2
47.1025633,2,2302,0
47.14423,2,2305,1
47.1858967,2,2307,0
47.2275633,1,2311,0
47.26923,1,2315,0
47.3108967,1,2320,0
47.3525633,1,2325,22
47.39423,1,2330,8
47.4358967,1,2336,0
47.4775633,1,2342,0
47.51923,1,2349,0
47.5608967,1,2356,0
47.6025633,1,2362,0
47.64423,1,2369,0
47.6858967,1,2376,0
47.7275633,1,2384,0
47.76923,1,2391,0
47.8108967,1,2398,0
47.8525633,1,2404,0
47.89423,1,2411,0
47.9358967,1,2418,0
47.9775633,1,2424,0
48.01923,1,2430,0
48.0608967,1,2435,0
48.1025633,1,2440,1
48.14423,1,2445,0
48.1858967,1,2450,0
48.2275633,1,2454,0
48.26923,1,2458,0
48.3108967,2,2462,2
48.3525633,2,2466,0
48.39423,2,2469,0
48.4358967,2,2472,0
48.4775633,2,2475,0
48.51923,2,2478,0
48.5608967,2,2481,0
48.6025633,2,2484,0
48.64423,2,2486,0
48.6858967,2,2489,0
48.7275633,2,2491,0
48.76923,2,2493,0
48.8108967,2,2496,0
48.8525633,2,2498,0
48.89423,2,2500,0
48.9358967,2,2502,0
48.9775633,2,2505,0
49.01923,2,2507,4
49.0608967,2,2510,3
49.1025633,2,2512,13
49.14423,2,2514,1
49.1858967,2,2517,0
49.2275633,2,2520,0
49.26923,2,2522,0
49.3108967,2,2525,0
49.3525633,2,2528,0
49.39423,2,2530,0
49.4358967,2,2533,10
49.4775633,2,2536,16
49.51923,2,2539,0
49.5608967,3,2541,0
49.6025633,3,2544,0
49.64423,3,2547,0
49.6858967,3,2550,0
49.7275633,3,2552,0
49.76923,3,2555,0
49.8108967,3,2558,0
49.8525633,3,2561,0
