time,births,population,reported_cases
44.01923,10,11324,0
44.0608967,9,11304,0
44.1025633,9,11303,0
44.14423,9,11321,0
44.1858967,8,11357,2
44.2275633,8,11410,3
44.26923,8,11480,0
44.3108967,8,11565,0
44.3525633,8,11665,0
44.39423,8,11780,0
44.4358967,8,11908,0
44.4775633,8,12049,0
44.51923,8,12202,0
44.5608967,8,12366,0
44.6025633,8,12541,0
44.64423,8,12725,0
44.6858967,8,12919,0
44.7275633,8,13122,0
44.76923,9,13332,0
44.8108967,9,13548,0
44.8525633,9,13772,0
44.89423,9,14000,0
44.9358967,10,14233,0
44.9775633,10,14471,0
45.01923,10,14711,0
45.0608967,10,14955,0
45.1025633,11,15200,0
45.14423,11,15447,0
45.1858967,11,15695,0
45.2275633,12,15944,0
45.26923,12,16194,0
45.3108967,12,16443,2
45.3525633,13,16691,1
45.39423,13,16938,0
45.4358967,13,17183,0
45.4775633,14,17426,0
45.51923,14,17666,0
45.5608967,14,17903,0
45.6025633,15,18136,0
45.64423,15,18365,0
45.6858967,15,18589,0
45.7275633,15,18809,0
45.76923,16,19022,0
45.8108967,16,19229,0
45.8525633,16,19430,0
45.89423,16,19624,0
45.9358967,17,19810,0
45.9775633,17,19988,0
46.01923,17,20157,0
46.0608967,17,20318,0
46.1025633,17,20470,0
46.14423,17,20614,0
46.1858967,18,20750,0
46.2275633,18,20879,0
46.26923,18,21001,0
46.3108967,18,21116,0
46.3525633,18,21225,0
46.39423,18,21327,2
46.4358967,18,21423,1
46.4775633,18,21514,4
46.51923,18,21600,18
46.5608967,18,21680,29
46.6025633,18,21756,89
46.64423,18,21828,46
46.6858967,18,21896,12
46.7275633,18,21960,1
46.76923,18,22020,0
46.8108967,18,22078,0
46.8525633,18,22133,0
46.89423,18,22185,0
46.9358967,18,22236,0
46.9775633,18,22284,0
47.01923,17,22332,0
47.0608967,17,22377,0
47.1025633,17,22422,11
47.14423,17,22465,39
47.1858967,17,22507,0
47.2275633,17,22547,0
47.26923,17,22586,0
47.3108967,17,22623,1
47.3525633,17,22659,0
47.39423,17,22694,4
47.4358967,17,22727,82
47.4775633,16,22758,6
47.51923,16,22788,3
47.5608967,16,22816,10
47.6025633,16,22842,12
47.64423,16,22867,2
47.6858967,16,22891,2
47.7275633,16,22912,0
47.76923,16,22932,1
47.8108967,16,22950,5
47.8525633,15,22967,7
47.89423,15,22981,21
47.9358967,15,22994,18
47.9775633,15,23005,9
48.01923,15,23014,4
48.0608967,15,23021,2
48.1025633,15,23027,3
48.14423,15,23031,0
48.1858967,14,23034,0
48.2275633,14,23035,0
48.26923,14,23036,0
48.3108967,14,23035,0
48.3525633,14,23034,1
48.39423,14,23033,1
48.4358967,14,23030,0
48.4775633,14,23028,0
48.51923,13,23025,15
48.5608967,13,23022,3
48.6025633,13,23020,3
48.64423,13,23017,2
48.6858967,13,23015,5
48.7275633,13,23014,0
48.76923,13,23014,2
48.8108967,13,23014,12
48.8525633,13,23015,5
48.89423,13,23018,29
48.9358967,12,23021,56
48.9775633,12,23027,30
49.01923,12,23033,0
49.0608967,12,23042,8
49.1025633,12,23052,9
49.14423,12,23064,25
49.1858967,12,23077,15
49.2275633,12,23091,3
49.26923,12,23107,2
49.3108967,12,23124,2
49.3525633,12,23142,0
49.39423,12,23161,0
49.4358967,12,23181,0
49.4775633,12,23202,5
49.51923,12,23225,11
49.5608967,12,23247,0
49.6025633,12,23271,3
49.64423,12,23295,0
49.6858967,12,23320,0
49.7275633,12,23346,0
49.76923,12,23372,2
49.8108967,12,23398,0
49.8525633,12,23424,0
49.89423,12,23451,1
49.9358967,12,23478,0
49.9775633,12,23505,0
50.01923,12,23533,0
50.0608967,12,23560,3
50.1025633,12,23587,1
50.14423,12,23613,12
50.1858967,13,23640,15
50.2275633,13,23666,4
50.26923,13,23692,4
50.3108967,13,23717,0
50.3525633,13,23741,0
50.39423,13,23765,0
50.4358967,13,23788,1
50.4775633,13,23810,2
50.51923,13,23831,4
50.5608967,13,23852,2
50.6025633,13,23871,7
50.64423,13,23888,5
50.6858967,13,23905,3
50.7275633,13,23920,2
50.76923,13,23934,0
50.8108967,13,23946,7
50.8525633,13,23957,0
50.89423,13,23966,0
50.9358967,13,23973,1
50.9775633,12,23978,0
51.01923,12,23981,13
51.0608967,12,23983,1
51.1025633,12,23982,1
51.14423,12,23980,21
51.1858967,12,23977,78
51.2275633,12,23972,55
51.26923,12,23965,51
51.3108967,12,23958,23
51.3525633,12,23949,29
51.39423,12,23940,54
51.4358967,12,23930,37
51.4775633,12,23920,27
51.51923,12,23908,7
51.5608967,12,23897,4
51.6025633,12,23885,1
51.64423,12,23874,2
51.6858967,12,23862,0
51.7275633,12,23851,0
51.76923,12,23840,20
51.8108967,12,23829,9
51.8525633,11,23819,1
51.89423,11,23810,0
51.9358967,11,23801,0
51.9775633,11,23794,0
52.01923,11,23787,0
52.0608967,11,23782,0
52.1025633,11,23778,0
52.14423,11,23775,0
52.1858967,11,23773,0
52.2275633,11,23772,2
52.26923,11,23772,0
52.3108967,11,23773,1
52.3525633,11,23775,1
52.39423,11,23778,6
52.43589670000001,11,23781,6
52.47756329999999,11,23785,18
52.51923000000001,11,23790,35
52.56089670000001,12,23795,31
52.60256329999999,12,23801,30
52.64423000000001,12,23808,15
52.68589670000001,12,23815,6
52.72756329999999,12,23822,1
52.76923000000001,12,23830,2
52.81089670000001,12,23839,0
52.85256329999999,12,23847,0
52.89423000000001,12,23856,1
52.93589670000001,12,23866,3
52.97756329999999,11,23875,0
53.01923000000001,11,23884,2
53.06089670000001,11,23894,0
53.10256329999999,11,23904,0
53.14423000000001,11,23914,5
53.18589670000001,11,23923,10
53.22756329999999,11,23933,0
53.26923000000001,11,23943,2
53.31089670000001,11,23953,5
53.35256329999999,11,23963,1
53.39423000000001,11,23973,0
53.43589670000001,11,23983,1
53.47756329999999,11,23992,0
53.51923000000001,11,24002,2
53.56089670000001,11,24012,0
53.60256329999999,11,24021,4
53.64423000000001,11,24030,2
53.68589670000001,10,24039,0
53.72756329999999,10,24048,0
53.76923000000001,10,24057,0
53.81089670000001,10,24065,0
53.85256329999999,10,24073,0
53.89423000000001,10,24081,1
53.93589670000001,10,24089,0
53.97756329999999,10,24096,0
54.01923000000001,10,24103,0
54.06089670000001,10,24110,0
54.10256329999999,10,24116,0
54.14423000000001,10,24123,0
54.18589670000001,10,24129,1
54.22756329999999,10,24134,2
54.26923000000001,10,24140,0
54.31089670000001,10,24146,0
54.35256329999999,10,24152,0
54.39423000000001,10,24158,1
54.43589670000001,10,24164,1
54.47756329999999,10,24170,2
54.51923000000001,10,24176,0
54.56089670000001,11,24183,2
54.60256329999999,11,24190,4
54.64423000000001,11,24197,0
54.68589670000001,11,24205,0
54.72756329999999,11,24213,0
54.76923000000001,11,24222,0
54.81089670000001,11,24231,0
54.85256329999999,11,24240,0
54.89423000000001,11,24251,0
54.93589670000001,11,24262,0
54.97756329999999,11,24273,0
55.01923000000001,11,24286,13
55.06089670000001,11,24299,4
55.10256329999999,11,24313,35
55.14423000000001,11,24328,0
55.18589670000001,11,24343,0
55.22756329999999,11,24359,0
55.26923000000001,11,24375,2
55.31089670000001,11,24391,3
55.35256329999999,11,24408,15
55.39423000000001,11,24425,80
55.43589670000001,11,24443,178
55.47756329999999,11,24460,192
55.51923000000001,11,24478,108
55.56089670000001,11,24496,59
55.60256329999999,11,24514,23
55.64423000000001,11,24531,2
55.68589670000001,11,24549,2
55.72756329999999,11,24566,0
55.76923000000001,11,24583,0
55.81089670000001,11,24600,2
55.85256329999999,11,24616,0
55.89423000000001,11,24632,0
55.93589670000001,11,24647,0
55.97756329999999,11,24662,0
56.01923000000001,11,24676,0
56.06089670000001,11,24690,0
56.10256329999999,11,24703,0
56.14423000000001,11,24715,0
56.18589670000001,11,24727,0
56.22756329999999,11,24739,0
56.26923000000001,11,24749,0
56.31089670000001,11,24760,2
56.35256329999999,11,24770,0
56.39423000000001,11,24779,0
56.43589670000001,11,24788,0
56.47756329999999,11,24797,6
56.51923000000001,11,24806,53
56.56089670000001,11,24814,35
56.60256329999999,11,24822,34
56.64423000000001,11,24829,15
56.68589670000001,11,24837,0
56.72756329999999,11,24844,0
56.76923000000001,11,24851,0
56.81089670000001,11,24858,0
56.85256329999999,11,24865,0
56.89423000000001,11,24872,0
56.93589670000001,11,24879,0
56.97756329999999,11,24886,0
57.01923000000001,11,24893,0
57.06089670000001,11,24900,0
57.10256329999999,11,24907,0
57.14423000000001,11,24914,0
57.18589670000001,11,24922,0
57.22756329999999,11,24929,0
57.26923000000001,11,24937,0
57.31089670000001,11,24944,8
57.35256329999999,12,24952,6
57.39423000000001,12,24960,5
57.43589670000001,12,24968,32
57.47756329999999,12,24976,49
57.51923000000001,12,24985,24
57.56089670000001,12,24993,14
57.60256329999999,12,25002,11
57.64423000000001,12,25011,5
57.68589670000001,13,25021,0
57.72756329999999,13,25030,0
57.76923000000001,13,25040,2
57.81089670000001,13,25050,0
57.85256329999999,13,25061,1
57.89423000000001,13,25071,0
57.93589670000001,13,25082,0
57.97756329999999,13,25094,0
58.01923000000001,13,25105,0
58.06089670000001,13,25118,0
58.10256329999999,13,25130,0
58.14423000000001,13,25143,0
58.18589670000001,13,25156,0
58.22756329999999,13,25169,0
58.26923000000001,13,25183,0
58.31089670000001,13,25197,0
58.35256329999999,13,25212,3
58.39423000000001,13,25226,0
58.43589670000001,13,25242,2
58.47756329999999,13,25257,5
58.51923000000001,13,25273,15
58.56089670000001,12,25289,13
58.60256329999999,12,25306,41
58.64423000000001,12,25322,25
58.68589670000001,12,25340,6
58.72756329999999,12,25357,1
58.76923000000001,12,25375,1
58.81089670000001,12,25393,0
58.85256329999999,12,25412,2
58.89423000000001,12,25431,1
58.93589670000001,12,25450,0
58.97756329999999,12,25469,0
59.01923000000001,12,25489,7
59.06089670000001,12,25509,14
59.10256329999999,12,25530,11
59.14423000000001,12,25551,9
59.18589670000001,12,25573,13
59.22756329999999,12,25595,27
59.26923000000001,12,25619,7
59.31089670000001,12,25642,2
59.35256329999999,12,25667,1
59.39423000000001,12,25693,10
59.43589670000001,12,25719,4
59.47756329999999,12,25747,7
59.51923000000001,12,25776,11
59.56089670000001,12,25806,7
59.60256329999999,12,25837,4
59.64423000000001,12,25869,0
59.68589670000001,13,25903,1
59.72756329999999,13,25939,0
59.76923000000001,13,25975,0
59.81089670000001,13,26014,0
59.85256329999999,13,26054,0
59.89423000000001,13,26096,2
59.93589670000001,13,26139,0
59.97756329999999,13,26185,0
60.01923000000001,13,26232,0
60.06089670000001,13,26281,1
60.10256329999999,13,26332,1
60.14423000000001,14,26385,0
60.18589670000001,14,26439,0
60.22756329999999,14,26494,0
60.26923000000001,14,26550,2
60.31089670000001,14,26607,0
60.35256329999999,14,26665,1
60.39423000000001,14,26724,1
60.43589670000001,14,26783,1
60.47756329999999,14,26842,0
60.51923000000001,14,26901,2
60.56089670000001,14,26960,0
60.60256329999999,14,27019,4
60.64423000000001,14,27078,1
60.68589670000001,15,27136,0
60.72756329999999,15,27194,0
60.76923000000001,15,27250,0
60.81089670000001,15,27306,2
60.85256329999999,15,27360,1
60.89423000000001,15,27413,2
60.93589670000001,15,27464,1
60.97756329999999,15,27514,4
61.01923000000001,15,27562,13
61.06089670000001,15,27608,14
61.10256329999999,15,27652,35
61.14423000000001,15,27695,136
61.18589670000001,15,27736,200
61.22756329999999,15,27776,60
61.26923000000001,16,27814,44
61.31089670000001,16,27851,20
61.35256329999999,16,27887,4
61.39423000000001,16,27922,4
61.43589670000001,16,27956,4
61.47756329999999,16,27990,2
61.51923000000001,16,28022,2
61.56089670000001,16,28055,3
61.60256329999999,16,28086,0
61.64423000000001,16,28118,0
61.68589670000001,16,28149,1
61.72756329999999,16,28180,0
61.76923000000001,16,28212,0
61.81089670000001,16,28243,0
61.85256329999999,16,28275,0
61.89423000000001,17,28306,0
61.93589670000001,17,28339,0
61.97756329999999,17,28372,0
62.01923000000001,17,28406,0
62.06089670000001,17,28440,0
62.10256329999999,17,28475,0
62.14423000000001,17,28511,0
62.18589670000001,17,28548,0
62.22756329999999,17,28586,0
62.26923000000001,17,28624,0
62.31089670000001,17,28663,0
62.35256329999999,17,28703,0
62.39423000000001,17,28743,0
62.43589670000001,17,28784,1
62.47756329999999,17,28826,0
62.51923000000001,17,28869,0
62.56089670000001,17,28913,0
62.60256329999999,17,28957,0
62.64423000000001,17,29003,3
62.68589670000001,17,29048,0
62.72756329999999,17,29095,1
62.76923000000001,17,29143,0
62.81089670000001,17,29191,0
62.85256329999999,18,29240,0
62.89423000000001,18,29290,0
62.93589670000001,18,29341,0
62.97756329999999,18,29392,1
63.01923000000001,18,29444,0
63.06089670000001,18,29497,0
63.10256329999999,18,29551,1
63.14423000000001,18,29605,0
63.18589670000001,18,29660,0
63.22756329999999,18,29716,0
63.26923000000001,18,29772,0
63.31089670000001,18,29828,4
63.35256329999999,18,29885,31
63.39423000000001,18,29942,90
63.43589670000001,18,30000,122
63.47756329999999,18,30057,60
63.51923000000001,18,30115,15
63.56089670000001,18,30173,25
63.60256329999999,18,30232,18
63.64423000000001,18,30290,4
63.68589670000001,19,30348,0
63.72756329999999,19,30406,0
63.76923000000001,19,30464,0
63.81089670000001,19,30522,0
63.85256329999999,19,30579,1
63.89423000000001,19,30636,0
63.93589670000001,19,30693,0
63.97756329999999,19,30750,0
