time,births,population,reported_cases
44.01923,40,44407,0
44.0608967,39,44265,0
44.1025633,38,44141,0
44.14423,37,44037,2
44.1858967,36,43950,0
44.2275633,35,43881,16
44.26923,35,43828,4
44.3108967,34,43791,0
44.3525633,34,43770,0
44.39423,33,43764,0
44.4358967,33,43771,0
44.4775633,33,43792,0
44.51923,33,43827,0
44.5608967,33,43873,0
44.6025633,33,43931,0
44.64423,33,43999,0
44.6858967,33,44079,1
44.7275633,34,44167,0
44.76923,34,44265,0
44.8108967,34,44371,2
44.8525633,35,44485,1
44.89423,35,44606,14
44.9358967,35,44733,1
44.9775633,36,44866,2
45.01923,36,45004,2
45.0608967,37,45147,4
45.1025633,37,45294,3
45.14423,38,45445,13
45.1858967,39,45600,44
45.2275633,39,45757,64
45.26923,40,45917,75
45.3108967,40,46079,55
45.3525633,41,46243,54
45.39423,41,46408,68
45.4358967,42,46574,19
45.4775633,43,46741,15
45.51923,43,46908,21
45.5608967,44,47074,29
45.6025633,44,47240,9
45.64423,45,47405,5
45.6858967,45,47568,0
45.7275633,46,47730,0
45.76923,46,47889,0
45.8108967,47,48045,0
45.8525633,47,48199,1
45.89423,48,48348,0
45.9358967,48,48494,0
45.9775633,48,48636,0
46.01923,48,48773,0
46.0608967,49,48904,0
46.1025633,49,49032,1
46.14423,49,49154,0
46.1858967,49,49273,2
46.2275633,49,49388,4
46.26923,49,49498,0
46.3108967,49,49605,1
46.3525633,49,49709,1
46.39423,49,49810,2
46.4358967,49,49907,2
46.4775633,49,50002,2
46.51923,49,50094,0
46.5608967,48,50184,1
46.6025633,48,50271,4
46.64423,48,50357,2
46.6858967,48,50441,0
46.7275633,48,50524,0
46.76923,48,50605,0
46.8108967,47,50685,2
46.8525633,47,50764,0
46.89423,47,50842,0
46.9358967,47,50920,3
46.9775633,46,50998,12
47.01923,46,51076,30
47.0608967,46,51153,17
47.1025633,46,51231,30
47.14423,45,51307,38
47.1858967,45,51383,23
47.2275633,45,51458,12
47.26923,45,51531,19
47.3108967,45,51602,8
47.3525633,44,51671,4
47.39423,44,51738,12
47.4358967,44,51802,14
47.4775633,44,51863,8
47.51923,44,51922,9
47.5608967,43,51976,1
47.6025633,43,52027,2
47.64423,43,52074,9
47.6858967,43,52117,3
47.7275633,43,52155,1
47.76923,42,52188,0
47.8108967,42,52216,0
47.8525633,42,52238,2
47.89423,42,52255,0
47.9358967,42,52266,0
47.9775633,42,52270,0
48.01923,41,52268,0
48.0608967,41,52260,2
48.1025633,41,52246,4
48.14423,41,52228,0
48.1858967,41,52207,0
48.2275633,41,52183,21
48.26923,40,52158,9
48.3108967,40,52133,9
48.3525633,40,52108,43
48.39423,40,52084,79
48.4358967,40,52063,151
48.4775633,40,52046,99
48.51923,39,52032,62
48.5608967,39,52025,34
48.6025633,39,52023,18
48.64423,39,52029,11
48.6858967,39,52044,1
48.7275633,39,52068,0
48.76923,39,52101,0
48.8108967,38,52147,4
48.8525633,38,52204,16
48.89423,38,52275,0
48.9358967,38,52360,0
48.9775633,38,52460,0
49.01923,38,52576,17
49.0608967,38,52708,28
49.1025633,38,52855,21
49.14423,37,53017,52
49.1858967,37,53192,41
49.2275633,37,53379,11
49.26923,37,53578,53
49.3108967,37,53787,54
49.3525633,37,54005,6
49.39423,37,54232,19
49.4358967,37,54467,17
49.4775633,36,54708,4
49.51923,36,54954,2
49.5608967,36,55205,9
49.6025633,36,55459,7
49.64423,36,55717,5
49.6858967,36,55975,1
49.7275633,36,56235,0
49.76923,36,56494,2
49.8108967,36,56752,0
49.8525633,36,57008,0
49.89423,36,57260,1
49.9358967,36,57508,0
49.9775633,36,57752,0
50.01923,36,57989,0
50.0608967,36,58219,2
50.1025633,36,58442,1
50.14423,36,58657,3
50.1858967,36,58864,6
50.2275633,36,59062,3
50.26923,36,59251,13
50.3108967,36,59430,9
50.3525633,36,59599,12
50.39423,36,59757,0
50.4358967,36,59905,16
50.4775633,36,60041,14
50.51923,36,60164,30
50.5608967,36,60276,43
50.6025633,36,60374,49
50.64423,37,60459,28
50.6858967,37,60530,21
50.7275633,37,60587,11
50.76923,37,60628,11
50.8108967,37,60655,5
50.8525633,37,60666,16
50.89423,37,60660,5
